"","USDCNHClose","USDCNH_hpft","USDCNH_hpfc","USDXClose","USDX_hpft","USDX_hpfc","GBPUSDClose","GBPUSD_hpft","GBPUSD_hpfc","EURUSDClose","EURUSD_hpft","EURUSD_hpfc","AUDUSDClose","AUDUSD_hpft","AUDUSD_hpfc","USDJPYClose","USDJPY_hpft","USDJPY_hpfc","USB10YUSDClose","USB10YUSD_hpft","USB10YUSD_hpfc"
"2018-09-07",6.871,6.79833773148542,0.0726622685145826,95.4235,95.2894833557434,0.134016644256611,1.2918,1.30380774449107,-0.0120077444910715,1.1555,1.15730944968565,-0.00180944968564769,0.7106,0.727726679174534,-0.0171266791745337,111.0415,111.662354985618,-0.620854985618419,119.853,119.372867371739,0.480132628261065
"2018-09-10",6.8707,6.80124022292848,0.069459777071524,95.163,95.3133355606531,-0.150335560653063,1.3025,1.3034137835264,-0.000913783526396638,1.1596,1.156973292999,0.00262670700099888,0.7113,0.727452780678981,-0.0161527806789808,111.123,111.68243269332,-0.559432693320245,119.878,119.371142949472,0.50685705052769
"2018-09-11",6.8751,6.8040818602376,0.0710181397624014,95.0806,95.3369658131275,-0.256365813127531,1.303,1.30302700904588,-2.70090458846816e-05,1.1604,1.15663966460282,0.00376033539717865,0.712,0.727182443362119,-0.0151824433621194,111.587,111.702073793819,-0.115073793819472,119.516,119.3697330078,0.146266992200299
"2018-09-12",6.8342,6.80686230925683,0.0273376907431674,94.8524,95.3603781930917,-0.507978193091705,1.305,1.3026472991393,0.00235270086069593,1.1628,1.15630850285167,0.00649149714833085,0.7172,0.726915689354207,-0.0097156893542066,111.25,111.721268506977,-0.471268506977078,119.608,119.368648928065,0.239351071935346
"2018-09-13",6.8462,6.80958126518617,0.0366187348138281,94.5408,95.3835766744981,-0.842776674498098,1.3105,1.30227453188524,0.0082254681147633,1.169,1.15597974765447,0.0130202523455293,0.7191,0.726652534509678,-0.0075525345096784,111.942,111.740007005089,0.201992994911041,119.559,119.367902152071,0.191097847929105
"2018-09-14",6.8821,6.81223843452577,0.0698615654742319,94.975,95.4065650213216,-0.431565021321578,1.307,1.30190858633478,0.00509141366521635,1.1622,1.15565334160348,0.00654665839652222,0.7153,0.72639299066689,-0.0110929906668902,112.0475,111.758279265647,0.289220734353397,119.323,119.367504220561,-0.0445042205605553
"2018-09-17",6.8691,6.81483353891269,0.054266461087313,94.5284,95.4293466491672,-0.900946649167209,1.3161,1.30154934493914,0.0145506550608557,1.1684,1.15532923267299,0.0130707673270066,0.7178,0.726137066542295,-0.00833706654229537,111.8555,111.776075349637,0.079424650362879,119.395,119.367466753269,0.0275332467314045
"2018-09-18",6.8608,6.81736632886184,0.0434336711381572,94.6175,95.4519247952487,-0.834424795248701,1.3148,1.30119669225406,0.0136033077459379,1.1668,1.15500737154344,0.0117926284565637,0.7219,0.725884766266931,-0.00398476626693111,112.3595,111.793385437602,0.566114562398266,118.908,119.367801351533,-0.459801351532797
"2018-09-19",6.8523,6.81983657731976,0.0324634226802416,94.5466,95.4743023243648,-0.927702324364787,1.3145,1.30085051884998,0.0136494811500231,1.1673,1.15468771429817,0.0126122857018333,0.7265,0.725636090525649,0.000863909474350564,112.3015,111.810199742911,0.491300257089024,118.859,119.368519628073,-0.509519628072558
"2018-09-20",6.8355,6.82224407518673,0.0132559248132737,93.8964,95.4964817563957,-1.60008175639572,1.3269,1.30051072092036,0.0263892790796353,1.1778,1.15437022189514,0.0234297781048622,0.729,0.725391038356148,0.00360896164385165,112.497,111.826508712944,0.670491287055755,118.857,119.369633005544,-0.512633005543776
"2018-09-21",6.848,6.8245886267821,0.0234113732179034,94.2122,95.5184652277474,-1.30626522774744,1.3081,1.30017720030086,0.00792279969914224,1.1753,1.15405486050572,0.0212451394942828,0.7288,0.725149609153233,0.0036503908467667,112.5605,111.842302998165,0.71819700183474,118.871,119.371152695989,-0.500152695988688
"2018-09-24",6.8692,6.8268700419046,0.0423299580953967,94.2587,95.5402542134163,-1.2815542134163,1.3117,1.29984986973535,0.0118501302646477,1.1748,1.1537416059862,0.0210583940138019,0.7253,0.724911803803501,0.000388196196499465,112.8205,111.857573526192,0.962926473807517,118.708,119.373089699545,-0.665089699545127
"2018-09-25",6.8686,6.82908814003034,0.0395118599696575,94.1457,95.5618496484413,-1.41614964844128,1.3181,1.29952864524272,0.0185713547572801,1.1767,1.15343044297476,0.0232695570252393,0.7248,0.724677624702492,0.000122375297508019,112.962,111.872311521516,1.08968847848388,118.628,119.375454809611,-0.747454809610627
"2018-09-26",6.8748,6.83124275813302,0.0435572418669769,94.3021,95.5832519381179,-1.28115193811789,1.317,1.29921344774019,0.0177865522598115,1.1741,1.15312136481428,0.0209786351857211,0.726,0.724447074406198,0.00155292559380175,112.7425,111.886508606663,0.85599139333748,119.002,119.378258544659,-0.376258544659478
"2018-09-27",6.8878,6.83333374951892,0.0544662504810778,94.989,95.6044609023626,-0.615460902362636,1.3077,1.29890420582164,0.00879579417836357,1.164,1.15281437446632,0.0111856255336772,0.7206,0.724220155521203,-0.00362015552120301,113.385,111.900156854592,1.48484314540783,118.953,119.381511114199,-0.428511114199114
"2018-09-28",6.8786,6.83536098549899,0.0432390145010137,95.1835,95.6254758315158,-0.441975831515762,1.3029,1.29860085543319,0.00429914456680631,1.1603,1.15250948356419,0.00779051643580749,0.722,0.723996871295994,-0.00199687129599444,113.6895,111.913248692097,1.77625130790252,118.904,119.385222572205,-0.481222572205245
"2018-10-01",6.8881,6.83732435989835,0.0507756401016511,95.2837,95.6462957615101,-0.36259576151013,1.3039,1.29830333615681,0.00559666384318525,1.1578,1.15220670836487,0.00559329163512675,0.7225,0.723777223482651,-0.00127722348265053,113.983,111.925777159746,2.05722284025407,118.789,119.389402795527,-0.60040279552701
"2018-10-02",6.8856,6.83922378441562,0.0463762155843841,95.4964,95.6669195455839,-0.170519545583922,1.2979,1.29801158935156,-0.000111589351555863,1.1547,1.15190606834563,0.00279393165436791,0.7188,0.723561213007812,-0.0047612130078118,113.695,111.937736032334,1.75726396766566,118.912,119.394061462093,-0.482061462093487
"2018-10-03",6.8902,6.84105919173789,0.0491408082621074,96.0366,95.687345887093,0.349254112907042,1.2934,1.29772555868989,-0.00432555868989442,1.1476,1.15160758529578,-0.00400758529578207,0.7103,0.723348840270167,-0.0130488402701666,114.5255,111.949119935034,2.5763800649657,118.081,119.399208001652,-1.31820800165193
"2018-10-04",6.8955,6.84283053372225,0.0526694662777471,95.7677,95.7075734189064,0.0601265810936003,1.3021,1.29744518779818,0.00465481220181613,1.1515,1.15131128215954,0.000188717840464761,0.7078,0.723140103700307,-0.0153401037003071,113.944,111.959924219399,1.98407578060095,118.063,119.404851644685,-1.3418516446848
"2018-10-05",6.8949,6.84453778253864,0.0503622174613621,95.6446,95.7276009182622,-0.0830009182622073,1.3115,1.29717041851477,0.0143295814852258,1.1522,1.15101718022453,0.00118281977547485,0.7052,0.722934996334963,-0.0177349963349625,113.711,111.970145301954,1.74085469804607,117.78,119.41100107678,-1.63100107677985
"2018-10-08",6.919,6.84618093212855,0.0728190678714538,95.7705,95.7474271872508,0.0230728127492058,1.3092,1.29690119460212,0.0122988053978792,1.1492,1.15072530085641,-0.00152530085640543,0.7078,0.722733504869894,-0.0149335048698939,113.2295,111.97978041936,1.24971958063951,117.805,119.417664428859,-1.61266442885859
"2018-10-09",6.9162,6.84775999725108,0.0684400027489224,95.692,95.7670509936544,-0.0750509936543846,1.3146,1.29663746574596,0.0179625342540442,1.1493,1.15043566590974,-0.00113566590974243,0.7103,0.722535608669908,-0.0122356086699077,112.956,111.988827527881,0.967172472119339,117.944,119.424849157651,-1.48084915765122
"2018-10-10",6.9274,6.84927502276579,0.0781249772342058,95.5276,95.7864711147922,-0.25887111479217,1.3185,1.29637918671585,0.022120813284153,1.1517,1.15014829660862,0.00155170339138182,0.7052,0.722341280926905,-0.0171412809269053,112.3075,111.99728510036,0.310214899639678,118.333,119.432562053278,-1.09956205327819
"2018-10-11",6.8791,6.8507260818227,0.0283739181773015,95.0282,95.8056862969604,-0.77748629696041,1.3237,1.29612631970635,0.027573680293647,1.1595,1.14986321370767,0.00963678629232744,0.7123,0.72215048977509,-0.00985048977508977,112.1285,112.005152009433,0.123347990566769,118.394,119.440809293735,-1.04680929373516
"2018-10-12",6.9211,6.85211327986545,0.0689867201345545,95.2588,95.8246951794484,-0.565895179448432,1.3153,1.29587883605587,0.0194211639441257,1.1559,1.14958043860296,0.0063195613970431,0.7116,0.721963196263139,-0.0103631962631388,112.2115,112.012427255966,0.199072744033701,118.282,119.449596602504,-1.16759660250444
"2018-10-15",6.9236,6.85343673406639,0.0701632659336128,95.0704,95.8434960801637,-0.77309608016369,1.3151,1.29563671850067,0.0194632814993323,1.158,1.14929999667398,0.00870000332601773,0.7132,0.721779357367933,-0.00857935736793333,111.756,112.019109891812,-0.263109891812262,118.339,119.458929270358,-1.11992927035771
"2018-10-16",6.9127,6.85469659011418,0.0580034098858165,95.0786,95.8620870830958,-0.783487083095856,1.3188,1.29539995780491,0.0234000421950907,1.1574,1.14902191591251,0.00837808408749342,0.7142,0.721598925782627,-0.00739892578262661,112.269,112.025199051114,0.243800948885609,118.274,119.468812105432,-1.19481210543158
"2018-10-17",6.9297,6.85589302270017,0.073806977299829,95.638,95.8804659526675,-0.242465952667508,1.3112,1.29516855277813,0.0160314472218707,1.1499,1.14874622790653,0.00115377209347264,0.7109,0.721421850654013,-0.0105218506540132,112.6715,112.030693759254,0.640806240745774,117.975,119.479249452927,-1.5042494529273
"2018-10-18",6.9383,6.85702623049191,0.0812737695080914,95.9743,95.8986301294391,0.0756698705608721,1.302,1.29494251190249,0.0070574880975065,1.1456,1.1484729677072,-0.00287296770719984,0.71,0.721248078070463,-0.0112480780704633,112.1855,112.035593142392,0.149906857607859,118.208,119.490245164159,-1.28224516415908
"2018-10-19",6.9341,6.85809644266592,0.0760035573340834,95.6698,95.9165769537459,-0.246776953745875,1.3066,1.29472185028691,0.0118781497130914,1.1515,1.14820217084261,0.00329782915739458,0.712,0.721077549771044,-0.00907754977104413,112.546,112.039896591572,0.506103408428238,118.097,119.501802468644,-1.40480246864431
"2018-10-22",6.9383,6.85910392199391,0.0791960780060903,96.0277,95.9343037972012,0.0933962027988382,1.2965,1.29450658595758,0.00199341404241673,1.1464,1.14793387165326,-0.00153387165325789,0.7081,0.720910202845312,-0.0128102028453125,112.8,112.043603559803,0.756396440196927,118.091,119.513924065873,-1.42292406587336
"2018-10-23",6.9384,6.86004896266441,0.0783510373355924,95.9399,95.951807929411,-0.0119079294110196,1.2985,1.29429674185066,0.00420325814934138,1.1472,1.14766810584286,-0.000468105842856258,0.7087,0.720745970630548,-0.0120459706305476,112.425,112.046713709296,0.378286290703847,118.355,119.526612074646,-1.17161207464588
"2018-10-24",6.9441,6.86093189160242,0.0831681083975747,96.4268,95.9690866585881,0.45771334141192,1.288,1.29409234172628,-0.0060923417262763,1.1392,1.14740490848106,-0.00820490848105969,0.7062,0.720584781168784,-0.0143847811687843,112.2245,112.049227014928,0.175272985071882,118.884,119.539868025585,-0.65586802558473
"2018-10-25",6.9559,6.86175306812014,0.0941469318798551,96.5989,95.9861372880221,0.61276271197791,1.2817,1.29389341108204,-0.0121934110820361,1.1373,1.14714431444404,-0.00984431444403818,0.7079,0.720426557522748,-0.0125265575227481,112.4355,112.051143607944,0.38435639205576,118.773,119.553692965011,-0.780692965010925
"2018-10-26",6.9523,6.86251288590821,0.089787114091786,96.4071,96.0029573102037,0.404142689796331,1.283,1.29369997289722,-0.0106999728972161,1.1402,1.14688635521637,-0.00668635521636775,0.7092,0.72027121680908,-0.0110712168090799,111.8935,112.052463692037,-0.158963692037044,119.131,119.568087668141,-0.437087668141149
"2018-10-29",6.975,6.8632117775736,0.1117882224264,96.6896,96.0195444709141,0.670055529085947,1.2795,1.29351204511082,-0.0140120451108205,1.1375,1.1466310582134,-0.00913105821340175,0.7057,0.72011867096643,-0.0144186709664304,112.3535,112.053187629781,0.300312370219021,119.047,119.583052587481,-0.536052587481484
"2018-10-30",6.9715,6.86385021283795,0.107649787162048,96.9939,96.0358966829919,0.958003317008115,1.271,1.29332964123891,-0.022329641238913,1.1346,1.1463784480866,-0.0117784480866047,0.7106,0.719968827357062,-0.00936882735706229,113.019,112.053315718039,0.965684281960871,118.763,119.598587994864,-0.835587994864111
"2018-10-31",6.9748,6.86442870763142,0.11037129236858,97.131,96.0520121362497,1.07898786375032,1.2769,1.29315276900556,-0.0162527690055553,1.1316,1.14612854571303,-0.0145285457130337,0.7072,0.719821587383142,-0.012621587383142,112.9605,112.052848377811,0.907651622188904,118.621,119.614693940539,-0.99369394053893
"2018-11-01",6.9171,6.86494782238233,0.0521521776176676,96.2908,96.0678894164991,0.222910583500891,1.2999,1.29298142690462,0.00691857309537925,1.1409,1.14588136710101,-0.00498136710101256,0.7205,0.719676848574145,0.000823151425855245,112.698,112.051786429273,0.646213570727126,118.744,119.631370129359,-0.88737012935879
"2018-11-02",6.9005,6.86540816314215,0.0350918368578541,96.5132,96.0835275555625,0.429672444437458,1.297,1.29281560671175,0.00418439328824917,1.1389,1.14563692225334,-0.00673692225334338,0.7197,0.719534503242275,0.000165496757724843,113.21,112.050131067787,1.15986893221348,118.163,119.648615855422,-1.48561585542178
"2018-11-05",6.9133,6.86581035751985,0.0474896424801525,96.341,96.0989256774047,0.242074322595255,1.3045,1.29265530306243,0.0118446969375672,1.1413,1.14539521911374,-0.00409521911373802,0.7214,0.719394444040007,0.00200555595999347,113.1915,112.047883755832,1.14361624416819,118.204,119.666430046023,-1.46243004602275
"2018-11-06",6.9219,6.86615504762988,0.0557449523701163,96.2822,96.1140830835992,0.168116916400828,1.3096,1.29250051232182,0.0170994876781782,1.1417,1.14515626284113,-0.00345626284113169,0.7225,0.719256563688213,0.00324343631178749,113.452,112.045046435333,1.40695356466657,118.062,119.684811014364,-1.62281101436355
"2018-11-07",6.9152,6.86644289521731,0.0487571047826912,96.1239,96.1289991757839,-0.0050991757839243,1.3135,1.2923512357512,0.0211487642488026,1.144,1.14492005690166,-0.000920056901664533,0.7279,0.719120755736793,0.00877924426320682,113.5015,112.041621520941,1.45987847905879,118.013,119.703756469136,-1.69075646913597
"2018-11-08",6.9361,6.86667458506971,0.0694254149302877,96.6757,96.1436734250899,0.532026574910089,1.306,1.29220748168008,0.0137925183199168,1.1361,1.14468660333279,-0.00858660333278836,0.7254,0.71898691507635,0.00641308492364977,113.98,112.03761200888,1.94238799111969,117.823,119.723263448226,-1.90026344822594
"2018-11-09",6.9458,6.86685082212876,0.0789491778712446,96.8932,96.1581053005395,0.735094699460455,1.2961,1.29206926718005,0.00403073281994835,1.1333,1.14445590379164,-0.0111559037916435,0.7226,0.718854940226474,0.00374505977352557,113.8265,112.033021498833,1.79347850116719,118.212,119.743328290632,-1.53132829063154
"2018-11-12",6.9659,6.86697234003417,0.0989276599658276,97.5727,96.1722944910736,1.40040550892635,1.2852,1.29193661502392,-0.00673661502392339,1.1238,1.14422795638602,-0.0204279563860219,0.7183,0.718724732357662,-0.00042473235766157,113.731,112.027854393386,1.70314560661396,118.503,119.763946549855,-1.26094654985505
"2018-11-13",6.9477,6.86703990505971,0.0806600949402879,97.1874,96.1862409894928,1.00115901050722,1.2959,1.29180954965069,0.00409045034930785,1.1286,1.1440027546123,-0.0154027546123007,0.7212,0.718596194188467,0.00260380581153289,113.783,112.02211583648,1.76088416352024,118.595,119.785113146412,-1.19011314641168
"2018-11-14",6.9419,6.86705432437203,0.0748456756279728,96.9066,96.1999453674674,0.706654632532542,1.302,1.29168809271469,0.0103119072853106,1.1327,1.14378028352277,-0.0110802835227714,0.7242,0.718469228261878,0.0057307717381216,113.496,112.015811676064,1.48018832393632,118.828,119.80682247959,-0.978822479589935
"2018-11-15",6.9269,6.86701643847935,0.0598835615206506,97.0555,96.2134086105074,0.842091389492591,1.2776,1.29157226756109,-0.0139722675610855,1.1334,1.14356052180284,-0.0101605218028386,0.728,0.718343738197198,0.00965626180280249,113.5555,112.008948487969,1.54655151203069,118.92,119.829068456735,-0.90906845673539
"2018-11-16",6.9175,6.86692711882825,0.0505728811717514,96.4508,96.2266319962253,0.224168003774708,1.2825,1.29146210179755,-0.00896210179755286,1.1415,1.14334344355777,-0.00184344355777472,0.7334,0.718219629982587,0.0151803700174126,112.7905,112.001533459875,0.788966540124965,119.246,119.851844580586,-0.605844580585947
"2018-11-19",6.9313,6.8667872616186,0.0645127383814015,96.2138,96.2396171503208,-0.0258171503207727,1.2852,1.29135761725622,-0.00615761725621658,1.1451,1.14312901869288,0.00197098130711756,0.7291,0.71809681359773,0.0110031864022697,112.5245,111.993574418743,0.530925581256539,119.396,119.875143978109,-0.479143978108801
"2018-11-20",6.9422,6.866597783955,0.0756022160450029,96.8069,96.2523657911552,0.554534208844771,1.2788,1.29125883206463,-0.0124588320646284,1.1372,1.14291721635148,-0.00571721635148302,0.722,0.717975205297256,0.00402479470274412,112.643,111.985079517665,0.657920482335261,119.332,119.898959525838,-0.566959525837746
"2018-11-21",6.9252,6.86635962960922,0.0588403703907847,96.7473,96.2648796264179,0.482420373582126,1.2775,1.29116576180502,-0.0136657618050245,1.1385,1.1427080064916,-0.00420800649160226,0.7262,0.717854725884077,0.0083452741159234,113.078,111.97605712919,1.10194287081016,119.283,119.92328390225,-0.640283902249543
"2018-11-22",6.9257,6.86607377360385,0.0596262263961498,96.4797,96.2771605930204,0.202539406979613,1.2878,1.29107841690966,-0.00327841690965704,1.1405,1.14250135670801,-0.00200135670800598,0.7254,0.717735297824787,0.00766470217521333,112.9565,111.96651589783,0.989984102170188,119.25,119.948109551461,-0.698109551461291
"2018-11-23",6.9438,6.86574121528367,0.0780587847163288,96.9727,96.2892108272873,0.683489172712693,1.2816,1.29099680216191,-0.00939680216190537,1.1331,1.14229723285604,-0.00919723285604048,0.7235,0.717616847035585,0.0058831529644153,112.888,111.956464923593,0.931535076407161,119.373,119.973428652923,-0.600428652922997
"2018-11-26",6.9399,6.86536297864068,0.0745370213593151,97.0506,96.3010325492654,0.749567450734627,1.2814,1.29092092098998,-0.00952092098998316,1.1334,1.14209559996377,-0.00869559996376776,0.7231,0.717499302600947,0.00560069739905311,113.596,111.945913715708,1.65008628429182,119.211,119.999233097515,-0.788233097514576
"2018-11-27",6.955,6.86494011993311,0.0900598800668872,97.3659,96.3126282615279,1.05327173847212,1.2733,1.29085077293783,-0.0175507729378306,1.1297,1.14189641925749,-0.0121964192574872,0.7227,0.717382596037207,0.00531740396279328,113.763,111.934872168465,1.82812783153548,119.271,120.025514527922,-0.754514527921819
"2018-11-28",6.9387,6.86447372622994,0.0742262737700639,96.8415,96.3240007764898,0.517499223510155,1.283,1.29078635361384,-0.00778635361383822,1.1371,1.14169964836909,-0.00459964836908792,0.7312,0.717266661175805,0.0139333388241951,113.62,111.923350858229,1.69664914177143,119.301,120.052264261008,-0.75126426100775
"2018-11-29",6.934,6.86396492182719,0.0700350781728145,96.7942,96.3351533419455,0.459046658054529,1.2783,1.29072765137161,-0.0124276513716112,1.1393,1.14150523988894,-0.0022052398889437,0.7319,0.71715143404618,0.0147485659538198,113.3725,111.911361117042,1.46113888295761,119.528,120.079473301749,-0.551473301749137
"2018-11-30",6.9502,6.86341486170296,0.0867851382970439,97.1931,96.3460894196026,0.847010580397443,1.2745,1.29067465134619,-0.0161746513461852,1.1316,1.14131314450612,-0.00971314450612039,0.7307,0.717036856437254,0.013663143562746,113.53,111.898914978275,1.63108502172514,119.667,120.10713234458,-0.440132344579593
"2018-12-03",6.8769,6.86282472978516,0.0140752702148426,97.011,96.3568126609211,0.654187339078857,1.2724,1.29062733353551,-0.0182273335355054,1.1355,1.14112331199813,-0.00562331199812731,0.7359,0.716922876234412,0.0189771237655876,113.636,111.886025079269,1.74997492073067,119.788,120.135231855976,-0.347231855976418
"2018-12-04",6.8486,6.86219574587523,-0.0135957458752284,96.9932,96.3673270674804,0.625872932519638,1.2717,1.29058567125156,-0.0188856712515602,1.1342,1.14093568812746,-0.00673568812745527,0.7337,0.716809446970836,0.0168905530291645,112.781,111.872704731596,0.90829526840433,120.21,120.163762120484,0.0462378795158619
"2018-12-05",6.8598,6.8615291355926,-0.00172913559259719,97.0529,96.3776369112748,0.675263088725147,1.2729,1.2905496302719,-0.0176496302718986,1.1343,1.14075021633214,-0.00645021633214184,0.7267,0.716696530024082,0.0100034699759179,113.2245,111.858967970192,1.36553202980782,120.2325,120.192713279115,0.0397867208849122
"2018-12-06",6.8802,6.86082611893683,0.0193738810631737,96.7453,96.3877467230094,0.357553276990601,1.278,1.2905191685675,-0.0125191685674957,1.1377,1.14056683726596,-0.00286683726595848,0.7235,0.716584093753588,0.00691590624641191,112.754,111.84482920545,0.909170794549538,120.489,120.222075491995,0.266924508005114
"2018-12-07",6.8846,6.86008791519273,0.0245120848072718,96.6029,96.3976613125157,0.205238687484268,1.274,1.29049423681368,-0.0164942368136789,1.1407,1.14038548891642,0.000314511083581329,0.7207,0.716472110653821,0.00422788934617894,112.6565,111.830303412218,0.826196587782206,120.8,120.251838935695,0.548161064304817
"2018-12-10",6.9136,6.85931575165358,0.0542842483464192,97.2082,96.4073856374235,0.800814362576481,1.2562,1.29047478051084,-0.0342747805108384,1.1356,1.140206108086,-0.00460610808599942,0.7187,0.716360556078005,0.00233944392199474,113.262,111.815405941157,1.4465940588428,120.859,120.281993897124,0.577006102876456
"2018-12-11",6.9031,6.85851086574481,0.0445891342551923,97.4148,96.4169247402003,0.997875259799743,1.2491,1.29046073834133,-0.0413607383413323,1.1322,1.14002863170719,-0.00782863170718769,0.72,0.716249407127005,0.00375059287299447,113.4015,111.800152484446,1.60134751555432,120.591,120.312530889775,0.2784691102254
