"","IF00C1_hpft","SPX_hpft","CN_10yry_hpft","US_10yry_hpft","UK_10yry_hpft","T00C1_hpft","USDX_hpft","USDCNH_hpft"
"2012-09-21",2348.97885854541,1407.91966345375,3.47975142574632,1.66703569574401,1.70819059620306,NA,80.8743040168777,6.30557557661511
"2012-09-24",2348.59730858509,1408.57464535589,3.48502784800013,1.66953898333843,1.71163619605145,NA,80.8596467279818,6.30448170761196
"2012-09-25",2348.27150205474,1409.23035564553,3.48679458726496,1.67038688084738,1.71285507217162,NA,80.8451498415915,6.3033792887611
"2012-09-26",2348.00163078118,1409.8869630559,3.48856435737036,1.67124132086588,1.71410837644188,NA,80.8308260895457,6.30226883609874
"2012-09-27",2347.78783299038,1410.5446496964,3.49033660993936,1.67210223425952,1.71539570370596,NA,80.8166877179238,6.30115086922456
"2012-09-28",2347.63018581315,1411.20360736271,3.4921107988418,1.67296956378152,1.71671667253098,NA,80.8027465673706,6.30002590907387
"2012-10-08",2347.52872893486,1415.19654832544,3.50983715627391,1.68197551146964,1.73169212119647,NA,80.7238475398745,6.29315879170907
"2012-10-09",2347.48348880063,1415.87096442586,3.51159603393249,1.68290669345629,1.73335645217572,NA,80.7115811764353,6.29199967018637
"2012-10-10",2347.49446253678,1416.54871845106,3.51335024095678,1.68384300119434,1.73504906418828,NA,80.6995906351676,6.29083780339791
"2012-10-11",2347.56163747964,1417.23013858977,3.51509925882423,1.68478439325774,1.73676939934313,NA,80.6878837607053,6.28967372799392
"2012-10-12",2347.68499017933,1417.91555964919,3.51684257362117,1.68573085143346,1.73851688557828,NA,80.6764681250329,6.28850798007164
"2012-10-15",2347.86448579295,1418.60532288898,3.52203322545619,1.68860061103599,1.74391623527399,NA,80.665350928986,6.28734109214296
"2012-10-16",2348.10007274292,1419.29977398119,3.52374865585504,1.6895673389556,1.74576626093962,NA,80.6545389656348,6.28617359051606
"2012-10-17",2348.39168065834,1419.99926749532,3.52545583786868,1.69053915045513,1.74764035825943,NA,80.6440386455466,6.28500599309093
"2012-10-18",2348.73921878959,1420.70417272482,3.52715425298958,1.69151605914836,1.74953787050814,NA,80.6338557821738,6.28383880798184
"2012-10-19",2349.14258026955,1421.41487587399,3.52884338231513,1.69249810322784,1.75145812480899,NA,80.6239955300572,6.28267252986642
"2012-10-22",2349.6016515597,1422.13177829093,3.53384991211232,1.69547631899554,1.75734858417725,NA,80.6144625254442,6.28150764191482
"2012-10-23",2350.11631277971,1422.85528619108,3.53549677955813,1.69648043909578,1.75935323942187,NA,80.6052609937065,6.28034461668522
"2012-10-24",2350.68644462703,1423.58581062131,3.53713183133959,1.6974907084914,1.76137757148339,NA,80.5963947243398,6.27918391350513
"2012-10-25",2351.31191716913,1424.32375860024,3.53875458395472,1.69850748203569,1.76342110485236,NA,80.5878672235819,6.27802598081224
"2012-10-26",2351.99258861575,1425.06953101389,3.54036456459437,1.6995311528215,1.7654834115925,NA,80.5796817222099,6.27687125312068
"2012-10-29",2352.72829902505,NA,3.54354438047385,1.70160099263242,1.7696628474923,NA,80.5718412534703,6.27572014839943
"2012-10-30",2353.51884712232,NA,3.54511333602648,1.7026481972483,1.77177927943804,NA,80.5643486109919,6.27457307061649
"2012-10-31",2354.36398668901,1425.82352405514,3.54666776302091,1.70370432809572,1.77391312551253,NA,80.557206455368,6.27343041207474
"2012-11-01",2355.26342681452,1426.58612848962,3.54820726295434,1.70476995896781,1.77606413254358,NA,80.5504171891104,6.27229255194339
"2012-11-02",2356.21683559786,1427.35772943504,3.54973145639316,1.70584567452728,1.77823206229656,NA,80.5439829596028,6.27115985639956
"2012-11-05",2357.22386085726,1428.13871242406,3.55420871923824,1.70913932972097,1.78483506540073,NA,80.5379056991103,6.27003267909865
"2012-11-06",2358.28413014916,1428.92945755044,3.5556683234636,1.71026146974451,1.78706845254513,NA,80.5321873465176,6.26891136184922
"2012-11-07",2359.39725026972,1429.73034041115,3.55711105987187,1.71139681071393,1.7893177496569,NA,80.5268299242473,6.2677962346656
"2012-11-08",2360.56280011973,1430.54173638013,3.55853669342086,1.71254600550531,1.79158281413873,NA,80.5218354868872,6.26668761623132
"2012-11-09",2361.78033074074,1431.36400628098,3.55994501159201,1.71370973535248,1.79386351276922,NA,80.5172061895404,6.26558581229333
"2012-11-12",2363.04934540535,1432.19748901604,3.56406413086793,1.71729461473536,1.80079808491786,NA,80.512944302294,6.26340380465881
"2012-11-13",2364.36929894825,1433.04250219387,3.56540131084484,1.71852275420962,1.80313992015495,NA,80.5090523072023,6.26232414936177
"2012-11-14",2365.73959906104,1433.8993418591,3.56672030249213,1.71976834230963,1.80549658318584,NA,80.5055329124505,6.26125240026826
"2012-11-15",2367.15959144383,1434.7682798696,3.56802096869127,1.7210318192618,1.80786782078448,NA,80.5023890704976,6.26018879058368
"2012-11-16",2368.62856047916,1435.64955567201,3.56930317983859,1.72231357165155,1.81025333789418,NA,80.4996239877991,6.25913353232777
"2012-11-19",2370.14571847638,1436.54337504964,3.57303777999286,1.7262715109963,1.81749195499055,NA,80.4972410930361,6.25704886358066
"2012-11-20",2371.71019539169,1437.44991246573,3.57424483213775,1.72762910252861,1.81993078684877,NA,80.4952441085325,6.25601983350645
"2012-11-21",2373.32104101198,1438.36932185886,3.57543271371931,1.72900605446212,1.82238180705579,NA,80.4936368982934,6.25499991229896
"2012-11-22",2374.97722629218,NA,3.57660124731423,1.73040242443335,1.82484448399084,NA,80.4924234895015,6.253989268543
"2012-11-23",2376.67764740174,1439.30173664833,3.57775024585434,1.73181824155452,1.82731825509385,NA,80.491608089713,6.25298806048935
"2012-11-26",2378.42112305591,1440.24727068536,3.58107811557646,1.73618242531001,1.83480026210013,NA,80.4911949922887,6.25101453573849
"2012-11-27",2380.20639662364,1441.20602535765,3.58214706230374,1.73767600273506,1.83731254284761,NA,80.4911883741836,6.25004248786138
"2012-11-28",2382.03212953731,1442.1780880163,3.58319552436015,1.73918892155745,1.83983297913717,NA,80.4915922878522,6.24908041199313
"2012-11-29",2383.89689137808,1443.16352854136,3.5842233171804,1.74072108727794,1.84236097269106,NA,80.4924107397866,6.24812841714065
"2012-11-30",2385.79915242488,1444.16240348284,3.58523026062401,1.74227237266375,1.84489591766723,NA,80.4936476696819,6.24718660153031
"2012-12-03",2387.73727618704,1445.17475814169,3.58812417966146,1.74703900478326,1.85253624388299,NA,80.4953068922324,6.24625504824771
"2012-12-04",2389.70952390898,1446.20062625217,3.5890458744758,1.74866457286196,1.8550926422364,NA,80.4973920800796,6.2453338266605
"2012-12-05",2391.71404508857,1447.24002678541,3.58994575989176,1.75030790982919,1.85765264533936,NA,80.4999066639232,6.24442299259667
"2012-12-06",2393.74888244896,1448.29296252929,3.59082362442758,1.75196859580531,1.86021547173781,NA,80.5028537365855,6.24352258603855
"2012-12-07",2395.81200599746,1449.35942058052,3.59167925583864,1.75364615704662,1.86278030938107,NA,80.506236109844,6.24263263149929
"2012-12-10",2397.9013074722,1450.43937383568,3.59411064678945,1.75877440849217,1.87047835478793,NA,80.5100564868218,6.24088411278051
"2012-12-11",2400.01462032257,1451.53278225756,3.59487525432352,1.76051350789771,1.87304249517414,NA,80.5143175432628,6.24002553295159
"2012-12-12",2402.14972446738,1452.63959262717,3.59561660231617,1.76226624028798,1.87560404201593,NA,80.5190218722165,6.23917737559892
"2012-12-13",2404.30434252774,1453.75974193186,3.59633449719663,1.7640318064843,1.87816192503307,NA,80.5241718789352,6.23833960987935
"2012-12-14",2406.47614183797,1454.89315717239,3.5970287489716,1.76580935263443,1.88071502766114,NA,80.5297696962579,6.23751219888271
"2012-12-17",2408.66272702394,1456.03975116727,3.59896780947647,1.7712050879262,1.88833391074751,NA,80.5358172072832,6.2358882581287
"2012-12-18",2410.86168936982,1457.19941965777,3.5995656773429,1.7730216981713,1.89085602854867,NA,80.5423158983792,6.23509162007728
"2012-12-19",2413.07060541827,1458.3720477702,3.60013902283351,1.77484579746995,1.89336734518623,NA,80.5492668566857,6.23430512165872
"2012-12-20",2415.28703316793,1459.55751632807,3.6006876877784,1.77667646952658,1.89586662376757,NA,80.5566706723514,6.23352869007212
"2012-12-21",2417.50851264843,1460.75569682861,3.60121151973724,1.7785128167106,1.89835262343155,NA,80.5645274315304,6.23276224176713
"2012-12-24",2419.73257376746,1461.96645421005,3.60263263717122,1.78404724225707,1.90571864926928,NA,80.5728366761183,6.23125891901939
"2012-12-25",2421.95673010145,NA,3.60305579004752,1.78589763836513,1.90813937141414,NA,80.5815975410442,6.23052184511501
"2012-12-26",2424.17848326731,1463.18964075951,3.60345347020786,1.7877493866781,1.91054084554005,NA,80.5908087839103,6.22979435619041
"2012-12-27",2426.39534771396,1464.42509416978,3.60382556659669,1.78960162359018,1.91292191645557,NA,80.6004687730994,6.22907634398566
"2012-12-28",2428.60485344155,1465.67263421056,3.60417196933501,1.79145347953653,1.9152814319148,NA,80.6105754756998,6.22836769763901
"2012-12-31",2430.80454706922,1466.9320615026,3.60505597529151,1.79699781855063,1.92221908222937,NA,80.621126461782,6.22766830398365
"2013-01-04",2432.99200431463,1470.77934191909,3.60586879576155,1.80432894703212,1.93109527310355,NA,80.6677116443066,6.22496092814709
"2013-01-07",2435.16484520573,1472.08395060428,3.60620083342338,1.80974804162156,1.93742621849065,NA,80.6804350580561,6.22430601960087
"2013-01-08",2437.32073119239,1473.39923425446,3.60625826694501,1.81153464216901,1.93946724888659,NA,80.6935813938145,6.22365961899612
"2013-01-09",2439.45736424837,1474.72493794029,3.60628900366591,1.81331007845975,1.94147157501159,NA,80.7071464314194,6.22302158352722
"2013-01-10",2441.57248515323,1476.06080001564,3.60629301648133,1.81507364975748,1.94343807896383,NA,80.7211257880155,6.22239176296475
"2013-01-11",2443.66387021182,1477.40655316931,3.60627028585561,1.81682468702654,1.94536571630719,NA,80.7355149992571,6.22176999818314
"2013-01-14",2445.72933550557,1478.76192846112,3.60604152633667,1.82199635627275,1.95090587424653,NA,80.7503092035065,6.22115611460056
"2013-01-15",2447.76671982428,1480.12665473674,3.60591176909071,1.82369118394356,1.95266872515862,NA,80.7655030490826,6.22054992222927
"2013-01-16",2449.77392018808,1481.50045750107,3.60575530004888,1.82537059498799,1.95438831837407,NA,80.7810906509417,6.21995121605338
"2013-01-17",2451.74889505598,1482.88305904033,3.6055721595374,1.82703409958862,1.95606394892203,NA,80.7970656877378,6.21935977925558
"2013-01-18",2453.6896525838,1484.27417797403,3.60536239964037,1.82868122224245,1.95769496066805,NA,80.8134214284475,6.2187753811912
"2013-01-21",2455.59424608717,NA,3.60457410664571,1.83351971488136,1.96231430181734,NA,80.8301506761642,6.2176267068774
"2013-01-22",2457.46078630193,1485.67353211853,3.60425860127263,1.83509682431645,1.96376102900644,NA,80.8472459184137,6.2170618987913
"2013-01-23",2459.28744704478,1487.08083999528,3.60391686385418,1.83665539411503,1.9651604109137,NA,80.8646993202385,6.21650307058036
"2013-01-24",2461.07246212727,1488.49582297231,3.60354898191734,1.83819503493164,1.96651201282686,NA,80.8825026427279,6.21594993177781
"2013-01-25",2462.81412997418,1489.91820561264,3.60315504281676,1.83971536707047,1.96781544324594,NA,80.9006472564692,6.21540218364846
"2013-01-28",2464.51080255178,1491.34771509339,3.60181772530635,1.84415692857111,1.97143343721937,NA,80.919124146591,6.21432164909075
"2013-01-29",2466.1608855573,1492.78408398263,3.60132042486315,1.84559665070057,1.97254106936618,NA,80.9379238267248,6.21378826785246
"2013-01-30",2467.76286318058,1494.22704849936,3.60079753559622,1.84701563013743,1.97359915245509,NA,80.9570363479002,6.21325909142102
"2013-01-31",2469.31530428353,1495.67635108613,3.60024918621007,1.84841375521798,1.97460754879655,NA,80.9764511874358,6.21273383477586
"2013-02-01",2470.81687331243,1497.13173738191,3.59967552120043,1.84979098991702,1.97556618296698,NA,80.9961571211634,6.21221221237596
"2013-02-04",2472.26632998653,1498.59295403168,3.59780430991553,1.85379810157083,1.97814373254159,NA,81.0161421988679,6.21066628892086
"2013-02-05",2473.66254794005,1500.05975430997,3.59713113794304,1.8550928934335,1.97890386561543,NA,81.0363937196088,6.21015633921594
"2013-02-06",2475.00451536313,1501.53189029966,3.59643360529065,1.85636771565948,1.97961484003915,NA,81.0568983846676,6.20964859269316
"2013-02-07",2476.29134434541,1503.00911872571,3.59571194892696,1.85762295355035,1.9802769718697,NA,81.0776422726443,6.20914276672924
"2013-02-08",2477.52227536417,1504.4912006898,3.59496642333313,1.85885906831383,1.9808906413527,NA,81.0986109260524,6.20863858194639
"2013-02-18",2478.69667435489,NA,3.58626650481545,1.87030981770824,1.98449572092993,NA,81.2282874051396,6.20413131280984
"2013-02-19",2479.81402616751,1513.47274455163,3.58528010170813,1.8713820722128,1.9846217365671,NA,81.2503936011791,6.20362933288065
"2013-02-20",2480.87392597912,1514.98246544385,3.58427422410895,1.87244517936546,1.98470966313774,NA,81.2725956748337,6.20312627387382
"2013-02-21",2481.87606378574,1516.49528677442,3.58324935186968,1.87350036067671,1.98476099259194,NA,81.2948760356281,6.20262193515287
"2013-02-22",2482.82022446011,1518.01100575348,3.58220598415661,1.87454890278388,1.98477733301613,NA,81.3172170052078,6.20211613091002
"2013-02-25",2483.70624798587,1519.52941377303,3.57897014034628,1.87766839264044,1.98463422866004,NA,81.3396009404055,6.20109944694488
"2013-02-26",2484.5340199731,1521.05030122844,3.57785806788301,1.8787042681121,1.98452897319076,NA,81.3620102405403,6.20058826212295
"2013-02-27",2485.30347616986,1522.57344542011,3.57673018917211,1.8797405996012,1.98439841423208,NA,81.3844274704401,6.20007500138009
"2013-02-28",2486.01458542052,1524.09861368217,3.57558707799382,1.88077885494316,1.98424476171919,NA,81.4068353883809,6.19955954304774
"2013-03-01",2486.66735885436,1525.62557062747,3.57442933494293,1.88182050208062,1.9840703094312,NA,81.4292168210797,6.19904177617372
"2013-03-04",2487.26188712513,1527.15407697554,3.57087469610393,1.884980598553,1.98344610406427,NA,81.4515548156424,6.19799891772564
"2013-03-05",2487.79833526379,1528.6838903765,3.56966494640868,1.88605059788518,1.98321255487201,NA,81.4738327708546,6.19747364966539
"2013-03-06",2488.27689340768,1530.21476767272,3.56844396744619,1.88713135520963,1.98297036535035,NA,81.4960343907451,6.1969457203155
"2013-03-07",2488.69780468765,1531.7464702974,3.56721252458221,1.88822433002923,1.98272199079742,NA,81.5181436216408,6.19641506646867
"2013-03-08",2489.06137825763,1533.27876433207,3.5659714013108,1.88933098716624,1.98246988608271,NA,81.5401448290013,6.19588163300058
"2013-03-11",2489.36797572786,1534.81142103084,3.56219808163968,1.89274820912867,1.98171591086962,NA,81.5620226188021,6.19480622615526
"2013-03-12",2489.61800936111,1536.34421904748,3.56092647924595,1.89392505483367,1.98147375267426,NA,81.5837620888571,6.19426416132121
"2013-03-13",2489.81193409219,1537.87694588518,3.5596494284941,1.89512364175509,1.98124048535611,NA,81.605348757771,6.19371913377677
"2013-03-14",2489.95023097261,1539.40939571706,3.558367843172,1.89634579174539,1.98101877359408,NA,81.6267685559532,6.19317110794438
