"","SPX_hpft","IH00C1_hpft","US_10yry_hpft","CN_10yry_hpft","UK_10yry_hpft","T00C1_hpft","USDX_hpft","USDCNH_hpft"
"2010-04-19",1123.56803459582,NA,3.51469713902129,NA,3.88552374649289,NA,82.59171808568,NA
"2010-04-20",1123.30311806841,NA,3.50768906063907,NA,3.8799049555468,NA,82.6350024877671,NA
"2010-04-21",1123.02982164978,NA,3.50061041664376,NA,3.87422957123178,NA,82.6775370767782,NA
"2010-04-22",1122.74842940454,NA,3.49346216101513,NA,3.86849823350249,NA,82.7192992906631,NA
"2010-04-23",1122.45925966902,NA,3.48624537975559,NA,3.8627116737365,NA,82.7602659607498,NA
"2010-04-26",1122.16266629606,NA,3.47896127317749,NA,3.85687072053426,NA,82.800413608638,NA
"2010-04-27",1121.8590423336,NA,3.4716111712865,NA,3.85097631248659,NA,82.8397181729783,NA
"2010-04-28",1121.5488179854,NA,3.46419655332731,NA,3.84502949951406,NA,82.8781549515442,NA
"2010-04-29",1121.2324490219,NA,3.45671904668804,NA,3.83903142943079,NA,82.9156990107439,NA
"2010-04-30",1120.91042007068,NA,3.4491803803621,NA,3.83298337429452,NA,82.9523251862659,NA
"2010-05-04",1120.25148935373,NA,3.43392718069859,NA,3.82074293301128,NA,83.0227211766496,NA
"2010-05-05",1119.91571571014,NA,3.42621674879139,NA,3.8145535929986,NA,83.0564387184241,NA
"2010-05-06",1119.57653318463,NA,3.41845334982903,NA,3.80832036025952,NA,83.0891344502171,NA
"2010-05-07",1119.2345637794,NA,3.41063928835637,NA,3.80204496039088,NA,83.1207827302103,NA
"2010-05-10",1118.89043304058,NA,3.40277693569532,NA,3.79572916779908,NA,83.151358607249,NA
"2010-05-11",1118.54476306085,NA,3.39486866290355,NA,3.78937479308221,NA,83.1808376382901,NA
"2010-05-12",1118.19819281433,NA,3.38691686055864,NA,3.78298367390137,NA,83.209195904697,NA
"2010-05-13",1117.85137667082,NA,3.37892399163055,NA,3.77655767310156,NA,83.2364101116592,NA
"2010-05-14",1117.50499110322,NA,3.37089259063492,NA,3.77009869590407,NA,83.2624576012719,NA
"2010-05-17",1117.15972894877,NA,3.36282526693673,NA,3.76360872769805,NA,83.2873165810336,NA
"2010-05-18",1116.81629055754,NA,3.35472470393684,NA,3.7570898222016,NA,83.3109665016451,NA
"2010-05-19",1116.47538445595,NA,3.34659361693718,NA,3.75054409033823,NA,83.3333880219255,NA
"2010-05-20",1116.13772081714,NA,3.33843476888971,NA,3.74397370202206,NA,83.3545634661331,NA
"2010-05-21",1115.80400922505,NA,3.33025093655524,NA,3.73738085715891,NA,83.3744763972053,NA
"2010-05-24",1115.47494084937,NA,3.32204490560886,NA,3.73076778364995,NA,83.3931114095922,NA
"2010-05-25",1115.15119523861,NA,3.31381942855306,NA,3.72413674247302,NA,83.4104539432823,NA
"2010-05-26",1114.83343465253,NA,3.305577207442,NA,3.71748999424727,NA,83.4264907142594,NA
"2010-05-27",1114.52230435301,NA,3.2973209096821,NA,3.7108297607208,NA,83.4412097610708,NA
"2010-05-28",1114.21843022226,NA,3.28905315077131,NA,3.70415822024312,NA,83.4546006862131,NA
"2010-05-31",NA,NA,3.28077651011261,NA,3.69747751080752,NA,83.4666542573599,NA
"2010-06-01",1113.92243340438,NA,3.27249358816836,NA,3.69078970164148,NA,83.4773626167713,NA
"2010-06-02",1113.63492478867,NA,3.26420699748074,NA,3.68409683494802,NA,83.4867192349733,NA
"2010-06-03",1113.35649740218,NA,3.25591936196197,NA,3.67740095272779,NA,83.4947189228662,NA
"2010-06-04",1113.08773796617,NA,3.24763331618605,NA,3.67070409297311,NA,83.5013578195958,NA
"2010-06-07",1112.82922885067,NA,3.23935153361614,NA,3.66400829218783,NA,83.5066335587154,NA
"2010-06-08",1112.58153249857,NA,3.23107674656408,NA,3.65731558790751,NA,83.5105457284105,NA
"2010-06-09",1112.34518557595,NA,3.22281167107531,NA,3.65062800985179,NA,83.5130959602581,NA
"2010-06-10",1112.12070384051,NA,3.21455899794868,NA,3.64394759967993,NA,83.5142878201311,NA
"2010-06-11",1111.90857963104,NA,3.20632140028636,NA,3.63727638473742,NA,83.5141266872721,NA
"2010-06-17",1111.19317690489,NA,3.17357572371873,NA,3.61072332420661,NA,83.500110839642,NA
"2010-06-18",1111.04993589189,NA,3.165454293677,NA,3.60412789550883,NA,83.4933150241034,NA
"2010-06-21",1110.92187455083,NA,3.15736453239972,NA,3.59755355964464,NA,83.4852265553307,NA
"2010-06-22",1110.80946480209,NA,3.14930932808488,NA,3.59100232490398,NA,83.4758590508952,NA
"2010-06-23",1110.71317950772,NA,3.14129160308875,NA,3.5844762216281,NA,83.4652271389388,NA
"2010-06-24",1110.6334851229,NA,3.13331432552265,NA,3.57797728718444,NA,83.4533465364517,NA
"2010-06-25",1110.57084038407,NA,3.12538047949841,NA,3.57150758953889,NA,83.4402339337927,NA
"2010-06-28",1110.52568875677,NA,3.11749304775772,NA,3.56506921766538,NA,83.4259069623972,NA
"2010-06-29",1110.49845973043,NA,3.10965501908558,NA,3.55866426586706,NA,83.410384026589,NA
"2010-06-30",1110.48956793193,NA,3.10186938330323,NA,3.55229482916254,NA,83.3936844541742,NA
"2010-07-01",1110.4993993594,NA,3.09413910557276,NA,3.54596298700149,NA,83.3758287012739,NA
"2010-07-02",1110.52830703328,NA,3.08646709654704,NA,3.53967080540156,NA,83.356838338553,NA
"2010-07-05",NA,NA,3.07885621556446,NA,3.53342033836684,NA,83.3367354385686,NA
