"","AU0_60Close","AU0_60_hpft","AU0_60_hpfc","PG0_60Close","PG0_60_hpft","PG0_60_hpfc","EB0_60Close","EB0_60_hpft","EB0_60_hpfc","FU0_60Close","FU0_60_hpft","FU0_60_hpfc","TA0_60Close","TA0_60_hpft","TA0_60_hpfc","PP0_60Close","PP0_60_hpft","PP0_60_hpfc","L0_60Close","L0_60_hpft","L0_60_hpfc","V0_60Close","V0_60_hpft","V0_60_hpfc","LUM_60Close","LUM_60_hpft","LUM_60_hpfc","RU0_60Close","RU0_60_hpft","RU0_60_hpfc"
"2021-12-02 23:00:00",364.6,366.847908485243,-2.24790848524253,4130,4280.70062650565,-150.700626505648,7856,7870.39763608527,-14.3976360852752,2427,2527.38643029634,-100.386430296344,4420,4489.07535383992,-69.0753538399216,7804,8021.0982438742,-217.098243874205,8303,8472.80710162817,-169.807101628174,8242,8410.99836435586,-168.998364355857,3314,3363.20089997086,-49.200899970855,14720,14731.5348660059,-11.5348660059284
"2021-12-03 00:00:00",365.22,366.857636232029,-1.63763623202904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-03 01:00:00",365.18,366.867455096339,-1.68745509633897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-03 02:00:00",364.52,366.877370237808,-2.35737023780774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-03 02:30:00",364.44,366.887386118545,-2.44738611854461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-03 10:00:00",365.86,366.897506226217,-1.03750622621684,4187,4282.3827216881,-95.382721688103,7853,7873.41427756308,-20.4142775630776,2469,2529.62594505531,-60.6259450553135,4436,4492.47311343285,-56.4731134328482,7864,8021.27719700215,-157.277197002146,8388,8472.43947632313,-84.4394763231346,8276,8409.08214052725,-133.082140527246,3378,3365.60409365802,12.395906341978,14740,14728.2925035372,11.707496462848
"2021-12-03 10:15:00",366.58,366.907733036841,-0.327733036840929,4180,4284.06624834589,-104.066248345891,7862,7876.42623073942,-14.4262307394164,2464,2531.86620046203,-67.8662004620313,4426,4495.87106955016,-69.8710695501597,7860,8021.45915405549,-161.459154055488,8426,8472.07173338782,-46.0717333878226,8243,8407.17136858224,-164.171368582241,NA,NA,NA,14680,14725.0630606426,-45.0630606426126
"2021-12-03 11:30:00",366.06,366.91806859757,-0.858068597569488,4193,4285.75118308336,-92.7511830833636,7929,7879.43293874193,49.5670612580747,2480,2534.10709624622,-54.1070962462202,4448,4499.26910707934,-51.2691070793401,7936,8021.64427906953,-85.6442790695341,8469,8471.70368837271,-2.70368837270454,8317,8405.26632334802,-88.266323348016,NA,NA,NA,14680,14721.8478379883,-41.8478379883279
"2021-12-03 14:30:00",366.1,366.928514820084,-0.828514820083851,4195,4287.43745948808,-92.4374594880789,7974,7882.43383873501,91.5661612649852,2485,2536.34850408445,-51.3485040844462,4472,4502.66708202598,-30.6670820259834,7993,8021.83266933886,-28.8326693388618,8512,8471.33513778405,40.6648622159535,8493,8403.3672117899,89.6327882100979,NA,NA,NA,14760,14718.6481176131,41.3518823869422
"2021-12-03 15:00:00",365.92,366.939073261374,-1.01907326137424,4155,4289.12497280799,-134.124972807986,8004,7885.4283883721,118.571611627901,2475,2538.59027328758,-63.5902732875772,4458,4506.0648292031,-48.0648292030967,7992,8022.02438675616,-30.0243867561624,8547,8470.96587701052,76.0341229894833,8450,8401.47420438749,48.5257956125105,3395,3372.79933834155,22.2006616584505,14720,14715.4651642574,4.53483574260964
"2021-12-03 22:00:00",365.76,366.949745135956,-1.1897451359561,4188,4290.8135800811,-102.8135800811,8058,7888.41608315637,169.58391684363,2506,2540.83223194107,-34.8322319410741,4490,4509.46217074715,-19.4621707471482,8018,8022.21948129585,-4.21948129585029,8625,8470.59571825,154.40428175,8460,8399.58750867096,60.4124913290404,3419,3375.19191640091,43.8080835990943,14515,14712.3002597551,-197.300259755086
"2021-12-03 23:00:00",366.02,366.960531237101,-0.940531237100922,4197,4292.50308290357,-95.5030829035676,8080,7891.39646760379,188.603532396212,2514,2543.07418184474,-29.0741818447364,4506,4512.85890892654,-6.85890892653822,8089,8022.41799052147,66.5820094785278,8678,8470.22450512983,207.775494870167,8507,8397.70735222909,109.292647770911,3420,3377.58107525164,42.4189247483625,14605,14709.1546878145,-104.15468781445
"2021-12-04 00:00:00",366.16,366.971431866287,-0.811431866287289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-04 01:00:00",368.04,366.982446936216,1.05755306378366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-04 02:00:00",367.9,366.993576024176,0.906423975824153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-04 02:30:00",368.16,367.004819144603,1.15518085539676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-06 10:00:00",368.86,367.016176686615,1.84382331338459,4127,4294.19324037254,-167.193240372539,7980,7894.36915632944,85.6308436705636,2483,2545.31591040012,-62.3159104001191,4474,4516.25483796479,-42.2548379647892,8063,8022.61995025241,40.380049747594,8658,8469.85214510188,188.147854898125,8478,8395.83398762277,82.1660123772297,3386,3379.96653775243,6.03346224756668,14710,14706.0296505878,3.97034941222878
"2021-12-06 10:15:00",368.18,367.027649516834,1.15235048316564,4171,4295.88377210803,-124.883772108026,7994,7897.33384190954,96.6661580904605,2502,2547.55719299068,-45.55719299068,4472,4519.64974925022,-47.6497492502249,8106,8022.82542383036,83.1745761696431,8690,8469.47863150402,220.521368495984,8519,8393.96771259007,125.032287409928,NA,NA,NA,14730,14702.926307174,27.0736928260057
"2021-12-06 11:30:00",368.64,367.039239264045,1.60076073595514,4162,4297.57432861908,-135.574328619081,7953,7900.29025231666,52.7097476833394,2480,2549.79777924098,-69.7977792409849,4442,4523.04341670472,-81.0434167047199,8054,8023.03449128851,30.9655087114872,8645,8469.10403544691,175.895964553095,8466,8392.10885883318,73.8911411668165,NA,NA,NA,14625,14699.8458183132,-74.8458183132463
"2021-12-06 14:30:00",368.36,367.050948033367,1.30905196663336,4307,4299.26450879283,7.73549120717375,7918,7903.2381554813,14.7618445186966,2510,2552.03739994409,-42.0373999440877,4474,4526.43559455366,-52.4355945536565,8065,8023.2472670411,41.7527329589013,8613,8468.72851919586,144.27148080414,8477,8390.25780973762,86.7421902623766,NA,NA,NA,14665,14696.7893559368,-31.7893559368204
"2021-12-06 15:00:00",368.68,367.06277859161,1.61722140839025,4393,4300.95385547541,92.0461445245938,7872,7906.17734112201,-34.1773411220123,2515,2554.27575704145,-39.2757570414473,4486,4529.82600352233,-43.8260035223316,8102,8023.46387830222,78.5361216977752,8649,8468.35231772451,180.647682275487,8531,8388.41497923254,142.585020767459,3385,3387.09816422386,-2.09816422386156,14630,14693.7580610378,-63.7580610377741
"2021-12-06 22:00:00",367.6,367.074734246693,0.525265753306575,4437,4302.64191471051,134.358085289489,7935,7909.1076050593,25.8923949406999,2542,2556.51253509795,-14.5125350979538,4528,4533.21434266127,-5.21434266126785,8125,8023.68446954492,101.315530455085,8614,8467.97572564253,146.024274357472,8604,8386.5808171028,217.419182897203,3409,3389.46627354134,19.5337264586575,14800,14690.7530614687,109.246938531323
"2021-12-06 23:00:00",367.48,367.086818975032,0.393181024968242,4392,4304.32827059,87.6717294100039,7941,7912.02872898614,28.9712710138621,2516,2558.74740244348,-42.7474024434757,4502,4536.60029290509,-34.600292905089,8102,8023.90921770586,78.0907822941444,8580,8467.59911223206,112.400887767944,8526,8384.75583207219,141.244167927809,3370,3391.82941473898,-21.8294147389798,14730,14687.7754587272,42.2245412728286
"2021-12-07 00:00:00",367.6,367.099036970162,0.5009630298381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-07 01:00:00",368.7,367.111392588147,1.58860741185321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-07 02:00:00",368.12,367.123890392127,0.996109607873189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-07 02:30:00",367.76,367.13653560191,0.623464398090364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-07 10:00:00",367.56,367.149333849054,0.410666150946386,4417,4306.01256274396,110.987437256042,8004,7914.94050529838,89.059494701616,2588,2560.98002140898,27.0199785910183,4620,4539.98353303302,80.0164669669845,8109,8024.1383416015,84.8616583985004,8573,8467.22290713581,105.777092864188,8565,8382.94062273685,182.059377263145,3471,3394.18734490767,76.8126550923257,14805,14684.8263994692,120.173600530844
"2021-12-07 10:15:00",367.48,367.162291022833,0.317708977167424,4403,4307.69446704245,95.3055329575471,7954,7917.84273836743,36.1572616325685,2576,2563.21003665539,12.7899633446109,4604,4543.3637275219,60.6362724781029,8077,8024.3720923279,52.6279076721033,8567,8466.84758645851,100.152413541486,8536,8381.1358460776,154.864153922404,NA,NA,NA,14770,14681.9070478044,88.0929521956055
"2021-12-07 11:30:00",367.58,367.175413182273,0.404586817727066,4421,4309.37370523328,111.626294766715,7994,7920.73526937833,73.2647306216705,2581,2565.43710401258,15.5628959874159,4582,4546.74057392417,35.2594260758256,8086,8024.61075605949,61.3892439405102,8572,8466.47367002888,105.526329971117,8565,8379.34223433122,185.657765668776,NA,NA,NA,14790,14679.0186175176,110.981382482422
"2021-12-07 14:30:00",367.72,367.18870651773,0.531293482269893,4438,4311.05003845973,126.949961540269,8069,7923.61795446203,145.382045537969,2593,2567.66088459731,25.3391154026941,4584,4550.11379485688,33.8862051431185,8104,8024.85464072499,79.1453592750123,8552,8466.10171907462,85.8982809253851,8614,8377.56058374917,236.43941625083,NA,NA,NA,14670,14676.1623588076,-6.16235880760962
"2021-12-07 15:00:00",367.88,367.202177386799,0.677822613201405,4475,4312.72327400689,162.276725993107,8057,7926.49068003425,130.509319965747,2592,2569.88104595938,22.1189540406195,4606,4553.48312751189,52.5168724881102,8111,8025.10407962893,85.8959203710744,8568,8465.73233844375,102.267661556249,8537,8375.79176732633,161.208232673673,3452,3401.22749488487,50.7725051151304,14510,14673.3395677485,-163.339567748495
"2021-12-07 22:00:00",366.52,367.215832366688,-0.695832366688363,4555,4314.39327163588,240.606728364122,8028,7929.35339260575,98.6466073942547,2614,2572.0972661228,41.9027338772024,4606,4556.84832308827,49.1516769117308,8126,8025.35943879136,100.64056120864,8570,8465.36616849122,104.633831508779,8620,8374.03675579211,245.963244207886,3481,3403.56233375645,77.4376662435525,14630,14670.551537867,-40.5515378670236
"2021-12-07 23:00:00",367.28,367.229678314795,0.0503216852051982,4570,4316.05995818647,253.940041813531,8011,7932.20609263458,78.7939073654204,2624,2574.30923225463,49.6907677453702,4594,4560.20915449343,33.7908455065695,8069,8025.62111973828,43.3788802617218,8540,8465.0038918453,74.9961081546996,8630,8372.29658651299,257.70341348701,3510,3405.890959307,104.109040692997,14645,14667.799495172,-22.7994951719733
"2021-12-08 00:00:00",367.72,367.243721800883,0.476278199117058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-08 01:00:00",368.42,367.25796941552,1.16203058448028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-08 02:00:00",367.88,367.272427946146,0.607572053853945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-08 02:30:00",367.94,367.287104660539,0.652895339460855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-08 10:00:00",368.58,367.302007077623,1.27799292237716,4516,4317.72335995559,198.276640044411,8011,7935.04882135537,75.9511786446311,2623,2576.51664884286,46.4833511571414,4584,4563.56541495213,20.4345850478711,8100,8025.88956559641,74.1104344035877,8542,8464.64623438569,77.3537656143075,8555,8370.57239852673,184.427601473275,3482,3408.21325005891,73.7867499410952,14540,14665.0846489098,-125.084648909818
"2021-12-08 10:15:00",368.6,367.317142986201,1.28285701379946,4530,4319.38360820877,210.616391791229,8066,7937.88165257296,128.118347427041,2642,2578.71924091563,63.2807590843698,4612,4566.91691165689,45.0830883431072,8121,8026.16523742359,94.8347625764086,8573,8464.29395299244,108.706047007555,8574,8368.86543739526,205.134562604738,NA,NA,NA,14610,14662.4081989025,-52.4081989025085
"2021-12-08 11:30:00",368.42,367.332520703348,1.08747929665209,4503,4321.04091617113,181.959083828866,8030,7940.70469148735,89.2953085126483,2638,2580.91675271545,57.0832472845521,4598,4570.26346024709,27.7365397529146,8028,8026.4486269119,1.55137308809619,8503,8463.94783652058,39.0521634794216,8363,8367.17702491554,-4.17702491553542,NA,NA,NA,14715,14659.7712932671,55.2287067328975
"2021-12-08 14:30:00",368.72,367.348149076421,1.37185092357877,4525,4322.69558412815,202.304415871855,8046,7943.51809625755,102.481903742454,2636,2583.10895464252,52.8910453574779,4584,4573.6048949976,10.3951050023975,8033,8026.74026495433,6.25973504567077,8489,8463.60871875978,25.3912812402172,8326,8365.50856767888,-39.5085676788777,NA,NA,NA,14680,14657.1750584573,22.8249415427382
