"","IF00C1_hpfc","SPX_hpfc","CN_10yry_hpfc","US_10yry_hpfc","UK_10yry_hpfc","T00C1_hpfc","USDX_hpfc","USDCNH_hpfc"
"2010-04-19",359.675438124568,73.9519654041765,NA,0.275302860978707,0.245176253507114,NA,-1.66171808567997,NA
"2010-04-20",376.684058847599,83.8668819315858,NA,0.322310939360931,0.262295044453202,NA,-1.53500248776712,NA
"2010-04-21",429.092530895267,82.910178350221,NA,0.319389583356238,0.221170428768224,NA,-1.46753707677819,NA
"2010-04-22",397.900549886166,85.9215705954638,NA,0.276537838984868,0.235201766497506,NA,-0.749299290663138,NA
"2010-04-23",382.7076340693,94.8207403309837,NA,0.313754620244414,0.266088326263505,NA,-1.41026596074977,NA
"2010-04-26",380.913137217567,89.8873337039429,NA,0.361038726822514,0.269329279465741,NA,-1.55041360863798,NA
"2010-04-27",299.916254907928,61.8509576663996,NA,0.358388828713502,0.236823687513411,NA,-0.559718172978252,NA
"2010-04-28",289.916025263184,69.8111820146004,NA,0.245803446672694,0.300570500485936,NA,-0.558154951544167,NA
"2010-04-29",244.511362432799,85.5475509780991,NA,0.343280953311961,0.266068570569214,NA,-0.97569901074393,NA
"2010-04-30",267.501060726713,65.7795799293174,NA,0.310819619637901,0.232216625705485,NA,-1.06232518626592,NA
"2010-05-04",236.683813383491,53.3485106462661,NA,0.286072819301411,0.232357066988723,NA,0.437278823350423,NA
"2010-05-05",236.458203067655,45.9842842898567,NA,0.203783251208609,0.148646407001403,NA,1.07356128157588,NA
"2010-05-06",127.22271460812,8.57346681536622,NA,0.161546650170973,0.118079639740485,NA,1.67086554978287,NA
"2010-05-07",57.1757350914965,-8.35456377940488,NA,-0.000639288356367018,0.0875550396091206,NA,1.22921726978974,NA
"2010-05-10",77.3155990156268,40.8395669594194,NA,0.0472230643046817,0.0654708322009159,NA,1.26864139275097,NA
"2010-05-11",-39.3593827557703,37.2452369391514,NA,0.175131337096447,0.0609252069177911,NA,1.50916236170992,NA
"2010-05-12",-5.0509313181581,53.4718071856745,NA,0.173083139441358,0.102516326098634,NA,1.54080409530301,NA
"2010-05-13",53.039248502651,39.5886233291846,NA,0.181076008369452,0.193942326898445,NA,2.09358988834085,NA
"2010-05-14",20.7094539685725,18.1750088967842,NA,0.179107409365081,0.165301304095935,NA,3.0075423987281,NA
"2010-05-17",-123.242039582655,19.7802710512296,NA,0.0771747330632748,0.138391272301955,NA,2.92268341896643,NA
"2010-05-18",-63.6169653737868,3.98370944245949,NA,0.115275296063156,0.142710177798399,NA,4.02903349835486,NA
"2010-05-19",-79.6170056843062,-1.42538445595362,NA,0.0334063830628212,0.0725559096617655,NA,2.99661197807453,NA
"2010-05-20",-108.443816496963,-44.5477208171431,NA,0.0215652311102926,0.0677262979779445,NA,2.49543653386691,NA
"2010-05-21",-94.0990208840486,-28.1140092250471,NA,-0.080250936555238,0.0800191428410852,NA,2.04552360279473,NA
"2010-05-24",57.6158029084307,-41.824940849371,NA,-0.122044905608858,-0.000867783649953838,NA,3.08688859040781,NA
"2010-05-25",-31.7008844687365,-41.1211952386108,NA,-0.0838194285530581,-0.0940367424730206,NA,3.19954605671767,NA
"2010-05-26",-5.85064618080642,-46.8834346525254,NA,-0.125577207441998,-0.104989994247272,NA,3.78350928574063,NA
"2010-05-27",55.3649677107233,-11.4623043530133,NA,-0.0873209096820976,-0.0976297607208004,NA,2.81879023892917,NA
"2010-05-28",18.5444095629347,-24.8084302222587,NA,0.0509468492286932,-0.166358220243125,NA,3.32539931378691,NA
"2010-05-31",-55.313891152821,NA,NA,0.0292234898873902,-0.0653775108075225,NA,3.21334574264011,NA
"2010-06-01",-86.0115126308373,-43.2124334043765,NA,0.0275064118316363,-0.00048970164147551,NA,3.24263738322873,NA
"2010-06-02",-72.3500102006379,-15.2549247886687,NA,0.025793002519255,-0.00969683494802184,NA,3.21328076502667,NA
"2010-06-03",-101.530903638104,-10.5264974021827,NA,0.0940806380380253,-0.00360095272778606,NA,3.61528107713379,NA
"2010-06-04",-89.3556828125448,-48.2077379661742,NA,0.142366683813947,0.00249590702689391,NA,4.72864218040425,NA
"2010-06-07",-145.025795624518,-62.3592288506649,NA,-0.0393515336161397,-0.0189082921878284,NA,4.9433664412846,NA
"2010-06-08",-127.742653038548,-50.5815324985655,NA,-0.061076746564077,0.0288844120924876,NA,4.67945427158945,NA
"2010-06-09",-64.307606071312,-56.6551855759459,NA,-0.0428116710753141,-0.0346280098517857,NA,4.38690403974187,NA
"2010-06-10",-84.5219529357297,-25.280703840514,NA,-0.0145589979486836,-0.0501475996799335,NA,3.52571217986889,NA
"2010-06-11",-89.3869652626367,-20.3085796310365,NA,0.12367859971364,-0.068076384737417,NA,3.76587331272792,NA
"2010-06-17",-112.103879744924,4.84682309511184,NA,0.0964242762812654,0.0432766757933925,NA,2.14988916035796,NA
"2010-06-18",-140.673896126481,6.46006410811477,NA,0.0445457063229994,0.0568721044911683,NA,2.06668497589657,NA
"2010-06-21",-53.8981678118586,2.27812544916679,NA,0.0826354676002791,0.053346440355357,NA,2.44477344466933,NA
"2010-06-22",-62.3777900567078,-15.4994648020932,NA,0.110690671915118,0.0169976750960203,NA,2.63414094910483,NA
"2010-06-23",-96.1138358374794,-18.6731795077247,NA,0.0387083969112512,0.0740237783718961,NA,2.35477286106123,NA
"2010-06-24",-91.7073523459741,-36.9434851229009,NA,-0.00331432552265008,0.0508227128155643,NA,2.27665346354829,NA
