"","AL0_hpfc","CN_10yry_hpfc","US_10yry_hpfc","UK_10yry_hpfc","GR_10yry_hpfc","IT_10yry_hpfc","AU_10yry_hpfc","INA_10yry_hpfc","IND_10yry_hpfc"
"2010-04-19",508.327361749752,NA,0.275302860978707,0.245176253507114,0.195641360337817,-0.10937831547169,0.24094939162479,0.0678392668841061,-0.000228176904708052
"2010-04-20",650.633877678854,NA,0.322310939360931,0.262295044453202,0.172519141022964,-0.0835862513100806,0.289821396047432,0.0419578031252017,-0.000233123569039898
"2010-04-21",662.80412691653,NA,0.319389583356238,0.221170428768224,0.189407730360215,-0.0868051430637141,0.36074717455899,0.0570993839456714,-0.000238069798682618
"2010-04-22",609.831326068333,NA,0.276537838984868,0.235201766497506,0.206306097741753,-0.0530344133794656,0.314725915292806,0.0642637914920446,-0.000243013751717007
"2010-04-23",556.708417763418,NA,0.313754620244414,0.266088326263505,0.183213134266251,-0.0132734490224956,0.298756657263981,0.0514507843083929,-0.000247953487815371
"2010-04-26",633.428092551078,NA,0.361038726822514,0.269329279465741,0.200127645753716,-0.0205216148356313,0.300338309392318,0.0536600943745759,-0.000252886966197917
"2010-04-27",484.982810860211,NA,0.358388828713502,0.236823687513411,0.157048362291208,0.00422172982498064,0.30196965710385,0.0588914324028608,-0.000257812043590834
"2010-04-28",136.364771285355,NA,0.245803446672694,0.300570500485936,0.163973931241073,0.0649572340860227,0.256149361676754,0.0421444869245104,-0.000262726472187039
"2010-04-29",202.565971948967,NA,0.343280953311961,0.266068570569214,0.0709029350481924,0.135685545329066,0.27537595956703,0.0274189221274809,-0.00026762789761026
"2010-04-30",298.578354605854,NA,0.310819619637901,0.232216625705485,0.147833888377204,0.0674072840849942,0.239647881349023,0.0287143847789611,-0.000272513856883733
"2010-05-04",189.393777277752,NA,0.286072819301411,0.232357066988723,0.151695523917199,0.0328332740477327,0.27332086450671,0.0301169222908456,-0.000282228969921491
"2010-05-05",30.0039745663863,NA,0.203783251208609,0.148646407001403,0.118622990649709,0.0575385913374991,0.192718237671114,0.0302232318656392,-0.00028705263652796
"2010-05-06",-64.5993972136107,NA,0.161546650170973,0.118079639740485,0.0355459743509176,0.0712394825975745,0.102153544385562,0.0303490377378169,-0.000291849858653142
"2010-05-07",-374.424694151163,NA,-0.000639288356367018,0.0875550396091206,0.0324627235559071,0.208936439974361,0.0186246861128691,0.0304939261156869,-0.000296617600070749
