"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"CU0_60","P0_60","Y0_60","AG0_60","BU0_60","ZN0_60","C0_60","AL0_60","RM0_60","M0_60","CF0_60"
"SHFE COPPER Major 60 min","DCE PALMOIL Major 60","DCE SOYOIL Major 60 min","SHFE SILVER Major 60 min","SHFE BITUMAN Major 60","SHFE Znic Major 60","DCE CORN Major 60 min","SHFE ALUMINUM Major 60 min","DCE Rapeseed Meal Major 60 min","DCE SOYMEAL Major 60 min","CZCE Cotton Major 60 min"
