"","T00C1_hpfc","CN_10yry_hpfc","USDCNH_hpfc","CN_5yry_hpfc","CN_2yry_hpfc","IH00C1_hpfc","IF00C1_hpfc","SPX_hpfc"
"2010-04-19",NA,NA,NA,NA,NA,NA,359.675438124568,73.9519654041765
"2010-04-20",NA,NA,NA,NA,NA,NA,376.684058847599,83.8668819315858
"2010-04-21",NA,NA,NA,NA,NA,NA,429.092530895267,82.910178350221
"2010-04-22",NA,NA,NA,NA,NA,NA,397.900549886166,85.9215705954638
"2010-04-23",NA,NA,NA,NA,NA,NA,382.7076340693,94.8207403309837
"2010-04-26",NA,NA,NA,NA,NA,NA,380.913137217567,89.8873337039429
"2010-04-27",NA,NA,NA,NA,NA,NA,299.916254907928,61.8509576663996
"2010-04-28",NA,NA,NA,NA,NA,NA,289.916025263184,69.8111820146004
"2010-04-29",NA,NA,NA,NA,NA,NA,244.511362432799,85.5475509780991
"2010-04-30",NA,NA,NA,NA,NA,NA,267.501060726713,65.7795799293174
"2010-05-04",NA,NA,NA,NA,NA,NA,236.683813383491,53.3485106462661
"2010-05-05",NA,NA,NA,NA,NA,NA,236.458203067655,45.9842842898567
"2010-05-06",NA,NA,NA,NA,NA,NA,127.22271460812,8.57346681536622
"2010-05-07",NA,NA,NA,NA,NA,NA,57.1757350914965,-8.35456377940488
"2010-05-10",NA,NA,NA,NA,NA,NA,77.3155990156268,40.8395669594194
"2010-05-11",NA,NA,NA,NA,NA,NA,-39.3593827557703,37.2452369391514
"2010-05-12",NA,NA,NA,NA,NA,NA,-5.0509313181581,53.4718071856745
"2010-05-13",NA,NA,NA,NA,NA,NA,53.039248502651,39.5886233291846
"2010-05-14",NA,NA,NA,NA,NA,NA,20.7094539685725,18.1750088967842
"2010-05-17",NA,NA,NA,NA,NA,NA,-123.242039582655,19.7802710512296
"2010-05-18",NA,NA,NA,NA,NA,NA,-63.6169653737868,3.98370944245949
"2010-05-19",NA,NA,NA,NA,NA,NA,-79.6170056843062,-1.42538445595362
"2010-05-20",NA,NA,NA,NA,NA,NA,-108.443816496963,-44.5477208171431
"2010-05-21",NA,NA,NA,NA,NA,NA,-94.0990208840486,-28.1140092250471
"2010-05-24",NA,NA,NA,NA,NA,NA,57.6158029084307,-41.824940849371
"2010-05-25",NA,NA,NA,NA,NA,NA,-31.7008844687365,-41.1211952386108
"2010-05-26",NA,NA,NA,NA,NA,NA,-5.85064618080642,-46.8834346525254
"2010-05-27",NA,NA,NA,NA,NA,NA,55.3649677107233,-11.4623043530133
"2010-05-28",NA,NA,NA,NA,NA,NA,18.5444095629347,-24.8084302222587
"2010-05-31",NA,NA,NA,NA,NA,NA,-55.313891152821,NA
"2010-06-01",NA,NA,NA,NA,NA,NA,-86.0115126308373,-43.2124334043765
"2010-06-02",NA,NA,NA,NA,NA,NA,-72.3500102006379,-15.2549247886687
"2010-06-03",NA,NA,NA,NA,NA,NA,-101.530903638104,-10.5264974021827
"2010-06-04",NA,NA,NA,NA,NA,NA,-89.3556828125448,-48.2077379661742
"2010-06-07",NA,NA,NA,NA,NA,NA,-145.025795624518,-62.3592288506649
"2010-06-08",NA,NA,NA,NA,NA,NA,-127.742653038548,-50.5815324985655
"2010-06-09",NA,NA,NA,NA,NA,NA,-64.307606071312,-56.6551855759459
"2010-06-10",NA,NA,NA,NA,NA,NA,-84.5219529357297,-25.280703840514
"2010-06-11",NA,NA,NA,NA,NA,NA,-89.3869652626367,-20.3085796310365
"2010-06-17",NA,NA,NA,NA,NA,NA,-112.103879744924,4.84682309511184
"2010-06-18",NA,NA,NA,NA,NA,NA,-140.673896126481,6.46006410811477
"2010-06-21",NA,NA,NA,NA,NA,NA,-53.8981678118586,2.27812544916679
"2010-06-22",NA,NA,NA,NA,NA,NA,-62.3777900567078,-15.4994648020932
"2010-06-23",NA,NA,NA,NA,NA,NA,-96.1138358374794,-18.6731795077247
"2010-06-24",NA,NA,NA,NA,NA,NA,-91.7073523459741,-36.9434851229009
"2010-06-25",NA,NA,NA,NA,NA,NA,-110.359347044518,-33.810840384074
"2010-06-28",NA,NA,NA,NA,NA,NA,-124.070789487262,-35.9556887567745
"2010-06-29",NA,NA,NA,NA,NA,NA,-266.842603610232,-69.258459730427
"2010-06-30",NA,NA,NA,NA,NA,NA,-289.875662063578,-79.7795679319306
"2010-07-01",NA,NA,NA,NA,NA,NA,-325.370727195489,-83.1293993593978
"2010-07-02",NA,NA,NA,NA,NA,NA,-326.328441531081,-87.9483070332838
"2010-07-05",NA,NA,NA,NA,NA,NA,-343.549313100594,NA
"2010-07-06",NA,NA,NA,NA,NA,NA,-311.433715042834,-82.5166096117481
"2010-07-07",NA,NA,NA,NA,NA,NA,-309.581878487306,-50.3745893986785
"2010-07-08",NA,NA,NA,NA,NA,NA,-310.993905829456,-40.4824945888541
"2010-07-09",NA,NA,NA,NA,NA,NA,-232.069771495854,-32.8805525542479
