"","P0_hpfc","CU0_hpfc","RB0_hpfc","CL00Y_hpfc","CU0_hpfc","RB0_hpfc","CL00Y_hpfc","AL0_hpfc","I0_hpfc","CF0_hpfc","FG0_hpfc","SA0_hpfc","P0_hpfc","Y0_hpfc","I0_hpfc","V0_hpfc","TA0_hpfc"
"2010-04-19",184.275262063276,3032.42280461423,354.33873226448,3.60844047543714,3032.42280461423,354.33873226448,3.60844047543714,508.327361749752,NA,435.19317082573,NA,NA,184.275262063276,91.7903642426626,NA,459.999037867421,552.727735720628
"2010-04-20",198.812156585311,3798.09062655409,376.180323657916,5.63999519409663,3798.09062655409,376.180323657916,5.63999519409663,650.633877678854,NA,578.633273459177,NA,NA,198.812156585311,108.808349544684,NA,496.888531356974,637.436118207188
"2010-04-21",221.247078373939,3963.44575064499,365.060734982452,5.90187708461722,3963.44575064499,365.060734982452,5.90187708461722,662.80412691653,NA,781.694565329875,NA,NA,221.247078373939,121.744196602747,NA,443.77730144476,652.099315390179
"2010-04-22",203.576265401399,3728.45042429156,341.977937277182,5.95404711399475,3728.45042429156,341.977937277182,5.95404711399475,609.831326068333,NA,699.362687743394,NA,NA,203.576265401399,112.595752267441,NA,385.663112347396,624.711825119107
"2010-04-23",261.795864185733,3703.06525656866,349.929750679696,7.40646380962538,3703.06525656866,349.929750679696,7.40646380962538,556.708417763418,NA,706.622958886078,NA,NA,261.795864185733,171.360813065492,NA,417.543544841825,655.267875691875
"2010-04-26",297.901937094433,4587.24931536029,345.913853967721,6.5190832377421,4587.24931536029,345.913853967721,6.5190832377421,633.428092551078,NA,703.460407854182,NA,NA,297.901937094433,408.03712898068,NA,424.416020287358,673.761437175617
"2010-04-27",323.890438279225,3700.96013785213,291.92778127208,4.79185840304314,3700.96013785213,291.92778127208,4.79185840304314,484.982810860211,NA,714.859771655115,NA,NA,323.890438279225,412.622379163274,NA,306.277787447585,604.186208776083
"2010-04-28",263.757198751232,1504.15336504658,203.968923736675,5.60473961549981,1504.15336504658,203.968923736675,5.60473961549981,136.364771285355,NA,760.805496513717,NA,NA,263.757198751232,325.114074097525,NA,268.125919649611,562.535611193164
"2010-04-29",213.497915638085,2066.78310811626,201.034551834282,7.58767520432218,2066.78310811626,201.034551834282,7.58767520432218,202.565971948967,NA,476.281733160894,NA,NA,213.497915638085,285.509553706037,NA,254.957363617558,524.802815380381
"2010-04-30",247.108177040746,2008.80285647678,255.121851725032,8.60061118194611,2008.80285647678,255.121851725032,8.60061118194611,298.578354605854,NA,461.272317841657,NA,NA,247.108177040746,319.806023522272,NA,286.768955243111,544.980759761772
"2010-05-04",206.583482808946,1480.16524521945,287.22792646956,5.25625225243632,1480.16524521945,287.22792646956,5.25625225243632,189.393777277752,NA,360.760889923195,NA,NA,206.583482808946,276.000571061745,NA,273.557425028892,501.062165828944
"2010-05-05",219.919230647641,210.822079078181,277.349773671295,2.51883240172865,210.822079078181,277.349773671295,2.51883240172865,30.0039745663863,NA,219.730898103377,NA,NA,219.919230647641,308.090151644964,NA,260.319384938671,441.039529800198
"2010-05-06",157.110732868838,-609.275449054972,263.484272205227,-0.308835564900214,-609.275449054972,263.484272205227,-0.308835564900214,-64.5993972136107,NA,158.165641954865,NA,NA,157.110732868838,210.071606504783,NA,227.051333858619,368.905140775211
"2010-05-07",-1.84678912164813,-2070.17623343213,173.628186301089,-2.27681912578141,-2070.17623343213,173.628186301089,-2.27681912578141,-374.424694151163,NA,6.04833022306934,NA,NA,-1.84678912164813,55.9416495219754,NA,268.749663069325,204.651105545463
