"","IH00C1_hpft","T00C1_hpft","CN_10yry_hpft","US_10yry_hpft","UK_10yry_hpft","USDX_hpft","USDCNH_hpft"
"2010-04-19",NA,NA,NA,3.51469713902129,3.88552374649289,82.59171808568,NA
"2010-04-20",NA,NA,NA,3.50768906063907,3.8799049555468,82.6350024877671,NA
"2010-04-21",NA,NA,NA,3.50061041664376,3.87422957123178,82.6775370767782,NA
"2010-04-22",NA,NA,NA,3.49346216101513,3.86849823350249,82.7192992906631,NA
"2010-04-23",NA,NA,NA,3.48624537975559,3.8627116737365,82.7602659607498,NA
"2010-04-26",NA,NA,NA,3.47896127317749,3.85687072053426,82.800413608638,NA
"2010-04-27",NA,NA,NA,3.4716111712865,3.85097631248659,82.8397181729783,NA
"2010-04-28",NA,NA,NA,3.46419655332731,3.84502949951406,82.8781549515442,NA
"2010-04-29",NA,NA,NA,3.45671904668804,3.83903142943079,82.9156990107439,NA
"2010-04-30",NA,NA,NA,3.4491803803621,3.83298337429452,82.9523251862659,NA
"2010-05-04",NA,NA,NA,3.43392718069859,3.82074293301128,83.0227211766496,NA
"2010-05-05",NA,NA,NA,3.42621674879139,3.8145535929986,83.0564387184241,NA
"2010-05-06",NA,NA,NA,3.41845334982903,3.80832036025952,83.0891344502171,NA
"2010-05-07",NA,NA,NA,3.41063928835637,3.80204496039088,83.1207827302103,NA
"2010-05-10",NA,NA,NA,3.40277693569532,3.79572916779908,83.151358607249,NA
"2010-05-11",NA,NA,NA,3.39486866290355,3.78937479308221,83.1808376382901,NA
"2010-05-12",NA,NA,NA,3.38691686055864,3.78298367390137,83.209195904697,NA
"2010-05-13",NA,NA,NA,3.37892399163055,3.77655767310156,83.2364101116592,NA
"2010-05-14",NA,NA,NA,3.37089259063492,3.77009869590407,83.2624576012719,NA
"2010-05-17",NA,NA,NA,3.36282526693673,3.76360872769805,83.2873165810336,NA
"2010-05-18",NA,NA,NA,3.35472470393684,3.7570898222016,83.3109665016451,NA
"2010-05-19",NA,NA,NA,3.34659361693718,3.75054409033823,83.3333880219255,NA
"2010-05-20",NA,NA,NA,3.33843476888971,3.74397370202206,83.3545634661331,NA
"2010-05-21",NA,NA,NA,3.33025093655524,3.73738085715891,83.3744763972053,NA
"2010-05-24",NA,NA,NA,3.32204490560886,3.73076778364995,83.3931114095922,NA
"2010-05-25",NA,NA,NA,3.31381942855306,3.72413674247302,83.4104539432823,NA
"2010-05-26",NA,NA,NA,3.305577207442,3.71748999424727,83.4264907142594,NA
"2010-05-27",NA,NA,NA,3.2973209096821,3.7108297607208,83.4412097610708,NA
"2010-05-28",NA,NA,NA,3.28905315077131,3.70415822024312,83.4546006862131,NA
"2010-05-31",NA,NA,NA,3.28077651011261,3.69747751080752,83.4666542573599,NA
"2010-06-01",NA,NA,NA,3.27249358816836,3.69078970164148,83.4773626167713,NA
"2010-06-02",NA,NA,NA,3.26420699748074,3.68409683494802,83.4867192349733,NA
"2010-06-03",NA,NA,NA,3.25591936196197,3.67740095272779,83.4947189228662,NA
"2010-06-04",NA,NA,NA,3.24763331618605,3.67070409297311,83.5013578195958,NA
"2010-06-07",NA,NA,NA,3.23935153361614,3.66400829218783,83.5066335587154,NA
"2010-06-08",NA,NA,NA,3.23107674656408,3.65731558790751,83.5105457284105,NA
"2010-06-09",NA,NA,NA,3.22281167107531,3.65062800985179,83.5130959602581,NA
"2010-06-10",NA,NA,NA,3.21455899794868,3.64394759967993,83.5142878201311,NA
"2010-06-11",NA,NA,NA,3.20632140028636,3.63727638473742,83.5141266872721,NA
"2010-06-17",NA,NA,NA,3.17357572371873,3.61072332420661,83.500110839642,NA
"2010-06-18",NA,NA,NA,3.165454293677,3.60412789550883,83.4933150241034,NA
"2010-06-21",NA,NA,NA,3.15736453239972,3.59755355964464,83.4852265553307,NA
"2010-06-22",NA,NA,NA,3.14930932808488,3.59100232490398,83.4758590508952,NA
"2010-06-23",NA,NA,NA,3.14129160308875,3.5844762216281,83.4652271389388,NA
"2010-06-24",NA,NA,NA,3.13331432552265,3.57797728718444,83.4533465364517,NA
"2010-06-25",NA,NA,NA,3.12538047949841,3.57150758953889,83.4402339337927,NA
"2010-06-28",NA,NA,NA,3.11749304775772,3.56506921766538,83.4259069623972,NA
"2010-06-29",NA,NA,NA,3.10965501908558,3.55866426586706,83.410384026589,NA
"2010-06-30",NA,NA,NA,3.10186938330323,3.55229482916254,83.3936844541742,NA
"2010-07-01",NA,NA,NA,3.09413910557276,3.54596298700149,83.3758287012739,NA
"2010-07-02",NA,NA,NA,3.08646709654704,3.53967080540156,83.356838338553,NA
"2010-07-05",NA,NA,NA,3.07885621556446,3.53342033836684,83.3367354385686,NA
"2010-07-06",NA,NA,NA,3.07130926968729,3.52721363594534,83.3155424885482,NA
"2010-07-07",NA,NA,NA,3.06382903338181,3.52105272887281,83.2932825433655,NA
"2010-07-08",NA,NA,NA,3.05641824130376,3.51493961315704,83.2699789697611,NA
"2010-07-09",NA,NA,NA,3.04907958105667,3.50887627060579,83.2456554100681,NA
"2010-07-12",NA,NA,NA,3.04181571692285,3.50286465572867,83.2203357050411,NA
"2010-07-13",NA,NA,NA,3.03462930943184,3.49690670928033,83.1940440072514,NA
"2010-07-14",NA,NA,NA,3.02752303076289,3.4910043646307,83.1668048700887,NA
"2010-07-15",NA,NA,NA,3.02049957185011,3.48515955411372,83.1386430023505,NA
"2010-07-16",NA,NA,NA,3.01356167425451,3.47937419534581,83.1095832174916,NA
"2010-07-19",NA,NA,NA,3.00671209999857,3.47365019699037,83.0796500484454,NA
