"","IH00C1_hpfc","AU0_hpfc","RB0_hpfc","SCM_hpfc","CU0_hpfc","RB0_hpfc","CL00Y_hpfc","AL0_hpfc","I0_hpfc","CF0_hpfc","FG0_hpfc","SA0_hpfc","P0_hpfc","Y0_hpfc","I0_hpfc","V0_hpfc","TA0_hpfc"
"2010-04-19",NA,-5.44263645119252,354.33873226448,NA,3032.42280461423,354.33873226448,3.60844047543714,508.327361749752,NA,435.19317082573,NA,NA,184.275262063276,91.7903642426626,NA,459.999037867421,552.727735720628
"2010-04-20",NA,-4.28239147253729,376.180323657916,NA,3798.09062655409,376.180323657916,5.63999519409663,650.633877678854,NA,578.633273459177,NA,NA,198.812156585311,108.808349544684,NA,496.888531356974,637.436118207188
"2010-04-21",NA,-3.00283226207328,365.060734982452,NA,3963.44575064499,365.060734982452,5.90187708461722,662.80412691653,NA,781.694565329875,NA,NA,221.247078373939,121.744196602747,NA,443.77730144476,652.099315390179
"2010-04-22",NA,-3.27392482985696,341.977937277182,NA,3728.45042429156,341.977937277182,5.95404711399475,609.831326068333,NA,699.362687743394,NA,NA,203.576265401399,112.595752267441,NA,385.663112347396,624.711825119107
"2010-04-23",NA,-4.72563394469436,349.929750679696,NA,3703.06525656866,349.929750679696,7.40646380962538,556.708417763418,NA,706.622958886078,NA,NA,261.795864185733,171.360813065492,NA,417.543544841825,655.267875691875
"2010-04-26",NA,-0.787923022084,345.913853967721,NA,4587.24931536029,345.913853967721,6.5190832377421,633.428092551078,NA,703.460407854182,NA,NA,297.901937094433,408.03712898068,NA,424.416020287358,673.761437175617
"2010-04-27",NA,-2.02075352413598,291.92778127208,NA,3700.96013785213,291.92778127208,4.79185840304314,484.982810860211,NA,714.859771655115,NA,NA,323.890438279225,412.622379163274,NA,306.277787447585,604.186208776083
"2010-04-28",NA,0.175913412735539,203.968923736675,NA,1504.15336504658,203.968923736675,5.60473961549981,136.364771285355,NA,760.805496513717,NA,NA,263.757198751232,325.114074097525,NA,268.125919649611,562.535611193164
"2010-04-29",NA,0.242117487414053,201.034551834282,NA,2066.78310811626,201.034551834282,7.58767520432218,202.565971948967,NA,476.281733160894,NA,NA,213.497915638085,285.509553706037,NA,254.957363617558,524.802815380381
"2010-04-30",NA,1.53789832606729,255.121851725032,NA,2008.80285647678,255.121851725032,8.60061118194611,298.578354605854,NA,461.272317841657,NA,NA,247.108177040746,319.806023522272,NA,286.768955243111,544.980759761772
