"","CU0_60Close","CU0_60_hpft","CU0_60_hpfc","P0_60Close","P0_60_hpft","P0_60_hpfc","Y0_60Close","Y0_60_hpft","Y0_60_hpfc","AG0_60Close","AG0_60_hpft","AG0_60_hpfc","BU0_60Close","BU0_60_hpft","BU0_60_hpfc","ZN0_60Close","ZN0_60_hpft","ZN0_60_hpfc","C0_60Close","C0_60_hpft","C0_60_hpfc","AL0_60Close","AL0_60_hpft","AL0_60_hpfc","RM0_60Close","RM0_60_hpft","RM0_60_hpfc","M0_60Close","M0_60_hpft","M0_60_hpfc","CF0_60Close","CF0_60_hpft","CF0_60_hpfc"
"2021-12-01 00:00:00",69210,69308.325780876,-98.3257808760399,NA,NA,NA,NA,NA,NA,4787,4723.98066876189,63.0193312381086,NA,NA,NA,22940,22856.6473436416,83.3526563583625,NA,NA,NA,18865,18669.0840153412,195.915984658791,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-01 01:00:00",69030,69306.9000092059,-276.900009205874,NA,NA,NA,NA,NA,NA,4781,4723.70944289067,57.2905571093339,NA,NA,NA,22885,22863.5524152283,21.4475847717234,NA,NA,NA,18875,18673.8766838715,201.12331612855,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-01 10:00:00",69520,69305.4741968918,214.525803108216,9162,9199.43271665851,-37.4327166585072,9066,8788.23188471826,277.768115281744,4765,4722.89613892005,42.103861079948,2888,2811.67816137928,76.3218386207177,23025,22870.4575212696,154.542478730448,2640,2684.04892506695,-44.0489250669458,19020,18678.6694333855,341.330566614518,2660,2673.55391013278,-13.5539101327762,3030,3038.56277037729,-8.56277037729079,20025,20146.2036787494,-121.203678749427
"2021-12-01 10:15:00",69470,69304.0481888305,165.951811169484,9186,9185.14845254993,0.851547450073817,9074,8783.07188587745,290.928114122549,4773,4722.62538984066,50.3746101593392,2898,2814.31492489869,83.6850751013124,22975,22877.3627050857,97.6372949143306,2640,2684.4711277373,-44.4711277372963,18965,18683.4624280034,281.537571996616,2663,2675.99343683131,-12.9934368313059,3033,3039.96003093108,-6.96003093107726,20025,20139.4528226027,-114.452822602655
"2021-12-01 11:30:00",69560,69302.6219185952,257.378081404841,9200,9170.86417296817,29.1358270318347,9074,8777.91200185482,296.087998145184,4792,4722.35497629111,69.6450237088942,2900,2816.95171996647,83.0482800335281,23020,22884.2680738785,135.731926121519,2641,2684.89331219959,-43.8933121995925,19080,18688.2559729376,391.744027062433,2646,2678.43295792719,-32.4329579271941,3031,3041.35728794536,-10.3572879453588,20255,20132.7019163552,122.298083644845
"2021-12-01 14:30:00",69730,69301.1953883566,428.804611643395,9278,9156.57986279204,121.42013720796,9146,8772.7524677265,373.247532273496,4779,4722.08502359505,56.9149764049547,2916,2819.58861272306,96.4113872769407,23115,22891.1737752092,223.826224790831,2655,2685.3154418632,-30.315441863204,19060,18693.0504897768,366.949510223243,2662,2680.87246244684,-18.8724624468352,3044,3042.75453500363,1.24546499636651,20635,20125.950862596,509.049137403993
"2021-12-01 15:00:00",69650,69299.7687066755,350.231293324504,9258,9142.29551894395,115.704481056054,9124,8767.59364095954,356.406359040461,4790,4721.81568586459,68.1843141354078,2902,2822.22570363769,79.7742963623095,23025,22898.080012745,126.919987254961,2666,2685.73746199377,-19.7374619937697,19120,18697.8465620409,422.153437959092,2670,2683.31192601014,-13.3119260101433,3049,3044.15176140811,4.84823859188684,20695,20119.1996144674,575.800385532602
"2021-12-01 22:00:00",69280,69298.3421593631,-18.3421593630592,9194,9128.01118853648,65.9888114635202,9054,8762.43603330647,291.563966693533,4764,4721.54714073819,42.4528592618059,2876,2824.8631330322,51.1368669677965,23115,22904.9870826742,210.012917325848,2667,2686.15930532575,-19.1593053257453,18815,18702.6449249321,112.355075067862,2630,2685.75131643591,-55.7513164359144,3027,3045.54895697583,-18.5489569758347,20525,20112.448335532,412.551664468038
"2021-12-01 23:00:00",69170,69296.916177002,-126.91617700205,9156,9113.72696650982,42.2730334901812,9032,8757.28030384389,274.719696156109,4751,4721.27959403901,29.7204059609934,2868,2827.50107420392,40.4989257960823,23080,22911.8953336482,168.104666351807,2666,2686.58089643491,-20.5808964349114,18820,18707.4464881538,112.553511846172,2632,2688.19059604033,-56.19059604033,3021,3046.9461135279,-25.9461135279019,20545,20105.6974273651,439.302572634943
"2021-12-02 00:00:00",69300,69295.4911825933,4.50881740671535,NA,NA,NA,NA,NA,NA,4736,4721.01326913846,14.986730861539,NA,NA,NA,23070,22918.8052011297,151.19479887033,NA,NA,NA,18935,18712.2522078521,222.747792147859,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-02 01:00:00",69100,69294.0675466756,-194.067546675599,NA,NA,NA,NA,NA,NA,4710,4720.74840169321,-10.7484016932111,NA,NA,NA,22980,22925.7171900689,54.282809931058,NA,NA,NA,18925,18717.0630866989,207.936913301088,NA,NA,NA,NA,NA,NA,NA,NA,NA
