"","RB0_60Close","RB0_60_hpft","RB0_60_hpfc","HC0_60Close","HC0_60_hpft","HC0_60_hpfc","I0_60Close","I0_60_hpft","I0_60_hpfc","V0_60Close","V0_60_hpft","V0_60_hpfc","BU0_60Close","BU0_60_hpft","BU0_60_hpfc","JM0_60Close","JM0_60_hpft","JM0_60_hpfc","UR0_60Close","UR0_60_hpft","UR0_60_hpfc","FG0_60Close","FG0_60_hpft","FG0_60_hpfc","MA0_60Close","MA0_60_hpft","MA0_60_hpfc","SA0_60Close","SA0_60_hpft","SA0_60_hpfc","SR0_60Close","SR0_60_hpft","SR0_60_hpfc"
"2021-12-01 10:00:00",4225,4333.12312965298,-108.123129652978,4625,4613.74426537341,11.2557346265891,631,622.918762411299,8.08123758870097,8586,8436.2072186028,149.792781397197,2888,2811.67816137928,76.3218386207177,2080.5,2009.82996791892,70.6700320810806,NA,NA,NA,1867,1907.6765893859,-40.6765893859036,2676,2673.0492382383,2.95076176169598,2694,2560.25623704457,133.743762955426,5820,5865.15993185708,-45.1599318570805
"2021-12-01 10:15:00",4236,4334.23920815056,-98.2392081505576,4650,4612.88331253573,37.1166874642673,633.5,623.499793098105,10.0002069018947,8624,8434.26010854075,189.739891459252,2898,2814.31492489869,83.6850751013124,2100.5,2011.05542863793,89.4445713620679,2383,2297.57286945793,85.427130542065,1874,1906.10890693105,-32.1089069310491,2669,2672.33286512705,-3.3328651270495,2697,2556.45959942432,140.540400575678,5812,5864.32059523091,-52.3205952309122
"2021-12-01 11:30:00",4255,4335.35524195438,-80.3552419543831,4664,4612.02236435072,51.9776356492773,638.5,624.08082712537,14.4191728746298,8724,8432.313060397,291.686939602995,2900,2816.95171996647,83.0482800335281,2123,2012.28091856909,110.719081430906,2392,2298.8651957342,93.1348042658009,1896,1904.54120766213,-8.54120766212821,2700,2671.61649323552,28.3835067644788,2717,2552.66301708836,164.336982911637,5843,5863.48123993744,-20.4812399374439
"2021-12-01 14:30:00",4297,4336.47114576256,-39.4711457625625,4729,4611.16144081359,117.838559186405,633,624.661871967236,8.33812803276418,8696,8430.36621452073,265.633785479273,2916,2819.58861272306,96.4113872769407,2105,2013.50650389734,91.4934961026556,2390,2300.1575573226,89.8424426773962,1905,1902.97346149254,2.02653850745632,2698,2670.90012240577,27.099877594227,2703,2548.86660341474,154.133396585259,5853,5862.64182568215,-9.64182568214575
"2021-12-01 15:00:00",4306,4337.58680105758,-31.586801057579,4720,4610.30058340503,109.699416594972,633.5,625.242941058151,8.25705894184948,8677,8428.41983183272,248.580168167281,2902,2822.22570363769,79.7742963623095,2111,2014.73229657444,96.2677034255628,2357,2301.45002803347,55.5499719665274,1913,1901.40563480511,11.5943651948939,2699,2670.18376421246,28.8162357875409,2688,2545.0705397118,142.929460288202,5856,5861.80230370437,-5.80230370436753
"2021-12-01 22:00:00",4277,4338.70207300613,-61.7020730061287,4679,4609.43988231542,69.5601176845771,626.5,625.824051279209,0.675948720790607,8494,8426.47428305612,67.5257169438854,2876,2824.8631330322,51.1368669677965,2105,2015.95844637186,89.0415536281397,NA,NA,NA,1898,1899.83769482032,-1.83769482031623,2692,2669.46744143223,22.5325585677668,2653,2541.27507100043,111.72492899957,5851,5860.96262125791,-9.96262125791386
"2021-12-01 23:00:00",4256,4339.81681371819,-83.8168137181943,4668,4608.57947308051,59.4205269194929,624,626.405222924644,-2.4052229246438,8417,8424.53004166709,-7.53004166708965,2868,2827.50107420392,40.4989257960823,2078.5,2017.1851428543,61.3148571457028,NA,NA,NA,1890,1898.26961355132,-8.26961355131854,2679,2668.75118875322,10.2488112467773,2643,2537.48050138282,105.519498617177,5850,5860.12272319815,-10.122723198152
"2021-12-02 10:00:00",4264,4340.93084979861,-76.9308497986061,4679,4607.71951998936,71.2804800106357,629.5,626.986476568095,2.51352343190509,8398,8422.58760905424,-24.587609054236,2826,2830.13972158808,-4.13972158807678,2092,2018.41261239263,73.5873876073696,2305,2302.74271881438,2.25728118561704,1913,1896.70136225163,16.2986377483713,2657,2668.03505017761,-11.0350501776076,2650,2533.68718114375,116.312818856251,5825,5859.2825502623,-34.2825502623019
"2021-12-02 10:15:00",4274,4342.04397320569,-68.0439732056914,4682,4606.86021189313,75.1397881068666,627.5,627.567831788982,-0.0678317889817034,8395,8420.64748349353,-25.6474834935268,2816,2832.77928636055,-16.7792863605548,2093,2019.64110670284,73.3588932971634,2297,2304.03576357504,-7.03576357503541,1911,1895.13290875644,15.8670912435635,2643,2667.31907394402,-24.3190739440152,2646,2529.8955041855,116.104495814498,5824,5858.44203900326,-34.4420390032567
"2021-12-02 11:30:00",4328,4343.15594409763,-15.1559440976301,4714,4606.00176710743,107.998232892567,631.5,628.14930920571,3.35069079429044,8396,8418.71015309744,-22.7101530974431,2828,2835.41997798596,-7.41997798596113,2105,2020.87090791897,84.1290920810344,2311,2305.3292971582,5.67070284179865,1935,1893.56422763817,41.4357723618312,2674,2666.60330372964,7.39669627036176,2663,2526.10591248953,136.894087510469,5803,5857.60111180288,-54.6011118028845
"2021-12-02 14:30:00",4354,4344.26649450602,9.73350549398044,4733,4605.14443500766,127.85556499234,631.5,628.730929408651,2.76907059134915,8513,8416.77609537677,96.223904623234,2832,2838.06199899316,-6.06199899315803,2095,2022.10232849868,72.8976715013239,2316,2306.62345149835,9.37654850165196,1950,1891.995300028,58.0046999720013,2654,2665.88777315912,-11.8877731591188,2642,2522.31889603,119.681103970004,5807,5856.75967680609,-49.7596768060943
"2021-12-02 15:00:00",4288,4345.37535019756,-57.3753501975601,4703,4604.28850961133,98.7114903886667,609,629.312714373216,-20.3127143732161,8332,8414.84577845483,-82.8457784548341,2828,2840.70554884382,-12.7055488438215,2054,2023.33571567521,30.6642843247869,2307,2307.91836087398,-0.918360873984764,1932,1890.42612418502,41.5738758149829,2626,2665.17251891461,-39.1725189146081,2641,2518.53500136767,122.464998632332,5800,5855.91761958789,-55.9176195878939
"2021-12-02 22:00:00",4289,4346.4822409624,-57.4822409624043,4507,4603.43433778632,-96.434337786318,602.5,629.894687219438,-27.3946872194377,8234,8412.9197102301,-178.919710230094,2800,2843.35082449384,-43.3508244938375,2039,2024.57144681479,14.4285531852119,NA,NA,NA,1948,1888.85672234513,59.143277654874,2601,2664.45757276433,-63.4575727643283,2545,2514.75482453469,30.2451754653125,5796,5855.07480515464,-59.0748051546422
"2021-12-02 23:00:00",4338,4347.58687287404,-9.5868728740394,4564,4602.58230720384,-38.5823072038441,613,630.476862670889,-17.4768626708892,8242,8410.99836435586,-168.998364355857,2822,2845.99801764713,-23.9980176471318,2066,2025.809911959,40.1900880410029,NA,NA,NA,1965,1887.28713392919,77.7128660708051,2611,2663.74295028416,-52.742950284159,2546,2510.97901218529,35.020987814714,5803,5854.2310753986,-51.2310753985999
