"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"SCM_60","AU0_60","PG0_60","EB0_60","FU0_60","TA0_60","PP0_60","L0_60","V0_60","LUM_60","RU0_60"
"INE CRUDE Major 60 min","SHFE GOLD Major 60","DCE Patrol Gas Major 60 min","CZCE EB Major 60 min","SHFE Fuel Major 60 min","CZCE Purified Terephthalic Acid Major 60","DCE PP Major 60 min","SHFE LASTIC Major 60","DCE PVC Major 60 min","INE LOW SULFUR FUEL Major 60 min","SHFE RUBBER Major 60 min"
