"","T00C1_hpft","USDCNH_hpft","USDX_hpft","EURUSD_hpft","GBPUSD_hpft","AUDUSD_hpft","USDJPY_hpft"
"2012-08-27",NA,6.32409092289192,81.1617982858253,1.26761211325886,1.5889788821197,1.0335340583536,79.0857551556915
"2012-08-28",NA,6.32324902675174,81.1472988089855,1.26792097103619,1.58923541795281,1.03373370519564,79.1069106448441
"2012-08-29",NA,6.32239017770166,81.1326190313639,1.26823990847677,1.58949019625057,1.03393276908354,79.1293059548053
"2012-08-30",NA,6.32151471664811,81.1177781623497,1.2685685941538,1.58974289944674,1.03413121416202,79.1529607052225
"2012-08-31",NA,6.32062299859709,81.1027955838596,1.26890669034093,1.58999320729232,1.03432900501695,79.1778943465519
"2012-09-03",NA,6.31971539239608,81.0876909143441,1.26925385204966,1.59024079509759,1.03452610411317,79.204126117208
"2012-09-04",NA,6.31879227965593,81.0724838331023,1.2696097297831,1.59048533734896,1.03472247295278,79.2316749175232
"2012-09-05",NA,6.3178540535551,81.0571940658571,1.26997396980584,1.59072650801992,1.03491806868685,79.260559269965
"2012-09-06",NA,6.31690111926275,81.041841448912,1.27034621317009,1.59096397964326,1.03511284320744,79.290797365625
"2012-09-07",NA,6.31593389564921,81.0264458858679,1.27072609680524,1.59119742445148,1.03530674182678,79.3224070274684
"2012-09-10",NA,6.31495281443984,81.0110273084997,1.27111325460405,1.59142651551867,1.03549970691689,79.3554059045238
"2012-09-11",NA,6.31395831772134,80.9956052986955,1.27150732511945,1.59165092997091,1.03569168196309,79.3898111983914
"2012-09-12",NA,6.3129508589673,80.9801991940366,1.27190794892437,1.59187034806487,1.03588260941742,79.4256396661489
"2012-09-13",NA,6.31193090167182,80.9648278750915,1.27231477216904,1.59208445640191,1.0360724347529,79.4629073953008
"2012-09-14",NA,6.31089891678983,80.949509689112,1.27272744848224,1.59229294949079,1.03626110762466,79.5016298220541
"2012-09-17",NA,6.30985538481205,80.9342622827767,1.27314564252335,1.59249553131265,1.03644858509835,79.5418215753587
"2012-09-18",NA,6.30880079040464,80.9191024266437,1.27356903559879,1.59269191812834,1.03663483281226,79.5834968163933
"2012-09-19",NA,6.30773562408052,80.9040460627898,1.27399732507583,1.59288183963473,1.03681982117958,79.6266693583602
"2012-09-20",NA,6.30666038470219,80.889108426818,1.27443022090064,1.59306503847022,1.0370035240713,79.6713526864652
"2012-09-21",NA,6.30557557661511,80.8743040168777,1.2748674458347,1.59324126930947,1.03718591956651,79.7175597747242
"2012-09-24",NA,6.30448170761196,80.8596467279818,1.27530873196889,1.59341029878769,1.03736698780963,79.7653030013517
"2012-09-25",NA,6.3033792887611,80.8451498415915,1.27575382095617,1.59357190584115,1.03754671258846,79.8145941007343
"2012-09-26",NA,6.30226883609874,80.8308260895457,1.27620246176237,1.59372588122398,1.03772508001928,79.8654440072799
"2012-09-27",NA,6.30115086922456,80.8166877179238,1.2766544092421,1.59387202620121,1.03790207681908,79.9178628267787
"2012-09-28",NA,6.30002590907387,80.8027465673706,1.27710942271324,1.59401015124514,1.03807768940515,79.9718597823149
"2012-10-08",NA,6.29315879170907,80.7238475398745,1.27989107170323,1.5946611492908,1.03910157065889,80.3293874364754
"2012-10-09",NA,6.29199967018637,80.7115811764353,1.28036125417917,1.59473863134591,1.03926704740883,80.3946173251575
"2012-10-10",NA,6.29083780339791,80.6995906351676,1.28083278299814,1.5948068951436,1.03943094693769,80.4614692942828
"2012-10-11",NA,6.28967372799392,80.6878837607053,1.28130547142988,1.59486581600736,1.03959321378044,80.5299452509838
"2012-10-12",NA,6.28850798007164,80.6764681250329,1.2817791348801,1.59491527140725,1.03975378568011,80.6000461386615
"2012-10-15",NA,6.28734109214296,80.665350928986,1.28225359358851,1.59495514300248,1.03991259476086,80.6717719830712
"2012-10-16",NA,6.28617359051606,80.6545389656348,1.28272867325984,1.59498531744755,1.04006956622153,80.7451219336378
"2012-10-17",NA,6.28500599309093,80.6440386455466,1.28320420486762,1.59500568637582,1.0402246186833,80.8200942916575
"2012-10-18",NA,6.28383880798184,80.6338557821738,1.28368003024495,1.59501614845386,1.04037766619165,80.8966865874604
"2012-10-19",NA,6.28267252986642,80.6239955300572,1.28415600312789,1.59501660978634,1.04052862187251,80.9748955783592
"2012-10-22",NA,6.28150764191482,80.6144625254442,1.2846319868921,1.59500698019145,1.04067739704219,81.0547173492702
"2012-10-23",NA,6.28034461668522,80.6052609937065,1.28510785228918,1.59498717154743,1.04082389990507,81.1361472968845
"2012-10-24",NA,6.27918391350513,80.5963947243398,1.28558347890344,1.59495709820972,1.04096803507859,81.2191803323254
"2012-10-25",NA,6.27802598081224,80.5878672235819,1.28605875164827,1.59491667453907,1.04110970105259,81.3038108433429
"2012-10-26",NA,6.27687125312068,80.5796817222099,1.28653356015619,1.5948658186342,1.04124879384995,81.3900326269187
"2012-10-29",NA,6.27572014839943,80.5718412534703,1.28700779734232,1.59480445565542,1.04138520738144,81.4778390775
"2012-10-30",NA,6.27457307061649,80.5643486109919,1.2874813592081,1.59473251701885,1.04151883380152,81.5672228661444
"2012-10-31",NA,6.27343041207474,80.557206455368,1.28795414299184,1.59464993752835,1.04164956179855,81.6581759662207
"2012-11-01",NA,6.27229255194339,80.5504171891104,1.28842604945309,1.59455665705866,1.04177727777963,81.7506895420621
"2012-11-02",NA,6.27115985639956,80.5439829596028,1.28889698267726,1.5944526230697,1.04190186622991,81.8447539857738
"2012-11-05",NA,6.27003267909865,80.5379056991103,1.28936684905378,1.59433779064511,1.0420232108999,81.9403590278001
"2012-11-06",NA,6.26891136184922,80.5321873465176,1.28983555253452,1.59421211798833,1.04214119227379,82.0374938261832
"2012-11-07",NA,6.2677962346656,80.5268299242473,1.29030299278613,1.5940755648166,1.042255688346,82.1361468567716
"2012-11-08",NA,6.26668761623132,80.5218354868872,1.29076906582296,1.59392809323966,1.04236657787934,82.2363058937377
"2012-11-09",NA,6.26558581229333,80.5172061895404,1.29123366216045,1.59376966740279,1.04247373953089,82.3379578034614
"2012-11-12",NA,6.26340380465881,80.512944302294,1.29169666579576,1.59360025313442,1.04257705139287,82.4410882674984
"2012-11-13",NA,6.26232414936177,80.5090523072023,1.29215795236225,1.59341981470481,1.04267639012159,82.5456817819101
"2012-11-14",NA,6.26125240026826,80.5055329124505,1.29261738893811,1.59322831406924,1.04277163254818,82.6517216146312
"2012-11-15",NA,6.26018879058368,80.5023890704976,1.29307483344234,1.59302571052933,1.04286265563756,82.7591897250282
"2012-11-16",NA,6.25913353232777,80.4996239877991,1.29353013568489,1.59281195957207,1.04294933438223,82.8680670714236
"2012-11-19",NA,6.25704886358066,80.4972410930361,1.29398313924437,1.59258701378031,1.04303153969785,82.9783339635048
"2012-11-20",NA,6.25601983350645,80.4952441085325,1.29443367962643,1.59235082416119,1.04310913921417,83.0899700586465
"2012-11-21",NA,6.25499991229896,80.4936368982934,1.29488158738338,1.59210334106582,1.04318199972119,83.2029543452709
"2012-11-22",NA,6.253989268543,80.4924234895015,1.29532668792792,1.59184451470033,1.04324998631034,83.3172652248408
"2012-11-23",NA,6.25298806048935,80.491608089713,1.29576880176142,1.59157429646818,1.04331296151765,83.4328808165138
"2012-11-26",NA,6.25101453573849,80.4911949922887,1.29620774635664,1.59129263866383,1.04337078612238,83.5497788726873
"2012-11-27",NA,6.25004248786138,80.4911883741836,1.29664333969531,1.59099949830466,1.04342332201453,83.6679367188098
"2012-11-28",NA,6.24908041199313,80.4915922878522,1.29707540008663,1.59069483724744,1.04347043217088,83.7873310603767
"2012-11-29",NA,6.24812841714065,80.4924107397866,1.29750374474715,1.59037862189608,1.04351197980661,83.9079379795643
"2012-11-30",NA,6.24718660153031,80.4936476696819,1.29792818962217,1.59005082291421,1.04354782959587,84.0297328362756
"2012-12-03",NA,6.24625504824771,80.4953068922324,1.29834855086212,1.58971141659602,1.04357784600119,84.1526902348122
"2012-12-04",NA,6.2453338266605,80.4973920800796,1.29876464547385,1.58936038417499,1.04360189325861,84.2767841264853
"2012-12-05",NA,6.24442299259667,80.4999066639232,1.29917629321363,1.58899771485775,1.043619834952,84.4019876637029
"2012-12-06",NA,6.24352258603855,80.5028537365855,1.29958331806863,1.58862340638248,1.04363153606985,84.5282730122751
"2012-12-07",NA,6.24263263149929,80.506236109844,1.29998554726003,1.58823746475553,1.0436368625845,84.6556115311375
"2012-12-10",NA,6.24088411278051,80.5100564868218,1.30038280694113,1.58783990275268,1.04363568227408,84.783973687084
"2012-12-11",NA,6.24002553295159,80.5143175432628,1.30077491996439,1.58743073925192,1.04362786472022,84.9133290434638
"2012-12-12",NA,6.23917737559892,80.5190218722165,1.30116170654382,1.58701000105126,1.04361328172197,85.043646165788
"2012-12-13",NA,6.23833960987935,80.5241718789352,1.30154298657314,1.58657772469131,1.04359180895243,85.1748926343926
"2012-12-14",NA,6.23751219888271,80.5297696962579,1.30191858235937,1.58613395828264,1.04356332679152,85.3070352633905
"2012-12-17",NA,6.2358882581287,80.5358172072832,1.30228831887861,1.58567876003094,1.04352771950813,85.4400402283024
"2012-12-18",NA,6.23509162007728,80.5423158983792,1.30265202692765,1.5852122004874,1.04348487651196,85.5738729328876
"2012-12-19",NA,6.23430512165872,80.5492668566857,1.30300954297113,1.58473436439016,1.04343469195489,85.7084981277819
"2012-12-20",NA,6.23352869007212,80.5566706723514,1.30336071147136,1.58424535292408,1.04337706392199,85.8438799915842
"2012-12-21",NA,6.23276224176713,80.5645274315304,1.30370538515392,1.58374528391818,1.04331189279877,85.9799821620112
"2012-12-24",NA,6.23125891901939,80.5728366761183,1.30404342527584,1.58323429328793,1.0432390808817,86.1167676758049
"2012-12-25",NA,6.23052184511501,80.5815975410442,1.30437469900294,1.58271253069494,1.04315852951161,86.2541988587371
"2012-12-26",NA,6.22979435619041,80.5908087839103,1.30469907968354,1.58218015769141,1.04307013745031,86.3922375170828
"2012-12-27",NA,6.22907634398566,80.6004687730994,1.30501644671141,1.58163734834918,1.04297380050062,86.5308448560058
"2012-12-28",NA,6.22836769763901,80.6105754756998,1.30532668663186,1.58108428947975,1.04286941195615,86.6699817573277
"2012-12-31",NA,6.22766830398365,80.621126461782,1.30562969383722,1.58052117961858,1.04275686264123,86.8096089082408
"2013-01-04",NA,6.22496092814709,80.6677116443066,1.30676750336717,1.57817276683285,1.04222281298261,87.3722279296217
"2013-01-07",NA,6.22430601960087,80.6804350580561,1.30703296919645,1.57756295956081,1.04206777864675,87.5137120416734
"2013-01-08",NA,6.22365961899612,80.6935813938145,1.3072906739858,1.57694463819373,1.04190391855468,87.6554489261438
"2013-01-09",NA,6.22302158352722,80.7071464314194,1.30754053635451,1.57631810980343,1.04173112955385,87.7973993709075
"2013-01-10",NA,6.22239176296475,80.7211257880155,1.30778247521506,1.57568369347206,1.04154931183824,87.9395238763689
"2013-01-11",NA,6.22176999818314,80.7355149992571,1.30801640884313,1.575041719311,1.04135836984662,88.0817829192053
"2013-01-14",NA,6.22115611460056,80.7503092035065,1.3082422630448,1.57439253409674,1.04115821564456,88.2241372325744
"2013-01-15",NA,6.22054992222927,80.7655030490826,1.30845997436673,1.57373650029624,1.0409487665231,88.3665479953252
"2013-01-16",NA,6.21995121605338,80.7810906509417,1.30866949206956,1.57307399426841,1.04072994632167,88.5089768640937
"2013-01-17",NA,6.21935977925558,80.7970656877378,1.30887077473112,1.57240540612196,1.0405016851013,88.6513856664208
"2013-01-18",NA,6.2187753811912,80.8134214284475,1.30906378933299,1.57173113709571,1.04026391964837,88.7937361848005
"2013-01-21",NA,6.2176267068774,80.8301506761642,1.30924851489766,1.57105159983501,1.04001659274231,88.9359907178535
"2013-01-22",NA,6.2170618987913,80.8472459184137,1.30942493992849,1.57036721288336,1.03975965160037,89.0781120876236
"2013-01-23",NA,6.21650307058036,80.8646993202385,1.30959306192006,1.56967839972324,1.03949304797994,89.220063419564
"2013-01-24",NA,6.21594993177781,80.8825026427279,1.30975288769854,1.5689855894724,1.03921674076483,89.3618076828322
"2013-01-25",NA,6.21540218364846,80.9006472564692,1.30990443335226,1.56828921758191,1.03893069524889,89.5033076233443
"2013-01-28",NA,6.21432164909075,80.919124146591,1.31004772664575,1.56758972364239,1.0386348795298,89.644526420298
"2013-01-29",NA,6.21378826785246,80.9379238267248,1.31018281026398,1.56688755208524,1.03832926297401,89.7854278426273
"2013-01-30",NA,6.21325909142102,80.9570363479002,1.31030974133981,1.5661831479248,1.03801381592562,89.9259761038241
"2013-01-31",NA,6.21273383477586,80.9764511874358,1.31042859305155,1.56547695994214,1.03768851231284,90.066135807829
"2013-02-01",NA,6.21221221237596,80.9961571211634,1.31053945787741,1.56476944262965,1.03735332729827,90.2058720232074
"2013-02-04",NA,6.21066628892086,81.0161421988679,1.31064244795969,1.56406105896313,1.03700823824007,90.3451504360299
"2013-02-05",NA,6.21015633921594,81.0363937196088,1.31073769795248,1.56335227449383,1.03665322359041,90.4839377922742
"2013-02-06",NA,6.20964859269316,81.0568983846676,1.31082535919206,1.56264355970809,1.03628826427821,90.6222016377045
"2013-02-07",NA,6.20914276672924,81.0776422726443,1.31090560255106,1.5619353861867,1.03591334220248,90.7599107937429
"2013-02-08",NA,6.20863858194639,81.0986109260524,1.31097861592204,1.56122822689789,1.03552843748959,90.8970352755077
"2013-02-18",NA,6.20413131280984,81.2282874051396,1.31127689188719,1.55703360442576,1.03300796091821,91.7059551135385
"2013-02-19",NA,6.20362933288065,81.2503936011791,1.31130556848547,1.55634709471236,1.03255244148954,91.8382319504651
"2013-02-20",NA,6.20312627387382,81.2725956748337,1.31132894983484,1.55566546667367,1.03208671665996,91.9697189337708
"2013-02-21",NA,6.20262193515287,81.2948760356281,1.31134732831839,1.55498919156361,1.03161075642043,92.1003941015817
"2013-02-22",NA,6.20211613091002,81.3172170052078,1.31136100321032,1.55431872713349,1.0311245278325,92.2302361576456
"2013-02-25",NA,6.20109944694488,81.3396009404055,1.31137027694816,1.55365451873832,1.03062799481179,92.3592241982434
"2013-02-26",NA,6.20058826212295,81.3620102405403,1.31137545512709,1.5529969996139,1.0301211220491,92.4873378031873
"2013-02-27",NA,6.20007500138009,81.3844274704401,1.31137684153579,1.55234658784454,1.02960387314899,92.6145562549919
"2013-02-28",NA,6.19955954304774,81.4068353883809,1.31137473774095,1.55170368498139,1.02907620877241,92.7408585933895
"2013-03-01",NA,6.19904177617372,81.4292168210797,1.3113694459802,1.55106867713803,1.02853808685052,92.8662236950196
"2013-03-04",NA,6.19799891772564,81.4515548156424,1.31136126668283,1.55044193608292,1.02798946238949,92.990630386562
"2013-03-05",NA,6.19747364966539,81.4738327708546,1.31135049640518,1.54982381371489,1.02743028686616,93.1140577814761
"2013-03-06",NA,6.1969457203155,81.4960343907451,1.31133742783403,1.54921464562903,1.02686050845485,93.2364851913749
"2013-03-07",NA,6.19641506646867,81.5181436216408,1.3113223510311,1.54861475219897,1.0262800743253,93.3578920005965
"2013-03-08",NA,6.19588163300058,81.5401448290013,1.31130555095833,1.54802443469503,1.02568893046486,93.4782579380222
"2013-03-11",NA,6.19480622615526,81.5620226188021,1.31128731203105,1.54744397470554,1.02508702315841,93.5975633493091
"2013-03-12",NA,6.19426416132121,81.5837620888571,1.31126791399131,1.54687363066059,1.02447429757939,93.7157896266375
"2013-03-13",NA,6.19371913377677,81.605348757771,1.31124763356891,1.54631363765855,1.02385070010532,93.8329192751321
"2013-03-14",NA,6.19317110794438,81.6267685559532,1.311226744076,1.54576420728856,1.02321618022454,93.9489357647827
"2013-03-15",NA,6.19262005538971,81.6480079572372,1.31120551252199,1.54522552868868,1.02257068996727,94.0638234903035
"2013-03-18",NA,6.19150878547479,81.6690538336176,1.3111842012756,1.54469777538673,1.02191418747478,94.1775677273029
"2013-03-19",NA,6.19094853627552,81.6898932563254,1.31116307138051,1.54418110676312,1.02124663850626,94.290154249973
"2013-03-20",NA,6.19038519911935,81.7105136938075,1.31114237760387,1.54367566826895,1.02056801629685,94.4015692468703
"2013-03-21",NA,6.18981877611328,81.7309031601901,1.3111223647248,1.54318159081283,1.01987830059347,94.511799233042
