"","FG0_hpfc","USDCNH_hpfc","USDX_hpfc","GBPUSD_hpfc","EURUSD_hpfc","AUDUSD_hpfc","USDJPY_hpfc"
"2010-04-19",NA,NA,-1.66171808567997,0.00708524237556852,0.0306607243314466,0.0273670685308791,0.809033356016153
"2010-04-20",NA,NA,-1.53500248776712,0.0256000791994558,0.0398292639636222,0.0405780185994626,1.80346113569644
"2010-04-21",NA,NA,-1.46753707677819,0.0230975300972444,0.0289835212665159,0.0407860958046708,1.9888240698674
"2010-04-22",NA,NA,-0.749299290663138,0.0255774164875928,0.0251230610207427,0.0359910060061177,2.00513352766009
"2010-04-23",NA,NA,-1.41026596074977,0.024039550241616,0.0302474360263075,0.0381924382041002,2.91240005610531
"2010-04-26",NA,NA,-1.55041360863798,0.0304837326577478,0.0253561886983086,0.0383900665216706,3.11063337339232
"2010-04-27",NA,NA,-0.559718172978252,0.0209097550974743,0.0254488489487635,0.0335835492946615,2.73984199384323
"2010-04-28",NA,NA,-0.558154951544167,0.0063173963214592,0.0155249362085099,0.0317725289899985,2.80003314596533
"2010-04-29",NA,NA,-0.97569901074393,0.0107064264471499,0.0205839593888199,0.0389566341925223,3.06121292573019
"2010-04-30",NA,NA,-1.06232518626592,0.0150766129806263,0.0266254209835948,0.0351354803535877,2.94338627168553
"2010-05-04",NA,NA,0.437278823350423,0.00775950136093673,0.0116536243519345,0.0294757784207301,3.82072713814941
"2010-05-05",NA,NA,1.07356128157588,0.00407171135410767,-0.00536067686435849,0.0196363841408463,3.92589823790526
"2010-05-06",NA,NA,1.67086554978287,-0.00363590292756072,-0.0203946194571534,0.0177900407870774,3.07206969968769
"2010-05-07",NA,NA,1.22921726978974,-0.0303635950767106,-0.0214487319970523,-6.37029521869054e-05,0.859239444113344
"2010-05-10",NA,NA,1.26864139275097,-0.0101116171830083,0.00247646537569202,0.0160746942577657,2.63740412192886
"2010-05-11",NA,NA,1.50916236170992,-0.0348802087850675,-0.0276195386131462,0.00720477377797407,1.73656002870452
"2010-05-12",NA,NA,1.54080409530301,-0.0196696052416754,-0.0287372562614136,0.00832607032483397,2.32670236981432
"2010-05-13",NA,NA,2.09358988834085,-0.0324800274936577,-0.0348771884501833,0.0114381156366016,2.21782563280848
"2010-05-14",NA,NA,3.0075423987281,-0.0553116883511095,-0.0570398241816417,-0.00145956199014653,1.93992334347085
"2010-05-17",NA,NA,2.92268341896643,-0.0691647871982763,-0.0612256380412665,-0.0093674389868617,1.89298811082736
"2010-05-18",NA,NA,4.02903349835486,-0.0660395005557278,-0.0504350810364867,-0.0122859911817176,2.35701174201735
"2010-05-19",NA,NA,2.99661197807453,-0.0849359763540889,-0.0726685788665583,-0.0452156905307387,0.731985261691488
"2010-05-20",NA,NA,2.49543653386691,-0.0768543352259441,-0.0569265363828135,-0.0581570039114304,0.797898720212788
"2010-05-21",NA,NA,2.04552360279473,-0.0627946626947622,-0.0322093283984381,-0.0551103795109322,-0.305258134635354
"2010-05-24",NA,NA,3.08688859040781,-0.072757012515498,-0.0505173061954196,-0.0600762414766193,-0.177495884884515
"2010-05-25",NA,NA,3.19954605671767,-0.0767414124862902,-0.0678508077416914,-0.0760549911754656,-0.778824986386081
"2010-05-26",NA,NA,3.78350928574063,-0.0667478603304941,-0.0552101501233259,-0.0560470051413027,0.0807441783768459
"2010-05-27",NA,NA,2.81879023892917,-0.0517763220496542,-0.0565956223797188,-0.0460526284699434,0.371201548856524
"2010-05-28",NA,NA,3.32539931378691,-0.0628267360544198,-0.0590074907285032,-0.0400721830896012,1.00253703113257
"2010-05-31",NA,NA,3.21334574264011,-0.0608990193531759,-0.0564459979929992,-0.0421059718921749,1.5047403778403
"2010-06-01",NA,NA,3.24263738322873,-0.0589930629842742,-0.0709113626052228,-0.0551542812053293,0.957800927207018
"2010-06-02",NA,NA,3.21328076502667,-0.0421087328128609,-0.0614037796646222,-0.0522173799518503,2.14170739546243
"2010-06-03",NA,NA,3.61528107713379,-0.0422458703187476,-0.0589234149588105,-0.0392955142558918,2.78644810292134
"2010-06-04",NA,NA,4.72864218040425,-0.0644042995756514,-0.0864704088934657,-0.0643889086571176,2.11201048459894
"2010-06-07",NA,NA,4.9433664412846,-0.0595838271946044,-0.0860448775178232,-0.0694977714519931,2.10838082370805
"2010-06-08",NA,NA,4.67945427158945,-0.0677842331643834,-0.0906469011376023,-0.071622284321153,1.75554453043905
"2010-06-09",NA,NA,4.38690403974187,-0.0610052728443271,-0.0852765244910964,-0.0597626002176583,1.78348614346273
"2010-06-10",NA,NA,3.52571217986889,-0.0492466735743926,-0.0769337548467322,-0.0439188424888251,1.71218947577914
"2010-06-11",NA,NA,3.76587331272792,-0.0555081374774741,-0.0706185642231555,-0.0380911097784872,2.1516376031676
"2010-06-17",NA,NA,2.14988916035796,-0.0277479528833671,-0.0436319847496377,-0.0229418225143777,2.07651184251477
"2010-06-18",NA,NA,2.06668497589657,-0.0301045774092411,-0.0414532649508496,-0.0171951474612742,1.51940135241561
"2010-06-21",NA,NA,2.44477344466933,-0.0274790958946808,-0.0413013926526169,-0.0064647875826111,2.18291631207711
"2010-06-22",NA,NA,2.63414094910483,-0.039871099725042,-0.0541761749938279,-0.0147507565291376,1.61703396538072
"2010-06-23",NA,NA,2.35477286106123,-0.0212801689268921,-0.0520774020411249,-0.0170530652793973,1.25173065388182
"2010-06-24",NA,NA,2.27665346354829,-0.0157058670457329,-0.0510048414668958,-0.0223717187144964,0.336982050717037
