"TY00YDate","TY00YClose","TY00Y_hpft","TY00Y_hpfc"
2019-11-06,129.3437,129.9274223956,-0.58372239559973
2019-11-07,128.3906,129.951231678755,-1.56063167875474
2019-11-08,128.3906,129.975486848706,-1.58488684870628
2019-11-11,128.4062,130.000211411683,-1.5940114116833
2019-11-12,128.4687,130.025428218788,-1.55672821878837
2019-11-13,128.9062,130.051159462223,-1.1449594622229
2019-11-14,129.2969,130.0774266907,-0.780526690699918
2019-11-15,129.1719,130.104250979651,-0.932350979651378
2019-11-18,129.2656,130.131653081873,-0.86605308187255
2019-11-19,129.4531,130.159653364762,-0.706553364761517
2019-11-20,129.7344,130.188271837724,-0.453871837723673
2019-11-21,129.4687,130.217528218106,-0.748828218105614
2019-11-22,129.4375,130.247442035639,-0.809942035638962
2019-11-25,129.5469,130.278032510523,-0.73113251052291
2019-11-26,129.6562,130.309318528157,-0.653118528157146
2019-11-27,129.4531,130.341318671722,-0.88821867172194
2019-11-28,129.3594,130.374051254423,-1.01465125442328
2019-11-29,129.4062,130.407534222314,-1.00133422231434
2019-12-02,129.0625,130.441785102031,-1.37928510203146
2019-12-03,129.9375,130.4768210063,-0.539321006299988
2019-12-04,129.5,130.512658477705,-1.012658477705
2019-12-05,129.1719,130.549313835897,-1.37741383589732
2019-12-06,128.9219,130.586802981935,-1.66490298193521
2019-12-09,129.0469,130.625141247508,-1.57824124750823
2019-12-10,128.8594,130.664343276106,-1.80494327610598
2019-12-11,129.2344,130.704423058832,-1.47002305883198
2019-12-12,128.4375,130.745393840703,-2.30789384070302
2019-12-13,128.9844,130.787268259085,-1.80286825908484
2019-12-16,128.5625,130.830057997352,-2.26755799735209
2019-12-17,128.5,130.873773993648,-2.37377399364752
2019-12-18,128.2187,130.918426248797,-2.6997262487966
2019-12-19,128.1719,130.9640237824,-2.79212378240035
2019-12-20,128.2344,131.010574498104,-2.77617449810378
2019-12-23,128.125,131.0580851454,-2.93308514540047
2019-12-24,128.3594,131.106561326223,-2.74716132622289
2019-12-26,128.4219,131.156007430084,-2.73410743008447
2019-12-27,128.6094,131.206426710935,-2.59702671093518
2019-12-30,128.5937,131.257821292554,-2.66412129255357
2019-12-31,128.2656,131.31019222521,-3.04459222520949
2020-01-02,128.625,131.363539457935,-2.73853945793461
2020-01-03,129.375,131.417861681247,-2.04286168124654
2020-01-06,129.2656,131.473156453662,-2.20755645366234
2020-01-07,129.2031,131.529420489263,-2.3263204892629
2020-01-08,128.7812,131.586649589614,-2.8054495896138
2020-01-09,128.8594,131.644838594672,-2.78543859467249
2020-01-10,129.1094,131.703981184736,-2.59458118473583
2020-01-13,128.8906,131.764069888713,-2.87346988871346
2020-01-14,129.1875,131.82509616302,-2.63759616301958
2020-01-15,129.375,131.88705027629,-2.51205027628973
2020-01-16,129.1406,131.949921406886,-2.80932140688594
2020-01-17,129.1406,132.013697694786,-2.87309769478635
2020-01-20,129.125,132.078366118712,-2.95336611871241
2020-01-21,129.5469,132.14391246976,-2.59701246975976
2020-01-22,129.5312,132.210321318222,-2.67912131822187
2020-01-23,129.8281,132.277576160892,-2.44947616089155
2020-01-24,130.2187,132.345659387123,-2.12695938712272
2020-01-27,130.8437,132.414552373751,-1.57085237375134
2020-01-28,130.5,132.484235618415,-1.98423561841536
2020-01-29,131.0937,132.554688969426,-1.46098896942589
2020-01-30,131.0625,132.62589145489,-1.56339145489028
2020-01-31,131.7656,132.697821499002,-0.932221499001876
2020-02-03,131.5,132.77045687971,-1.27045687971047
2020-02-04,130.9219,132.843774989623,-1.9218749896229
2020-02-05,130.5312,132.917752696191,-2.38655269619116
2020-02-06,130.5625,132.992366072441,-2.42986607244054
2020-02-07,131,133.067590204893,-2.0675902048926
2020-02-10,131.1406,133.143399175658,-2.00279917565826
2020-02-11,130.8906,133.21976621219,-2.32916621218979
2020-02-12,130.6406,133.296663714064,-2.65606371406387
2020-02-13,130.7344,133.374063118073,-2.63966311807319
2020-02-14,130.9844,133.451934763102,-2.46753476310191
2020-02-17,130.9844,133.530247896901,-2.54584789690109
2020-02-18,131.1719,133.608970747244,-2.43707074724385
2020-02-19,131.0781,133.688070489552,-2.60997048955158
2020-02-20,131.4844,133.767513291859,-2.28311329185858
2020-02-21,131.8281,133.847264243342,-2.01916424334214
2020-02-24,132.7344,133.927287489433,-1.19288748943314
2020-02-25,132.8906,134.00754634092,-1.11694634092031
2020-02-26,133.0469,134.088003615501,-1.04110361550115
2020-02-27,133.75,134.168621669172,-0.418621669171841
2020-02-28,134.5937,134.249362427579,0.344337572421032
2020-03-02,134.4687,134.330187643327,0.138512356672668
2020-03-03,135.9219,134.411059211357,1.51084078864283
2020-03-04,135.4844,134.491939083864,0.992460916135968
2020-03-05,136.5312,134.572789837564,1.95841016243561
2020-03-06,137.5156,134.653574459418,2.86202554058193
2020-03-09,139,134.734256745913,4.26574325408711
2020-03-10,137.1875,134.814801676583,2.3726983234167
2020-03-11,137.2031,134.89517599425,2.30792400575006
2020-03-12,138.0156,134.975347422512,3.04025257748789
2020-03-13,136.1875,135.055284638971,1.13221536102861
2020-03-16,138.0312,135.134957577948,2.89624242205173
2020-03-17,135.2344,135.214336641774,0.0200633582257158
2020-03-18,134.4062,135.293393429973,-0.887193429972861
2020-03-19,135.0781,135.372099550359,-0.293999550359166
2020-03-20,137.3906,135.450426244019,1.94017375598085
2020-03-23,138.0937,135.528344630511,2.56535536948871
2020-03-24,137.3125,135.605826631384,1.70667336861601
2020-03-25,137.2187,135.6828452286,1.53585477140029
2020-03-26,137.3437,135.759374109593,1.5843258904074
2020-03-27,138.7187,135.835387596655,2.88331240334536
2020-03-30,138.4062,135.910860666977,2.49533933302318
2020-03-31,138.7812,135.985769489595,2.79543051040488
2020-04-01,139.2656,136.060091265018,3.20550873498215
2020-04-02,139.0469,136.133804349272,2.91309565072829
2020-04-03,139.0625,136.206888423412,2.85561157658815
2020-04-06,138.4687,136.279324372651,2.1893756273487
2020-04-07,138.1094,136.351094262596,1.7583057374035
2020-04-08,137.7656,136.422181063855,1.34341893614474
2020-04-09,138.1719,136.492568473847,1.67933152615271
2020-04-13,137.9062,136.562240745308,1.34395925469248
2020-04-14,138.1719,136.631182825139,1.54071717486083
2020-04-15,139.1562,136.699380215784,2.45681978421615
2020-04-16,139.0469,136.766819056552,2.28008094344816
2020-04-17,138.9687,136.83348650231,2.13521349769045
2020-04-20,139.2344,136.899370650413,2.33502934958678
2020-04-21,139.375,136.964460480831,2.41053951916853
2020-04-22,139.0156,137.02874593874,1.98685406125952
2020-04-23,139.0625,137.092217965734,1.97028203426608
2020-04-24,139,137.154868324694,1.84513167530588
2020-04-27,138.6094,137.216689592938,1.3927104070622
2020-04-28,138.9687,137.277675110484,1.69102488951625
2020-04-29,138.9375,137.337818793043,1.59968120695705
2020-04-30,138.8594,137.397115255328,1.46228474467189
2020-05-01,139.0625,137.455559773294,1.60694022670616
2020-05-04,138.9219,137.513148227347,1.40875177265341
2020-05-05,138.7969,137.569877162134,1.22702283786552
2020-05-06,138.5781,137.625743704631,0.95235629536905
2020-05-07,139.1875,137.680745489008,1.5067545109917
2020-05-08,138.875,137.734880543107,1.1401194568925
2020-05-11,138.7187,137.788147517596,0.930552482403836
2020-05-12,139.0469,137.840545534425,1.206354465575
2020-05-13,139.2031,137.892074100199,1.31102589980056
2020-05-14,139.375,137.94273322018,1.43226677982024
2020-05-15,139.2969,137.992523441554,1.30437655844644
2020-05-18,138.6875,138.041445903548,0.646054096451903
2020-05-19,139.0156,138.089502284571,0.926097715428982
2020-05-20,139.0469,138.136694530078,0.910205469921868
2020-05-21,139.0469,138.183024968341,0.863875031658502
2020-05-22,139.1719,138.228496303872,0.943403696127934
2020-05-25,139.2031,138.273111598272,0.92998840172778
2020-05-26,138.9531,138.316874303112,0.636225696888398
2020-05-27,139.0469,138.359788254379,0.687111745621098
2020-05-28,139.0312,138.401857551052,0.629342448947998
2020-05-29,139.0156,138.443086576135,0.572513423865285
2020-06-01,139,138.483479972774,0.516520027226076
2020-06-02,138.8281,138.52304262077,0.305057379230329
2020-06-03,138.2969,138.561779613434,-0.264879613433922
