"ZL00YDate","ZL00YClose","ZL00Y_hpft","ZL00Y_hpfc"
2010-03-08,40.28,38.2515764782289,2.02842352177106
2010-03-09,40.3,38.2518578148066,2.04814218519342
2010-03-10,41.02,38.2521931569254,2.76780684307464
2010-03-11,40.11,38.2525885643486,1.85741143565138
2010-03-12,39.55,38.2530512409397,1.2969487590603
2010-03-15,38.75,38.2535891583412,0.496410841658833
2010-03-16,39.37,38.2542108243022,1.11578917569782
2010-03-17,39.83,38.254924951768,1.57507504823198
2010-03-18,39.25,38.2557407149064,0.994259285093641
2010-03-19,39.3,38.2566679389575,1.04333206104247
2010-03-22,39.72,38.2577168601489,1.46228313985107
2010-03-23,39.54,38.258898145979,1.28110185402101
2010-03-24,39.08,38.2602230683957,0.819776931604309
2010-03-25,38.7,38.2617034289026,0.438296571097383
2010-03-26,38.95,38.2633513678663,0.686648632133739
2010-03-29,39.27,38.2651792068275,1.00482079317246
2010-03-30,38.67,38.2671995511602,0.40280044883979
2010-03-31,38.31,38.2694254215905,0.040574578409501
2010-04-01,38.98,38.2718700053459,0.708129994654089
2010-04-05,39.35,38.2745465064262,1.07545349357375
2010-04-06,39.77,38.2774684215431,1.4925315784569
2010-04-07,40.03,38.2806496919581,1.74935030804192
2010-04-08,39.92,38.2841048758851,1.63589512411494
2010-04-09,40.52,38.2878492546495,2.23215074535054
2010-04-12,40.05,38.2918987857888,1.75810121421118
2010-04-13,40.19,38.296270349523,1.89372965047702
2010-04-14,40.31,38.3009815527991,2.00901844720088
2010-04-15,40.53,38.3060507853575,2.22394921464245
2010-04-16,40.27,38.311497267385,1.95850273261503
2010-04-19,39.39,38.3173411383595,1.07265886164051
2010-04-20,39.54,38.3236033473262,1.21639665267382
2010-04-21,39.36,38.3303052867229,1.02969471327711
2010-04-22,39.54,38.3374688517976,1.20253114820241
2010-04-23,39.86,38.3451163634331,1.51488363656692
2010-04-26,39.74,38.3532706395888,1.38672936041115
2010-04-27,39.56,38.3619551244182,1.19804487558178
2010-04-28,38.92,38.3711938352909,0.548806164709119
2010-04-29,39.15,38.3810112848019,0.768988715198124
2010-04-30,38.93,38.3914322123988,0.538567787601163
2010-05-03,39.01,38.4024816754002,0.607518324599808
2010-05-04,38.68,38.4141849537445,0.265815046255549
2010-05-05,38.93,38.426567578496,0.503432421503965
2010-05-06,38.12,38.4396551905951,-0.319655190595082
2010-05-07,38.44,38.4534736390808,-0.013473639080791
2010-05-10,38.39,38.46804864086,-0.0780486408600137
2010-05-11,38.32,38.4834059072712,-0.163405907271201
2010-05-12,38.43,38.4995711173878,-0.0695711173877844
2010-05-13,38.05,38.5165698827404,-0.46656988274044
2010-05-14,37.51,38.5344277861013,-1.02442778610127
2010-05-17,37.13,38.5531702173806,-1.42317021738061
2010-05-18,37.19,38.5728221430318,-1.38282214303185
2010-05-19,37.5,38.5934079412271,-1.09340794122706
2010-05-20,37.39,38.6149514185331,-1.22495141853308
2010-05-21,36.96,38.6374759295498,-1.67747592954977
2010-05-24,37.52,38.6610043225288,-1.14100432252882
2010-05-25,37.17,38.6855587523215,-1.51555875232152
2010-05-26,37.85,38.7111609021333,-0.861160902133312
2010-05-27,38.18,38.7378318287007,-0.557831828700697
2010-05-28,37.61,38.7655922327888,-1.15559223278881
2010-06-01,37.52,38.7944625845776,-1.27446258457757
2010-06-02,37.42,38.8244628765723,-1.4044628765723
2010-06-03,37.66,38.8556125744666,-1.19561257446664
2010-06-04,36.78,38.887930563405,-2.10793056340495
2010-06-07,36.47,38.9214352343159,-2.45143523431586
2010-06-08,36.67,38.9561441067915,-2.28614410679151
2010-06-09,36.75,38.9920736870992,-2.24207368709917
2010-06-10,36.75,39.0292395365078,-2.27923953650785
2010-06-11,36.9,39.0676562895026,-2.16765628950263
2010-06-14,37.39,39.1073376384231,-1.7173376384231
2010-06-15,38.89,39.1482963795859,-0.258296379585865
2010-06-16,39.22,39.1905445994307,0.0294554005693448
2010-06-17,39.12,39.2340942776258,-0.114094277625754
2010-06-18,38.96,39.2789574060177,-0.318957406017675
2010-06-21,39.01,39.3251459292906,-0.315145929290592
2010-06-22,38.9,39.3726716602829,-0.472671660282886
2010-06-23,38.54,39.4215462815636,-0.881546281563636
2010-06-24,38.08,39.4717812803215,-1.39178128032151
2010-06-25,38.03,39.5233877793466,-1.49338777934657
2010-06-28,37.8,39.5763763261243,-1.77637632612431
2010-06-29,36.81,39.6307568508332,-2.82075685083319
2010-06-30,37.17,39.6865385493685,-2.51653854936852
2010-07-01,36.72,39.7437294516399,-3.02372945163989
2010-07-02,36.87,39.8023365473184,-2.93233654731841
2010-07-06,36.69,39.8623655761896,-3.17236557618959
2010-07-07,37.69,39.9238210659282,-2.23382106592819
2010-07-08,37.69,39.9867062328789,-2.29670623287893
2010-07-09,38.27,40.0510233700158,-1.78102337001577
2010-07-12,38.36,40.1167738209475,-1.75677382094746
