"ZS00YDate","ZS00YClose","ZS00Y_hpft","ZS00Y_hpfc"
2019-11-22,895.75,900.796316586749,-5.0463165867493
2019-11-25,892.25,900.709942035295,-8.45994203529463
2019-11-26,884.5,900.612904814755,-16.1129048147548
2019-11-27,882,900.505214494352,-18.5052144943518
2019-11-29,876.5,900.386873982844,-23.8868739828445
2019-12-02,872.5,900.257878539702,-27.7578785397024
2019-12-03,872.75,900.118213550532,-27.3682135505321
2019-12-04,878.25,899.967852926923,-21.7178529269227
2019-12-05,885,899.806759267575,-14.8067592675753
2019-12-06,889,899.634886193867,-10.6348861938666
2019-12-09,897.25,899.452181206691,-2.20218120669069
2019-12-10,900.25,899.258587410913,0.991412589087393
2019-12-11,892.25,899.054047001083,-6.80404700108264
2019-12-12,897.75,898.838502581547,-1.08850258154691
2019-12-13,906.75,898.611893944148,8.13810605585226
2019-12-16,920.75,898.374160430791,22.3758395692095
2019-12-17,927.75,898.125244747333,29.6247552526666
2019-12-18,927.25,897.865098848907,29.3849011510926
2019-12-19,925,897.593686936333,27.4063130636665
2019-12-20,927.75,897.31098535699,30.43901464301
2019-12-23,932.75,897.01698178688,35.7330182131199
2019-12-24,945,896.7116764843,48.2883235156998
2019-12-26,946,896.395084478148,49.6049155218516
2019-12-27,942.25,896.06724075774,46.1827592422605
2019-12-30,952.5,895.728200817085,56.7717991829153
2019-12-31,956,895.378039240306,60.6219607596943
2020-01-02,955.5,895.016854078673,60.4831459213268
2020-01-03,941.25,894.644768442149,46.6052315578509
2020-01-06,944.25,894.261930442012,49.9880695579879
2020-01-07,944,893.868507454242,50.1314925457577
2020-01-08,946.75,893.464687517911,53.285312482089
2020-01-09,942.5,893.050679394419,49.4493206055813
2020-01-10,945.75,892.626713871153,53.1232861288465
2020-01-13,941.25,892.193042175868,49.056957824132
2020-01-14,941.5,891.749937495362,49.7500625046381
2020-01-15,929.5,891.297693294614,38.202306705386
2020-01-16,924.5,890.836623603244,33.6633763967565
2020-01-17,929.25,890.3670582422,38.8829417577997
2020-01-21,915.5,889.889340947513,25.6106590524873
2020-01-22,914,889.403831527838,24.5961684721616
2020-01-23,908.75,888.910900378284,19.8390996217164
2020-01-24,902.25,888.410928060979,13.8390719390211
2020-01-27,897.5,887.90430333877,9.59569666123021
2020-01-28,895.5,887.39142069501,8.10857930499044
2020-01-29,892.75,886.872678579539,5.87732142046138
2020-01-30,876,886.348478793946,-10.3484787939461
2020-01-31,872.75,885.819225569263,-13.0692255692626
2020-02-03,875.75,885.285318858889,-9.53531885888891
2020-02-04,879.5,884.747153213933,-5.24715321393284
2020-02-05,880,884.205119243969,-4.20511924396892
2020-02-06,883,883.659605389629,-0.659605389628898
2020-02-07,882.75,883.110998353306,-0.360998353305586
2020-02-10,885,882.559684564729,2.44031543527103
2020-02-11,885,882.006050304429,2.99394969557098
2020-02-12,891.75,881.450482861649,10.2995171383506
2020-02-13,895.75,880.893370763216,14.8566292367842
2020-02-14,892.75,880.335106793356,12.4148932066435
2020-02-18,901.75,879.776089877438,21.9739101225617
2020-02-19,905.25,879.216724072644,26.0332759273565
2020-02-20,901,878.657422519286,22.3425774807145
2020-02-21,896.25,878.098609118786,18.1513908812141
2020-02-24,883.75,877.54071700809,6.20928299191046
2020-02-25,888.25,876.984186827199,11.265813172801
2020-02-26,891,876.42946178278,14.5705382172197
2020-02-27,895.25,875.876989738338,19.3730102616618
2020-02-28,892.75,875.32722458025,17.4227754197502
2020-03-02,901,874.780628202919,26.2193717970808
2020-03-03,904.5,874.237669702563,30.2623302974369
2020-03-04,907.25,873.698829013546,33.5511709864537
2020-03-05,897,873.164598579414,23.8354014205862
2020-03-06,889.75,872.635484712408,17.1145152875921
2020-03-09,871.5,872.112003577364,-0.612003577364317
2020-03-10,876.75,871.59467841358,5.15532158641949
2020-03-11,873.5,871.084032207373,2.41596779262677
2020-03-12,857.5,870.580590076061,-13.0805900760614
2020-03-13,847.5,870.084878135624,-22.5848781356241
2020-03-16,825,869.597417095054,-44.5974170950539
2020-03-17,825,869.118718327669,-44.1187183276692
2020-03-18,826,868.649274771991,-42.649274771991
2020-03-19,843.75,868.189561129674,-24.4395611296736
2020-03-20,863.25,867.740034472834,-4.49003447283443
2020-03-23,883,867.301141771286,15.698858228714
2020-03-24,886,866.873328138804,19.1266718611959
2020-03-25,882.5,866.457045178496,16.0429548215036
2020-03-26,879,866.05275239966,12.9472476003397
2020-03-27,883.5,865.660915943044,17.839084056956
2020-03-30,882.5,865.282007301311,17.2179926986889
2020-03-31,885.5,864.916505341096,20.5834946589036
2020-04-01,863.25,864.564896046242,-1.31489604624222
2020-04-02,859.25,864.227673908961,-4.97767390896067
2020-04-03,853.5,863.905332877979,-10.4053328779794
2020-04-06,855.75,863.598364844427,-7.84836484442692
2020-04-07,856,863.307257398322,-7.30725739832216
2020-04-08,854.5,863.032494885445,-8.53249488544456
2020-04-09,863.25,862.774558631065,0.475441368935314
2020-04-13,862,862.533926433476,-0.533926433475829
2020-04-14,855.25,862.311076287434,-7.06107628743387
2020-04-15,850.75,862.106485967086,-11.3564859670858
2020-04-16,845.75,861.920630327782,-16.1706303277816
2020-04-17,841.5,861.753979530521,-20.2539795305207
2020-04-20,834.75,861.606997052031,-26.8569970520306
2020-04-21,841.25,861.48013799686,-20.2301379968598
2020-04-22,843,861.373846368021,-18.3738463680213
2020-04-23,847,861.288557806107,-14.2885578061074
2020-04-24,837.5,861.224700356716,-23.7247003567158
2020-04-27,836.5,861.182696159175,-24.6826961591749
2020-04-28,830.75,861.162957545948,-30.4129575459475
2020-04-29,837.25,861.165886646645,-23.9158866466449
2020-04-30,855.5,861.191873019412,-5.69187301941168
2020-05-01,849,861.241296336523,-12.2412963365232
2020-05-04,835.5,861.314533917446,-25.8145339174459
2020-05-05,838.5,861.411958021597,-22.9119580215975
2020-05-06,832.75,861.53393023773,-28.7839302377296
2020-05-07,843.75,861.680802683672,-17.9308026836719
2020-05-08,850.5,861.852915579197,-11.3529155791969
2020-05-11,854.25,862.050601732124,-7.80060173212367
2020-05-12,852.25,862.274189257461,-10.0241892574614
2020-05-13,838.75,862.524003045764,-23.7740030457639
2020-05-14,837.5,862.800363844034,-25.300363844034
2020-05-15,837.25,863.10358257199,-25.8535825719898
2020-05-18,844.5,863.433959691227,-18.9339596912274
2020-05-19,843,863.791784976481,-20.7917849764805
2020-05-20,846.5,864.177340375978,-17.6773403759785
2020-05-21,835.25,864.590899243534,-29.340899243534
2020-05-22,833.25,865.032727625696,-31.7827276256965
2020-05-26,847.25,865.503079440825,-18.2530794408252
2020-05-27,849.25,866.002195469475,-16.7521954694748
2020-05-28,846.5,866.530308947147,-20.0303089471472
2020-05-29,840.75,867.087646184672,-26.337646184672
2020-06-01,841,867.674425213127,-26.6744252131272
2020-06-02,852,868.290853176685,-16.2908531766845
2020-06-03,858,868.93712619333,-10.9371261933303
2020-06-04,868.25,869.613433647188,-1.3634336471875
2020-06-05,868.25,870.319960401267,-2.06996040126688
2020-06-08,864,871.056890755139,-7.05689075513911
2020-06-09,863.75,871.824408152605,-8.07440815260465
2020-06-10,866.25,872.622693120546,-6.37269312054634
2020-06-11,866.25,873.451922848007,-7.20192284800723
2020-06-12,872,874.312271890054,-2.31227189005443
2020-06-15,870,875.203911824646,-5.2039118246455
2020-06-16,867.25,876.127013273979,-8.87701327397892
2020-06-17,871.5,877.081744709051,-5.58174470905142
2020-06-18,873.5,878.068270931669,-4.56827093166865
