"CF0Date","CF0Close","CF0_hpft","CF0_hpfc"
2010-01-04,16610,15944.1820758239,665.817924176065
2010-01-05,16525,15948.4459805057,576.554019494344
2010-01-06,16320,15952.7101604097,367.289839590266
2010-01-07,16035,15956.9751290828,78.0248709172304
2010-01-08,15960,15961.2415518942,-1.24155189421372
2010-01-11,16040,15965.5101264659,74.4898735341258
2010-01-12,16875,15969.7815499063,905.218450093659
2010-01-13,16425,15974.0565501153,450.943449884681
2010-01-14,16465,15978.3362291734,486.66377082658
2010-01-15,16325,15982.6218755627,342.378124437302
2010-01-18,16350,15986.9149789333,363.085021066656
2010-01-19,16360,15991.2171704605,368.782829539547
2010-01-20,16035,15995.5302314038,39.4697685961645
2010-01-21,16240,15999.8560954634,240.143904536643
2010-01-22,16305,16004.196712654,300.80328734597
2010-01-25,16300,16008.5541322568,291.445867743241
2010-01-26,15910,16012.9305278924,-102.930527892385
2010-01-27,15970,16017.3281936538,-47.3281936537541
2010-01-28,15905,16021.7493810864,-116.749381086396
2010-01-29,15880,16026.1963221723,-146.196322172289
2010-02-01,15995,16030.6712006338,-35.6712006338078
2010-02-02,15780,16035.1761397618,-255.176139761808
2010-02-03,16065,16039.713248102,25.2867518980384
2010-02-04,16115,16044.2845287204,70.7154712795874
2010-02-05,16045,16048.8919951359,-3.89199513594836
2010-02-08,15805,16053.5376900981,-248.537690098116
2010-02-09,15940,16058.2236547478,-118.223654747768
2010-02-10,16150,16062.9518274903,87.0481725097188
2010-02-11,16190,16067.7240978621,122.275902137889
2010-02-12,16230,16072.5423913819,157.457608618057
2010-02-22,16765,16077.4086841123,687.591315887693
2010-02-23,16835,16082.3250172025,752.674982797477
2010-02-24,16615,16087.2937160243,527.706283975694
2010-02-25,16435,16092.3174170752,342.682582924833
2010-02-26,16780,16097.398974985,682.601025014988
2010-03-01,16775,16102.5413860351,672.458613964881
2010-03-02,16630,16107.7479286664,522.252071333605
2010-03-03,16830,16113.0221592872,716.977840712777
2010-03-04,16685,16118.3678501838,566.632149816223
2010-03-05,16755,16123.7890700125,631.210929987452
2010-03-08,16845,16129.2901216523,715.709878347679
2010-03-09,17085,16134.8755688997,950.124431100337
2010-03-10,16910,16140.5502713964,769.44972860363
2010-03-11,16770,16146.3194815278,623.680518472186
2010-03-12,16850,16152.1887697389,697.811230261151
