"EB0Date","EB0Close","EB0_hpft","EB0_hpfc"
2019-09-27,7982,7797.44562341423,184.554376585771
2019-09-30,7976,7783.07001989271,192.92998010729
2019-10-08,7968,7768.69449265855,199.305507341451
2019-10-09,7952,7754.3191977486,197.6808022514
2019-10-10,7843,7739.9443735846,103.055626415402
2019-10-11,7826,7725.57034030158,100.429659698424
2019-10-14,7770,7711.19746063362,58.8025393663817
2019-10-15,7649,7696.82613882838,-47.8261388283834
2019-10-16,7526,7682.45680344015,-156.456803440145
2019-10-17,7478,7668.089863254,-190.089863254003
2019-10-18,7546,7653.72566238165,-107.725662381646
2019-10-21,7494,7639.36446635948,-145.364466359481
2019-10-22,7469,7625.00649619447,-156.006496194468
2019-10-23,7447,7610.65191280573,-163.651912805726
2019-10-24,7509,7596.30081262558,-87.3008126255792
2019-10-25,7456,7581.95322443923,-125.953224439232
2019-10-28,7430,7567.60914094523,-137.609140945231
2019-10-29,7383,7553.26850277812,-170.268502778123
2019-10-30,7336,7538.93119369038,-202.93119369038
2019-10-31,7325,7524.59702705232,-199.597027052318
2019-11-01,7248,7510.26573235065,-262.265732350654
2019-11-04,7312,7495.93695656672,-183.936956566723
2019-11-05,7331,7481.61023827176,-150.610238271756
2019-11-06,7330,7467.28504000484,-137.285040004839
2019-11-07,7258,7452.96076204884,-194.960762048843
2019-11-08,7087,7438.63674793852,-351.636747938522
2019-11-11,6963,7424.31226061969,-461.312260619694
2019-11-12,6951,7409.98641768568,-458.986417685683
2019-11-13,6964,7395.65814604187,-431.658146041871
2019-11-14,6940,7381.32618286712,-441.326182867118
2019-11-15,6949,7366.98908691016,-417.989086910159
2019-11-18,7004,7352.64523449323,-348.645234493231
2019-11-19,6954,7338.29282915871,-384.292829158707
2019-11-20,6930,7323.92993033302,-393.929930333023
2019-11-21,6974,7309.5544385914,-335.554438591401
2019-11-22,6986,7295.1640916743,-309.164091674297
2019-11-25,7086,7280.75648861744,-194.756488617443
2019-11-26,7150,7266.3291006606,-116.329100660604
2019-11-27,7141,7251.87931853897,-110.87931853897
2019-11-28,7152,7237.40448490198,-85.4044849019797
2019-11-29,7125,7222.90189656601,-97.9018965660141
2019-12-02,7056,7208.36881504476,-152.368815044759
2019-12-03,7167,7193.80246138318,-26.8024613831754
2019-12-04,7176,7179.19999364291,-3.19999364291013
2019-12-05,7302,7164.55855880674,137.441441193262
2019-12-06,7327,7149.87530253465,177.124697465348
2019-12-09,7276,7135.1474272993,140.852572700704
2019-12-10,7376,7120.37220878966,255.627791210336
2019-12-11,7268,7105.54698091756,162.453019082444
2019-12-12,7326,7090.66918326094,235.330816739055
2019-12-13,7323,7075.73632254942,247.263677450584
2019-12-16,7346,7060.74600278881,285.253997211192
2019-12-17,7430,7045.69593019386,384.304069806145
2019-12-18,7364,7030.58392889176,333.416071108243
2019-12-19,7434,7015.40798186556,418.592018134442
2019-12-20,7404,7000.16620991911,403.833790080894
2019-12-23,7350,6984.85690688544,365.143093114557
2019-12-24,7359,6969.47853352626,389.521466473738
2019-12-25,7351,6954.02970153851,396.970298461491
2019-12-26,7366,6938.50918363194,427.490816368065
2019-12-27,7408,6922.91591660774,485.084083392259
2019-12-30,7375,6907.24901397455,467.750986025455
2019-12-31,7276,6891.50778975532,384.492210244675
2020-01-02,7291,6875.69175132314,415.308248676856
