"USPMIDate","USPMI","USPMI_hpft","USPMI_hpfc"
2023-05-01,46.9,45.7925477801355,1.10745221986446
2023-04-01,47.1,46.5957335329843,0.504266467015682
2023-03-01,46.3,47.399842162683,-1.09984216268299
2023-02-01,47.7,48.2062167681373,-0.506216768137274
2023-01-01,47.4,49.0152839131174,-1.61528391311735
2022-12-01,48.4,49.8270483140866,-1.42704831408659
2022-11-01,49,50.6401686175808,-1.64016861758078
2022-10-01,50.2,51.4521142632073,-1.25211426320731
2022-09-01,50.9,52.2589878833922,-1.35898788339223
2022-08-01,52.8,53.0558486820089,-0.255848682008875
2022-07-01,52.8,53.8366233730279,-1.03662337302786
2022-06-01,53,54.5950254631847,-1.59502546318473
2022-05-01,56.1,55.3239046064042,0.776095393595769
2022-04-01,55.4,56.014781268725,-0.614781268725048
2022-03-01,57.1,56.6598226623472,0.440177337652781
2022-02-01,58.6,57.2506836817468,1.34931631825317
2022-01-01,57.6,57.7793860358481,-0.179386035848111
2021-12-01,58.7,58.2390758638404,0.460924136159629
2021-11-01,61.1,58.6227498165498,2.47725018345025
2021-10-01,60.8,58.9237886482492,1.87621135175077
2021-09-01,61.1,59.1376374883646,1.96236251163537
2021-08-01,59.9,59.2613049757815,0.638695024218544
2021-07-01,59.5,59.2934350514785,0.206564948521498
2021-06-01,60.6,59.2332039022878,1.36679609771221
2021-05-01,61.2,59.0799598524987,2.12004014750131
2021-04-01,60.7,58.8341902231487,1.86580977685132
2021-03-01,64.7,58.4981490353979,6.20185096460212
2021-02-01,60.8,58.0756451518873,2.7243548481127
2021-01-01,58.7,57.5756556443951,1.1243443556049
2020-12-01,60.7,57.0094278804062,3.69057211959378
2020-11-01,57.5,56.3891461810353,1.11085381896473
2020-10-01,59.3,55.7300703441631,3.56992965583687
2020-09-01,55.4,55.0483858791865,0.351614120813508
2020-08-01,56,54.3632532368819,1.63674676311806
2020-07-01,54.2,53.6941258797934,0.505874120206587
2020-06-01,52.6,53.0618212261007,-0.461821226100745
2020-05-01,43.1,52.4875782557507,-9.38757825575066
2020-04-01,41.5,51.9922510976681,-10.4922510976681
2020-03-01,49.1,51.5888708988981,-2.48887089889811
2020-02-01,50.1,51.2817252639047,-1.18172526390473
2020-01-01,50.9,51.0730277380691,-0.173027738069093
2019-12-01,47.2,50.9640070957193,-3.76400709571926
2019-11-01,48.1,50.9557479214017,-2.85574792140168
2019-10-01,48.3,51.046198127083,-2.74619812708301
2019-09-01,47.8,51.2309258347953,-3.43092583479528
2019-08-01,49.1,51.5032106681314,-2.40321066813136
2019-07-01,51.2,51.8534731458218,-0.65347314582182
2019-06-01,51.7,52.2701311110405,-0.570131111040462
2019-05-01,52.1,52.7410578460061,-0.641057846006142
2019-04-01,52.8,53.2536515236786,-0.453651523678594
2019-03-01,55.3,53.7947761021458,1.50522389785416
2019-02-01,54.2,54.3509174965595,-0.150917496559519
2019-01-01,56.6,54.9098159753195,1.69018402468051
2018-12-01,54.3,55.4590860422451,-1.15908604224514
2018-11-01,59.3,55.987750687843,3.31224931215696
2018-10-01,57.7,56.4838669975846,1.21613300241536
2018-09-01,59.8,56.9382522647015,2.86174773529847
2018-08-01,61.3,57.3427372265939,3.95726277340609
2018-07-01,58.1,57.6915374104414,0.408462589558625
2018-06-01,60.2,57.9821660624015,2.21783393759852
2018-05-01,58.7,58.2124768141229,0.487523185877073
2018-04-01,57.3,58.3821714922025,-1.08217149220251
2018-03-01,59.3,58.4913581925586,0.808641807441374
2018-02-01,60.8,58.5392432015327,2.26075679846725
2018-01-01,59.1,58.5257066736392,0.574293326360797
2017-12-01,59.3,58.4525127273911,0.847487272608849
2017-11-01,58.2,58.3219040590736,-0.12190405907363
2017-10-01,58.7,58.1368296043655,0.563170395634485
2017-09-01,60.8,57.9001367122299,2.89986328777013
2017-08-01,58.8,57.6151420402927,1.1848579597073
2017-07-01,56.3,57.2875787989199,-0.987578798919864
2017-06-01,57.8,56.9241675801103,0.875832419889717
2017-05-01,54.9,56.5308059935304,-1.63080599353044
2017-04-01,54.8,56.1141215091968,-1.31412150919677
2017-03-01,57.2,55.6793825921311,1.52061740786891
2017-02-01,57.7,55.2307626060975,2.46923739390247
2017-01-01,56,54.7737020960335,1.22629790396652
2016-12-01,54.5,54.3156993047045,0.184300695295482
2016-11-01,53.2,53.8652743897962,-0.665274389796223
2016-10-01,51.9,53.4311010929069,-1.53110109290693
2016-09-01,51.5,53.0212987603102,-1.52129876031016
2016-08-01,49.4,52.642710820702,-3.24271082070198
2016-07-01,52.6,52.3009129538116,0.299087046188443
2016-06-01,53.2,51.9987785803508,1.20122141964922
2016-05-01,51.3,51.7394303602367,-0.439430360236717
2016-04-01,50.8,51.5269919712361,-0.726991971236146
2016-03-01,51.8,51.3652208991489,0.434779100851063
2016-02-01,49.5,51.2572688031323,-1.75726880313231
2016-01-01,48.2,51.2066496582609,-3.00664965826086
2015-12-01,48,51.2154130489399,-3.21541304893989
2015-11-01,48.6,51.2831030181928,-2.68310301819278
2015-10-01,50.1,51.4065840981689,-1.30658409816892
2015-09-01,50.2,51.5804849018358,-1.38048490183575
2015-08-01,51.1,51.7983452220789,-0.698345222078942
2015-07-01,52.7,52.0525544476993,0.647445552300717
2015-06-01,53.5,52.3349200131458,1.16507998685415
2015-05-01,52.8,52.637788890828,0.162211109172021
2015-04-01,51.5,52.954478953144,-1.45447895314402
2015-03-01,51.5,53.2784432484167,-1.77844324841668
2015-02-01,52.9,53.6019227591744,-0.701922759174355
2015-01-01,53.5,53.9156764319051,-0.415676431905093
2014-12-01,55.1,54.2098782774643,0.890121722535736
2014-11-01,58.7,54.4743559096807,4.22564409031928
2014-10-01,59,54.6996787104854,4.30032128951464
2014-09-01,56.6,54.8799374318844,1.72006256811561
2014-08-01,59,55.0128064269586,3.98719357304138
2014-07-01,57.1,55.0973934342622,2.00260656573777
2014-06-01,55.3,55.1361288536603,0.163871146339667
2014-05-01,55.4,55.1331119238228,0.266888076177216
2014-04-01,54.9,55.0925784427081,-0.192578442708083
2014-03-01,53.7,55.0189866150049,-1.31898661500487
2014-02-01,53.2,54.9166341633662,-1.71663416336615
2014-01-01,51.3,54.7887196549325,-3.4887196549325
2013-12-01,56.5,54.6370111283749,1.86298887162506
2013-11-01,57,54.4603693559855,2.53963064401452
2013-10-01,56.6,54.2592076007824,2.34079239921762
2013-09-01,56,54.036055484654,1.96394451534599
2013-08-01,56.3,53.7953932898214,2.50460671017864
2013-07-01,54.9,53.5433379189348,1.35666208106515
2013-06-01,52.5,53.2880934469034,-0.788093446903444
2013-05-01,50,53.0389945003703,-3.03899450037031
2013-04-01,50,52.8047189614395,-2.8047189614395
2013-03-01,51.5,52.5914122167981,-1.09141221679815
2013-02-01,53.1,52.4028823873321,0.697117612667896
2013-01-01,52.3,52.2420280837466,0.0579719162533687
2012-12-01,50.4,52.1123288480908,-1.71232884809084
2012-11-01,49.5,52.0173125323441,-2.5173125323441
2012-10-01,51.2,51.959080047779,-0.759080047778965
2012-09-01,52.2,51.9376345452245,0.262365454775543
2012-08-01,51.1,51.952346608803,-0.852346608803028
2012-07-01,50.6,52.0028054605162,-1.40280546051616
2012-06-01,51,52.0878900335247,-1.08789003352465
2012-05-01,53.2,52.2053102564389,0.994689743561133
2012-04-01,53.7,52.3518694828413,1.34813051715872
2012-03-01,53,52.5251999744339,0.474800025566069
2012-02-01,52.4,52.7240574350165,-0.324057435016538
2012-01-01,52.8,52.9475932350768,-0.147593235076759
2011-12-01,53.1,53.1946886972397,-0.0946886972397282
2011-11-01,52.1,53.4641021497681,-1.36410214976807
2011-10-01,51.8,53.7545130136767,-1.95451301367669
2011-09-01,52.8,54.063463958189,-1.26346395818898
2011-08-01,53,54.3868688916837,-1.38686889168365
2011-07-01,52.9,54.7195888359076,-1.81958883590757
2011-06-01,56.6,55.0553290885312,1.54467091146882
2011-05-01,53.7,55.386278623195,-1.68627862319503
2011-04-01,58.9,55.7059136392992,3.19408636070077
2011-03-01,59.1,56.0063051040579,3.09369489594215
2011-02-01,59.3,56.282185723319,3.01781427668103
2011-01-01,59,56.5308662820105,2.46913371798949
2010-12-01,57.5,56.752172410291,0.747827589708981
2010-11-01,57.6,56.9479873497507,0.65201265024929
2010-10-01,57.7,57.1208175316379,0.579182468362116
2010-09-01,56.3,57.273712731076,-0.973712731076033
2010-08-01,58,57.4102053752456,0.58979462475441
2010-07-01,56.4,57.5330164640511,-1.13301646405114
2010-06-01,56.4,57.6453584929179,-1.24535849291789
2010-05-01,58.3,57.7494997768843,0.550500223115693
2010-04-01,58.1,57.8466708322448,0.253329167755218
2010-03-01,58.8,57.9385609254796,0.861439074520352
2010-02-01,55.8,58.027070430709,-2.227070430709
2010-01-01,57.2,58.1148175879484,-0.914817587948393
