"SPXDate","SPXClose","SPX_hpft","SPX_hpfc"
2010-01-01,1114.85,1126.74757717222,-11.8975771722197
2010-01-04,1132.99,1126.76337473834,6.22662526166201
2010-01-05,1136.52,1126.77916738648,9.74083261352354
2010-01-06,1137.14,1126.79495277249,10.3450472275087
2010-01-07,1141.69,1126.81073257871,14.8792674212922
2010-01-08,1144.98,1126.82651276368,18.1534872363226
2010-01-11,1146.98,1126.84230543644,20.1376945635575
2010-01-12,1136.22,1126.85813020997,9.36186979003293
2010-01-13,1145.68,1126.87401502133,18.8059849786716
2010-01-14,1148.46,1126.88999167745,21.5700083225465
2010-01-15,1136.03,1126.90609975885,9.12390024115118
2010-01-19,1150.23,1126.92238776222,23.307612237776
2010-01-20,1138.04,1126.93890795574,11.1010920442579
2010-01-21,1116.48,1126.955722242,-10.4757222419962
2010-01-22,1091.76,1126.97289711232,-35.2128971123243
2010-01-25,1096.78,1126.99049472782,-30.2104947278227
2010-01-26,1092.17,1127.00856269399,-34.8385626939901
2010-01-27,1097.5,1127.02713612852,-29.527136128523
2010-01-28,1084.53,1127.04623574826,-42.5162357482564
2010-01-29,1073.87,1127.0658700647,-53.195870064696
2010-02-01,1089.19,1127.08603001484,-37.8960300148435
2010-02-02,1103.32,1127.10668454667,-23.7866845466678
2010-02-03,1097.28,1127.12778694344,-29.847786943442
2010-02-04,1063.11,1127.14928065598,-64.0392806559818
2010-02-05,1066.19,1127.17109679723,-60.9810967972272
2010-02-08,1056.74,1127.19314000885,-70.4531400088545
2010-02-09,1070.52,1127.21528972541,-56.6952897254072
2010-02-10,1068.13,1127.23739625893,-59.1073962589331
2010-02-11,1078.47,1127.25928648593,-48.7892864859278
2010-02-12,1075.51,1127.28076285027,-51.7707628502659
2010-02-16,1094.87,1127.30160762829,-32.4316076282921
2010-02-17,1099.51,1127.3215816964,-27.8115816964009
2010-02-18,1106.75,1127.34043252506,-20.5904325250646
2010-02-19,1109.17,1127.35789608857,-18.1878960885654
2010-02-22,1108.01,1127.37369984993,-19.3636998499268
2010-02-23,1094.6,1127.38756375403,-32.7875637540264
2010-02-24,1105.24,1127.39919974157,-22.1591997415745
2010-02-25,1102.94,1127.40830620022,-24.4683062002153
2010-02-26,1104.49,1127.41457235787,-22.924572357869
2010-03-01,1115.71,1127.41767732824,-11.7076773282419
2010-03-02,1118.31,1127.41729074895,-9.10729074895093
2010-03-03,1118.79,1127.41307741812,-8.62307741812015
2010-03-04,1122.97,1127.4046983693,-4.43469836929996
2010-03-05,1138.7,1127.39181107159,11.3081889284081
2010-03-08,1138.5,1127.37407116097,11.1259288390271
2010-03-09,1140.45,1127.35113894779,13.098861052214
2010-03-10,1145.61,1127.32267934138,18.2873206586235
2010-03-11,1150.24,1127.28836266562,22.9516373343823
2010-03-12,1149.99,1127.24786680364,22.7421331963575
2010-03-15,1150.51,1127.20087912587,23.3091208741276
2010-03-16,1159.46,1127.14709640341,32.3129035965895
2010-03-17,1166.21,1127.0862250424,39.1237749576046
2010-03-18,1165.83,1127.01798480585,38.8120151941488
2010-03-19,1159.9,1126.94211162897,32.957888371034
2010-03-22,1165.81,1126.85835749027,38.9516425097334
2010-03-23,1174.17,1126.76648799174,47.4035120082588
2010-03-24,1167.72,1126.66628483643,41.0537151635667
2010-03-25,1165.73,1126.55754932209,39.1724506779114
2010-03-26,1166.59,1126.44009971637,40.1499002836271
2010-03-29,1173.22,1126.31377047932,46.9062295206848
2010-03-30,1173.27,1126.1784126673,47.0915873326958
2010-03-31,1169.43,1126.03389672583,43.3961032741687
2010-04-01,1178.1,1125.88011256618,52.2198874338238
2010-04-05,1187.44,1125.7169680379,61.7230319621036
2010-04-06,1189.44,1125.54439257603,63.895607423973
2010-04-07,1182.45,1125.36234112948,57.0876588705178
2010-04-08,1186.44,1125.17079505904,61.2692049409591
2010-04-09,1194.37,1124.96975932322,69.4002406767779
2010-04-12,1196.48,1124.75926420677,71.720735793231
2010-04-13,1197.3,1124.53936868173,72.7606313182741
2010-04-14,1210.65,1124.31016136657,86.3398386334294
2010-04-15,1211.67,1124.07176095613,87.5982390438748
2010-04-16,1192.13,1123.8243218346,68.3056781653993
2010-04-19,1197.52,1123.56803459582,73.9519654041765
2010-04-20,1207.17,1123.30311806841,83.8668819315858
2010-04-21,1205.94,1123.02982164978,82.910178350221
2010-04-22,1208.67,1122.74842940454,85.9215705954638
2010-04-23,1217.28,1122.45925966902,94.8207403309837
2010-04-26,1212.05,1122.16266629606,89.8873337039429
2010-04-27,1183.71,1121.8590423336,61.8509576663996
2010-04-28,1191.36,1121.5488179854,69.8111820146004
2010-04-29,1206.78,1121.2324490219,85.5475509780991
2010-04-30,1186.69,1120.91042007068,65.7795799293174
2010-05-03,1202.26,1120.58325112125,81.6767488787475
2010-05-04,1173.6,1120.25148935373,53.3485106462661
2010-05-05,1165.9,1119.91571571014,45.9842842898567
2010-05-06,1128.15,1119.57653318463,8.57346681536622
2010-05-07,1110.88,1119.2345637794,-8.35456377940488
2010-05-10,1159.73,1118.89043304058,40.8395669594194
2010-05-11,1155.79,1118.54476306085,37.2452369391514
2010-05-12,1171.67,1118.19819281433,53.4718071856745
2010-05-13,1157.44,1117.85137667082,39.5886233291846
2010-05-14,1135.68,1117.50499110322,18.1750088967842
2010-05-17,1136.94,1117.15972894877,19.7802710512296
2010-05-18,1120.8,1116.81629055754,3.98370944245949
2010-05-19,1115.05,1116.47538445595,-1.42538445595362
2010-05-20,1071.59,1116.13772081714,-44.5477208171431
2010-05-21,1087.69,1115.80400922505,-28.1140092250471
2010-05-24,1073.65,1115.47494084937,-41.824940849371
2010-05-25,1074.03,1115.15119523861,-41.1211952386108
2010-05-26,1067.95,1114.83343465253,-46.8834346525254
2010-05-27,1103.06,1114.52230435301,-11.4623043530133
2010-05-28,1089.41,1114.21843022226,-24.8084302222587
2010-06-01,1070.71,1113.92243340438,-43.2124334043765
2010-06-02,1098.38,1113.63492478867,-15.2549247886687
2010-06-03,1102.83,1113.35649740218,-10.5264974021827
2010-06-04,1064.88,1113.08773796617,-48.2077379661742
2010-06-07,1050.47,1112.82922885067,-62.3592288506649
2010-06-08,1062,1112.58153249857,-50.5815324985655
2010-06-09,1055.69,1112.34518557595,-56.6551855759459
2010-06-10,1086.84,1112.12070384051,-25.280703840514
2010-06-11,1091.6,1111.90857963104,-20.3085796310365
2010-06-14,1089.63,1111.70929483623,-22.0792948362344
2010-06-15,1115.23,1111.52332295007,3.70667704992682
2010-06-16,1114.61,1111.35112833979,3.25887166020917
2010-06-17,1116.04,1111.19317690489,4.84682309511184
2010-06-18,1117.51,1111.04993589189,6.46006410811477
2010-06-21,1113.2,1110.92187455083,2.27812544916679
2010-06-22,1095.31,1110.80946480209,-15.4994648020932
2010-06-23,1092.04,1110.71317950772,-18.6731795077247
2010-06-24,1073.69,1110.6334851229,-36.9434851229009
2010-06-25,1076.76,1110.57084038407,-33.810840384074
2010-06-28,1074.57,1110.52568875677,-35.9556887567745
2010-06-29,1041.24,1110.49845973043,-69.258459730427
2010-06-30,1030.71,1110.48956793193,-79.7795679319306
2010-07-01,1027.37,1110.4993993594,-83.1293993593978
2010-07-02,1022.58,1110.52830703328,-87.9483070332838
2010-07-06,1028.06,1110.57660961175,-82.5166096117481
2010-07-07,1060.27,1110.64458939868,-50.3745893986785
2010-07-08,1070.25,1110.73249458885,-40.4824945888541
2010-07-09,1077.96,1110.84055255425,-32.8805525542479
2010-07-12,1078.75,1110.96897393304,-32.2189739330363
2010-07-13,1095.34,1111.11795577184,-15.7779557718419
2010-07-14,1095.17,1111.28768179927,-16.1176817992651
2010-07-15,1096.48,1111.47832922196,-14.9983292219588
2010-07-16,1064.88,1111.69006858413,-46.8100685841277
2010-07-19,1071.25,1111.92306423036,-40.6730642303593
2010-07-20,1083.48,1112.17746115571,-28.6974611557094
2010-07-21,1069.59,1112.45338754272,-42.8633875427181
2010-07-22,1093.67,1112.75095971156,-19.0809597115569
2010-07-23,1102.66,1113.07027626438,-10.41027626438
2010-07-26,1115.01,1113.41142791604,1.59857208395828
2010-07-27,1113.84,1113.77450107819,0.0654989218138891
2010-07-28,1106.13,1114.15958282322,-8.02958282322312
2010-07-29,1101.53,1114.5667602507,-13.0367602506963
2010-07-30,1101.6,1114.99611714098,-13.3961171409811
2010-08-02,1125.86,1115.44773188566,10.4122681143434
2010-08-03,1120.46,1115.92167733881,4.53832266119072
2010-08-04,1127.24,1116.41803065858,10.8219693414197
2010-08-05,1125.81,1116.93687087905,8.87312912095131
2010-08-06,1121.64,1117.47828150769,4.16171849230853
2010-08-09,1127.79,1118.04234971976,9.74765028024356
2010-08-10,1121.06,1118.62916441081,2.43083558919297
2010-08-11,1089.47,1119.23881850564,-29.7688185056368
2010-08-12,1083.61,1119.87140593389,-36.2614059338946
2010-08-13,1079.25,1120.52700831996,-41.2770083199606
2010-08-16,1079.38,1121.20569229926,-41.8256922992569
2010-08-17,1092.54,1121.90750744489,-29.3675074448926
2010-08-18,1094.16,1122.63248604099,-28.4724860409893
2010-08-19,1075.63,1123.38064823224,-47.750648232237
2010-08-20,1071.69,1124.15200239403,-52.4620023940321
2010-08-23,1067.36,1124.94653716354,-57.5865371635416
2010-08-24,1051.87,1125.76421949225,-73.8942194922541
2010-08-25,1055.33,1126.60499252765,-71.2749925276534
2010-08-26,1047.22,1127.46876887237,-80.2487688723723
2010-08-27,1064.59,1128.35543166685,-63.7654316668467
2010-08-30,1048.92,1129.26483087974,-80.3448308797426
2010-08-31,1049.33,1130.1967901219,-80.8667901218973
2010-09-01,1080.29,1131.15109979267,-50.8610997926712
2010-09-02,1090.1,1132.1275168644,-42.0275168643984
2010-09-03,1104.51,1133.12577728546,-28.615777285458
2010-09-07,1091.84,1134.14559963175,-42.3055996317488
2010-09-08,1098.87,1135.18669065058,-36.316690650578
2010-09-09,1104.18,1136.24873960178,-32.0687396017785
2010-09-10,1109.55,1137.33142073335,-27.7814207333499
2010-09-13,1121.9,1138.43439503734,-16.5343950373352
