"UR0Date","UR0Close","UR0_hpft","UR0_hpfc"
2019-10-31,1686,1725.49707676447,-39.4970767644737
2019-11-01,1687,1724.79361411404,-37.7936141140355
2019-11-04,1682,1724.09510805135,-42.0951080513456
2019-11-05,1702,1723.40164188331,-21.4016418833117
2019-11-06,1683,1722.71328151641,-39.7132815164145
2019-11-07,1668,1722.03008401056,-54.0300840105597
2019-11-08,1643,1721.35209000978,-78.352090009777
2019-11-11,1636,1720.67931782422,-84.6793178242249
2019-11-12,1646,1720.01175337647,-74.0117533764726
2019-11-13,1649,1719.34934758606,-70.3493475860607
2019-11-14,1635,1718.69202077904,-83.6920207790365
2019-11-15,1647,1718.03966420187,-71.0396642018669
2019-11-18,1605,1717.3921345061,-112.392134506104
2019-11-19,1604,1716.74925897835,-112.749258978346
2019-11-20,1601,1716.11081844681,-115.110818446812
2019-11-21,1600,1715.47654713372,-115.476547133724
2019-11-22,1624,1714.8461316791,-90.846131679099
2019-11-25,1660,1714.2192109896,-54.2192109895999
2019-11-26,1655,1713.59538641975,-58.5953864197535
2019-11-27,1673,1712.97423691204,-39.9742369120426
2019-11-28,1672,1712.35531718797,-40.3553171879742
2019-11-29,1675,1711.73816544532,-36.7381654453157
2019-12-02,1661,1711.12230320057,-50.1223032005697
2019-12-03,1661,1710.50723678415,-49.5072367841537
2019-12-04,1682,1709.89245180795,-27.8924518079451
2019-12-05,1720,1709.27741341952,10.7225865804828
2019-12-06,1726,1708.66157523683,17.3384247631727
2019-12-09,1742,1708.04439531012,33.9556046898825
2019-12-10,1741,1707.42533885664,33.5746611433643
2019-12-11,1732,1706.80388512952,25.1961148704821
2019-12-12,1717,1706.17952726031,10.8204727396917
2019-12-13,1710,1705.55176879561,4.4482312043903
2019-12-16,1703,1704.92011775479,-1.92011775478551
2019-12-17,1702,1704.28408399591,-2.28408399590651
2019-12-18,1706,1703.64317658335,2.35682341665221
2019-12-19,1714,1702.99690363735,11.0030963626532
2019-12-20,1715,1702.34477425234,12.6552257476594
2019-12-23,1716,1701.68630207103,14.3136979289747
2019-12-24,1700,1701.02100596722,-1.02100596721791
2019-12-25,1705,1700.34841073148,4.65158926851568
2019-12-26,1714,1699.66804073232,14.3319592676793
2019-12-27,1711,1698.97942226102,12.0205777389761
2019-12-30,1715,1698.28208753313,16.7179124668727
2019-12-31,1723,1697.57557373302,25.4244262669812
2020-01-02,1716,1696.85942495556,19.1405750444356
2020-01-03,1714,1696.13319580507,17.8668041949312
2020-01-06,1728,1695.39644879781,32.6035512021938
2020-01-07,1742,1694.64875383543,47.3512461645728
2020-01-08,1745,1693.88969429664,51.1103057033625
2020-01-09,1731,1693.11887313319,37.8811268668096
2020-01-10,1738,1692.33591442381,45.6640855761929
2020-01-13,1762,1691.54045790576,70.4595420942409
2020-01-14,1755,1690.73216219198,64.2678378080215
2020-01-15,1758,1689.91071502057,68.0892849794295
2020-01-16,1757,1689.07583069535,67.9241693046466
2020-01-17,1746,1688.22725166557,57.772748334435
2020-01-20,1749,1687.3647484575,61.6352515424995
2020-01-21,1720,1686.48811547843,33.5118845215721
2020-01-22,1716,1685.59717261315,30.4028273868528
2020-01-23,1710,1684.69175359887,25.3082464011274
2020-02-03,1650,1683.77170474019,-33.7717047401872
2020-02-04,1692,1682.83688280309,9.16311719691505
2020-02-05,1702,1681.88713059367,20.1128694063326
2020-02-06,1708,1680.92229470572,27.0777052942813
2020-02-07,1713,1679.94223004684,33.0577699531616
2020-02-10,1719,1678.9468027175,40.0531972824981
2020-02-11,1736,1677.93589248292,58.0641075170763
2020-02-12,1735,1676.9093956647,58.0906043352987
2020-02-13,1732,1675.86723258578,56.132767414219
2020-02-14,1737,1674.80934758145,62.1906524185525
2020-02-17,1753,1673.73570819001,79.2642918099895
2020-02-18,1753,1672.64630765689,80.3536923431125
2020-02-19,1756,1671.54117199217,84.4588280078269
2020-02-20,1747,1670.42036042095,76.5796395790456
2020-02-21,1793,1669.28396708019,123.716032919812
2020-02-24,1807,1668.1321177618,138.8678822382
2020-02-25,1809,1666.96498939695,142.035010603053
2020-02-26,1789,1665.78281631912,123.217183680878
2020-02-27,1754,1664.58589157343,89.4141084265672
2020-02-28,1749,1663.37455913801,85.6254408619925
2020-03-02,1767,1662.14919995119,104.85080004881
2020-03-03,1777,1660.91023034543,116.089769654574
2020-03-04,1816,1659.65810999424,156.341890005763
2020-03-05,1810,1658.39334655802,151.606653441978
2020-03-06,1827,1657.11651232262,169.883487677384
2020-03-09,1761,1655.82824224197,105.17175775803
2020-03-10,1767,1654.52924149301,112.47075850699
2020-03-11,1752,1653.22025872645,98.7797412735472
2020-03-12,1724,1651.90208908387,72.097910916128
2020-03-13,1727,1650.57556853847,76.4244314615346
2020-03-16,1697,1649.24156286577,47.7584371342285
2020-03-17,1699,1647.90096943212,51.0990305678751
2020-03-18,1681,1646.55470534529,34.4452946547097
2020-03-19,1646,1645.2037088353,0.796291164700469
2020-03-20,1654,1643.84893237049,10.1510676295079
2020-03-23,1647,1642.49132874836,4.50867125164113
2020-03-24,1655,1641.13185496244,13.8681450375599
2020-03-25,1651,1639.77146986997,11.2285301300268
2020-03-26,1651,1638.41113806073,12.5888619392684
2020-03-27,1649,1637.05182876591,11.9481712340917
2020-03-30,1621,1635.69451642044,-14.6945164204385
2020-03-31,1607,1634.34018039813,-27.3401803981263
2020-04-01,1625,1632.98979399868,-7.98979399868158
2020-04-02,1629,1631.64431922045,-2.64431922045261
2020-04-03,1636,1630.30471475916,5.69528524084179
2020-04-07,1695,1628.97193821744,66.0280617825582
2020-04-08,1674,1627.64694955216,46.3530504478372
2020-04-09,1676,1626.33073601351,49.6692639864947
2020-04-10,1681,1625.02430401218,55.9756959878224
2020-04-13,1703,1623.72868049014,79.2713195098647
2020-04-14,1712,1622.44491552744,89.5550844725595
2020-04-15,1703,1621.17409197171,81.8259080282892
2020-04-16,1696,1619.91732968911,76.0826703108872
2020-04-17,1547,1618.67578236924,-71.6757823692441
2020-04-20,1566,1617.45063515129,-51.4506351512901
2020-04-21,1534,1616.24304354651,-82.24304354651
2020-04-22,1522,1615.05414179861,-93.054141798607
2020-04-23,1543,1613.88503015524,-70.8850301552427
2020-04-24,1526,1612.73677039928,-86.7367703992819
2020-04-27,1535,1611.61039501253,-76.6103950125274
2020-04-28,1503,1610.50690062336,-107.506900623356
2020-04-29,1509,1609.42725219239,-100.427252192395
2020-04-30,1520,1608.37237024129,-88.372370241293
2020-05-06,1519,1607.34313377909,-88.3431337790934
2020-05-07,1522,1606.34038528535,-84.3403852853506
2020-05-08,1511,1605.36493072196,-94.3649307219614
2020-05-11,1514,1604.417541188,-90.4175411879992
2020-05-12,1539,1603.49894877586,-64.4989487758596
2020-05-13,1536,1602.60984820295,-66.6098482029526
2020-05-14,1539,1601.75090752544,-62.7509075254358
2020-05-15,1552,1600.92276726562,-48.922767265619
2020-05-18,1546,1600.1260420071,-54.1260420071015
2020-05-19,1526,1599.36132611081,-73.3613261108061
2020-05-20,1538,1598.62919156403,-60.6291915640281
2020-05-21,1539,1597.93018002953,-58.9301800295305
2020-05-22,1532,1597.26480810847,-65.2648081084704
2020-05-25,1545,1596.63356804248,-51.6335680424848
2020-05-26,1533,1596.03692509553,-63.0369250955255
2020-05-27,1540,1595.47532318813,-55.4753231881324
2020-05-28,1537,1594.94918018395,-57.9491801839545
2020-05-29,1533,1594.45889101554,-61.4588910155411
2020-06-01,1537,1594.00482666139,-57.0048266613891
