"IH00C1Date","IH00C1Close","IH00C1_hpft","IH00C1_hpfc"
2015-04-17,3254,3330.07056684096,-76.0705668409646
2015-04-20,3146.8,3320.02509283837,-173.225092838369
2015-04-21,3234,3309.97958739126,-75.9795873912594
2015-04-22,3308,3299.93394745084,8.06605254916439
2015-04-23,3267.8,3289.88803856139,-22.0880385613899
2015-04-24,3233,3279.8417296014,-46.8417296013973
2015-04-27,3357.6,3269.79488031902,87.8051196809757
2015-04-28,3286.8,3259.74733109995,27.0526689000481
2015-04-29,3295.2,3249.69895862497,45.5010413750335
2015-04-30,3269.4,3239.6496507572,29.7503492427964
2015-05-04,3273.2,3229.59931416837,43.6006858316272
2015-05-05,3163,3219.54786782764,-56.5478678276399
2015-05-06,3153,3209.49524872695,-56.4952487269486
2015-05-07,3111.2,3199.44137048362,-88.2413704836215
2015-05-08,3099.8,3189.38612336212,-89.5861233621212
2015-05-11,3160,3179.32936115148,-19.3293611514749
2015-05-12,3175,3169.27090060941,5.72909939058982
2015-05-13,3125.4,3159.21055050367,-33.8105505036738
2015-05-14,3129.4,3149.14812197019,-19.7481219701882
2015-05-15,3041.4,3139.08341216896,-97.6834121689599
2015-05-18,2969.4,3129.01621009692,-159.616210096916
2015-05-19,3143,3118.94626437258,24.0537356274179
2015-05-20,3145.2,3108.87325763556,36.3267423644422
2015-05-21,3191.4,3098.7968824683,92.603117531697
2015-05-22,3303,3088.71684646928,214.283153530715
2015-05-25,3413.6,3078.63289551538,334.967104484624
2015-05-26,3417.8,3068.54486405949,349.255135940514
2015-05-27,3396.8,3058.45272501647,338.347274983534
2015-05-28,3164.6,3048.35659566918,116.243404330819
2015-05-29,3118.6,3038.25673315966,80.3432668403405
2015-06-01,3336,3028.15344268029,307.846557319712
2015-06-02,3295.6,3018.04706263412,277.552937365884
2015-06-03,3244.8,3007.93805867559,236.861941324412
2015-06-04,3373.2,2997.82701118838,375.372988811624
2015-06-05,3304.8,2987.71459846534,317.085401534658
2015-06-08,3535,2977.60165396346,557.398346036545
2015-06-09,3415.8,2967.48914221004,448.310857789963
2015-06-10,3365,2957.37825813847,407.621741861526
2015-06-11,3361,2947.27038199582,413.729618004178
2015-06-12,3405.2,2937.1670625236,468.032937476399
2015-06-15,3263.8,2927.07001948249,336.729980517515
2015-06-16,3193.4,2916.98116609917,276.418833900825
2015-06-17,3205.4,2906.90255479097,298.497445209031
2015-06-18,3085.4,2896.83635223563,188.563647764367
2015-06-19,2993,2886.78484849775,106.215151502253
2015-06-23,2982.6,2876.75041158654,105.84958841346
2015-06-24,3044.2,2866.73545341632,177.464546583677
2015-06-25,2919.2,2856.74242965533,62.4575703446698
