"GC00YDate","GC00YClose","GC00Y_hpft","GC00Y_hpfc"
2010-01-04,1120.8,1089.81713887166,30.9828611283442
2010-01-05,1121.1,1090.69287306315,30.4071269368462
2010-01-06,1138.9,1091.56862006172,47.3313799382795
2010-01-07,1136.1,1092.44440524351,43.6555947564911
2010-01-08,1141.4,1093.32027354956,48.0797264504402
2010-01-11,1153.9,1094.19628796638,59.7037120336169
2010-01-12,1131.7,1095.07253135471,36.6274686452867
2010-01-13,1139.2,1095.9491112544,43.2508887456016
2010-01-14,1145.3,1096.82615034561,48.4738496543904
2010-01-15,1132.7,1097.70378918669,34.9962108133146
2010-01-19,1142.1,1098.58218837313,43.5178116268732
2010-01-20,1114.5,1099.46152296645,15.0384770335502
2010-01-21,1105.1,1100.34198601668,4.75801398331717
2010-01-22,1091.7,1101.22377679016,-9.52377679015828
2010-01-25,1097.7,1102.10709651998,-4.40709651997788
2010-01-26,1100.4,1102.9921425025,-2.5921425024988
2010-01-27,1086.6,1103.87911021236,-17.2791102123579
2010-01-28,1085.8,1104.76819405271,-18.9681940527067
2010-01-29,1084.8,1105.65958128421,-20.8595812842107
2010-02-01,1106,1106.55345132684,-0.553451326844473
2010-02-02,1119,1107.44997497807,11.5500250219324
2010-02-03,1113,1108.34932280657,4.65067719342912
2010-02-04,1064,1109.25167015536,-45.2516701553558
2010-02-05,1053.8,1110.15719428983,-56.3571942898316
2010-02-08,1067.3,1111.06605377018,-43.7660537701768
2010-02-09,1078.3,1111.97838386078,-33.6783838607839
2010-02-10,1077.4,1112.89430173491,-35.494301734909
2010-02-11,1095.8,1113.81391064453,-18.0139106445306
2010-02-12,1091.1,1114.7372991697,-23.6372991697012
2010-02-16,1120.9,1115.66454844425,5.23545155575301
2010-02-17,1121.3,1116.59572983129,4.70427016870635
2010-02-18,1119.9,1117.53091685808,2.36908314191928
2010-02-19,1123.3,1118.47018499641,4.82981500359457
2010-02-22,1114.3,1119.41361069735,-5.11361069735021
2010-02-23,1104.4,1120.36127240846,-15.9612724084568
2010-02-24,1098.4,1121.3132464635,-22.9132464634951
2010-02-25,1109.7,1122.26960259849,-12.5696025984946
2010-02-26,1120.1,1123.23040107806,-3.13040107805669
2010-03-01,1119.5,1124.19569697104,-4.69569697104046
2010-03-02,1138.6,1125.1655440523,13.434455947698
2010-03-03,1144.6,1126.13999415569,18.4600058443091
2010-03-04,1134.4,1127.11910466832,7.28089533168262
2010-03-05,1136.5,1128.10294060791,8.3970593920854
2010-03-08,1125.3,1129.09157000185,-3.79157000185377
2010-03-09,1123.6,1130.08506434851,-6.48506434850794
2010-03-10,1109.4,1131.08349357897,-21.6834935789653
2010-03-11,1109.5,1132.08692494365,-22.5869249436496
2010-03-12,1103,1133.09541672992,-30.0954167299154
2010-03-15,1106.6,1134.10901788856,-27.5090178885645
2010-03-16,1123.6,1135.12776493018,-11.5277649301796
2010-03-17,1125.3,1136.15168299421,-10.8516829942064
2010-03-18,1128.6,1137.18079245501,-8.58079245500607
2010-03-19,1108.8,1138.21510920126,-29.4151092012611
2010-03-22,1100.7,1139.25464557471,-38.5546455747128
2010-03-23,1104.9,1140.29940175808,-35.3994017580805
2010-03-24,1089.9,1141.34936199714,-51.4493619971356
2010-03-25,1094.1,1142.40449590497,-48.3044959049696
2010-03-26,1105.4,1143.46475182757,-38.0647518275673
2010-03-29,1111.5,1144.53005814379,-33.0300581437895
2010-03-30,1105.7,1145.60032749805,-39.9003274980478
2010-03-31,1114.5,1146.67545888145,-32.1754588814541
2010-04-01,1126.1,1147.75533479194,-21.6553347919403
2010-04-05,1133.8,1148.83982442739,-15.0398244273943
2010-04-06,1136,1149.92878803426,-13.9287880342638
2010-04-07,1153,1151.02207964212,1.97792035787657
2010-04-08,1152.9,1152.11954752295,0.780452477049443
2010-04-09,1161.9,1153.22104076632,8.67895923367579
2010-04-12,1162.2,1154.32640878442,7.87359121557606
2010-04-13,1153.4,1155.43550457697,-2.03550457696815
2010-04-14,1159.6,1156.5481843983,3.05181560170318
2010-04-15,1160.3,1157.66430366135,2.63569633864907
2010-04-16,1136.9,1158.78371904057,-21.883719040574
2010-04-19,1135.8,1159.9062882999,-24.1062882999015
2010-04-20,1139.2,1161.03186015741,-21.8318601574135
2010-04-21,1148.8,1162.16027336663,-13.3602733666301
2010-04-22,1142.9,1163.29135765665,-20.3913576566513
2010-04-23,1153.7,1164.42493723397,-10.7249372339741
2010-04-26,1154,1165.56082787614,-11.560827876137
2010-04-27,1162.2,1166.69884092742,-4.49884092741634
2010-04-28,1171.8,1167.83878295331,3.96121704668937
2010-04-29,1168.8,1168.98045865967,-0.180458659667426
2010-04-30,1180.7,1170.12367438975,10.5763256102458
2010-05-03,1183.3,1171.26823641224,12.0317635877625
