"AG0Date","AG0Close","AG0_hpft","AG0_hpfc"
2012-05-11,6002,5758.79417522782,243.205824772176
2012-05-14,5976,5768.82614276431,207.173857235689
2012-05-15,5842,5778.85821083231,63.1417891676934
2012-05-16,5647,5788.89056560066,-141.89056560066
2012-05-17,5763,5798.92341933849,-35.9234193384936
2012-05-18,5863,5808.95692566309,54.0430743369139
2012-05-21,5940,5818.99122334241,121.008776657586
2012-05-22,5890,5829.02647348368,60.9735265163172
2012-05-23,5791,5839.06288721426,-48.0628872142646
2012-05-24,5832,5849.10070086553,-17.1007008655285
2012-05-25,5904,5859.14013090159,44.8598690984091
2012-05-28,5986,5869.18138671782,116.818613282177
2012-05-29,5962,5879.22469625286,82.775303747142
2012-05-30,5801,5889.27033573344,-88.2703357334446
2012-05-31,5851,5899.31861560232,-48.3186156023221
2012-06-01,5832,5909.36980981482,-77.3698098148224
2012-06-04,5949,5919.42417235329,29.5758276467143
2012-06-05,5931,5929.4819252185,1.518074781498
2012-06-06,6088,5939.54330263671,148.456697363285
2012-06-07,6134,5949.60853946168,184.391460538316
2012-06-08,5935,5959.67793191318,-24.6779319131821
2012-06-11,6062,5969.75185243101,92.2481475689882
2012-06-12,5989,5979.83066325412,9.16933674588409
2012-06-13,6083,5989.9147647531,93.0852352469018
2012-06-14,6080,6000.0045610888,79.9954389111971
2012-06-15,6070,6010.10049489977,59.8995051002295
2012-06-18,6010,6020.20304189142,-10.2030418914201
2012-06-19,6061,6030.31270252925,30.6872974707508
2012-06-20,6010,6040.42997306121,-30.4299730612109
2012-06-21,5911,6050.55536242015,-139.555362420146
2012-06-25,5716,6060.6893669604,-344.689366960396
2012-06-26,5791,6070.83242534968,-279.832425349675
2012-06-27,5745,6080.98483377502,-335.984833775024
2012-06-28,5736,6091.14677275198,-355.146772751982
2012-06-29,5751,6101.31828391349,-350.318283913494
2012-07-02,5796,6111.4992620891,-315.499262089101
2012-07-03,5908,6121.68945730082,-213.689457300824
2012-07-04,5948,6131.88848915601,-183.888489156013
2012-07-05,5994,6142.09588893137,-148.095888931366
2012-07-06,5872,6152.3111118915,-280.311111891502
2012-07-09,5808,6162.53355208414,-354.533552084142
2012-07-10,5798,6172.76248768764,-374.762487687635
2012-07-11,5775,6182.99705033045,-407.997050330453
2012-07-12,5743,6193.23621672931,-450.236216729311
2012-07-13,5828,6203.47879495135,-375.47879495135
2012-07-16,5828,6213.72340695417,-385.723406954169
2012-07-17,5830,6223.96851948752,-393.968519487524
2012-07-18,5811,6234.21243985863,-423.21243985863
2012-07-19,5822,6244.45331252396,-422.453312523962
2012-07-20,5799,6254.68910700098,-455.689107000979
2012-07-23,5761,6264.91761818193,-503.917618181932
2012-07-24,5794,6275.13645259552,-481.136452595517
2012-07-25,5740,6285.3430084712,-545.343008471196
2012-07-26,5872,6295.53448515589,-423.534485155888
2012-07-27,5927,6305.70785657372,-378.707856573717
2012-07-30,5893,6315.85992157659,-422.859921576592
2012-07-31,6024,6325.9873224739,-301.987322473901
2012-08-01,5990,6336.08652678179,-346.08652678179
2012-08-02,5896,6346.15387718679,-450.153877186785
2012-08-03,5862,6356.18557331736,-494.185573317363
