"UK_10yryDate","UK_10yryClose","UK_10yry_hpft","UK_10yry_hpfc"
2023-06-10,NA,4.01844160242215,0.224458397577848
2023-06-09,NA,4.01227545821371,0.230624541786291
2023-06-08,NA,4.00610940678734,0.234990593212658
2023-06-07,4.2429,3.99994363625604,0.220423030410628
2023-06-06,4.2429,3.99377843186845,0.205854901464884
2023-06-05,4.2411,3.98761416998724,0.191285830012761
2023-06-04,4.22036666666667,3.98145131206721,0.176148687932786
2023-06-03,4.19963333333333,3.97529039863305,0.228509601366954
2023-06-02,4.1789,3.9691320430222,0.291467956977804
2023-06-01,4.1576,3.96297695302901,0.338289713637657
2023-05-31,4.2038,3.95682595692856,0.385107376404775
2023-05-30,4.2606,3.95068002283148,0.431919977168522
2023-05-29,4.30126666666667,3.9445402780363,0.4450597219637
2023-05-28,4.34193333333333,3.93840802837992,0.283191971620082
2023-05-26,4.3826,3.93228476366902,0.246215236330975
2023-05-25,4.3896,3.92617209077049,0.134027909229514
2023-05-24,4.2216,3.92007171832663,0.126494948340037
2023-05-23,4.1785,3.91398541038152,0.118947922951817
2023-05-22,4.0602,3.90791498326719,0.111385016732808
2023-05-21,4.04656666666667,3.90186230248393,0.0715376975160662
2023-05-20,4.03293333333333,3.89582927957411,-0.0526292795741132
2023-05-19,4.0193,3.88981785565091,-0.0603178556509104
2023-05-18,3.9734,3.88382995007272,-0.053529950072723
2023-05-17,3.8432,3.87786745726491,-0.0620674572649102
2023-05-16,3.8295,3.87193224952576,-0.0706322495257576
2023-05-15,3.8303,3.86602617349734,-0.079226173497337
2023-05-14,3.8158,3.86015104662517,-0.12955104662517
2023-05-13,3.8013,3.85430865360591,-0.0148086536059103
2023-05-12,3.7868,3.84850072558493,-0.00900072558492537
2023-05-11,3.7306,3.84272898758641,-0.145428987586413
2023-05-10,3.8395,3.83699516091392,-0.139695160913916
2023-05-09,3.8395,3.83130090675652,-0.134000906756517
2023-05-08,3.6973,3.82564782855898,-0.109247828558978
2023-05-06,3.6973,3.8200374743754,-0.103637474375395
2023-05-05,3.6973,3.81447134710125,-0.121471347101252
2023-05-04,3.7164,3.8089509067925,-0.103825906792505
2023-05-03,3.7164,3.80347756329367,-0.0862275632936726
2023-05-02,3.693,3.79805268353186,-0.0686776835318643
2023-05-01,3.705125,3.79267759879118,-0.0511775987911828
2023-04-30,3.71725,3.7873536119671,0.0139463880328987
2023-04-29,3.729375,3.7820820048004,-0.0654820048004029
2023-04-28,3.7415,3.77686406479672,-0.0766640647967241
2023-04-27,3.8013,3.77170105239394,0.000198947606056508
2023-04-26,3.7166,3.76659419634029,0.00660580365970968
2023-04-25,3.7002,3.76154472546606,0.0129552745339436
2023-04-24,3.7719,3.75655387133232,0.0192461286676809
2023-04-23,3.7732,3.75162287085509,0.0362771291449151
2023-04-22,3.7745,3.74675296890616,0.110847031093839
2023-04-21,3.7758,3.74194542535276,-0.000245425352764055
2023-04-20,3.7879,3.73720154588176,-0.0380015458817608
2023-04-19,3.8576,3.73252263607858,-0.0476893027452439
2023-04-18,3.7417,3.7279099858205,-0.0574433191538291
2023-04-17,3.6992,3.72336486527186,-0.0672648652718575
2023-04-16,3.68483333333333,3.71888852085212,-0.15128852085212
2023-04-15,3.67046666666667,3.71448217117622,-0.146882171176222
2023-04-14,3.6561,3.71014697232278,-0.166046972322776
2023-04-13,3.5676,3.70588401965478,-0.185784019654783
2023-04-12,3.5676,3.70169433989832,-0.20559433989832
2023-04-11,3.5441,3.697578882984,-0.225478882983997
2023-04-10,3.5201,3.69353851385765,-0.245438513857648
2023-04-09,3.4961,3.68957400426126,-0.235374004261263
2023-04-07,3.4721,3.6856860244828,-0.237186024482795
2023-04-06,3.4481,3.68187514751558,-0.256975147515585
2023-04-05,3.4542,3.67814184830975,-0.214841848309755
2023-04-04,3.4485,3.67448649559277,-0.172786495592773
2023-04-03,3.4249,3.6709093692847,-0.130809369284696
2023-04-02,3.4633,3.66741067788271,-0.139710677882713
2023-04-01,3.5017,3.66399057581277,-0.194590575812772
2023-03-31,3.5401,3.66064915975022,-0.190049159750216
2023-03-30,3.5277,3.65738644593389,-0.264486445933887
2023-03-29,3.4694,3.65420237204432,-0.290069038710985
2023-03-28,3.4706,3.65109676643387,-0.315730099767199
2023-03-27,3.3929,3.64806933755226,-0.341469337552261
2023-03-26,3.36413333333333,3.64511966333883,-0.253519663338832
2023-03-25,3.33536666666667,3.64224718058335,-0.132047180583353
2023-03-24,3.3066,3.6394512212806,-0.233651221280599
2023-03-23,3.3916,3.63673106284255,-0.274031062842551
2023-03-22,3.5102,3.634085886099,-0.295335886099001
2023-03-21,3.4058,3.6315147586067,-0.316714758606698
2023-03-20,3.3627,3.62901662584201,-0.22541662584201
2023-03-19,3.33875,3.62659030236429,-0.244190302364293
2023-03-17,3.3148,3.62423450955456,-0.0747345095545606
2023-03-16,3.4036,3.62194786785561,-0.191547867855611
2023-03-15,3.3824,3.61972896681799,-0.0874289668179873
2023-03-14,3.5495,3.61757631681389,0.0166236831861136
2023-03-13,3.4304,3.61548839207605,0.196611607923947
2023-03-12,3.5323,3.61346367370859,0.15313632629141
2023-03-10,3.6342,3.6115007240871,0.2282992759129
2023-03-09,3.8121,3.60959816888757,0.241901831112428
2023-03-08,3.7666,3.60775472815559,0.250911938511079
2023-03-07,3.8398,3.60596922192945,0.259864111403885
2023-03-06,3.8515,3.60424057396436,0.268759426035641
2023-03-05,3.85866666666667,3.60256781543258,0.278632184567423
2023-03-04,3.86583333333333,3.600950088601,0.250249911398997
