"CAIXINPMIDate","CAIXINPMI","CAIXINPMI_hpft","CAIXINPMI_hpfc"
2023-05-01,50.9,49.7853786928401,1.11462130715988
2023-04-01,49.5,49.7364179976817,-0.236417997681729
2023-03-01,50,49.6883861536126,0.311613846387358
2023-02-01,51.6,49.6420149967241,1.95798500327591
2023-01-01,49.2,49.5982960413126,-0.398296041312628
2022-12-01,49,49.5598524558442,-0.559852455844212
2022-11-01,49.4,49.528975495417,-0.128975495417029
2022-10-01,49.2,49.5074898714161,-0.307489871416055
2022-09-01,48.1,49.4971128156468,-1.39711281564677
2022-08-01,49.5,49.4993053183551,0.000694681644854145
2022-07-01,50.4,49.5143641091074,0.885635890892578
2022-06-01,51.7,49.5425864963712,2.15741350362878
2022-05-01,48.1,49.5850078185233,-1.48500781852326
2022-04-01,46,49.6444612585266,-3.64446125852657
2022-03-01,48.1,49.7225424928288,-1.62254249282879
2022-02-01,50.4,49.8178101468288,0.582189853171219
2022-01-01,49.1,49.9274707271813,-0.827470727181344
2021-12-01,50.9,50.0492158987523,0.850784101247699
2021-11-01,49.9,50.1800477674681,-0.280047767468142
2021-10-01,50.6,50.3176774260064,0.28232257399362
2021-09-01,50,50.459582593905,-0.459582593904988
2021-08-01,49.2,50.6034762595136,-1.40347625951359
2021-07-01,50.3,50.7466884256869,-0.446688425686912
2021-06-01,51.3,50.88537953173,0.414620468269958
2021-05-01,52,51.0153377765934,0.984662223406634
2021-04-01,51.9,51.1326968762842,0.767303123715815
2021-03-01,50.6,51.2344110986626,-0.634411098662568
2021-02-01,50.9,51.3180741308584,-0.418074130858397
2021-01-01,51.5,51.380750984086,0.119249015914027
2020-12-01,53,51.4191582744506,1.5808417255494
2020-11-01,54.9,51.4301119922374,3.46988800776256
2020-10-01,53.6,51.4117454958363,2.18825450416367
2020-09-01,53,51.3650837169769,1.63491628302313
2020-08-01,53.1,51.2929751328088,1.80702486719116
2020-07-01,52.8,51.1996306507178,1.60036934928215
2020-06-01,51.2,51.0907670321455,0.109232967854521
2020-05-01,50.7,50.9734346796578,-0.273434679657765
2020-04-01,49.4,50.8547750232939,-1.45477502329392
2020-03-01,50.1,50.7417016308601,-0.641701630860093
2020-02-01,40.3,50.6399157576431,-10.3399157576431
2020-01-01,51.1,50.5545839075705,0.545416092429464
2019-12-01,51.5,50.4822559881055,1.01774401189451
2019-11-01,51.8,50.4199364201213,1.38006357987867
2019-10-01,51.7,50.3654777445013,1.33452225549869
2019-09-01,51.4,50.3178825551119,1.08211744488806
2019-08-01,50.4,50.2772655476993,0.122734452300693
2019-07-01,49.9,50.2446431825469,-0.344643182546911
2019-06-01,49.4,50.2211341986485,-0.821134198648512
2019-05-01,50.2,50.2075701323457,-0.00757013234572376
2019-04-01,50.2,50.2040982414813,-0.00409824148129914
2019-03-01,50.8,50.2108594754544,0.58914052454562
2019-02-01,49.9,50.2279913684628,-0.32799136846284
2019-01-01,48.3,50.2561224051417,-1.95612240514172
2018-12-01,49.7,50.2956077439856,-0.595607743985625
2018-11-01,50.2,50.3451724414849,-0.145172441484926
