"BU0Date","BU0Close","BU0_hpft","BU0_hpfc"
2013-10-10,4502,4377.89387833953,124.106121660474
2013-10-11,4466,4376.88819729592,89.1118027040798
2013-10-14,4444,4375.8825675528,68.1174324472051
2013-10-15,4442,4374.87707724587,67.1229227541346
2013-10-16,4432,4373.87184266786,58.1281573321439
2013-10-17,4410,4372.86700785741,37.1329921425934
2013-10-18,4404,4371.862740881,32.1372591189975
2013-10-21,4452,4370.85922515441,81.1407748455894
2013-10-22,4440,4369.85665737765,70.143342622348
2013-10-23,4436,4368.85526779108,67.1447322089173
2013-10-24,4458,4367.85531562949,90.1446843705091
2013-10-25,4406,4366.8570878826,39.1429121174013
2013-10-28,4268,4365.86090880231,-97.8609088023146
2013-10-29,4270,4364.86711882066,-94.8671188206574
2013-10-30,4316,4363.87601791788,-47.8760179178802
2013-10-31,4292,4362.88786685999,-70.8878668599858
2013-11-01,4310,4361.90290662295,-51.9029066229485
2013-11-04,4314,4360.92134888055,-46.9213488805513
2013-11-05,4308,4359.94338385201,-51.9433838520081
2013-11-06,4308,4358.96918236113,-50.9691823611338
2013-11-07,4274,4357.99889376043,-83.9988937604297
2013-11-08,4260,4357.03264633379,-97.0326463337944
2013-11-11,4278,4356.07053364336,-78.0705336433569
2013-11-12,4304,4355.11260914186,-51.1126091418568
2013-11-13,4286,4354.15889401081,-68.1588940108086
2013-11-14,4266,4353.20938830383,-87.2093883038262
2013-11-15,4270,4352.2640639004,-82.2640639003967
2013-11-18,4292,4351.32285663113,-59.3228566311301
2013-11-19,4296,4350.38566832199,-54.3856683219949
2013-11-20,4310,4349.45237627727,-39.452376277274
2013-11-21,4298,4348.5228353204,-50.5228353203956
2013-11-22,4338,4347.59688396676,-9.5968839667628
2013-11-25,4356,4346.67433984768,9.32566015232375
2013-11-26,4370,4345.75501662746,24.2449833725365
2013-11-27,4336,4344.83873182531,-8.83873182530775
2013-11-28,4346,4343.9253129823,2.07468701770113
2013-11-29,4352,4343.01458398594,8.98541601405581
