"C0Date","C0Close","C0_hpft","C0_hpfc"
2010-01-04,1892,1861.38986465013,30.6101353498686
2010-01-05,1891,1861.82669273529,29.1733072647087
2010-01-06,1908,1862.26353347345,45.7364665265497
2010-01-07,1898,1862.70041157668,35.2995884233205
2010-01-08,1925,1863.13737066267,61.8626293373339
2010-01-11,1921,1863.57446894053,57.425531059472
2010-01-12,1908,1864.01179019091,43.9882098090935
2010-01-13,1887,1864.44944193185,22.5505580681526
2010-01-14,1896,1864.88754986435,31.1124501356456
2010-01-15,1891,1865.32624901093,25.6737509890713
2010-01-18,1896,1865.7656872547,30.2343127452993
2010-01-19,1896,1866.2060230913,29.7939769087008
2010-01-20,1890,1866.647427514,23.3525724859982
2010-01-21,1895,1867.09008383172,27.9099161682795
2010-01-22,1877,1867.53418500638,9.4658149936227
2010-01-25,1867,1867.97993553674,-0.979935536742993
2010-01-26,1859,1868.42754383436,-9.4275438343596
2010-01-27,1861,1868.87721790571,-7.87721790570872
2010-01-28,1844,1869.32916186031,-25.3291618603087
2010-01-29,1854,1869.78357655155,-15.783576551551
2010-02-01,1847,1870.24065236277,-23.240652362769
2010-02-02,1846,1870.700573153,-24.7005731529993
2010-02-03,1862,1871.16351317453,-9.163513174531
2010-02-04,1848,1871.62963646943,-23.6296364694285
2010-02-05,1850,1872.09910329192,-22.0991032919246
2010-02-08,1850,1872.57206412871,-22.5720641287131
2010-02-09,1849,1873.0486603316,-24.0486603316047
2010-02-10,1858,1873.52902392203,-15.5290239220321
2010-02-11,1855,1874.01327698068,-19.0132769806775
2010-02-12,1858,1874.50153516915,-16.5015351691479
2010-02-22,1865,1874.99390628973,-9.99390628972589
2010-02-23,1877,1875.49049132362,1.50950867638231
2010-02-24,1874,1875.99138712095,-1.99138712095185
2010-02-25,1871,1876.49669115583,-5.4966911558321
2010-02-26,1866,1877.0065000792,-11.0065000792022
2010-03-01,1878,1877.52090826989,0.479091730106052
2010-03-02,1872,1878.04000555709,-6.04000555709189
2010-03-03,1871,1878.56388196802,-7.5638819680236
2010-03-04,1863,1879.09262503322,-16.092625033221
2010-03-05,1862,1879.62631915661,-17.626319156608
2010-03-08,1869,1880.16504209007,-11.1650420900694
2010-03-09,1870,1880.70886429946,-10.708864299463
2010-03-10,1872,1881.25785163549,-9.25785163548572
2010-03-11,1873,1881.81206552221,-8.81206552220793
2010-03-12,1879,1882.37156355689,-3.37156355689215
2010-03-15,1893,1882.93639969422,10.0636003057787
2010-03-16,1897,1883.50662649524,13.4933735047647
2010-03-17,1899,1884.08230068085,14.9176993191496
2010-03-18,1894,1884.66348454961,9.33651545039428
2010-03-19,1907,1885.25024656641,21.7497534335948
2010-03-22,1912,1885.8426590555,26.157340944502
2010-03-23,1909,1886.44080333161,22.5591966683856
2010-03-24,1904,1887.04477152187,16.9552284781342
2010-03-25,1912,1887.65466507844,24.345334921558
2010-03-26,1917,1888.27059246214,28.729407537861
2010-03-29,1939,1888.89267219713,50.1073278028704
2010-03-30,1931,1889.52103468318,41.4789653168246
2010-03-31,1928,1890.15583103238,37.8441689676189
2010-04-01,1932,1890.79722950261,41.2027704973882
2010-04-02,1934,1891.44541399494,42.5545860050563
2010-04-06,1938,1892.10058544207,45.8994145579336
2010-04-07,1932,1892.76296236702,39.2370376329814
2010-04-08,1907,1893.43278226579,13.5672177342106
2010-04-09,1904,1894.11029885339,9.88970114660841
2010-04-12,1897,1894.79577145298,2.20422854702256
2010-04-13,1914,1895.48946347571,18.5105365242886
2010-04-14,1913,1896.19163924391,16.8083607560908
2010-04-15,1913,1896.90257073137,16.097429268635
2010-04-16,1914,1897.62253685982,16.3774631401792
2010-04-19,1925,1898.351823205,26.6481767950034
2010-04-20,1924,1899.09072211243,24.9092778875723
2010-04-21,1927,1899.83953694292,27.160463057082
2010-04-22,1924,1900.59858135378,23.4014186462167
2010-04-23,1926,1901.36818022937,24.6318197706285
2010-04-26,1916,1902.14866812722,13.8513318727753
2010-04-27,1936,1902.94038978671,33.0596102132862
2010-04-28,1925,1903.74369567278,21.2563043272196
2010-04-29,1918,1904.55894991587,13.441050084133
2010-04-30,1921,1905.38652543296,15.6134745670396
2010-05-04,1922,1906.22680069701,15.7731993029945
2010-05-05,1929,1907.08016063494,21.9198393650632
2010-05-06,1924,1907.94699669367,16.0530033063291
2010-05-07,1927,1908.82770938095,18.1722906190466
2010-05-10,1947,1909.72270584014,37.2772941598621
2010-05-11,1936,1910.6324007263,25.3675992736972
2010-05-12,1941,1911.55722410349,29.4427758965149
2010-05-13,1939,1912.49761652161,26.5023834783936
2010-05-14,1937,1913.45403070108,23.5459692989203
2010-05-17,1938,1914.42693031735,23.5730696826494
2010-05-18,1948,1915.4167887788,32.5832112211986
2010-05-19,1961,1916.42408923799,44.5759107620101
2010-05-20,1974,1917.44932831609,56.5506716839141
2010-05-21,1977,1918.49302106008,58.5069789399223
2010-05-24,1969,1919.5557058928,49.4442941072044
2010-05-25,1956,1920.63794542146,35.3620545785443
2010-05-26,1964,1921.7403226916,42.2596773083976
2010-05-27,1958,1922.86343536599,35.1365646340095
2010-05-28,1941,1924.00789857583,16.9921014241701
2010-05-31,1943,1925.17434197638,17.8256580236233
2010-06-01,1945,1926.36340224678,18.6365977532231
2010-06-02,1930,1927.57572343455,2.42427656545123
2010-06-03,1929,1928.81195729085,0.188042709147451
2010-06-04,1938,1930.07275656895,7.92724343104929
2010-06-07,1929,1931.35877409973,-2.35877409973178
2010-06-08,1914,1932.67066599104,-18.6706659910359
2010-06-09,1913,1934.00908737559,-21.0090873755921
2010-06-10,1909,1935.37468566847,-26.3746856684729
2010-06-11,1923,1936.76809960039,-13.7680996003898
2010-06-17,1912,1938.1899569999,-26.1899569998994
2010-06-18,1909,1939.64088000431,-30.6408800043143
2010-06-21,1865,1941.12147992506,-76.1214799250552
2010-06-22,1864,1942.63235540793,-78.632355407933
2010-06-23,1860,1944.17407363311,-84.1740736331067
2010-06-24,1869,1945.74716927728,-76.7471692772806
2010-06-25,1884,1947.352142223,-63.3521422229975
2010-06-28,1863,1948.98946062862,-85.9894606286242
2010-06-29,1853,1950.6595664653,-97.6595664652994
2010-06-30,1858,1952.36286615958,-94.3628661595843
2010-07-01,1866,1954.09972576947,-88.0997257694657
2010-07-02,1878,1955.87047234715,-77.8704723471487
2010-07-05,1877,1957.67539652794,-80.6753965279414
2010-07-06,1882,1959.5147567587,-77.5147567586951
2010-07-07,1888,1961.38877813814,-73.3887781381375
2010-07-08,1892,1963.29765372371,-71.2976537237094
2010-07-09,1912,1965.24154623679,-53.2415462367933
2010-07-12,1925,1967.22058892714,-42.2205889271383
2010-07-13,1908,1969.23489303654,-61.2348930365422
2010-07-14,1897,1971.28455235462,-74.2845523546187
2010-07-15,1897,1973.36963535892,-76.369635358921
2010-07-16,1925,1975.49017982071,-50.4901798207126
2010-07-19,1923,1977.64619194323,-54.6461919432348
2010-07-20,1932,1979.837657059,-47.8376570590044
2010-07-21,1925,1982.06453791204,-57.0645379120442
2010-07-22,1925,1984.32677747215,-59.3267774721532
2010-07-23,1930,1986.624295121,-56.6242951209973
2010-07-26,1937,1988.95698571697,-51.9569857169663
2010-07-27,1929,1991.32472071215,-62.3247207121514
2010-07-28,1936,1993.7273500818,-57.7273500818016
2010-07-29,1933,1996.16469803852,-63.1646980385171
2010-07-30,1930,1998.63656493291,-68.6365649329089
2010-08-02,1961,2001.14272500574,-40.1427250057402
2010-08-03,1954,2003.68292412621,-49.6829241262101
2010-08-04,1969,2006.25689157009,-37.2568915700852
2010-08-05,1960,2008.86433607623,-48.8643360762304
2010-08-06,1971,2011.50495098302,-40.5049509830227
2010-08-09,1970,2014.17840943027,-44.1784094302705
2010-08-10,1963,2016.88436781458,-53.8843678145825
2010-08-11,1958,2019.62246427124,-61.6224642712431
2010-08-12,1963,2022.39231466162,-59.392314661619
2010-08-13,1972,2025.19350937499,-53.1935093749889
2010-08-16,1995,2028.02561425019,-33.0256142501856
2010-08-17,1999,2030.88817313801,-31.8881731380062
2010-08-18,1989,2033.7807162378,-44.7807162377987
2010-08-19,1994,2036.70276056756,-42.7027605675609
2010-08-20,1976,2039.65380463478,-63.6538046347833
2010-08-23,1985,2042.63332929533,-57.6333292953317
2010-08-24,1967,2045.64078909319,-78.6407890931932
2010-08-25,1963,2048.67561474901,-85.675614749009
2010-08-26,1968,2051.73720447652,-83.7372044765175
2010-08-27,2027,2054.82492107454,-27.8249210745379
2010-08-30,2038,2057.9380927284,-19.9380927284033
2010-08-31,2016,2061.07603612173,-45.0760361217263
2010-09-01,2027,2064.23805969641,-37.2380596964132
2010-09-02,2015,2067.42345326178,-52.423453261779
2010-09-03,2020,2070.63149123452,-50.631491234521
2010-09-06,2038,2073.8614263615,-35.8614263614992
2010-09-07,2046,2077.11249046054,-31.1124904605394
2010-09-08,2052,2080.38390052583,-28.3839005258324
2010-09-09,2033,2083.67486069095,-50.6748606909488
2010-09-10,2043,2086.98456335663,-43.9845633566261
2010-09-13,2039,2090.3121799767,-51.3121799767
2010-09-14,2038,2093.65686382353,-55.6568638235284
2010-09-15,2050,2097.0177469591,-47.0177469590982
2010-09-16,2046,2100.39393843908,-54.3939384390809
2010-09-17,2071,2103.78452788387,-32.7845278838694
2010-09-20,2119,2107.18858242964,11.8114175703559
2010-09-21,2091,2110.60515566077,-19.605155660766
2010-09-27,2082,2114.03330604392,-32.0333060439216
2010-09-28,2081,2117.47208394186,-36.4720839418574
2010-09-29,2056,2120.92052647603,-64.920526476033
2010-09-30,2060,2124.37765569181,-64.377655691809
2010-10-08,2066,2127.842466799,-61.8424667989971
2010-10-11,2153,2131.31392839631,21.6860716036873
2010-10-12,2126,2134.79098351924,-8.79098351924163
2010-10-13,2135,2138.27258416744,-3.27258416743982
2010-10-14,2134,2141.75767870671,-7.75767870671466
2010-10-15,2141,2145.24521415013,-4.24521415012897
2010-10-18,2147,2148.73413430402,-1.73413430402461
2010-10-19,2149,2152.22338121995,-3.22338121994632
2010-10-20,2166,2155.71189623261,10.2881037673852
2010-10-21,2197,2159.19861934434,37.8013806556604
2010-10-22,2197,2162.68249481012,34.3175051898817
2010-10-25,2230,2166.16248251052,63.8375174894808
2010-10-26,2204,2169.63755651157,34.3624434884264
2010-10-27,2178,2173.10671726719,4.89328273281264
2010-10-28,2205,2176.56897943531,28.4310205646886
2010-10-29,2190,2180.02335969661,9.97664030338572
2010-11-01,2220,2183.46888648395,36.5311135160515
2010-11-02,2208,2186.90459235417,21.0954076458296
2010-11-03,2202,2190.32952496459,11.6704750354059
2010-11-04,2215,2193.74274069251,21.2572593074857
2010-11-05,2253,2197.14330073937,55.8566992606324
2010-11-08,2254,2200.53027509347,53.4697249065332
2010-11-09,2281,2203.90275683202,77.0972431679796
2010-11-10,2256,2207.25986113452,48.7401388654771
2010-11-11,2253,2210.60073504933,42.399264950669
2010-11-12,2205,2213.92454577192,-8.92454577191777
2010-11-15,2260,2217.23047802408,42.7695219759229
2010-11-16,2362,2220.51771283855,141.482287161452
2010-11-17,2288,2223.78544892718,64.2145510728236
2010-11-18,2328,2227.03294348494,100.967056515059
2010-11-19,2325,2230.25948025052,94.7405197494838
2010-11-22,2306,2233.46438469828,72.5356153017156
2010-11-23,2274,2236.64702146458,37.3529785354204
2010-11-24,2289,2239.80678516901,49.1932148309851
2010-11-25,2295,2242.94308587143,52.0569141285689
2010-11-26,2272,2246.05535396618,25.9446460338193
2010-11-29,2278,2249.14304136584,28.8569586341568
