"TF00YDate","TF00YClose","TF00Y_hpft","TF00Y_hpfc"
2019-12-27,146.3,134.53702945849,11.7629705415096
2020-01-01,145.5,134.417337797011,11.0826622029892
2020-01-02,145.1,134.294201384687,10.8057986153131
2020-01-03,149,134.167627140564,14.8323728594362
2020-01-06,150.3,134.037626450345,16.2623735496553
2020-01-07,150.4,133.904216830899,16.4957831691014
2020-01-08,148.8,133.767422521268,15.032577478732
2020-01-09,149.3,133.627274579202,15.6727254207983
2020-01-10,152.8,133.483810276303,19.3161897236971
2020-01-13,152.3,133.337073362646,18.9629266373536
2020-01-14,151.9,133.187115572845,18.7128844271548
2020-01-15,152.2,133.033996480026,19.1660035199739
2020-01-16,152.6,132.877783392471,19.7222166075293
2020-01-17,151.4,132.718551540915,18.681448459085
2020-01-20,148.5,132.556384308464,15.9436156915362
2020-01-21,146,132.391372800382,13.6086271996175
2020-01-22,144.5,132.223614712387,12.2763852876134
2020-01-27,135.8,132.053213365451,3.74678663454856
2020-01-28,139.7,131.880277155121,7.81972284487857
2020-01-29,136.5,131.704916025699,4.7950839743014
2020-01-30,136.2,131.527243153859,4.67275684614074
2020-01-31,128.9,131.347373698362,-2.44737369836215
2020-02-03,131.7,131.165424749503,0.534575250496838
2020-02-04,132.9,130.981512385931,1.91848761406902
2020-02-05,134.1,130.795752907262,3.30424709273836
2020-02-06,133.7,130.608263406144,3.0917365938563
2020-02-07,133.6,130.41916234106,3.18083765893996
2020-02-10,135.8,130.228569448503,5.57143055149651
2020-02-11,136,130.03660577979,5.96339422021032
2020-02-12,136.6,129.843394689242,6.75660531075779
2020-02-13,136.1,129.649061996211,6.45093800378946
2020-02-14,138.4,129.453736312958,8.94626368704206
2020-02-17,137.7,129.257548918301,8.44245108169863
2020-02-18,137.5,129.060634789084,8.43936521091605
2020-02-19,137.9,128.86313239192,9.03686760808
2020-02-20,137.9,128.665183681917,9.23481631808343
2020-02-21,134.7,128.466934349659,6.2330656503414
2020-02-24,136,128.268533903035,7.73146609696539
2020-02-25,134.7,128.07013442643,6.62986557356969
2020-02-26,133.3,127.871891200108,5.42810879989182
2020-02-27,128.7,127.673962244851,1.0260377551489
2020-02-28,132.5,127.476507825205,5.0234921747947
2020-03-02,130.4,127.279688629836,3.1203113701636
2020-03-03,130.6,127.083667423923,3.51633257607738
2020-03-04,131.4,126.888608262451,4.511391737549
2020-03-05,130.1,126.694676653923,3.40532334607671
2020-03-06,126.3,126.502039971666,-0.202039971665752
2020-03-09,128.5,126.310866996625,2.18913300337539
2020-03-10,128,126.121326426244,1.87867357375598
2020-03-11,126.4,125.933587862854,0.466412137146416
2020-03-12,126.6,125.747821685353,0.852178314646834
2020-03-13,124.9,125.564198465447,-0.66419846544688
2020-03-16,125.3,125.382889127092,-0.0828891270923893
2020-03-17,121.6,125.204064319685,-3.60406431968451
2020-03-18,116.2,125.027894658367,-8.82789465836656
2020-03-19,117.2,124.854549268503,-7.65454926850296
2020-03-20,111,124.684193626364,-13.6841936263642
2020-03-23,112,124.516990044135,-12.5169900441347
2020-03-24,113.3,124.353095177508,-11.0530951775076
2020-03-25,112.5,124.192660508143,-11.6926605081429
2020-03-26,110.4,124.035832948806,-13.6358329488063
2020-03-27,107.2,123.882754578991,-16.682754578991
2020-03-30,108.2,123.733561841675,-15.5335618416749
2020-03-31,104.5,123.588384283853,-19.0883842838532
2020-04-01,107.2,123.447345031593,-16.2473450315933
2020-04-02,107.1,123.31055932057,-16.2105593205697
