"SI00YDate","SI00YClose","SI00Y_hpft","SI00Y_hpfc"
2013-08-27,24.5,21.2894550460883,3.21054495391167
2013-08-28,24.37,21.2778429334013,3.09215706659869
2013-08-29,23.845,21.2664568884963,2.57854311150367
2013-08-30,23.435,21.2552778152438,2.17972218475615
2013-09-02,24.2,21.2442876833792,2.95571231662075
2013-09-03,24.26,21.2334693636484,3.02653063635163
2013-09-04,23.475,21.2228069485697,2.25219305143031
2013-09-05,23.24,21.2122857817068,2.02771421829315
2013-09-06,23.82,21.2018921375903,2.61810786240969
2013-09-09,23.665,21.1916131289258,2.4733868710742
2013-09-10,22.97,21.1814369506398,1.78856304936024
2013-09-11,23.11,21.1713528200569,1.9386471799431
2013-09-12,21.87,21.1613506938224,0.708649306177601
2013-09-13,22.15,21.1514213299399,0.998578670060085
2013-09-16,21.9,21.1415557793403,0.758444220659667
2013-09-17,21.71,21.1317455057268,0.578254494273193
2013-09-18,22.95,21.1219822863129,1.82801771368707
2013-09-19,23.095,21.1122581373393,1.98274186266067
2013-09-20,21.79,21.1025658306757,0.68743416932428
2013-09-23,21.63,21.0928989577775,0.537101042222546
2013-09-24,21.71,21.0832513942577,0.626748605742329
2013-09-25,21.725,21.0736172377454,0.651382762254639
2013-09-26,21.715,21.0639908449423,0.651009155057715
2013-09-27,21.77,21.0543668418056,0.715633158194409
2013-09-30,21.695,21.0447401233934,0.650259876606551
2013-10-01,21.165,21.035105880578,0.129894119421988
2013-10-02,21.73,21.0254595730227,0.704540426977304
2013-10-03,21.695,21.0157967140839,0.679203285916059
2013-10-04,21.74,21.0061131083469,0.733886891653138
2013-10-07,22.35,20.9964048411519,1.35359515884811
2013-10-08,22.29,20.9866683011988,1.30333169880123
2013-10-09,21.89,20.9769004367091,0.913099563290917
2013-10-10,21.68,20.9670987346494,0.712901265350614
2013-10-11,21.33,20.9572610594248,0.372738940575237
2013-10-14,21.26,20.947385570125,0.312614429875019
2013-10-15,21.29,20.9374705799153,0.352529420084716
2013-10-16,21.41,20.927514531183,0.482485468816979
2013-10-17,21.88,20.9175160120371,0.962483987962907
2013-10-18,21.945,20.9074738100264,1.03752618997362
2013-10-21,22.225,20.8973871105521,1.32761288944794
2013-10-22,22.705,20.8872555278869,1.81774447211312
2013-10-23,22.55,20.8770792250854,1.67292077491462
2013-10-24,22.71,20.8668591165846,1.84314088341543
2013-10-25,22.59,20.8565968083395,1.73340319166052
2013-10-28,22.5,20.8462946681857,1.65370533181432
2013-10-29,22.51,20.8359557804778,1.67404421952219
2013-10-30,22.725,20.8255839131458,1.89941608685417
2013-10-31,21.895,20.8151835261023,1.07981647389769
2013-11-01,21.855,20.8047598644019,1.05024013559808
2013-11-04,21.67,20.7943186194522,0.875681380547796
2013-11-05,21.7,20.7838659167876,0.916134083212377
2013-11-06,21.795,20.7734082439142,1.02159175608585
2013-11-07,21.66,20.7629524670307,0.897047532969266
2013-11-08,21.5,20.7525058746213,0.747494125378694
2013-11-11,21.34,20.7420761259731,0.597923874026885
2013-11-12,20.69,20.7316711893576,-0.0416711893575538
2013-11-13,20.53,20.7212992802035,-0.191299280203537
2013-11-14,20.745,20.7109685967149,0.0340314032851132
2013-11-15,20.77,20.7006872580199,0.069312741980081
2013-11-18,20.385,20.6904633973144,-0.305463397314405
2013-11-19,20.33,20.6803051764449,-0.35030517644487
2013-11-20,19.84,20.6702206309917,-0.830220630991679
2013-11-21,19.945,20.6602176517331,-0.715217651733101
2013-11-22,19.81,20.6503037862677,-0.840303786267749
2013-11-25,20.185,20.6404862865518,-0.455486286551806
2013-11-26,19.805,20.6307720571939,-0.825772057193896
2013-11-27,19.585,20.6211678145228,-1.03616781452277
2013-11-28,19.685,20.6116799335264,-0.9266799335264
2013-11-29,19.965,20.6023143608822,-0.637314360882158
2013-12-02,19.09,20.5930766602159,-1.50307666021588
2013-12-03,19.06,20.5839721317126,-1.52397213171256
2013-12-04,19.66,20.5750054542463,-0.915005454246301
2013-12-05,19.32,20.5661806767421,-1.24618067674207
2013-12-06,19.395,20.5575014698986,-1.16250146989861
2013-12-09,19.89,20.5489709892934,-0.658970989293406
2013-12-10,20.3,20.5405919099729,-0.240591909972891
2013-12-11,20.23,20.5323666345911,-0.302366634591114
2013-12-12,19.45,20.5242974663516,-1.07429746635158
2013-12-13,19.63,20.5163865834709,-0.886386583470925
2013-12-16,19.96,20.508635720095,-0.548635720095046
2013-12-17,19.8,20.5010462439726,-0.701046243972607
2013-12-18,19.74,20.4936192960689,-0.753619296068895
2013-12-19,19.23,20.4863557275644,-1.25635572756441
2013-12-20,19.395,20.4792560781242,-1.08425607812418
2013-12-23,19.44,20.472320368086,-1.03232036808596
2013-12-24,19.475,20.4655481696001,-0.990548169600131
2013-12-26,19.78,20.4589386280965,-0.678938628096474
2013-12-27,20.055,20.4524904795528,-0.397490479552832
2013-12-30,19.565,20.4462021793007,-0.881202179300668
2013-12-31,19.425,20.4400720183654,-1.01507201836535
