"AUDUSDDate","AUDUSDClose","AUDUSD_hpft","AUDUSD_hpfc"
2020-12-24,0.7591,0.754620197997699,0.00447980200230113
2020-12-25,0.75995,0.755078856908164,0.0048711430918358
2020-12-28,0.75775,0.755532519949717,0.00221748005028322
2020-12-29,0.76055,0.755981034630928,0.00456896536907228
2020-12-30,0.76855,0.756424249376995,0.0121257506230052
2020-12-31,0.7692,0.756862014501727,0.0123379854982726
2021-01-01,0.7685,0.757294185331239,0.0112058146687609
2021-01-04,0.76652,0.757720622291679,0.00879937770832053
2021-01-05,0.77591,0.758141190441224,0.0177688095587757
2021-01-06,0.7802,0.758555758475344,0.021644241524656
2021-01-07,0.7766,0.75896420243445,0.0176357975655501
2021-01-08,0.77556,0.759366407305793,0.0161935926942072
2021-01-11,0.76945,0.759762265366559,0.00968773463344074
2021-01-12,0.7774,0.760151675587705,0.0172483244122945
2021-01-13,0.7732,0.760534540944712,0.0126654590552885
2021-01-14,0.77777,0.760910771542841,0.0168592284571588
2021-01-15,0.76961,0.761280282722716,0.00832971727728416
2021-01-18,0.76829,0.761642996793903,0.00664700320609696
2021-01-19,0.76945,0.761998839509142,0.00745116049085747
2021-01-20,0.77468,0.762347739368792,0.012332260631208
2021-01-21,0.77638,0.762689627953171,0.0136903720468294
2021-01-22,0.77212,0.763024441940316,0.00909555805968435
2021-01-25,0.7713,0.763352123667275,0.00794787633272517
2021-01-26,0.77478,0.763672619230839,0.0111073807691615
2021-01-27,0.7663,0.763985878013143,0.00231412198685657
2021-01-28,0.76782,0.764291853987673,0.00352814601232726
2021-01-29,0.76439,0.764590502084467,-0.000200502084467149
2021-02-01,0.7623,0.764881778691962,-0.00258177869196198
2021-02-02,0.76075,0.765165640115707,-0.00441564011570734
2021-02-03,0.76179,0.765442041594051,-0.00365204159405074
2021-02-04,0.7602,0.765710936540097,-0.0055109365400971
2021-02-05,0.76773,0.765972276857353,0.00175772314264723
2021-02-08,0.77004,0.766226012171296,0.00381398782870399
2021-02-09,0.774,0.766472092833983,0.00752790716601729
2021-02-10,0.77217,0.766710470774063,0.00545952922593727
2021-02-11,0.77515,0.766941101031867,0.00820889896813279
2021-02-12,0.77608,0.767163940904511,0.00891605909548879
2021-02-15,0.7781,0.767378951082302,0.0107210489176976
2021-02-16,0.7757,0.767586095941123,0.008113904058877
2021-02-17,0.77513,0.767785344288506,0.0073446557114938
2021-02-18,0.77675,0.767976668285923,0.00877333171407691
2021-02-19,0.787,0.768160043130839,0.018839956869161
2021-02-22,0.7915,0.768335447647273,0.0231645523527267
2021-02-23,0.79113,0.768502868446909,0.0226271315530906
2021-02-24,0.79677,0.768662301716733,0.0281076982832667
2021-02-25,0.7871,0.768813752996879,0.018286247003121
2021-02-26,0.7702,0.768957239446074,0.00124276055392632
2021-03-01,0.7772,0.769092785781832,0.00810721421816826
2021-03-02,0.78184,0.769220417235398,0.012619582764602
2021-03-03,0.77751,0.769340162389189,0.00816983761081145
2021-03-04,0.77253,0.769452055042052,0.00307794495794751
2021-03-05,0.76869,0.769556132369939,-0.000866132369938964
2021-03-08,0.76465,0.769652432821069,-0.00500243282106937
2021-03-09,0.77155,0.76974099448567,0.00180900551433019
2021-03-10,0.77358,0.769821853386143,0.00375814661385663
2021-03-11,0.779,0.769895046292663,0.00910495370733663
2021-03-12,0.77653,0.76996061152889,0.00656938847111028
2021-03-15,0.77535,0.770018591182066,0.00533140881793386
2021-03-16,0.77455,0.770069030054992,0.00448096994500774
2021-03-17,0.77976,0.770111975154228,0.00964802484577171
2021-03-18,0.776,0.77014747533863,0.00585252466137019
2021-03-19,0.77337,0.770175583455133,0.00319441654486721
2021-03-22,0.7746,0.770196354769841,0.00440364523015856
2021-03-23,0.76118,0.770209845869354,-0.0090298458693541
2021-03-24,0.75825,0.770216115160537,-0.0119661151605368
2021-03-25,0.75798,0.770215217317664,-0.0122352173176644
2021-03-26,0.76357,0.770207202068721,-0.00663720206872123
2021-03-29,0.76323,0.770192114084158,-0.00696211408415807
2021-03-30,0.75972,0.770169995290845,-0.0104499952908451
2021-03-31,0.75958,0.770140884737813,-0.0105608847378125
2021-04-01,0.76176,0.770104817154464,-0.00834481715446384
2021-04-02,0.76092,0.770061822904769,-0.00914182290476881
2021-04-05,0.76531,0.770011928903296,-0.00470192890329607
2021-04-06,0.76631,0.769955158285736,-0.00364515828573551
2021-04-07,0.76132,0.769891532244191,-0.00857153224419055
2021-04-08,0.76528,0.769821070464014,-0.00454107046401447
2021-04-09,0.76185,0.76974378908743,-0.00789378908743013
2021-04-12,0.76232,0.769659702379544,-0.00733970237954421
2021-04-13,0.76436,0.769568821342526,-0.00520882134252593
2021-04-14,0.77235,0.769471153944576,0.00287884605542414
2021-04-15,0.77517,0.769366706000775,0.00580329399922485
2021-04-16,0.77356,0.769255484516242,0.00430451548375783
2021-04-19,0.77582,0.769137498894901,0.00668250110509924
2021-04-20,0.77247,0.769012760320012,0.00345723967998793
2021-04-21,0.77536,0.768881282737103,0.00647871726289671
2021-04-22,0.77066,0.768743081520796,0.00191691847920416
2021-04-23,0.77467,0.768598174723751,0.00607182527624876
2021-04-26,0.77992,0.768446581190997,0.0114734188090025
2021-04-27,0.77675,0.768288322277417,0.00846167772258294
2021-04-28,0.77913,0.768123424080537,0.0110065759194628
2021-04-29,0.77664,0.767951916195617,0.00868808380438289
2021-04-30,0.77203,0.767773832767572,0.00425616723242781
2021-05-03,0.77619,0.767589211532638,0.00860078846736236
2021-05-04,0.7706,0.767398091986366,0.00320190801363373
2021-05-05,0.77476,0.76720051717954,0.00755948282046046
2021-05-06,0.778,0.766996531486486,0.0110034685135142
2021-05-07,0.78441,0.766786182406295,0.0176238175937047
2021-05-10,0.78297,0.766569521986478,0.0164004780135222
2021-05-11,0.78414,0.766346609559466,0.017793390440534
2021-05-12,0.77253,0.76611751123707,0.00641248876293059
2021-05-13,0.77283,0.765882300486122,0.00694769951387799
2021-05-14,0.7778,0.765641053424141,0.0121589465758587
2021-05-17,0.77656,0.765393849040538,0.0111661509594619
2021-05-18,0.77901,0.765140771350747,0.0138692286492526
2021-05-19,0.77269,0.764881908985822,0.00780809101417791
2021-05-20,0.77757,0.764617356309806,0.012952643690194
2021-05-21,0.77344,0.764347210914302,0.00909278908569773
2021-05-24,0.7753,0.764071575745008,0.0112284242549918
2021-05-25,0.77538,0.763790557506219,0.0115894424937808
