"SCMDate","SCMClose","SCM_hpft","SCM_hpfc"
2018-03-27,424,436.740894953108,-12.7408949531077
2018-03-28,410.4,437.614927987672,-27.2149279876716
2018-03-29,409.7,438.488955755662,-28.7889557556618
2018-03-30,420.3,439.362961740948,-19.0629617409478
2018-04-02,416.6,440.236917527203,-23.6369175272032
2018-04-03,402.5,441.110786818238,-38.6107868182382
2018-04-04,401.5,441.984523547312,-40.4845235473123
2018-04-09,402.3,442.858065687539,-40.5580656875388
2018-04-10,413.5,443.731334477358,-30.2313344773575
2018-04-11,417.8,444.60423439014,-26.8042343901396
2018-04-12,428.7,445.476657402827,-16.7766574028269
2018-04-13,427,446.348484412573,-19.3484844125734
2018-04-16,424.4,447.21958938174,-22.8195893817396
2018-04-17,427.4,448.089838274799,-20.6898382747992
2018-04-18,429.7,448.959087623523,-19.259087623523
2018-04-19,440.6,449.827185407339,-9.2271854073386
2018-04-20,436.7,450.69397164474,-13.9939716447404
2018-04-23,439.7,451.559282540075,-11.8592825400752
2018-04-24,447.3,452.422948513145,-5.12294851314531
2018-04-25,438,453.284795081597,-15.2847950815973
2018-04-26,441.4,454.144645645464,-12.7446456454641
2018-04-27,444.2,455.002317286657,-10.8023172866574
2018-05-02,443.5,455.857621818957,-12.3576218189573
2018-05-03,447,456.710366590909,-9.71036659090884
2018-05-04,446.9,457.560353842916,-10.6603538429158
2018-05-07,458.3,458.407381801498,-0.107381801497519
2018-05-08,459.1,459.251244286615,-0.151244286614877
2018-05-09,465.2,460.09173507384,5.1082649261603
2018-05-10,476.4,460.928647876238,15.4713521237615
2018-05-11,471.2,461.761778518405,9.43822148159454
2018-05-14,465.6,462.590929220192,3.00907077980824
2018-05-15,472.8,463.415906102815,9.38409389718465
2018-05-16,473.1,464.236516531332,8.86348346866761
2018-05-17,481.9,465.052571749806,16.8474282501941
2018-05-18,486.5,465.863886666106,20.6361133338943
2018-05-21,482.4,466.670283152137,15.7297168478635
2018-05-22,485.1,467.471591609964,17.628408390036
2018-05-23,484.6,468.267648943676,16.3323510563237
2018-05-24,485,469.058299344228,15.9417006557718
2018-05-25,477.4,469.843393753721,7.55660624627862
2018-05-28,462.8,470.622789703918,-7.82278970391754
2018-05-29,463.8,471.396347850168,-7.59634785016757
2018-05-30,463.9,472.163925614215,-8.26392561421525
2018-05-31,472.5,472.925377277755,-0.425377277754624
2018-06-01,474.7,473.680553706514,1.01944629348605
2018-06-04,470.9,474.42930559039,-3.52930559039043
2018-06-05,466.2,475.171484040682,-8.97148404068245
2018-06-06,465,475.906938709804,-10.9069387098035
2018-06-07,465.8,476.635515541729,-10.835515541729
2018-06-08,468.3,477.357055971938,-9.05705597193837
2018-06-11,467.5,478.071396956956,-10.5713969569558
2018-06-12,472.1,478.778371709473,-6.67837170947289
2018-06-13,464.5,479.477809072385,-14.9778090723845
2018-06-14,468.1,480.169535128017,-12.0695351280172
2018-06-15,467.2,480.853369767488,-13.6533697674875
2018-06-19,460.3,481.529127892832,-21.2291278928319
2018-06-20,464.2,482.196618762347,-17.9966187623472
2018-06-21,459.8,482.85564285906,-23.0556428590603
2018-06-22,459,483.505993226899,-24.5059932268986
2018-06-25,466.5,484.147453379548,-17.6474533795482
2018-06-26,471.5,484.779796700889,-13.2797967008891
2018-06-27,485,485.402789280046,-0.402789280045757
2018-06-28,491,486.016191716823,4.98380828317746
2018-06-29,494.8,486.619764444548,8.18023555545198
2018-07-02,501.6,487.213269956595,14.3867300434052
2018-07-03,503.5,487.796474127741,15.7035258722585
2018-07-04,496.7,488.369148779693,8.33085122030666
2018-07-05,497.6,488.931072225323,8.66892777467731
2018-07-06,495.7,489.48202622114,6.21797377886051
2018-07-09,497.7,490.02179610707,7.67820389293048
2018-07-10,504.9,490.550169793284,14.3498302067161
2018-07-11,507.9,491.066938363839,16.8330616361609
2018-07-12,492.6,491.571898834392,1.02810116560803
2018-07-13,491.1,492.064855178726,-0.964855178725754
2018-07-16,491.9,492.545611795612,-0.6456117956124
2018-07-17,479.2,493.013972684982,-13.8139726849815
2018-07-18,481.5,493.469741579907,-11.9697415799072
2018-07-19,486.1,493.91271650329,-7.81271650329032
2018-07-20,493.4,494.342690530225,-0.942690530224577
2018-07-23,490.4,494.759453506381,-4.35945350638083
2018-07-24,494.7,495.162794887725,-0.462794887725271
2018-07-25,503.1,495.552502328206,7.54749767179446
2018-07-26,503.8,495.928363290479,7.87163670952151
2018-07-27,506.9,496.290168357045,10.6098316429555
2018-07-30,509.9,496.637711364169,13.2622886358308
2018-07-31,513.2,496.970790533869,16.2292094661314
2018-08-01,503.3,497.289209570195,6.01079042980501
2018-08-02,503.7,497.592778885774,6.10722111422557
2018-08-03,513.5,497.881311377793,15.6186886222067
2018-08-06,518.6,498.154622467924,20.4453775320764
2018-08-07,537.2,498.412534033981,38.7874659660193
2018-08-08,523.2,498.654876405075,24.5451235949252
2018-08-09,513.2,498.881495943494,14.318504056506
2018-08-10,506.3,499.092249157499,7.20775084250143
2018-08-13,509.3,499.286998474059,10.013001525941
2018-08-14,516,499.465609299526,16.534390700474
2018-08-15,510.1,499.6279511792,10.4720488208005
2018-08-16,497.9,499.773900493078,-1.87390049307838
2018-08-17,496.7,499.903337949833,-3.20333794983312
2018-08-20,491.4,500.016143483578,-8.61614348357791
2018-08-21,496.4,500.112195704273,-3.71219570427312
2018-08-22,504.6,500.191369660339,4.40863033966137
2018-08-23,508,500.253538865646,7.74646113435389
2018-08-24,511.8,500.298578656561,11.5014213434387
2018-08-27,510.8,500.32636757141,10.4736324285898
