"V1","V2","V3","V4","V5","V6","V7"
"USDX","USDCNH","GBPUSD","EURUSD","AUDUSD","USDJPY","AUDCAD"
"US Dollar Index","China Offshore Yuan","British Pound","Euro","Aussie Dollar","Japan Yen","Aussie Dollar 2 Canadian Dollar"
