"CNSPMIDate","CNSPMI","CNSPMI_hpft","CNSPMI_hpfc"
2023-05-01,54.5,53.4702571086207,1.0297428913793
2023-04-01,56.4,53.1309908212429,3.26900917875707
2023-03-01,58.2,52.7925826529413,5.4074173470587
2023-02-01,56.3,52.4586148971076,3.84138510289238
2023-01-01,54.4,52.1371760282563,2.26282397174373
2022-12-01,41.6,51.8395556751539,-10.2395556751539
2022-11-01,46.7,51.5789291532104,-4.8789291532104
2022-10-01,48.7,51.359938814773,-2.659938814773
2022-09-01,50.6,51.1831612378946,-0.583161237894558
2022-08-01,52.6,51.046956384949,1.55304361505098
2022-07-01,53.8,50.949198250612,2.85080174938796
2022-06-01,54.7,50.8890550325718,3.81094496742816
2022-05-01,47.8,50.8680705966411,-3.06807059664108
2022-04-01,41.9,50.8909645961053,-8.99096459610534
2022-03-01,48.4,50.959899958753,-2.55989995875297
2022-02-01,51.6,51.0695471418756,0.530452858124421
2022-01-01,51.1,51.2124433527991,-0.112443352799141
2021-12-01,52.7,51.381567842898,1.31843215710196
2021-11-01,52.3,51.5698061607527,0.730193839247291
2021-10-01,52.4,51.7711425484078,0.628857451592198
2021-09-01,53.2,51.980169742774,1.21983025722598
2021-08-01,47.5,52.1920045286384,-4.6920045286384
2021-07-01,53.3,52.4027802160023,0.897219783997683
2021-06-01,53.5,52.6047201110933,0.895279888906715
2021-05-01,55.2,52.7907952032922,2.40920479670785
2021-04-01,54.9,52.9547225485539,1.94527745144609
2021-03-01,56.3,53.0922268734974,3.2077731265026
2021-02-01,51.4,53.2006539692843,-1.8006539692843
2021-01-01,52.4,53.2800227713485,-0.880022771348485
2020-12-01,55.7,53.3288516701494,2.37114832985065
2020-11-01,56.4,53.3449257038369,3.05507429616314
2020-10-01,56.2,53.3280058675025,2.8719941324975
2020-09-01,55.9,53.2803990514846,2.61960094851542
2020-08-01,55.2,53.2068054745651,1.99319452543487
2020-07-01,54.2,53.1141083563166,1.08589164368336
2020-06-01,54.4,53.0108519117495,1.38914808825053
2020-05-01,53.6,52.906485265577,0.693514734422974
2020-04-01,53.2,52.8116151659196,0.388384834080413
2020-03-01,52.3,52.7374262898428,-0.437426289842791
2020-02-01,29.6,52.6954269684407,-23.0954269684407
2020-01-01,54.1,52.6967610108991,1.40323898910089
2019-12-01,53.5,52.7333260372635,0.7666739627365
2019-11-01,54.4,52.7981890334036,1.6018109665964
2019-10-01,52.8,52.8850558801581,-0.0850558801580956
2019-09-01,53.7,52.9889673008378,0.711032699162197
2019-08-01,53.8,53.1048931388534,0.695106861146568
2019-07-01,53.7,53.228395764865,0.471604235135031
2019-06-01,54.2,53.3556168052501,0.844383194749942
2019-05-01,54.3,53.4830908899156,0.816909110084399
2019-04-01,54.3,53.6080563014308,0.691943698569219
2019-03-01,54.8,53.7284320799565,1.07156792004347
2019-02-01,54.3,53.8427138854026,0.457286114597397
2019-01-01,54.7,53.9502903509454,0.749709649054579
2018-12-01,53.8,54.0509311815236,-0.250931181523619
2018-11-01,53.4,54.1450308401167,-0.745030840116654
2018-10-01,53.9,54.2327746803861,-0.332774680386093
2018-09-01,54.9,54.3137271969601,0.586272803039946
2018-08-01,54.2,54.387175572233,-0.187175572232995
2018-07-01,54,54.4528955492686,-0.452895549268593
2018-06-01,55,54.510506891487,0.489493108513018
2018-05-01,54.9,54.5592519493506,0.340748050649432
2018-04-01,54.8,54.5987809842455,0.201219015754484
2018-03-01,54.6,54.6290282142669,-0.029028214266888
2018-02-01,54.4,54.6500955400229,-0.250095540022861
2018-01-01,55.3,54.662060671943,0.637939328056951
2017-12-01,55,54.6647929075071,0.33520709249294
2017-11-01,54.8,54.6586931603012,0.141306839698789
2017-10-01,54.3,54.6444416831555,-0.344441683155554
2017-09-01,55.4,54.6228364845999,0.777163515400092
2017-08-01,53.4,54.5943885384281,-1.19438853842811
2017-07-01,54.5,54.5602564546968,-0.0602564546968502
2017-06-01,54.9,54.5206035196808,0.379396480319218
2017-05-01,54.5,54.4755428059423,0.0244571940576949
2017-04-01,54,54.4255035497774,-0.425503549777436
2017-03-01,55.1,54.3709353684772,0.72906463152277
2017-02-01,54.2,54.3119332930413,-0.111933293041261
2017-01-01,54.6,54.2491999083287,0.350800091671288
2016-12-01,54.5,54.1833445214546,0.316655478545442
2016-11-01,54.7,54.1152687729435,0.584731227056505
2016-10-01,54,54.0461381828857,-0.0461381828856891
2016-09-01,53.7,53.9776055473938,-0.277605547393833
2016-08-01,53.5,53.9112852140949,-0.411285214094906
2016-07-01,53.9,53.8485601926597,0.0514398073402936
2016-06-01,53.7,53.7904707550806,-0.0904707550806166
2016-05-01,53.1,53.7381000398562,-0.638100039856159
2016-04-01,53.5,53.6924557931889,-0.192455793188936
2016-03-01,53.8,53.6540140112483,0.145985988751654
2016-02-01,52.7,53.6230903103761,-0.923090310376122
2016-01-01,53.5,53.6001219619046,-0.100121961904636
2015-12-01,54.4,53.5847769952409,0.815223004759067
2015-11-01,53.6,53.5766400048238,0.0233599951761958
2015-10-01,53.1,53.575974937596,-0.475974937596022
2015-09-01,53.4,53.583065207163,-0.183065207162995
2015-08-01,53.4,53.5977975813488,-0.197797581348798
2015-07-01,53.9,53.6199062736382,0.280093726361781
2015-06-01,53.8,53.6489606661982,0.151039333801772
2015-05-01,53.2,53.6847635526344,-0.484763552634443
2015-04-01,53.4,53.727243592664,-0.327243592664003
2015-03-01,53.7,53.7759254763768,-0.0759254763768175
2015-02-01,53.9,53.8300611908689,0.0699388091310553
2015-01-01,53.7,53.8888394520061,-0.188839452006096
2014-12-01,54.1,53.951507257995,0.148492742005044
2014-11-01,53.9,54.0171542408322,-0.117154240832183
2014-10-01,53.8,54.0849937764661,-0.284993776466109
2014-09-01,54,54.154141612311,-0.15414161231104
2014-08-01,54.4,54.2234760009676,0.176523999032429
2014-07-01,54.2,54.2917467436927,-0.0917467436926851
2014-06-01,55,54.3578507450759,0.642149254924084
2014-05-01,55.5,54.420608454087,1.07939154591297
2014-04-01,54.8,54.4793754440749,0.320624555925089
2014-03-01,54.5,54.5344067813434,-0.034406781343359
2014-02-01,55,54.5862247193261,0.41377528067387
2014-01-01,53.4,54.6353228391392,-1.23532283913918
2013-12-01,54.6,54.6825395346324,-0.082539534632366
2013-11-01,56,54.7276837639563,1.27231623604374
2013-10-01,56.3,54.7704957023159,1.5295042976841
2013-09-01,55.4,54.8117757884464,0.588224211553632
2013-08-01,53.9,54.8535990479975,-0.953599047997483
2013-07-01,54.1,54.898530693462,-0.798530693462021
2013-06-01,53.9,54.9483412714594,-1.04834127145944
2013-05-01,54.3,55.0041358863646,-0.704135886364629
2013-04-01,54.5,55.0661460248263,-0.566146024826269
2013-03-01,55.6,55.1340163935877,0.465983606412268
2013-02-01,54.5,55.2069199110384,-0.706919911038374
2013-01-01,56.2,55.2844178152396,0.915582184760443
2012-12-01,56.1,55.3654822443268,0.734517755673214
2012-11-01,55.6,55.4498483215895,0.150151678410474
2012-10-01,55.5,55.537863268447,-0.0378632684469672
2012-09-01,53.7,55.629999432717,-1.92999943271698
2012-08-01,56.3,55.7266976094937,0.573302390506267
2012-07-01,55.6,55.8267902610108,-0.226790261010779
2012-06-01,56.7,55.9295876014938,0.770412398506218
2012-05-01,55.2,56.0342108532842,-0.834210853284221
2012-04-01,56.1,56.1404232490557,-0.0404232490556638
2012-03-01,58,56.2472928457706,1.75270715422939
2012-02-01,57.3,56.3538540143507,0.946145985649333
2012-01-01,55.7,56.4606017150127,-0.760601715012646
2011-12-01,56.3,56.5688193629614,-0.268819362961411
2011-11-01,55.9,56.6791565386393,-0.779156538639282
2011-10-01,55.5,56.7920388063528,-1.2920388063528
2011-09-01,55.8,56.907242433293,-1.10724243329299
2011-08-01,57.1,57.0234669876455,0.0765330123544652
2011-07-01,57.3,57.1384893355684,0.161510664431576
2011-06-01,56.6,57.2501501207299,-0.650150120729904
2011-05-01,58.7,57.3564245790186,1.3435754209814
2011-04-01,58.2,57.4547461545559,0.745253845444143
2011-03-01,59.2,57.5436679376472,1.65633206235282
2011-02-01,57,57.6223640634693,-0.62236406346927
2011-01-01,57.2,57.6913889439175,-0.491388943917449
2010-12-01,58.8,57.7507783541675,1.0492216458325
2010-11-01,58.9,57.8001585786086,1.09984142139142
2010-10-01,57.4,57.8400302530014,-0.440030253001417
2010-09-01,57.9,57.8718105476245,0.0281894523754763
2010-08-01,58,57.8965499408789,0.103450059121077
2010-07-01,57.1,57.915322402376,-0.815322402375957
2010-06-01,58.8,57.9292881101096,0.870711889890429
