"CU0Date","CU0Close","CU0_hpft","CU0_hpfc"
2010-01-04,60030,59643.7503366811,386.249663318914
2010-01-05,60590,59604.3123173847,985.687682615349
2010-01-06,61630,59564.8744577483,2065.12554225171
2010-01-07,61170,59525.4373248757,1644.56267512426
2010-01-08,60690,59486.0023395106,1203.99766048941
2010-01-11,62170,59446.5716021925,2723.42839780748
2010-01-12,61700,59407.1477111454,2292.8522888546
2010-01-13,59770,59367.7343903489,402.265609651127
2010-01-14,60750,59328.3363115556,1421.66368844442
2010-01-15,60510,59288.9583127986,1221.04168720136
2010-01-18,60880,59249.6058197696,1630.39418023041
2010-01-19,61630,59210.2847628896,2419.71523711039
2010-01-20,61000,59171.0017465193,1828.99825348074
2010-01-21,60970,59131.764375232,1838.23562476796
2010-01-22,59360,59092.5810096359,267.41899036409
2010-01-25,59930,59053.4607701916,876.539229808436
2010-01-26,59210,59014.4128878996,195.58711210044
2010-01-27,59530,58975.4469560868,554.553043913221
2010-01-28,57480,58936.5726489281,-1456.57264892807
2010-01-29,55570,58897.799869828,-3327.79986982803
2010-02-01,54470,58859.1379201028,-4389.13792010284
2010-02-02,54300,58820.59472549,-4520.59472549003
2010-02-03,55890,58782.1763974337,-2892.17639743372
2010-02-04,54000,58743.8871787463,-4743.88717874625
2010-02-05,51980,58705.7301167305,-6725.73011673052
2010-02-08,52560,58667.706297757,-6107.70629775698
2010-02-09,53200,58629.81402805,-5429.81402805
2010-02-10,54660,58592.0490891538,-3932.04908915382
2010-02-11,55390,58554.4050181455,-3164.40501814547
2010-02-12,56410,58516.8737267514,-2106.87372675142
2010-02-22,59010,58479.4458186602,530.554181339843
2010-02-23,58890,58442.1110266634,447.888973336631
2010-02-24,58320,58404.8593028624,-84.8593028623927
2010-02-25,58010,58367.6807844978,-357.680784497828
2010-02-26,58190,58330.5655737331,-140.565573733085
2010-03-01,60780,58293.5036248806,2486.49637511942
2010-03-02,59170,58256.4848341486,913.515165851406
2010-03-03,59660,58219.500125563,1440.49987443704
2010-03-04,59410,58182.54080076,1227.45919923997
2010-03-05,59870,58145.5987568209,1724.40124317914
2010-03-08,60690,58108.6663982088,2581.33360179125
2010-03-09,60270,58071.7368421852,2198.26315781482
2010-03-10,60620,58034.8042730311,2585.19572696891
2010-03-11,59310,57997.863783701,1312.13621629897
2010-03-12,59590,57960.9115357655,1629.08846423446
2010-03-15,58380,57923.9442331795,456.05576682054
2010-03-16,58800,57886.9592532973,913.040746702661
2010-03-17,60140,57849.9541619888,2290.04583801124
2010-03-18,59540,57812.9269025377,1727.07309746226
2010-03-19,60230,57775.8763648411,2454.12363515886
2010-03-22,59530,57738.8021526984,1791.19784730162
2010-03-23,59560,57701.7048843448,1858.29511565516
2010-03-24,59300,57664.5859184251,1635.41408157487
2010-03-25,59320,57627.4473817283,1692.55261827168
2010-03-26,60160,57590.2920770579,2569.7079229421
2010-03-29,62100,57553.1235068505,4546.87649314946
2010-03-30,62050,57515.9462357568,4534.05376424317
2010-03-31,61630,57478.7667079233,4151.23329207671
2010-04-01,62520,57441.5932416919,5078.40675830806
2010-04-02,63100,57404.4358713577,5695.56412864233
2010-04-06,63370,57367.3067304245,6002.69326957545
2010-04-07,63110,57330.2203067138,5779.77969328617
2010-04-08,62090,57293.1935693188,4796.80643068118
2010-04-09,62930,57256.2458764602,5673.75412353975
2010-04-12,62930,57219.3985691679,5710.60143083209
2010-04-13,62480,57182.675333772,5297.32466622804
2010-04-14,62580,57146.102217136,5433.89778286405
2010-04-15,62590,57109.7074558246,5480.29254417544
2010-04-16,62350,57073.5215325572,5276.47846744284
2010-04-19,60070,57037.5771953858,3032.42280461423
2010-04-20,60800,57001.9093734459,3798.09062655409
2010-04-21,60930,56966.554249355,3963.44575064499
2010-04-22,60660,56931.5495757084,3728.45042429156
2010-04-23,60600,56896.9347434313,3703.06525656866
2010-04-26,61450,56862.7506846397,4587.24931536029
2010-04-27,60530,56829.0398621479,3700.96013785213
2010-04-28,58300,56795.8466349534,1504.15336504658
2010-04-29,58830,56763.2168918837,2066.78310811626
2010-04-30,58740,56731.1971435232,2008.80285647678
2010-05-04,58180,56699.8347547805,1480.16524521945
2010-05-05,56880,56669.1779209218,210.822079078181
2010-05-06,56030,56639.275449055,-609.275449054972
2010-05-07,54540,56610.1762334321,-2070.17623343213
2010-05-10,56680,56581.928916457,98.0710835430031
2010-05-11,55720,56554.5812848054,-834.581284805387
2010-05-12,55970,56528.1811656899,-558.181165689916
2010-05-13,56740,56502.7760413441,237.223958655872
2010-05-14,56360,56478.4131632659,-118.413163265942
2010-05-17,53590,56455.1398810189,-2865.1398810189
2010-05-18,53730,56433.0034952143,-2703.0034952143
2010-05-19,53130,56412.0501221338,-3282.05012213375
2010-05-20,53980,56392.3247607463,-2412.32476074633
2010-05-21,53670,56373.8710533491,-2703.87105334913
2010-05-24,55230,56356.7316450818,-1126.73164508184
2010-05-25,54140,56340.9480634178,-2200.94806341779
2010-05-26,54890,56326.5613700779,-1436.56137007788
2010-05-27,55320,56313.6117170039,-993.61171700393
2010-05-28,55800,56302.138662321,-502.138662320968
2010-05-31,55050,56292.1813534338,-1242.18135343377
2010-06-01,54100,56283.7787301843,-2183.77873018428
2010-06-02,53330,56276.9692189459,-2946.9692189459
2010-06-03,53820,56271.7903434047,-2451.79034340472
2010-06-04,52990,56268.2784090895,-3278.27840908952
2010-06-07,50100,56266.4687080562,-6166.46870805621
2010-06-08,49470,56266.3951772536,-6796.39517725358
2010-06-09,50380,56268.0892046598,-5888.08920465979
2010-06-10,50620,56271.5793688956,-5651.57936889558
2010-06-11,51400,56276.8918146833,-4876.89181468327
2010-06-17,51670,56284.0503506102,-4614.05035061018
2010-06-18,50930,56293.0767693558,-5363.07676935582
2010-06-21,53700,56303.9909563287,-2603.99095632868
2010-06-22,52840,56316.8105800618,-3476.81058006179
2010-06-23,53130,56331.5522327063,-3201.55223270629
2010-06-24,53520,56348.2310692314,-2828.23106923135
2010-06-25,53180,56366.8609212178,-3186.8609212178
2010-06-28,53960,56387.4544511708,-2427.45445117081
2010-06-29,52940,56410.0230042733,-3470.02300427333
2010-06-30,51800,56434.5769222998,-4634.57692229977
2010-07-01,51040,56461.1251126482,-5421.12511264823
2010-07-02,52200,56489.674566979,-4289.67456697904
2010-07-05,52260,56520.2300360705,-4260.23003607054
2010-07-06,52250,56552.7944975275,-4302.79449752753
2010-07-07,52130,56587.3691679446,-4457.36916794457
2010-07-08,52990,56623.9534853102,-3633.95348531018
2010-07-09,53640,56662.5450451232,-3022.54504512318
2010-07-12,53060,56703.1399407445,-3643.13994074446
2010-07-13,52290,56745.7330161412,-4455.73301614116
2010-07-14,52910,56790.317609349,-3880.31760934904
2010-07-15,52870,56836.8852165842,-3966.88521658419
2010-07-16,53120,56885.4257301008,-3765.4257301008
2010-07-19,52320,56935.9274023977,-4615.92740239768
2010-07-20,53060,56988.3769294993,-3928.3769294993
2010-07-21,53350,57042.7590993883,-3692.75909938825
2010-07-22,53930,57099.0570762194,-3169.05707621941
2010-07-23,55400,57157.2524977053,-1757.25249770528
2010-07-26,55570,57217.3256915989,-1647.32569159894
2010-07-27,55100,57279.2562592747,-2179.25625927472
2010-07-28,56200,57343.0231211694,-1143.02312116945
2010-07-29,56230,57408.6042969018,-1178.60429690178
2010-07-30,56280,57475.9773336137,-1195.97733361367
2010-08-02,57590,57545.1192912599,44.8807087400553
2010-08-03,57450,57616.0067354236,-166.00673542363
2010-08-04,57660,57688.6162502428,-28.6162502427885
2010-08-05,57400,57762.9243512293,-362.924351229299
2010-08-06,57830,57838.9075420712,-8.90754207119073
2010-08-09,58280,57916.5421764374,363.45782356259
2010-08-10,57240,57995.8046043126,-755.804604312584
2010-08-11,56700,58076.6713259235,-1376.67132592348
2010-08-12,56270,58159.1185290746,-1889.11852907459
2010-08-13,57330,58243.1218325126,-913.12183251257
2010-08-16,57300,58328.6560740973,-1028.65607409732
2010-08-17,57750,58415.6957142376,-665.695714237623
2010-08-18,58040,58504.2147881431,-464.214788143056
2010-08-19,58260,58594.187055849,-334.187055848975
2010-08-20,57050,58685.586085501,-1635.586085501
2010-08-23,57190,58778.3853071045,-1588.3853071045
2010-08-24,56920,58872.5574745845,-1952.55747458446
2010-08-25,56690,58968.0746852868,-2278.07468528681
2010-08-26,57330,59064.9082294528,-1734.90822945282
2010-08-27,57830,59163.0284556508,-1333.02845565085
2010-08-30,59390,59262.4049953188,127.595004681228
2010-08-31,58440,59363.006928871,-923.006928870956
2010-09-01,59590,59464.8033894599,125.196610540146
2010-09-02,59900,59567.7631287081,332.236871291875
2010-09-03,59900,59671.8549499894,228.145050010579
2010-09-06,60500,59777.0477940089,722.952205991103
2010-09-07,59680,59883.3106957766,-203.310695776591
2010-09-08,59780,59990.6129891436,-210.612989143605
2010-09-09,58590,60098.9239239241,-1508.9239239241
2010-09-10,58810,60208.212662869,-1398.21266286902
2010-09-13,59540,60318.4477450007,-778.447745000705
2010-09-14,59040,60429.5971313783,-1389.59713137834
2010-09-15,59090,60541.6284612813,-1451.62846128126
2010-09-16,59060,60654.5087995841,-1594.50879958407
2010-09-17,60100,60768.2046111192,-668.204611119205
2010-09-20,60250,60882.6817016112,-632.68170161124
2010-09-21,59830,60997.9056005781,-1167.9056005781
2010-09-27,60600,61113.8415760083,-513.841576008312
2010-09-28,60370,61230.45441313,-860.454413130043
2010-09-29,60790,61347.7086847666,-557.708684766564
2010-09-30,60600,61465.5686080665,-865.568608066536
2010-10-08,60630,61583.9981696428,-953.998169642779
2010-10-11,62990,61702.9609983165,1287.03900168348
2010-10-12,62220,61822.4203285658,397.579671434208
2010-10-13,62950,61942.339926877,1007.66007312298
2010-10-14,63900,62062.6837240816,1837.31627591842
2010-10-15,63890,62183.4160675363,1706.58393246373
2010-10-18,63020,62304.502064071,715.497935928982
2010-10-19,63420,62425.9075259485,994.092474051535
2010-10-20,62650,62547.5985611901,102.401438809855
2010-10-21,62690,62669.5416887343,20.4583112657257
2010-10-22,62790,62791.703469848,-1.70346984804404
