"INA_10yryDate","INA_10yryClose","INA_10yry_hpft","INA_10yry_hpfc"
2012-12-30,0.810857142857143,0.740409011497329,0.0660195599312424
2012-12-29,0.806428571428571,0.740964952496893,0.0610350475031074
2012-12-28,0.802,0.741510539614335,0.0614894603856653
2012-12-27,0.803,0.742046066500795,0.0469539334992053
2012-12-26,0.789,0.742571852224766,0.0274281477752345
2012-12-25,0.77,0.743088235263613,0.0256617647363875
2012-12-24,0.76875,0.743595565432364,0.0239044345676357
2012-12-23,0.7675,0.744094203153642,0.0221557968463576
2012-12-22,0.76625,0.744584518731152,0.0204154812688477
2012-12-21,0.765,0.74506689162693,0.0259331083730703
2012-12-20,0.771,0.745541709741945,0.030458290258055
2012-12-19,0.776,0.746009371696884,0.00999062830311637
2012-12-18,0.756,0.746470288702642,-0.00847028870264182
2012-12-17,0.738,0.746924876099873,-0.0105915427665399
2012-12-16,0.736333333333333,0.747373545727929,-0.0127068790612624
2012-12-15,0.734666666666667,0.747816705048052,-0.0148167050480515
2012-12-14,0.733,0.748254756268977,-0.0202547562689767
2012-12-13,0.728,0.748688095474793,-0.0476880954747934
2012-12-12,0.701,0.749117110377095,-0.0451171103770948
2012-12-11,0.704,0.749542168975136,-0.0475421689751364
2012-12-10,0.702,0.749963620618577,-0.046630287285244
2012-12-09,0.703333333333333,0.750381795005048,-0.0457151283383817
2012-12-08,0.704666666666667,0.750797002557097,-0.0447970025570973
2012-12-07,0.706,0.751209534800482,-0.058209534800482
2012-12-06,0.693,0.751619664743677,-0.0376196647436769
2012-12-05,0.714,0.752027641333673,-0.0460276413336732
2012-12-04,0.706,0.752433697967005,-0.0434336979670051
2012-12-03,0.709,0.752838049014231,-0.0428380490142313
2012-12-02,0.71,0.753240890892171,-0.0422408908921705
2012-12-01,0.711,0.753642402310112,-0.0416424023101117
2012-11-30,0.712,0.754042744516657,-0.0370427445166566
2012-11-29,0.717,0.754442061547113,-0.0324420615471133
2012-11-28,0.722,0.75484048212481,-0.0178404821248105
2012-11-27,0.737,0.755238121562833,-0.0172381215628329
2012-11-26,0.738,0.755635087799726,-0.0166350877997263
2012-11-25,0.739,0.756031481648491,-0.0160314816484911
2012-11-24,0.74,0.75642739704585,-0.0154273970458496
2012-11-23,0.741,0.756822921301755,-0.0148229213017554
2012-11-22,0.742,0.757218135349096,-0.0182181353490964
2012-11-21,0.739,0.757613113993561,-0.0226131139935608
2012-11-20,0.735,0.758007924510193,-0.0200079245101926
2012-11-19,0.738,0.758402624826683,-0.0207359581600167
2012-11-18,0.737666666666667,0.758797264600254,-0.0214639312669202
2012-11-17,0.737333333333333,0.759191884916712,-0.0221918849167118
2012-11-16,0.737,0.759586517989541,-0.0205865179895413
2012-11-15,0.739,0.759981186858992,-0.0159811868589918
2012-11-14,0.744,0.760375906055675,-0.0233759060556749
2012-11-13,0.737,0.760770683504222,-0.0257706835042218
2012-11-12,0.735,0.761165517466604,-0.0248321841332708
2012-11-11,0.736333333333333,0.761560395552229,-0.0238937288855628
2012-11-10,0.737666666666667,0.761955295105879,-0.0229552951058788
2012-11-09,0.739,0.762350183595626,-0.0133501835956265
2012-11-08,0.749,0.762745019000751,0.00425498099924903
2012-11-07,0.767,0.763139753782102,0.00386024621789817
2012-11-06,0.767,0.763534342159366,0.00946565784063411
2012-11-05,0.773,0.763928739947902,0.0124045933854316
2012-11-04,0.776333333333333,0.764322906875789,0.0153437597908777
2012-11-03,0.779666666666667,0.764716807798668,0.0182831922013316
2012-11-02,0.783,0.765110413914674,0.0168895860853259
2012-11-01,0.782,0.765503703979476,0.0104962960205244
