"CN00YDate","CN00YClose","CN00Y_hpft","CN00Y_hpfc"
2017-07-19,11720,11534.9977085441,185.002291455941
2017-07-20,11882.5,11552.4028406304,330.097159369628
2017-07-21,11910,11569.8604144248,340.139585575228
2017-07-24,11820,11587.3686815097,232.631318490261
2017-07-25,11882.5,11604.9260340679,277.57396593207
2017-07-26,11867.5,11622.5309604424,244.969039557633
2017-07-27,11782.5,11640.1820637139,142.317936286085
2017-07-28,11805,11657.8780482238,147.121951776173
2017-07-31,11820,11675.617677142,144.382322858028
2017-08-01,11850,11693.3997744523,156.600225547718
2017-08-02,12005,11711.2232238208,293.776776179229
2017-08-03,11995,11729.0869736457,265.913026354309
2017-08-04,11832.5,11746.9900937605,85.5099062394853
2017-08-07,11745,11764.9317639167,-19.9317639167106
2017-08-08,11812.5,11782.911199212,29.5888007880083
2017-08-10,11700,11800.9276065052,-100.927606505192
2017-08-11,11630,11818.9802048859,-188.980204885881
2017-08-14,11405,11837.0681717243,-432.06817172431
2017-08-15,11545,11855.1906062739,-310.190606273864
2017-08-16,11617.5,11873.3464291883,-255.846429188256
2017-08-17,11625,11891.534432901,-266.534432900989
2017-08-18,11620,11909.7533040888,-289.753304088835
2017-08-21,11642.5,11928.001619254,-285.501619253953
2017-08-22,11682.5,11946.2778351262,-263.777835126206
2017-08-23,11785,11964.5802904205,-179.580290420536
2017-08-24,11905,11982.9072148168,-77.9072148167536
2017-08-25,11840,12001.2567637634,-161.256763763355
2017-08-28,12145,12019.6270605052,125.37293949484
2017-08-29,12212.5,12038.0161616299,174.483838370059
2017-08-30,12197.5,12056.4221755495,141.077824450457
2017-08-31,12170,12074.8432828005,95.1567171995323
2017-09-04,12110,12093.2777222351,16.7222777649191
2017-09-05,12130,12111.7237720398,18.2762279602483
2017-09-06,12217.5,12130.1797173131,87.32028268687
2017-09-07,12137.5,12148.6438507085,-11.1438507085364
2017-09-08,12035,12167.114500974,-132.114500973989
2017-09-11,12030,12185.5899922511,-155.589992251067
2017-09-12,12000,12204.0685940706,-204.068594070553
2017-09-13,12075,12222.5485116486,-147.548511648569
2017-09-14,12037.5,12241.0278658475,-203.527865847488
2017-09-15,11930,12259.5047165391,-329.504716539061
2017-09-18,11935,12277.9770394648,-342.977039464797
2017-09-19,11997.5,12296.4426741622,-298.942674162228
2017-09-20,11902.5,12314.899318396,-412.399318395951
2017-09-21,11960,12333.3445463597,-373.344546359695
2017-09-22,12010,12351.7757617779,-341.775761777881
2017-09-25,11980,12370.1902140493,-390.19021404928
2017-09-26,11922.5,12388.5850112964,-466.085011296361
2017-09-27,11980,12406.9571003527,-426.957100352659
2017-09-28,11942.5,12425.3032353908,-482.8032353908
2017-09-29,11937.5,12443.6199940967,-506.119994096661
2017-10-02,12005,12461.9037545846,-456.903754584635
2017-10-03,12127.5,12480.1506857593,-352.650685759305
2017-10-04,12280,12498.3567676598,-218.356767659789
2017-10-05,12362.5,12516.5178345536,-154.017834553568
2017-10-06,12367.5,12534.6296304482,-167.129630448189
2017-10-09,12347.5,12552.6878356864,-205.187835686376
2017-10-10,12202.5,12570.6880615263,-368.188061526302
2017-10-11,12175,12588.6258344095,-413.625834409514
2017-10-12,12227.5,12606.4965285836,-378.996528583635
2017-10-13,12295,12624.29534732,-329.29534731995
2017-10-16,12302.5,12642.0173372278,-339.517337227841
2017-10-17,12352.5,12659.657408799,-307.15740879904
2017-10-19,12477.5,12677.2103321828,-199.710332182844
2017-10-20,12392.5,12694.6707505616,-302.170750561646
2017-10-23,12410,12712.0332245658,-302.033224565773
2017-10-24,12390,12729.2921899203,-339.292189920291
2017-10-25,12457.5,12746.4419575021,-288.941957502112
2017-10-26,12547.5,12763.476697938,-215.976697938039
2017-10-27,12630,12780.3904624181,-150.390462418115
2017-10-30,12822.5,12797.1772128562,25.3227871438114
2017-10-31,12825,12813.8308490009,11.1691509991324
2017-11-01,12825,12830.345281068,-5.34528106803549
2017-11-02,12825,12846.7144238906,-21.7144238906162
2017-11-03,12825,12862.9321900919,-37.9321900919141
2017-11-06,12797.5,12878.9924833193,-81.4924833192549
2017-11-07,12842.5,12894.8891915403,-52.3891915403411
2017-11-08,13010,12910.6161690375,99.3838309624596
2017-11-09,12955,12926.1672484373,28.8327515627067
2017-11-10,13025,12941.5363034471,83.463696552915
2017-11-13,13182.5,12956.717219693,225.782780306961
2017-11-14,13195,12971.7039173018,223.296082698237
2017-11-15,13120,12986.4904097298,133.509590270229
2017-11-16,13030,13001.0708027346,28.9291972654397
2017-11-17,13220,13015.4392572609,204.56074273909
2017-11-20,13427.5,13029.5899462129,397.910053787098
2017-11-21,13487.5,13043.5171270507,443.982872949261
2017-11-22,13822.5,13057.2152217151,765.284778284948
2017-11-23,13852.5,13070.6788356714,781.821164328571
2017-11-24,13425,13083.9028907229,341.097109277118
2017-11-27,13455,13096.8826318465,358.117368153543
2017-11-28,13290,13109.6134450141,180.38655498593
2017-11-29,13212.5,13122.0908642297,90.409135770269
2017-11-30,13270,13134.310498062,135.689501938001
2017-12-01,13097.5,13146.2679924507,-48.7679924506786
2017-12-04,12962.5,13157.959049424,-195.459049424017
2017-12-05,13115,13169.3793508518,-54.379350851751
2017-12-06,13282.5,13180.5244978088,101.975502191178
2017-12-07,13095,13191.3900688918,-96.3900688918002
2017-12-08,12932.5,13201.9716848492,-269.471684849183
2017-12-11,13075,13212.2649265869,-137.264926586894
2017-12-12,13300,13222.2652636216,77.7347363784479
2017-12-13,13060,13231.9681087298,-171.968108729788
2017-12-14,13210,13241.3689068205,-31.3689068205491
2017-12-15,13135,13250.4630317189,-115.463031718863
2017-12-18,12880,13259.2458442827,-379.245844282671
2017-12-19,12975,13267.7126576415,-292.712657641464
