"PP0Date","PP0Close","PP0_hpft","PP0_hpfc"
2014-03-03,10632,10709.7059325547,-77.7059325546674
2014-03-04,10306,10713.8762316884,-407.876231688429
2014-03-05,10299,10718.0464987017,-419.046498701683
2014-03-06,10166,10722.2165328743,-556.216532874289
2014-03-07,10175,10726.3859602691,-551.385960269135
2014-03-10,10077,10730.5541770316,-653.554177031558
2014-03-11,10180,10734.7203513861,-554.720351386111
2014-03-12,10191,10738.8833814043,-547.883381404343
2014-03-13,10209,10743.0419358587,-534.0419358587
2014-03-14,10171,10747.1944570496,-576.194457049576
2014-03-17,10171,10751.3391665241,-580.339166524103
2014-03-18,10284,10755.4740476547,-471.474047654683
2014-03-19,10214,10759.5968439249,-545.596843924882
2014-03-20,10240,10763.7051039298,-523.705103929812
2014-03-21,10285,10767.7961507368,-482.796150736771
2014-03-24,10310,10771.8670909345,-461.86709093446
2014-03-25,10406,10775.9148315431,-369.914831543095
2014-03-26,10527,10779.9360886656,-252.936088665566
2014-03-27,10492,10783.9274254969,-291.927425496875
2014-03-28,10620,10787.8853006784,-167.885300678435
2014-03-31,10582,10791.8060521805,-209.806052180482
2014-04-01,10705,10795.6859485763,-90.6859485763045
2014-04-02,10672,10799.5211717138,-127.521171713841
2014-04-03,10685,10803.3078659551,-118.307865955109
2014-04-04,10818,10807.0421229498,10.9578770501743
2014-04-08,10756,10810.7199854443,-54.7199854442997
2014-04-09,10733,10814.3375007141,-81.3375007140815
2014-04-10,10682,10817.8906934159,-135.890693415914
2014-04-11,10701,10821.3755545846,-120.375554584565
2014-04-14,10758,10824.7880190835,-66.7880190835278
2014-04-15,10793,10828.1239720175,-35.1239720175228
2014-04-16,10772,10831.3792708838,-59.3792708838395
2014-04-17,10875,10834.5497586611,40.4502413389396
2014-04-18,10874,10837.6312537828,36.3687462171969
2014-04-21,10887,10840.619591403,46.3804085969899
2014-04-22,10975,10843.5106217089,131.489378291071
2014-04-23,10925,10846.3002140598,78.6997859402149
2014-04-24,10893,10848.9842921673,44.0157078327198
2014-04-25,10703,10851.5588122743,-148.558812274266
2014-04-28,10706,10854.019748818,-148.019748818023
2014-04-29,10758,10856.3630148275,-98.3630148275125
2014-04-30,10747,10858.5844621464,-111.5844621464
2014-05-05,10847,10860.679901959,-13.6799019590168
2014-05-06,10850,10862.6450993249,-12.6450993248884
2014-05-07,10932,10864.4758136492,67.5241863507935
2014-05-08,10872,10866.1677991101,5.83220088989655
2014-05-09,10771,10867.7168377975,-96.7168377974559
2014-05-12,10751,10869.1187142115,-118.118714211488
2014-05-13,10780,10870.3691728743,-90.3691728742622
2014-05-14,10752,10871.4639094821,-119.463909482108
2014-05-15,10676,10872.3985823767,-196.398582376661
2014-05-16,10691,10873.1688005172,-182.168800517231
2014-05-19,10697,10873.7700916802,-176.770091680218
2014-05-20,10695,10874.1979083412,-179.197908341241
2014-05-21,10765,10874.4476299051,-109.447629905089
2014-05-22,10922,10874.5145617045,47.4854382954756
2014-05-23,11039,10874.3939638304,164.606036169559
2014-05-26,11056,10874.0811160026,181.918883997368
2014-05-27,10830,10873.571365982,-43.571365982022
2014-05-28,10872,10872.8601367278,-0.860136727829897
2014-05-29,10934,10871.9428331887,62.0571668113136
2014-05-30,10985,10870.8148599573,114.185140042732
2014-06-03,11073,10869.4716472785,203.528352721468
2014-06-04,11065,10867.9086725973,197.09132740266
2014-06-05,11132,10866.1214974879,265.878502512083
2014-06-06,11119,10864.1057649948,254.894235005246
2014-06-09,11089,10861.8572280665,227.142771933521
2014-06-10,11364,10859.3717450132,504.628254986843
2014-06-11,11329,10856.6452680376,472.3547319624
2014-06-12,11351,10853.6739579355,497.326042064506
2014-06-13,11392,10850.4541707551,541.545829244917
2014-06-16,11422,10846.9824681193,575.017531880719
2014-06-17,11255,10843.2556355038,411.744364496176
2014-06-18,11205,10839.270696074,365.729303925995
2014-06-19,11159,10835.0248431933,323.975156806724
2014-06-20,11223,10830.5154214036,392.484578596446
2014-06-23,10900,10825.739909164,74.2600908360096
2014-06-24,10917,10820.6959471724,96.3040528276089
2014-06-25,10907,10815.3812068212,91.618793178769
2014-06-26,10904,10809.7933993121,94.2066006879067
2014-06-27,10955,10803.9302737183,151.069726281722
2014-06-30,11006,10797.7896180537,208.210381946252
2014-07-01,11220,10791.3692827789,428.63071722109
2014-07-02,11179,10784.6672044194,394.332795580563
2014-07-03,11202,10777.681496681,424.318503318972
2014-07-04,11301,10770.4104362686,530.589563731351
2014-07-07,11316,10762.8524752864,553.147524713604
2014-07-08,11270,10755.0062851601,514.993714839909
2014-07-09,11154,10746.8707659657,407.129234034261
2014-07-10,11161,10738.445030657,422.554969342976
2014-07-11,11199,10729.728360478,469.271639521999
2014-07-14,11192,10720.72021134,471.279788660048
2014-07-15,11188,10711.4202331324,476.579766867568
2014-07-16,11236,10701.8282705535,534.171729446523
2014-07-17,11108,10691.9443652995,416.055634700451
2014-07-18,11073,10681.7687798719,391.231220128062
2014-07-21,11081,10671.3019487527,409.698051247266
2014-07-22,11043,10660.5444681442,382.455531855752
2014-07-23,11150,10649.4971036008,500.502896399226
2014-07-24,11128,10638.1607787679,489.839221232075
2014-07-25,11248,10626.5366241795,621.46337582049
2014-07-28,11286,10614.6259728494,671.374027150576
2014-07-29,11345,10602.4304146791,742.569585320862
2014-07-30,10687,10589.9518170896,97.0481829104159
2014-07-31,10666,10577.1923544498,88.8076455501832
2014-08-01,10605,10564.1542412437,40.8457587563412
2014-08-04,10613,10550.8397286665,62.1602713334561
2014-08-05,10514,10537.2510847966,-23.2510847966473
2014-08-06,10565,10523.3906034067,41.6093965933186
2014-08-07,10536,10509.2605686586,26.7394313414471
2014-08-08,10488,10494.8632819138,-6.86328191378891
2014-08-11,10547,10480.2010555866,66.7989444133958
2014-08-12,10472,10465.2761992548,6.72380074520262
2014-08-13,10442,10450.0910501081,-8.09105010813269
2014-08-14,10458,10434.6479481152,23.3520518848287
2014-08-15,10537,10418.9492299003,118.050770099688
2014-08-18,10572,10402.9972417407,169.002758259263
2014-08-19,10579,10386.794378711,192.205621289024
2014-08-20,10495,10370.343105745,124.656894254953
2014-08-21,10645,10353.6459672259,291.354032774115
2014-08-22,10636,10336.7055590654,299.294440934628
2014-08-25,10646,10319.5245976093,326.475402390679
2014-08-26,10636,10302.10592292,333.894077080014
2014-08-27,10622,10284.4525100108,337.547489989167
2014-08-28,10577,10266.5674719143,310.432528085713
2014-08-29,10535,10248.4540611909,286.545938809078
2014-09-01,10511,10230.1156587223,280.884341277681
2014-09-02,10620,10211.5557638364,408.44423616364
2014-09-03,10622,10192.7779919668,429.222008033199
2014-09-04,10683,10173.7861273823,509.213872617731
2014-09-05,10570,10154.5841317738,415.415868226164
2014-09-09,10490,10135.1761773219,354.823822678089
2014-09-10,10427,10115.5666079223,311.433392077714
2014-09-11,10418,10095.7599141417,322.240085858272
2014-09-12,10355,10075.7607152804,279.239284719554
2014-09-15,10385,10055.5737638394,329.426236160626
2014-09-16,10416,10035.2039277464,380.796072253556
2014-09-17,10335,10014.6562111008,320.343788899213
2014-09-18,10260,9993.93577540771,266.064224592294
2014-09-19,10223,9973.04791458915,249.952085410853
2014-09-22,10053,9951.99803254769,101.001967452306
2014-09-23,9999,9930.79163650581,68.2083634941939
2014-09-24,10106,9909.43427543597,196.565724564025
2014-09-25,10162,9887.93152650572,274.068473494281
2014-09-26,10200,9866.28904813501,333.710951864987
2014-09-29,10313,9844.51261203228,468.487387967724
2014-09-30,10348,9822.60812784883,525.391872151168
2014-10-08,10018,9800.58169888965,217.418301110349
2014-10-09,10025,9778.43964563604,246.560354363956
2014-10-10,9660,9756.18837844085,-96.1883784408533
2014-10-13,9762,9733.83440957527,28.1655904247334
2014-10-14,9861,9711.38421154978,149.615788450224
2014-10-15,9877,9688.84426851791,188.155731482093
2014-10-16,9762,9666.22112647789,95.7788735221122
2014-10-17,9482,9643.52140920427,-161.521409204273
2014-10-20,9413,9620.75178006257,-207.751780062571
2014-10-21,9413,9597.91883565187,-184.918835651866
2014-10-22,9456,9575.02908669504,-119.029086695038
2014-10-23,9595,9552.08896747689,42.9110325231123
2014-10-24,9808,9529.10486308052,278.895136919478
2014-10-27,9767,9506.08317632653,260.916823673468
2014-10-28,9922,9483.03042531965,438.969574680348
2014-10-29,10007,9459.95323601715,547.046763982855
2014-10-30,10001,9436.85841582867,564.141584171331
2014-10-31,10086,9413.75299829097,672.247001709034
2014-11-03,9979,9390.64425013427,588.355749865731
2014-11-04,9837,9367.53971596867,469.460284031335
2014-11-05,9652,9344.44718360684,307.552816393156
2014-11-06,9887,9321.37463491754,565.625365082456
2014-11-07,9974,9298.33017889939,675.669821100606
2014-11-10,10055,9275.32215835786,779.677841642138
2014-11-11,9829,9252.35919539318,576.640804606823
2014-11-12,9849,9229.45023439293,619.549765607073
2014-11-13,9885,9206.6044581049,678.395541895102
2014-11-14,9742,9183.83130537383,558.168694626165
2014-11-17,9720,9161.14049546587,558.859504534133
2014-11-18,9688,9138.54197837169,549.458021628314
2014-11-19,9731,9116.04593509189,614.954064908108
2014-11-20,9639,9093.66277375125,545.337226248748
2014-11-21,9742,9071.40315667142,670.596843328583
2014-11-24,9716,9049.27797159472,666.722028405284
2014-11-25,8872,9027.29838346138,-155.298383461378
2014-11-26,8795,9005.47583280762,-210.475832807624
2014-11-27,8801,8983.82169597545,-182.821695975453
2014-11-28,8511,8962.34726230489,-451.347262304886
2014-12-01,8208,8941.06374556416,-733.063745564158
2014-12-02,8300,8919.98217295353,-619.982172953532
2014-12-03,8216,8899.1132686533,-683.1132686533
2014-12-04,8251,8878.46750056914,-627.467500569139
2014-12-05,8170,8858.05505423437,-688.055054234367
2014-12-08,8001,8837.88585581245,-836.885855812451
2014-12-09,7779,8817.9695470536,-1038.9695470536
2014-12-10,7778,8798.31542377145,-1020.31542377145
2014-12-11,7694,8778.93235231273,-1084.93235231273
2014-12-12,7732,8759.82877726614,-1027.82877726614
2014-12-15,7860,8741.0126947531,-881.012694753095
2014-12-16,7793,8722.49167603185,-929.491676031852
2014-12-17,7750,8704.27292818597,-954.272928185974
2014-12-18,7806,8686.36327408348,-880.363274083477
2014-12-19,7751,8668.76914213561,-917.769142135613
2014-12-22,7847,8651.4965968454,-804.496596845397
2014-12-23,7801,8634.55132334829,-833.551323348292
2014-12-24,7830,8617.93867423337,-787.938674233374
2014-12-25,7806,8601.66365753157,-795.663657531573
2014-12-26,7764,8585.73095557259,-821.730955572592
2014-12-29,7764,8570.14492179082,-806.144921790815
2014-12-30,7806,8554.90956995085,-748.909569950854
2014-12-31,7972,8540.02858058805,-568.028580588052
2015-01-05,7597,8525.50532466874,-928.505324668744
2015-01-06,7523,8511.34293835953,-988.342938359528
2015-01-07,7432,8497.54417402074,-1065.54417402074
2015-01-08,7389,8484.11137547027,-1095.11137547027
2015-01-09,7150,8471.04644607465,-1321.04644607465
2015-01-12,7203,8458.35083652359,-1255.35083652359
2015-01-13,7188,8446.0254514401,-1258.0254514401
2015-01-14,7199,8434.07067653636,-1235.07067653637
2015-01-15,7314,8422.48637750651,-1108.48637750651
2015-01-16,7260,8411.27190951638,-1151.27190951638
2015-01-19,7435,8400.42616952712,-965.426169527118
2015-01-20,7285,8389.94757861204,-1104.94757861204
2015-01-21,7357,8379.8341587748,-1022.8341587748
2015-01-22,7343,8370.08347527916,-1027.08347527916
2015-01-23,7350,8360.69267058938,-1010.69267058938
2015-01-26,7203,8351.65846261596,-1148.65846261596
2015-01-27,7225,8342.97715148864,-1117.97715148864
2015-01-28,7307,8334.64456252825,-1027.64456252825
2015-01-29,7294,8326.65605892827,-1032.65605892827
2015-01-30,7218,8319.00657909696,-1101.00657909696
2015-02-02,7362,8311.69063458201,-949.690634582008
2015-02-03,7588,8304.70228182057,-716.702281820572
2015-02-04,7722,8298.03518468559,-576.035184685591
2015-02-05,7620,8291.68271079417,-671.682710794169
2015-02-06,7846,8285.63798965305,-439.637989653045
2015-02-09,7776,8279.8938731229,-503.893873122905
2015-02-10,7792,8274.44303133599,-482.443031335987
2015-02-11,7816,8269.27792613435,-453.277926134347
2015-02-12,7843,8264.39081993778,-421.390819937781
2015-02-13,8109,8259.77378779964,-150.773787799644
2015-02-16,8203,8255.41873058615,-52.4187305861521
2015-02-17,8188,8251.31748684144,-63.3174868414443
2015-02-25,8227,8247.46187344019,-20.4618734401883
2015-02-26,8396,8243.84368108513,152.15631891487
2015-02-27,8292,8240.45469202057,51.5453079794291
2015-03-02,8532,8237.28675138641,294.713248613593
2015-03-03,8447,8234.33172562899,212.668274371013
2015-03-04,8439,8231.58160301713,207.418396982871
2015-03-05,8255,8229.02845972852,25.9715402714846
2015-03-06,8190,8226.66445767912,-36.6644576791174
2015-03-09,8108,8224.48176952027,-116.481769520267
2015-03-10,8077,8222.47255274789,-145.472552747896
2015-03-11,7931,8220.62891670919,-289.628916709191
2015-03-12,8281,8218.94291061863,62.0570893813696
2015-03-13,8358,8217.40646396993,140.593536030075
2015-03-16,8006,8216.01153190869,-210.01153190869
2015-03-17,7989,8214.75012769588,-225.750127695876
2015-03-18,7757,8213.61417778247,-456.614177782467
2015-03-19,7849,8212.59551530347,-363.595515303469
2015-03-20,7872,8211.68578464774,-339.685784647735
2015-03-23,8171,8210.87647990847,-39.8764799084736
2015-03-24,8233,8210.15895476626,22.8410452337421
2015-03-25,8176,8209.5245464186,-33.5245464186006
2015-03-26,8260,8208.96460150443,51.0353984955747
2015-03-27,8255,8208.47045280499,46.5295471950084
2015-03-30,8219,8208.0334541975,10.9665458024959
2015-03-31,8233,8207.64497879273,25.3550212072698
2015-04-01,8377,8207.29640423448,169.703595765516
2015-04-02,8466,8206.97911864727,259.020881352732
2015-04-03,8158,8206.68458030434,-48.6845803043436
2015-04-07,8228,8206.40435454771,21.595645452291
2015-04-08,8394,8206.12998659515,187.87001340485
2015-04-09,8305,8205.85303059122,99.1469694087777
2015-04-10,8335,8205.56511833836,129.434881661638
2015-04-13,8381,8205.2579226224,175.742077377597
2015-04-14,8351,8204.92316973235,146.076830267652
2015-04-15,8334,8204.55265860194,129.447341398062
2015-04-16,8591,8204.13824854712,386.861751452876
