"USB05YUSDDate","USB05YUSDClose","USB05YUSD_hpft","USB05YUSD_hpfc"
2016-07-06,122.764,121.547845735683,1.21615426431736
2016-07-07,122.695,121.544539745453,1.15046025454696
2016-07-08,122.752,121.540870322433,1.21112967756734
2016-07-11,122.356,121.536832827795,0.819167172204936
2016-07-12,122.054,121.532423123346,0.521576876654318
2016-07-13,122.152,121.527637409501,0.62436259049941
2016-07-14,121.933,121.522472102275,0.410527897724647
2016-07-15,121.866,121.516923875771,0.349076124228703
2016-07-18,121.736,121.510989573786,0.22501042621378
2016-07-19,121.817,121.504666184411,0.312333815588736
2016-07-20,121.683,121.497950788748,0.185049211251968
2016-07-21,121.912,121.490840597005,0.421159402995339
2016-07-22,121.783,121.483332895881,0.299667104118925
2016-07-25,121.64,121.475425146167,0.164574853833054
2016-07-26,121.693,121.467114932523,0.225885067476739
2016-07-27,121.976,121.458399907639,0.517600092361342
2016-07-28,121.996,121.449277817574,0.546722182425834
2016-07-29,122.315,121.439746622346,0.87525337765387
2016-08-01,122.058,121.429804507963,0.628195492036963
2016-08-02,122.023,121.419450022229,0.603549977771222
2016-08-03,122.089,121.408681972618,0.680318027382275
2016-08-04,122.287,121.397499416087,0.889500583912819
2016-08-05,121.721,121.385901690812,0.335098309188443
2016-08-08,121.674,121.373888502648,0.300111497352187
2016-08-09,121.844,121.361459695969,0.482540304030551
2016-08-10,122.03,121.348615239204,0.681384760795851
2016-08-11,121.67,121.335355300242,0.334644699757775
2016-08-12,121.904,121.321680328631,0.582319671369066
2016-08-15,121.705,121.307590912247,0.397409087753101
2016-08-16,121.573,121.293087879673,0.279912120326791
2016-08-17,121.708,121.278172223767,0.429827776233228
2016-08-18,121.832,121.262845053088,0.56915494691152
2016-08-19,121.532,121.247107653873,0.284892346127346
2016-08-22,121.673,121.23096154762,0.442038452379784
2016-08-23,121.655,121.214408373594,0.440591626406094
2016-08-24,121.616,121.197449953778,0.418550046221829
2016-08-25,121.471,121.18008829228,0.290911707719983
2016-08-26,121.115,121.162325566219,-0.0473255662187359
2016-08-29,121.381,121.144164072964,0.236835927036145
2016-08-30,121.357,121.125606090323,0.231393909676623
2016-08-31,121.281,121.106653994003,0.174346005996701
2016-09-01,121.367,121.087310255358,0.279689744641894
2016-09-02,121.308,121.06757741781,0.240422582189527
2016-09-05,121.25,121.047458140396,0.202541859603636
