"V0Date","V0Close","V0_hpft","V0_hpfc"
2010-01-04,7635,7590.60869263193,44.3913073680664
2010-01-05,7700,7589.01599200791,110.984007992093
2010-01-06,7655,7587.42330973346,67.5766902665383
2010-01-07,7560,7585.83071003451,-25.8307100345054
2010-01-08,7470,7584.23828507043,-114.238285070432
2010-01-11,7525,7582.64611632326,-57.6461163232586
2010-01-12,7450,7581.05423805349,-131.054238053489
2010-01-13,7325,7579.46266069304,-254.462660693039
2010-01-14,7390,7577.87134050128,-187.871340501276
2010-01-15,7370,7576.28012855293,-206.280128552928
2010-01-18,7795,7574.68879826428,220.311201735724
2010-01-19,7775,7573.09703778368,201.902962216315
2010-01-20,7740,7571.50462632731,168.495373672688
2010-01-21,7770,7569.91142656988,200.088573430117
2010-01-22,7750,7568.31737083533,181.682629164671
2010-01-25,7715,7566.72247415616,148.277525843842
2010-01-26,7605,7565.12682666517,39.8731733348328
2010-01-27,7560,7563.53057978712,-3.53057978712378
2010-01-28,7420,7561.93390142876,-141.933901428759
2010-01-29,7350,7560.3369580374,-210.336958037405
2010-02-01,7290,7558.73985739063,-268.739857390626
2010-02-02,7310,7557.14262032115,-247.142620321147
2010-02-03,7470,7555.54515657544,-85.5451565754417
2010-02-04,7445,7553.94727374116,-108.947273741162
2010-02-05,7380,7552.34874404503,-172.348744045033
2010-02-08,7440,7550.74929467936,-110.749294679357
2010-02-09,7465,7549.1485815944,-84.1485815943978
2010-02-10,7495,7547.54621496111,-52.5462149611104
2010-02-11,7535,7545.94177016681,-10.9417701668114
2010-02-12,7610,7544.33480087833,65.665199121674
2010-02-22,7710,7542.72485623959,167.275143760406
2010-02-23,7700,7541.11151253791,158.888487462093
2010-02-24,7680,7539.49441520537,140.505584794629
2010-02-25,7615,7537.87327535221,77.1267246477877
2010-02-26,7580,7536.247862168,43.752137831995
2010-03-01,7580,7534.6179767234,45.3820232765999
2010-03-02,7530,7532.98343817446,-2.98343817445808
2010-03-03,7560,7531.34408443632,28.6559155636843
2010-03-04,7470,7529.69975219088,-59.6997521908766
2010-03-05,7445,7528.05028996525,-83.05028996525
2010-03-08,7525,7526.39552160908,-1.39552160908467
2010-03-09,7515,7524.73523664236,-9.73523664235674
2010-03-10,7500,7523.06922400821,-23.0692240082071
2010-03-11,7455,7521.3972686256,-66.3972686256035
2010-03-12,7480,7519.71914587764,-39.7191458776407
2010-03-15,7380,7518.03460370145,-138.034603701448
2010-03-16,7395,7516.34337361585,-121.343373615849
2010-03-17,7495,7514.64513008171,-19.6451300817093
2010-03-18,7490,7512.93949740144,-22.939497401445
2010-03-19,7590,7511.22609175696,78.7739082430366
2010-03-22,7585,7509.50451984789,75.4954801521134
2010-03-23,7570,7507.77442093582,62.2255790641828
2010-03-24,7545,7506.03546548914,38.9645345108606
2010-03-25,7525,7504.2873496978,20.7126503021979
2010-03-26,7570,7502.52978585813,67.4702141418734
2010-03-29,7555,7500.7624948282,54.2375051717952
2010-03-30,7475,7498.9852253556,-23.9852253556044
2010-03-31,7790,7497.19774860749,292.802251392509
2010-04-01,7800,7495.3998258365,304.600174163499
2010-04-02,7780,7493.59133932795,286.408660672046
2010-04-06,7835,7491.77229727665,343.227702723348
2010-04-07,7905,7489.94282626718,415.057173732823
2010-04-08,7880,7488.10319476069,391.896805239314
2010-04-09,7955,7486.25384278622,468.746157213785
2010-04-12,7965,7484.39537236727,480.604627632725
2010-04-13,7930,7482.52857928813,447.471420711875
2010-04-14,7965,7480.65445799569,484.345542004308
2010-04-15,8065,7478.77418790355,586.225812096448
2010-04-16,8005,7476.88914863426,528.110851365735
2010-04-19,7935,7475.00096213258,459.999037867421
2010-04-20,7970,7473.11146864303,496.888531356974
2010-04-21,7915,7471.22269855524,443.77730144476
2010-04-22,7855,7469.3368876526,385.663112347396
2010-04-23,7885,7467.45645515817,417.543544841825
2010-04-26,7890,7465.58397971264,424.416020287358
2010-04-27,7770,7463.72221255241,306.277787447585
