"IC00C1Date","IC00C1Close","IC00C1_hpft","IC00C1_hpfc"
2015-04-17,7758.2,9387.78787688791,-1629.58787688791
2015-04-20,7622.2,9368.76237330448,-1746.56237330448
2015-04-21,8140.4,9349.73619611495,-1209.33619611495
2015-04-22,8189.8,9330.70794975457,-1140.90794975457
2015-04-23,8265.6,9311.67573876763,-1046.07573876763
2015-04-24,8327.2,9292.63719609295,-965.437196092946
2015-04-27,8347.2,9273.5895222637,-926.389522263698
2015-04-28,8147,9254.52951874018,-1107.52951874018
2015-04-29,8302.2,9235.45360405044,-933.253604050443
2015-04-30,8338.8,9216.3577389147,-877.557738914701
2015-05-04,8347.2,9197.2374982831,-850.037498283096
2015-05-05,8145,9178.08809435892,-1033.08809435892
2015-05-06,8040.8,9158.9043879742,-1118.1043879742
2015-05-07,7911.4,9139.68081292388,-1228.28081292388
2015-05-08,8171.2,9120.41134082345,-949.211340823454
2015-05-11,8489.8,9101.08943556666,-611.289435566661
2015-05-12,8647.8,9081.70816868119,-433.908168681188
2015-05-13,8695.8,9062.26035901253,-366.460359012531
2015-05-14,8760.4,9042.73864604582,-282.338646045819
2015-05-15,8755.2,9023.13551778621,-267.935517786209
2015-05-18,8798.4,9003.44334553147,-205.043345531471
2015-05-19,9120.8,8983.65438982553,137.145610174471
2015-05-20,9286.8,8963.7608264559,323.039173544101
2015-05-21,9734.6,8943.75488790032,790.845112099676
2015-05-22,9741.2,8923.62894016788,817.571059832122
2015-05-25,9966.6,8903.37567617142,1063.22432382858
2015-05-26,10532.2,8882.98812677468,1649.21187322532
2015-05-27,10552,8862.4597623354,1689.5402376646
2015-05-28,9977.2,8841.78473492954,1135.41526507046
2015-05-29,10121,8820.95789502101,1300.04210497899
2015-06-01,11025.6,8799.9745624086,2225.6254375914
2015-06-02,11250.4,8778.83059427655,2471.56940572345
2015-06-03,11103.2,8757.5227677926,2345.6772322074
2015-06-04,10869.2,8736.04888177224,2133.15111822776
2015-06-05,10949,8714.40770463965,2234.59229536035
2015-06-08,10602.6,8692.59888657749,1910.00111342251
2015-06-09,10700.4,8670.62300145948,2029.77699854052
2015-06-10,10987.8,8648.48141267693,2339.31858732307
2015-06-11,11258.8,8626.17632264923,2632.62367735077
2015-06-12,11427.8,8603.71090077589,2824.08909922411
2015-06-15,11228.6,8581.08940467744,2647.51059532256
2015-06-16,10839,8558.31725933918,2280.68274066082
2015-06-17,11033.4,8535.40098412068,2497.99901587931
2015-06-18,10672.6,8512.34804112429,2160.25195887571
2015-06-19,10210,8489.16692502478,1720.83307497522
2015-06-23,9862.6,8465.86702345785,1396.73297654215
2015-06-24,10058,8442.45843538255,1615.54156461745
2015-06-25,9381.6,8418.95183711122,962.64816288878
2015-06-26,8629,8395.35857275615,233.64142724385
2015-06-29,7768.4,8371.69038434945,-603.290384349454
2015-06-30,8346,8347.95911050156,-1.95911050156274
2015-07-01,7509.4,8324.17634044663,-814.77634044663
2015-07-02,7667.8,8300.35366260914,-632.553662609138
2015-07-03,7404.8,8276.50232861777,-871.702328617775
2015-07-06,7440,8252.63332862896,-812.63332862896
2015-07-07,6516.2,8228.75729247244,-1712.55729247244
2015-07-08,5956.6,8204.88451406799,-2248.28451406799
2015-07-09,6552.2,8181.0245794331,-1628.8245794331
2015-07-10,7207.4,8157.18614523484,-949.786145234836
2015-07-13,7569.6,8133.37719484967,-563.777194849665
2015-07-14,7645,8109.60531905069,-464.605319050688
2015-07-15,7136,8085.87787556812,-949.877875568121
2015-07-16,7531.8,8062.20203008309,-530.402030083086
2015-07-17,7934.4,8038.58455563505,-104.184555635055
2015-07-20,7589,8015.03200601719,-426.03200601719
2015-07-21,7715,7991.55089195682,-276.550891956823
2015-07-22,7773,7968.1475480767,-195.147548076704
2015-07-23,8386,7944.82819468443,441.171805315574
2015-07-24,7980,7921.59897142156,58.4010285784389
2015-07-27,7341.4,7898.46620029223,-557.066200292234
2015-07-28,7221,7875.43622744138,-654.436227441376
2015-07-29,7702.8,7852.51516874507,-149.71516874507
2015-07-30,7232,7829.70886956177,-597.708869561767
2015-07-31,7399,7807.02311336365,-408.023113363645
2015-08-03,7065.2,7784.46343655435,-719.263436554354
2015-08-04,7657.6,7762.03520687683,-104.435206876825
2015-08-05,7486.4,7739.74349475955,-253.343494759546
2015-08-06,7545.4,7717.59332746165,-172.19332746165
2015-08-07,7851.2,7695.58962752047,155.610372479527
2015-08-10,8330,7673.73724629521,656.262753704791
2015-08-11,8200.6,7652.04109946863,548.558900531368
2015-08-12,8082.2,7630.5063739955,451.693626004499
2015-08-13,8345.8,7609.13848358332,736.661516416678
2015-08-14,8397,7587.94302865111,809.056971348891
2015-08-17,8659,7566.92591412452,1092.07408587548
2015-08-18,7802,7546.09337936063,255.906620639371
2015-08-19,8151.2,7525.45211513618,625.747884863816
2015-08-20,8003,7505.00891800901,497.991081990995
2015-08-21,7749.4,7484.77084319667,264.629156803331
2015-08-24,6523.6,7464.74515176549,-941.145151765494
2015-08-25,5871.4,7444.9392141694,-1573.5392141694
2015-08-26,5400.2,7425.36001183047,-2025.16001183047
2015-08-27,5928.2,7406.01387573276,-1477.81387573276
2015-08-28,6402.6,7386.90629974113,-984.306299741133
2015-08-31,5961.4,7368.04216685129,-1406.64216685129
2015-09-01,5373,7349.42595318597,-1976.42595318597
2015-09-02,5377,7331.06155341933,-1954.06155341933
2015-09-07,5795,7312.95204524985,-1517.95204524985
2015-09-08,6383,7295.09969864574,-912.099698645744
2015-09-09,6369,7277.50615611547,-908.506156115473
2015-09-10,6319,7260.17268314131,-941.172683141306
2015-09-11,6420,7243.10016966627,-823.100169666274
2015-09-14,5758.2,7226.2891165899,-1468.0891165899
2015-09-15,5663.6,7209.73968457582,-1546.13968457582
2015-09-16,6050.8,7193.45142743796,-1142.65142743796
2015-09-17,5955,7177.42325987898,-1222.42325987898
2015-09-18,6010.2,7161.6536242748,-1151.4536242748
2015-09-21,6170.2,7146.14045770098,-975.940457700978
2015-09-22,6077.8,7130.88122126803,-1053.08122126803
2015-09-23,5980.4,7115.87297267289,-1135.47297267289
2015-09-24,6100,7101.1123343102,-1001.1123343102
2015-09-25,5787.4,7086.59545921597,-1299.19545921597
2015-09-28,5994.4,7072.31808660688,-1077.91808660688
2015-09-29,5914,7058.27541866416,-1144.27541866416
2015-09-30,5917.8,7044.46221200089,-1126.66221200089
2015-10-08,6195.2,7030.87275023334,-835.672750233345
2015-10-09,6406.8,7017.50085126039,-610.700851260393
2015-10-12,6642.6,7004.33998754755,-361.739987547553
2015-10-13,6688.6,6991.38337912102,-302.783379121021
2015-10-14,6645.2,6978.62409647844,-333.424096478442
2015-10-15,6954.8,6966.05508495892,-11.2550849589237
2015-10-16,6979.8,6953.66915207757,26.1308479224308
2015-10-19,6685,6941.45910069675,-256.459100696747
2015-10-20,6850,6929.41774448068,-79.4177444806838
2015-10-21,6478.8,6917.53779108351,-438.737791083512
2015-10-22,6666.2,6905.81191533124,-239.611915331237
2015-10-23,6908,6894.23261069337,13.7673893066296
2015-10-26,6865,6882.79227159346,-17.7922715934628
2015-10-27,6903.4,6871.48329814588,31.9167018541185
2015-10-28,6683.4,6860.29808311064,-176.898083110636
2015-10-29,6782,6849.22903244033,-67.2290324403292
2015-10-30,6783.8,6838.26847896559,-54.4684789655907
2015-11-02,6668.8,6827.4087277269,-158.608727726903
2015-11-03,6656.2,6816.64206124976,-160.442061249759
2015-11-04,7090.6,6805.9606964972,284.6393035028
2015-11-05,7066.4,6795.35678411199,271.043215888006
2015-11-06,7293.8,6784.82259239525,508.977407604748
2015-11-09,7353.8,6774.35050168647,579.449498313527
2015-11-10,7394,6763.9331027161,630.066897283902
2015-11-11,7545,6753.56322573555,791.43677426445
2015-11-12,7519,6743.23396144061,775.766038559386
2015-11-13,7468,6732.93872767519,735.06127232481
2015-11-16,7638,6722.67126295366,915.328737046337
2015-11-17,7547.6,6712.42560963524,835.174390364758
2015-11-18,7499,6702.19618843915,796.803811560846
2015-11-19,7697,6691.97776531221,1005.02223468779
2015-11-20,7804,6681.76543556782,1122.23456443218
2015-11-23,7356.6,6671.55470995521,685.045290044789
2015-11-24,7471,6661.34156311021,809.658436889786
2015-11-25,7631,6651.12225283886,979.877747161143
2015-11-26,7531.8,6640.89337162742,890.906628372584
2015-11-27,7092.6,6630.6519170042,461.948082995804
2015-11-30,7118.2,6620.39525476251,497.804745237485
2015-12-01,7137.6,6610.12094164641,527.479058353595
2015-12-02,7280.2,6599.82674017242,680.373259827581
2015-12-03,7377.8,6589.51063089572,788.28936910428
2015-12-04,7315.8,6579.17087561042,736.629124389578
2015-12-07,7339.4,6568.80606195775,770.593938042254
2015-12-08,7230,6558.41508207179,671.584917928206
2015-12-09,7212,6547.99714661916,664.002853380843
2015-12-10,7170,6537.5517438727,632.448256127295
2015-12-11,7227.4,6527.07863657734,700.321363422655
2015-12-14,7422,6516.57784890669,905.422151093315
2015-12-15,7446,6506.04969451895,939.950305481054
2015-12-16,7492.6,6495.49486133756,997.105138662442
2015-12-17,7693.6,6484.91442582359,1208.68557417641
2015-12-18,7700.8,6474.30987660123,1226.49012339877
2015-12-21,7585,6463.68320191675,1121.31679808325
2015-12-22,7650,6453.03689699803,1196.96310300197
2015-12-23,7516.4,6442.37392058029,1074.02607941971
2015-12-24,7533.4,6431.69772617516,1101.70227382484
2015-12-25,7595.8,6421.01221125347,1174.78778874653
2015-12-28,7305,6410.32172868543,894.678271314569
2015-12-29,7418.2,6399.63111695132,1018.56888304868
2015-12-30,7511.4,6388.9455843554,1122.4544156446
2015-12-31,7349,6378.27076023739,970.729239762606
2016-01-04,6881.2,6367.6127379145,513.5872620855
2016-01-05,6699,6356.97801196439,342.021988035609
2016-01-06,6814.4,6346.37328926102,468.026710738979
2016-01-07,6360,6335.80541805653,24.1945819434728
2016-01-08,6399.8,6325.28144006648,74.5185599335153
2016-01-11,5940.4,6314.80840700742,-374.408407007417
2016-01-12,6074.8,6304.39340139902,-229.593401399021
2016-01-13,5904.4,6294.04335099544,-389.643350995444
2016-01-14,6078,6283.76508864616,-205.765088646157
2016-01-15,5942.8,6273.56528613786,-330.765286137856
2016-01-18,5695.2,6263.45053020214,-568.250530202138
2016-01-19,5928.8,6253.42727084551,-324.627270845515
2016-01-20,5835,6243.50172318256,-408.50172318256
2016-01-21,5679,6233.67996814017,-554.679968140168
2016-01-22,5779.8,6223.96791778684,-444.167917786836
