"ukcpiDate","ukcpi","ukcpi_hpft","ukcpi_hpfc"
2023-05-01,NA,11.3764218438584,-2.6764218438584
2023-04-01,8.7,11.0983938465935,-0.998393846593535
2023-03-01,10.1,10.8181354977921,-0.418135497792123
2023-02-01,10.4,10.5325844510455,-0.432584451045453
2023-01-01,10.1,10.2383299136966,0.261670086303356
2022-12-01,10.5,9.93160060604628,0.768399393953716
2022-11-01,10.7,9.60884330680023,1.49115669319977
2022-10-01,11.1,9.26714512749261,0.832854872507384
2022-09-01,10.1,8.90483581023526,0.995164189764741
2022-08-01,9.9,8.52093914286709,1.57906085713291
2022-07-01,10.1,8.11530821671842,1.28469178328158
2022-06-01,9.4,7.68911200716724,1.41088799283276
2022-05-01,9.1,7.2445900660776,1.7554099339224
2022-04-01,9,6.78515768530757,0.214842314692433
2022-03-01,7,6.31569299832682,-0.115692998326823
2022-02-01,6.2,5.84125317386728,-0.341253173867281
2022-01-01,5.5,5.36679896982892,0.0332010301710824
2021-12-01,5.4,4.89700676646682,0.202993233533177
2021-11-01,5.1,4.43658061156123,-0.236580611561227
2021-10-01,4.2,3.99039371392031,-0.890393713920309
2021-09-01,3.1,3.56312213184262,-0.363122131842615
2021-08-01,3.2,3.15869992886509,-1.15869992886509
2021-07-01,2,2.78075856674814,-0.280758566748135
2021-06-01,2.5,2.43196392397811,-0.331963923978107
2021-05-01,2.1,2.11474791356907,-0.614747913569069
2021-04-01,1.5,1.83126581193171,-1.13126581193171
2021-03-01,0.7,1.58316060554886,-1.18316060554886
2021-02-01,0.4,1.37113255939336,-0.671132559393361
2021-01-01,0.7,1.19489597126671,-0.594895971266707
2020-12-01,0.6,1.05360586183761,-0.753605861837611
2020-11-01,0.3,0.945921505132091,-0.245921505132091
2020-10-01,0.7,0.869874170291236,-0.369874170291236
2020-09-01,0.5,0.823290191868607,-0.623290191868607
2020-08-01,0.2,0.803687675942457,0.196312324057543
2020-07-01,1,0.80806532009784,-0.20806532009784
2020-06-01,0.6,0.833585415523162,-0.333585415523162
2020-05-01,0.5,0.877236865640121,-0.0772368656401214
2020-04-01,0.8,0.935730586024134,0.564269413975866
2020-03-01,1.5,1.0057131281959,0.6942868718041
2020-02-01,1.7,1.08430126818779,0.715698731812212
2020-01-01,1.8,1.16919035442532,0.13080964557468
2019-12-01,1.3,1.25867215094387,0.241327849056133
2019-11-01,1.5,1.35114742981678,0.148852570183218
2019-10-01,1.5,1.44521806965829,0.254781930341706
2019-09-01,1.7,1.53960999289112,0.16039000710888
2019-08-01,1.7,1.63326144021326,0.466738559786741
2019-07-01,2.1,1.72524431066197,0.274755689338029
2019-06-01,2,1.81501945207433,0.184980547925665
2019-05-01,2,1.90227667536188,0.197723324638119
2019-04-01,2.1,1.98685994189274,-0.0868599418927434
2019-03-01,1.9,2.06877798247225,-0.168777982472255
2019-02-01,1.9,2.14796714462083,-0.347967144620833
2019-01-01,1.8,2.22422312754018,-0.124223127540177
2018-12-01,2.1,2.29705165781147,0.00294834218853499
2018-11-01,2.3,2.36585494274292,0.0341450572570789
2018-10-01,2.4,2.4300376465946,-0.0300376465945978
2018-09-01,2.4,2.48903288784092,0.210967112159076
2018-08-01,2.7,2.54224875358418,-0.24224875358418
2018-07-01,2.3,2.58926913685342,-0.0892691368534246
2018-06-01,2.5,2.62947605671642,-0.229476056716416
2018-05-01,2.4,2.66217714129352,-0.26217714129352
2018-04-01,2.4,2.68648878865785,-0.186488788657845
2018-03-01,2.5,2.70130891593142,-0.00130891593141669
2018-02-01,2.7,2.70538003291239,0.294619967087612
2018-01-01,3,2.69744355863562,0.302556441364376
2017-12-01,3,2.67648642877524,0.423513571224756
2017-11-01,3.1,2.64174770937316,0.358252290626843
2017-10-01,3,2.5928193944473,0.407180605552705
2017-09-01,3,2.52959202159112,0.370407978408882
2017-08-01,2.9,2.45229544556938,0.147704554430615
2017-07-01,2.6,2.36146819446219,0.238531805537809
2017-06-01,2.6,2.25777188347832,0.642228116521675
2017-05-01,2.9,2.14206690433116,0.557933095668842
2017-04-01,2.7,2.01574883883121,0.284251161168786
2017-03-01,2.3,1.88067821303537,0.419321786964626
2017-02-01,2.3,1.73895242896818,0.0610475710318186
2017-01-01,1.8,1.59301832347663,0.00698167652336849
2016-12-01,1.6,1.44537360638359,-0.245373606383591
2016-11-01,1.2,1.29852180557569,-0.39852180557569
2016-10-01,0.9,1.15476197093424,-0.154761970934241
2016-09-01,1,1.01606105083591,-0.416061050835912
2016-08-01,0.6,0.884257025348256,-0.284257025348256
2016-07-01,0.6,0.760841156996473,-0.260841156996473
2016-06-01,0.5,0.647067827451285,-0.347067827451285
2016-05-01,0.3,0.543974050752601,-0.243974050752601
2016-04-01,0.3,0.452307617750782,0.0476923822492176
2016-03-01,0.5,0.372613007587226,-0.0726130075872258
2016-02-01,0.3,0.305474443055203,-0.0054744430552027
2016-01-01,0.3,0.251415636108342,-0.0514156361083422
2015-12-01,0.2,0.210955736664377,-0.110955736664377
2015-11-01,0.1,0.184571048277624,-0.284571048277624
2015-10-01,-0.1,0.172645411388517,-0.272645411388517
2015-09-01,-0.1,0.175325523897248,-0.175325523897248
2015-08-01,0,0.192530879194535,-0.0925308791945349
2015-07-01,0.1,0.224034866067824,-0.224034866067824
2015-06-01,0,0.269533764238579,-0.169533764238579
2015-05-01,0.1,0.328537157706538,-0.428537157706538
2015-04-01,-0.1,0.400413352334579,-0.400413352334579
2015-03-01,0,0.484173539687487,-0.484173539687487
2015-02-01,0,0.578495233536441,-0.278495233536441
