"CL00YDate","CL00YClose","CL00Y_hpft","CL00Y_hpfc"
2016-11-11,43.12,49.3787574433416,-6.25875744334161
2016-11-14,43.72,49.4217215131411,-5.70172151314109
2016-11-15,45.75,49.4645364148541,-3.71453641485411
2016-11-16,45.33,49.5071840161963,-4.1771840161963
2016-11-17,44.93,49.5496446494435,-4.61964464944347
2016-11-18,45.58,49.5918969201914,-4.01189692019145
2016-11-21,48.33,49.6339175244611,-1.30391752446108
2016-11-22,47.9,49.6756814999157,-1.77568149991572
2016-11-23,47.94,49.7171633452315,-1.77716334523149
2016-11-24,47.98,49.7583368250905,-1.77833682509055
2016-11-25,45.96,49.799174969566,-3.83917496956599
2016-11-28,46.9,49.8396500736384,-2.93965007363837
2016-11-29,45.23,49.879732845328,-4.64973284532802
2016-11-30,48.98,49.9193927775215,-0.939392777521489
2016-12-01,50.91,49.9585974410939,0.951402558906145
2016-12-02,51.68,49.997314018611,1.68268598138897
2016-12-05,50.95,50.0355100859116,0.914489914088378
2016-12-06,50.91,50.0731539143885,0.836846085611453
2016-12-07,49.84,50.1102141534492,-0.270214153449194
2016-12-08,50.96,50.146659798418,0.813340201581998
2016-12-09,51.48,50.1824597329256,1.29754026707437
2016-12-12,52.44,50.2175831768014,2.22241682319855
2016-12-13,52.5,50.2519998862308,2.24800011376916
2016-12-14,50.8,50.2856805360526,0.514319463947366
2016-12-15,51.07,50.3185967303418,0.751403269658153
2016-12-16,53.06,50.3507202857678,2.70927971423221
2016-12-19,53.13,50.3820233296042,2.74797667039583
2016-12-20,53.51,50.4124791090311,3.09752089096885
2016-12-21,52.51,50.44206200713,2.06793799286997
2016-12-22,52.68,50.4707476873731,2.20925231262685
2016-12-23,53.25,50.4985126680372,2.75148733196276
2016-12-26,53.25,50.5253343806131,2.72466561938692
2016-12-27,53.86,50.5511913939474,3.3088086060526
2016-12-28,53.66,50.5760634031519,3.08393659684807
2016-12-29,53.85,50.599931471069,3.25006852893104
2016-12-30,53.89,50.6227779353154,3.26722206468464
2017-01-03,52.47,50.6445864769545,1.8254135230455
2017-01-04,53.35,50.6653421275808,2.68465787241921
2017-01-05,53.77,50.6850306733591,3.08496932664095
2017-01-06,53.7,50.7036390101719,2.99636098982812
2017-01-09,51.78,50.7211553091078,1.05884469089224
2017-01-10,50.78,50.7375689798269,0.0424310201730782
2017-01-11,52.37,50.7528698696765,1.61713013032352
2017-01-12,53.03,50.767047843544,2.26295215645601
2017-01-13,52.53,50.7800934347693,1.74990656523073
2017-01-16,52.64,50.791998112106,1.84800188789401
2017-01-17,53.33,50.8027540676516,2.52724593234835
2017-01-18,52.18,50.8123542573936,1.36764574260645
2017-01-19,52.17,50.8207926819769,1.34920731802307
2017-01-20,53.24,50.8280639073814,2.41193609261858
2017-01-23,52.83,50.8341630572925,1.99583694270747
2017-01-24,52.94,50.8390862523921,2.10091374760787
2017-01-25,52.98,50.8428304383625,2.13716956163752
2017-01-26,53.74,50.8453934293189,2.89460657068111
2017-01-27,53.2,50.846773922797,2.35322607720304
2017-01-30,52.59,50.8469718128443,1.74302818715569
2017-01-31,52.8,50.8459879662411,1.95401203375893
2017-02-01,53.55,50.8438239702602,2.7061760297398
2017-02-02,53.64,50.8404822198867,2.79951778011334
2017-02-03,53.85,50.8359662287336,3.01403377126639
2017-02-06,53.1,50.8302806676161,2.26971933238389
2017-02-07,51.7,50.8234314532318,0.876568546768158
2017-02-08,52.38,50.8154254404924,1.56457455950765
2017-02-09,53.14,50.806269846648,2.333730153352
2017-02-10,53.85,50.7959725356729,3.05402746432706
2017-02-13,52.88,50.7845423362208,2.09545766377919
2017-02-14,53.03,50.7719893393501,2.25801066064989
2017-02-15,52.99,50.7583245023042,2.23167549769581
2017-02-16,53.46,50.7435597156926,2.71644028430737
2017-02-17,53.73,50.7277077926105,3.00229220738947
2017-02-20,53.99,50.7107826690215,3.27921733097846
2017-02-21,54.24,50.6927995219147,3.54720047808531
2017-02-22,53.87,50.6737748837764,3.19622511622362
2017-02-23,54.36,50.6537267533624,3.70627324663756
2017-02-24,54.02,50.6326744506211,3.38732554937886
2017-02-27,54.04,50.6106388275219,3.42936117247808
2017-02-28,54,50.5876421362227,3.41235786377731
2017-03-01,53.67,50.5637080464367,3.10629195356331
2017-03-02,52.56,50.5388616384125,2.02113836158753
2017-03-03,53.2,50.513129276413,2.68687072358702
