"uscpiDate","uscpi","uscpi_hpft","uscpi_hpfc"
2023-05-01,NA,6.68171079708115,-1.72171079708115
2023-04-01,4.96,6.80701887715854,-1.82701887715854
2023-03-01,4.98,6.93089219823837,-0.940892198238369
2023-02-01,5.99,7.05037348559209,-0.700373485592093
2023-01-01,6.35,7.16172138765931,-0.741721387659308
2022-12-01,6.42,7.26061090830829,-0.140610908308288
2022-11-01,7.12,7.34209895025093,0.417901049749068
2022-10-01,7.76,7.40112524044221,0.81887475955779
2022-09-01,8.22,7.43297775671188,0.817022243288118
2022-08-01,8.25,7.43362687252269,1.04637312747732
2022-07-01,8.48,7.39972381320673,1.60027618679327
2022-06-01,9,7.32879178170236,1.19120821829764
2022-05-01,8.52,7.21968754443699,1.00031245556301
2022-04-01,8.22,7.07226054135319,1.48773945864681
2022-03-01,8.56,6.88719380610654,1.02280619389346
2022-02-01,7.91,6.66641015523481,0.863589844765193
2022-01-01,7.53,6.41268474377072,0.707315256229278
2021-12-01,7.12,6.12951238495091,0.750487615049085
2021-11-01,6.88,5.82097732139222,0.419022678607776
2021-10-01,6.24,5.4917892020574,-0.1117892020574
2021-09-01,5.38,5.14700686147467,0.0529931385253278
2021-08-01,5.2,4.79159597650389,0.488404023496113
2021-07-01,5.28,4.43056638495367,0.889433615046331
2021-06-01,5.32,4.06933492798555,0.860665072014445
2021-05-01,4.93,3.71405964144029,0.435940358559714
2021-04-01,4.15,3.37161578205192,-3.40161578205192
2021-03-01,-0.03,3.0492418901867,-1.3492418901867
2021-02-01,1.7,2.75134182639249,-1.38134182639249
2021-01-01,1.37,2.48119508297529,-1.19119508297529
2020-12-01,1.29,2.24093003405245,-1.04093003405245
2020-11-01,1.2,2.0316823911722,-0.831682391172196
2020-10-01,1.2,1.85372042418771,-0.443720424187706
2020-09-01,1.41,1.70661933429285,-0.386619334292848
2020-08-01,1.32,1.58958455566134,-0.589584555661338
2020-07-01,1,1.50149933968829,-0.801499339688287
2020-06-01,0.7,1.44075561730576,-1.24075561730576
2020-05-01,0.2,1.40507740332944,-1.00507740332944
2020-04-01,0.4,1.39115474956058,0.10884525043942
2020-03-01,1.5,1.39484014329765,0.905159856702353
2020-02-01,2.3,1.41207677621448,1.08792322378552
2020-01-01,2.5,1.43956213986551,0.850437860134492
2019-12-01,2.29,1.47490032849164,0.575099671508356
2019-11-01,2.05,1.51640413455058,0.283595865449424
2019-10-01,1.8,1.56286560022625,0.167134399773745
2019-09-01,1.73,1.61331309759051,0.146686902409495
2019-08-01,1.76,1.66691427738163,0.133085722618375
2019-07-01,1.8,1.72295902942326,-0.0629590294232605
2019-06-01,1.66,1.7808481483079,0.0191518516920998
2019-05-01,1.8,1.83992996277018,0.160070037229816
2019-04-01,2,1.89956876142116,-0.0395687614211607
2019-03-01,1.86,1.95926222456957,-0.459262224569569
2019-02-01,1.5,2.0184750585563,-0.498475058556299
2019-01-01,1.52,2.07628925120176,-0.126289251201765
2018-12-01,1.95,2.13137139444425,0.0686286055557497
2018-11-01,2.2,2.18228283917937,0.317717160820631
2018-10-01,2.5,2.22764212680737,0.0723578731926314
2018-09-01,2.3,2.26633256302918,0.433667436970822
2018-08-01,2.7,2.2972977517734,0.592702248226605
2018-07-01,2.89,2.31984268649941,0.48015731350059
2018-06-01,2.8,2.33376627920682,0.386233720793183
2018-05-01,2.72,2.33926757298978,0.0607324270102225
2018-04-01,2.4,2.33686747237647,0.0631325276235342
2018-03-01,2.4,2.3271374922509,-0.027137492250897
2018-02-01,2.3,2.31070175793676,-0.210701757936755
2018-01-01,2.1,2.28816178018086,-0.168161780180856
2017-12-01,2.12,2.25994348493175,-0.0299434849317465
2017-11-01,2.23,2.22633266332114,-0.176332663321142
2017-10-01,2.05,2.18759015357666,0.0424098464233413
2017-09-01,2.23,2.1438298500398,-0.213829850039801
2017-08-01,1.93,2.09520098859077,-0.365200988590766
2017-07-01,1.73,2.04167461356805,-0.391674613568048
2017-06-01,1.65,1.98291743515299,-0.112917435152987
2017-05-01,1.87,1.91826976801561,0.281730231984392
2017-04-01,2.2,1.84697782896332,0.533022171036677
2017-03-01,2.38,1.76852260999685,1.03147739000315
2017-02-01,2.8,1.68282928825944,0.857170711740556
2017-01-01,2.54,1.59068260538603,0.50931739461397
2016-12-01,2.1,1.49358161193798,0.206418388062016
2016-11-01,1.7,1.39344978963885,0.246550210361145
2016-10-01,1.64,1.29238263553557,0.187617364464425
2016-09-01,1.48,1.19268110518372,-0.992681105183719
2016-08-01,0.2,1.09680250194258,-1.96680250194258
2016-07-01,-0.87,1.00637689491713,0.0436231050828701
2016-06-01,1.05,0.921395351127387,0.148604648872613
2016-05-01,1.07,0.841885290180941,0.298114709819059
2016-04-01,1.14,0.76799796889277,0.10200203110723
2016-03-01,0.87,0.700133073002709,0.269866926997291
2016-02-01,0.97,0.638775289943177,0.661224710056823
2016-01-01,1.3,0.584634196252426,0.0753658037475742
2015-12-01,0.66,0.538970389060421,-0.138970389060421
2015-11-01,0.4,0.503107270333585,-0.403107270333585
2015-10-01,0.1,0.478252433380799,-0.478252433380799
2015-09-01,0,0.465277548785652,-0.265277548785652
2015-08-01,0.2,0.464655743437243,-0.264655743437243
2015-07-01,0.2,0.476639079600714,-0.276639079600714
2015-06-01,0.2,0.501259073088296,-0.501259073088296
2015-05-01,0,0.538316707145931,-0.638316707145931
2015-04-01,-0.1,0.5871952491253,-0.5871952491253
2015-03-01,0,0.646746035788798,-0.746746035788798
2015-02-01,-0.1,0.715331074524541,-0.915331074524541
