"IND_10yryDate","IND_10yryClose","IND_10yry_hpft","IND_10yry_hpfc"
2014-03-16,8.8,7.81760697086682,-0.0909403042001531
2014-03-17,8.8025,7.81726066292595,-0.0822606629259506
2014-03-18,8.805,7.81688999804575,-0.0708899980457524
2014-03-19,8.78,7.81649516489848,-0.0154951648984786
2014-03-20,8.82,7.8160763228533,0.00792367714670178
2014-03-21,8.797,7.81563362487436,0.00436637512564288
2014-03-22,8.793,7.81516722720107,0.0284994394655988
2014-03-23,8.789,7.81467728787774,0.052656045455597
2014-03-24,8.785,7.81416397672921,0.0768360232707888
2014-03-25,8.788,7.81362748534618,0.0463725146538178
2014-03-26,8.785,7.81306803708033,0.00493196291966938
2014-03-27,8.824,7.81248587445182,-0.000485874451823694
2014-03-28,8.81,7.8118812420195,-0.00988124201950235
2014-03-29,8.81,7.8112543841414,-0.0255877174747311
2014-03-30,8.81,7.81060554109103,-0.0412722077576966
2014-03-31,8.81,7.80993494256495,-0.0569349425649506
2014-04-01,8.81,7.80924280119949,-0.0252428011994876
2014-04-02,8.962,7.80852930609633,-0.0275293060963339
2014-04-03,9.008,7.8077946359228,-0.0157946359228049
2014-04-04,9.065,7.80703895796671,-0.00103895796671073
2014-04-05,9.078,7.80626243298701,0.0214042336796527
2014-04-06,9.091,7.8054652213132,0.0438681120201305
2014-04-07,9.104,7.80464749212239,0.0663525078776077
2014-04-08,9.0695,7.80380943272507,0.023190567274931
2014-04-09,9.035,7.80295125785914,0.0370487421408594
2014-04-10,9.002,7.80207319184857,0.0409268081514275
2014-04-11,8.944,7.80117547433181,0.0298245256681942
2014-04-12,8.94675,7.80025836186473,0.030741638135274
2014-04-13,8.9495,7.79932212333153,0.0376778766684744
2014-04-14,8.95225,7.79836704032373,0.0446329596762743
2014-04-15,8.955,7.79739341000741,0.0396065899925877
2014-04-16,8.966,7.79640154799806,0.0315984520019414
2014-04-17,8.853,7.79539178628297,0.00960821371703189
2014-04-18,8.85575,7.79436446991097,0.0306355300890328
2014-04-19,8.8585,7.79331994790254,0.0336800520974633
2014-04-20,8.86125,7.79225858194163,0.0367414180583656
2014-04-21,8.864,7.79118074763422,0.0398192523657787
2014-04-22,8.854,7.79008683577367,0.0159131642263307
2014-04-23,8.851,7.78897725361302,0.0230227463869845
2014-04-24,8.868,7.78785241498319,0.0361475850168059
2014-04-25,8.885,7.78671274323178,0.0212872567682181
2014-04-26,8.875,7.78555867664836,0.0241079900183094
2014-04-27,8.865,7.78439066232175,0.026942671011583
2014-04-28,8.855,7.78320915730608,0.0297908426939249
2014-04-29,8.83,7.78201462979247,0.0579853702075251
2014-04-30,8.83,7.78080756028643,0.0581924397135746
2014-05-01,8.8205,7.77958845326222,0.0264115467377789
2014-05-02,8.811,7.77835783724856,0.0306421627514433
2014-05-03,8.786,7.77711625169161,0.025883748308394
2014-05-04,8.761,7.7758642487038,0.0211357512961963
2014-05-05,8.736,7.77460239109685,0.0163976089031513
2014-05-06,8.778,7.77333125041914,0.0226687495808627
2014-05-07,8.802,7.77205140499717,0.0239485950028315
2014-05-08,8.761,7.7707634425278,-0.0267634425277993
2014-05-09,8.748,7.76946796060725,-0.0244679606072464
2014-05-10,8.742,7.76816554576882,-0.0231655457688218
2014-05-11,8.736,7.76685677443176,-0.0218567744317578
2014-05-12,8.73,7.76554221343958,-0.0205422134395794
2014-05-13,8.785,7.7642224206011,-0.0217224206011039
2014-05-14,8.7845,7.76289794523382,-0.0228979452338214
2014-05-15,8.784,7.76156932767605,-0.0135693276760504
2014-05-16,8.836,7.76023709880102,0.0257629011989807
2014-05-17,8.84533333333333,7.75890178387293,0.0627648827937323
2014-05-18,8.85466666666667,7.75756391880536,0.0997694145279761
2014-05-19,8.864,7.75622406545633,0.136775934543674
2014-05-20,8.856,7.75488282692454,0.0591171730754601
2014-05-21,8.772,7.75354086284637,0.0394591371536257
2014-05-22,8.712,7.75219885729486,0.0168011427051375
2014-05-23,8.637,7.75085751065386,0.0261424893461402
2014-05-24,8.637,7.74951753025207,0.030815803081261
2014-05-25,8.637,7.74817963422459,0.0354870324420723
2014-05-26,8.678,7.74684455344447,0.0401554465555316
2014-05-27,8.675,7.74551303345364,0.0054869665463581
2014-05-28,8.703,7.74418583639272,0.00681416360727922
2014-05-29,8.671,7.74286372667039,0.00413627332960761
2014-05-30,8.646,7.74154747151204,0.0124525284879566
2014-05-31,8.65133333333333,7.74023783985284,0.0294288268138306
2014-06-01,8.65666666666667,7.73893560577531,0.0463977275580187
2014-06-02,8.662,7.7376415555267,0.0633584444732994
2014-06-03,8.599,7.73635649453319,0.0356435054668132
2014-06-04,8.59,7.73508125441078,0.0309187455892189
2014-06-05,8.528,7.73381668150909,0.0381833184909096
2014-06-06,8.514,7.73256363495828,0.0394363650417211
2014-06-07,8.52566666666667,7.731322989672,0.035010343661338
2014-06-08,8.53733333333333,7.73009563686526,0.0305710298014109
2014-06-09,8.549,7.72888248222497,0.026117517775034
2014-06-10,8.566,7.72768444407486,0.0313155559251456
2014-06-11,8.541,7.72650245153459,0.0294975484654056
2014-06-12,8.547,7.72533744666844,0.00166255333156366
2014-06-13,8.598,7.72419038373374,-0.0261903837337372
2014-06-14,8.616,7.72306221767509,-0.0230622176750858
2014-06-15,8.634,7.72195389261101,-0.0199538926110118
2014-06-16,8.652,7.72086634312707,-0.0168663431270746
2014-06-17,8.601,7.71980049556066,-0.00380049556065703
2014-06-18,8.671,7.71875726927735,-0.00275726927734849
2014-06-19,8.691,7.7177375820717,-0.00173758207170395
2014-06-20,8.724,7.71674235059853,-0.00074235059852705
2014-06-21,8.74133333333333,7.71577249079441,0.000227509205586503
2014-06-22,8.75866666666667,7.71482891828904,0.00117108171096151
2014-06-23,8.776,7.7139125488062,0.0130874511937975
2014-06-24,8.717,7.71302429855374,-0.102024298553737
2014-06-25,8.706,7.71216508914929,-0.171165089149285
2014-06-26,8.735,7.71133580003782,-0.148335800037824
2014-06-27,8.749,7.71053723991151,-0.147537239911506
2014-06-28,8.74833333333333,7.70977015614645,-0.146770156146448
2014-06-29,8.74766666666667,7.70903523513273,-0.17053523513273
2014-06-30,8.747,7.70833310259167,-0.194333102591667
2014-07-01,8.737,7.70766431375209,-0.178664313752091
2014-07-02,8.66,7.70702934351337,-0.165029343513368
2014-07-03,8.66,7.70642859292223,-0.170428592922231
2014-07-04,8.666,7.7058623948089,-0.1608623948089
2014-07-05,8.676,7.70533101155527,-0.148664344888601
2014-07-06,8.686,7.70483463904918,-0.136501305715851
2014-07-07,8.696,7.70437341172663,-0.124373411726632
2014-07-08,8.727,7.70394740759943,-0.142947407599434
2014-07-09,8.729,7.70355665326847,-0.149556653268465
2014-07-10,8.768,7.70320111624594,-0.154201116245942
2014-07-11,8.771,7.70288070222328,-0.137880702223277
2014-07-12,8.771,7.70259525315142,-0.137595253151421
2014-07-13,8.7775,7.70234455398688,-0.13734455398688
2014-07-14,8.784,7.70212833280994,-0.12912833280994
2014-07-15,8.737,7.70194626092811,-0.122946260928112
2014-07-16,8.725,7.70179795627244,-0.115797956272435
2014-07-17,8.736,7.70168298595295,-0.11568298595295
2014-07-18,8.771,7.70160086921346,-0.115600869213462
2014-07-19,8.771,7.70155107747907,-0.107217744145734
2014-07-20,8.771,7.70153303439013,-0.0988663677234656
2014-07-21,8.695,7.70154611926747,-0.090546119267473
2014-07-22,8.69,7.70158967056456,-0.0975896705645582
2014-07-23,8.664,7.70166298930674,-0.107662989306744
2014-07-24,8.648,7.70176533617969,-0.0727653361796907
2014-07-25,8.671,7.70189592736561,-0.0608959273656118
2014-07-26,8.671,7.70205394896834,-0.0650539489683399
2014-07-27,8.671,7.70223856191982,-0.0692385619198238
2014-07-28,8.707,7.70244890026135,-0.0734489002613551
2014-07-29,8.7165,7.70268406941377,-0.0556840694137676
2014-07-30,8.726,7.70294314443707,-0.0499431444370659
2014-07-31,8.722,7.70322517737371,-0.0232251773737144
2014-08-01,8.755,7.70352919962166,-0.0175291996216619
2014-08-02,8.755,7.70385423297852,-0.00418756631185495
2014-08-03,8.7495,7.70419929199604,0.00913404133729453
2014-08-04,8.744,7.704563389495,0.0224366105050042
2014-08-05,8.834,7.70494554207181,-0.0219455420718078
2014-08-06,8.868,7.70534477559727,-0.0330114422639408
2014-08-07,8.857,7.70576010687079,-0.0440934402041283
2014-08-08,8.855,7.70619053904619,-0.0551905390461894
2014-08-09,8.855,7.70663505705081,-0.0546350570508108
2014-08-10,8.855,7.70709262299847,-0.0540926229984678
2014-08-11,8.817,7.70756217641901,-0.0535621764190107
2014-08-12,8.845,7.70804263448259,-0.0380426344825925
2014-08-13,8.767,7.7085328922189,-0.0265328922189045
2014-08-14,8.716,7.70903182893236,-0.0360318289323578
2014-08-15,8.6798,7.70953831295973,-0.0125383129597264
