"AU_10yryDate","AU_10yryClose","AU_10yry_hpft","AU_10yry_hpfc"
2023-06-10,3.939,3.5448733803893,0.394126619610704
2023-06-09,3.951,3.5434849391102,0.407515060889798
2023-06-08,3.983,3.5420966607472,0.440903339252796
2023-06-07,3.82,3.54070887666674,0.279291123333262
2023-06-06,3.793,3.53932210048695,0.253677899513052
2023-06-05,3.775,3.5379369612737,0.237063038726299
2023-06-04,3.7525,3.53655419295311,0.215945807046887
2023-06-03,3.73,3.53517462744361,0.194825372556386
2023-06-02,3.737,3.53379918592694,0.203200814073058
2023-06-01,3.648,3.53242887011766,0.115571129882338
2023-05-31,3.626,3.53106476572572,0.0949352342742812
2023-05-30,3.683,3.52970800623334,0.153291993766664
2023-05-29,3.712,3.52835976436516,0.183640235634843
2023-05-28,3.716,3.52702127621053,0.188978723789468
2023-05-26,3.748,3.52569385376838,0.222306146231624
2023-05-25,3.693,3.52437888715376,0.168621112846243
2023-05-24,3.629,3.52307785837415,0.105922141625846
2023-05-23,3.643,3.52179231913825,0.121207680861745
2023-05-22,3.588,3.52052386493869,0.0674761350613107
2023-05-21,3.604,3.5192741413705,0.0847258586294991
2023-05-20,3.62,3.51804482192061,0.101955178079393
2023-05-19,3.593,3.51683761509824,0.0761623849017625
2023-05-18,3.47,3.51565427155675,-0.0456542715567456
2023-05-17,3.43,3.51449657343202,-0.0844965734320231
2023-05-16,3.444,3.51336628398822,-0.0693662839882183
2023-05-15,3.399,3.51226513156204,-0.113265131562042
2023-05-14,3.396,3.51119481581696,-0.115194815816963
2023-05-13,3.393,3.51015698959728,-0.117156989597279
2023-05-12,3.302,3.50915325813029,-0.207153258130295
2023-05-11,3.42,3.50818517821537,-0.0881851782153675
2023-05-10,3.457,3.50725422102304,-0.050254221023041
2023-05-09,3.466,3.50636182127155,-0.0403618212715531
2023-05-08,3.392,3.50550939290612,-0.113509392906124
2023-05-06,3.395,3.50469833318805,-0.109698333188049
2023-05-05,3.333,3.50392999245837,-0.170929992458373
2023-05-04,3.326,3.50320567571328,-0.177205675713284
2023-05-03,3.4,3.50252661729343,-0.10252661729343
2023-05-02,3.385,3.50189397828969,-0.116893978289687
2023-05-01,3.348,3.50130887741249,-0.153308877412486
2023-04-30,3.3085,3.50077238505319,-0.192272385053188
2023-04-29,3.269,3.50028550823128,-0.231285508231282
2023-04-28,3.398,3.49984917448861,-0.101849174488613
2023-04-27,3.356,3.49946421576277,-0.143464215762771
2023-04-26,3.307,3.49913142189131,-0.192131421891307
2023-04-25,3.413,3.49885152340928,-0.0858515234092775
2023-04-24,3.465,3.49862517143212,-0.0336251714321233
2023-04-23,3.4745,3.49845298158801,-0.0239529815880123
2023-04-22,3.484,3.49833555560567,-0.0143355556056739
2023-04-21,3.489,3.49827348531267,-0.00927348531266775
2023-04-20,3.52,3.49826735661078,0.0217326433892213
2023-04-19,3.494,3.49831775156853,-0.00431775156853409
2023-04-18,3.49,3.49842526123788,-0.00842526123787657
2023-04-17,3.381,3.49859047488597,-0.11759047488597
2023-04-16,3.396,3.49881397829723,-0.102813978297231
2023-04-15,3.411,3.49909630864907,-0.0880963086490671
2023-04-14,3.335,3.49943796061964,-0.164437960619635
2023-04-13,3.288,3.49983939247157,-0.211839392471574
2023-04-12,3.265,3.50030099449548,-0.23530099449548
2023-04-11,3.225,3.50082306941623,-0.275823069416226
2023-04-10,3.20833333333333,3.50140582269449,-0.293072489361152
2023-04-09,3.19166666666667,3.50204934577685,-0.310382679110184
2023-04-07,3.175,3.50275360896565,-0.327753608965648
2023-04-06,3.208,3.50351845426327,-0.295518454263266
2023-04-05,3.243,3.50434358819203,-0.261343588192028
2023-04-04,3.269,3.50522859511897,-0.236228595118969
2023-04-03,3.304,3.50617295138192,-0.202172951381922
2023-04-02,3.2705,3.50717603567157,-0.236676035671571
2023-04-01,3.237,3.50823714310833,-0.271237143108329
2023-03-31,3.329,3.5093554709802,-0.180355470980199
2023-03-30,3.341,3.51053010445681,-0.169530104456806
2023-03-29,3.313,3.51176005415591,-0.198760054155909
2023-03-28,3.296,3.51304426061837,-0.21704426061837
2023-03-27,3.178,3.51438158222566,-0.33638158222566
2023-03-26,3.207,3.51577078764192,-0.308770787641923
2023-03-25,3.227,3.51721050648463,-0.290210506484634
2023-03-24,3.249,3.51869924073786,-0.269699240737863
2023-03-23,3.301,3.52023537242426,-0.21923537242426
2023-03-22,3.332,3.52181717208382,-0.189817172083821
2023-03-21,3.211,3.52344281963331,-0.312442819633311
2023-03-20,3.294,3.52511041652674,-0.231110416526743
2023-03-19,3.355,3.5268179350669,-0.1718179350669
2023-03-17,3.417,3.52856325202465,-0.111563252024654
2023-03-16,3.347,3.53034417314838,-0.183344173148381
2023-03-15,3.446,3.5321584580707,-0.086158458070699
2023-03-14,3.408,3.53400379063703,-0.12600379063703
2023-03-13,3.521,3.53587781907842,-0.0148778190784159
2023-03-12,3.382,3.53777813954097,-0.155778139540972
2023-03-10,3.63,3.53970234202088,0.090297657979124
2023-03-09,3.697,3.54164795212196,0.155352047878043
2023-03-08,3.747,3.54361253277346,0.203387467226542
2023-03-07,3.743,3.54559371112094,0.19740628887906
2023-03-06,3.771,3.54758919838211,0.223410801617894
2023-03-05,3.835,3.5495967873745,0.285403212625498
2023-03-04,3.847,3.55161436326472,0.295385636735282
2023-03-03,3.897,3.55363992919355,0.343360070806448
2023-03-02,3.858,3.55567161040235,0.302328389597646
2023-03-01,3.794,3.5577076740637,0.236292325936297
2023-02-28,3.845,3.5597465123206,0.285253487679404
