"CNPMIDate","CNPMI","CNPMI_hpft","CNPMI_hpfc"
2023-05-01,48.8,49.6376034085355,-0.837603408535535
2023-04-01,49.2,49.6246130670905,-0.424613067090449
2023-03-01,51.9,49.6109247228049,2.28907527719507
2023-02-01,52.6,49.5954865286159,3.00451347138407
2023-01-01,50.1,49.5791542001914,0.520845799808556
2022-12-01,47,49.5652872144256,-2.56528721442559
2022-11-01,48,49.557679086379,-1.55767908637902
2022-10-01,49.2,49.557985591767,-0.357985591766984
2022-09-01,50.1,49.5665644403995,0.533435559600529
2022-08-01,49.4,49.58347502076,-0.183475020759964
2022-07-01,49,49.6092212509649,-0.609221250964952
2022-06-01,50.2,49.6441541532803,0.555845846719696
2022-05-01,49.6,49.6881170655961,-0.0881170655960627
2022-04-01,47.4,49.7414165306746,-2.34141653067455
2022-03-01,49.5,49.8042856603901,-0.304285660390098
2022-02-01,50.2,49.8750063861748,0.324993613825207
2022-01-01,50.1,49.9516070680771,0.148392931922919
2021-12-01,50.3,50.0323868941569,0.267613105843084
2021-11-01,50.1,50.1157687132509,-0.0157687132508533
2021-10-01,49.2,50.200398385117,-1.000398385117
2021-09-01,49.6,50.2849086289191,-0.684908628919072
2021-08-01,50.1,50.3670984984999,-0.267098498499859
2021-07-01,50.4,50.4441962905114,-0.0441962905113877
2021-06-01,50.9,50.5132077195236,0.386792280476414
2021-05-01,51,50.5711016698643,0.428898330135685
2021-04-01,51.1,50.6151693527618,0.484830647238166
2021-03-01,51.9,50.6430593947195,1.25694060528051
2021-02-01,50.6,50.65282444778,-0.0528244477799991
2021-01-01,51.3,50.6435646144905,0.656435385509517
2020-12-01,51.9,50.6143359770249,1.28566402297507
2020-11-01,52.1,50.5647416470452,1.53525835295477
2020-10-01,51.4,50.4954561228991,0.904543877100877
2020-09-01,51.5,50.4084332848951,1.09156671510493
2020-08-01,51,50.3063807999058,0.693619200094163
2020-07-01,51.1,50.1929159737334,0.907084026266554
2020-06-01,50.9,50.07223412818,0.82776587182001
2020-05-01,50.6,49.9492864884028,0.650713511597232
2020-04-01,50.8,49.8297140844523,0.970285915547714
2020-03-01,52,49.7197002076387,2.2802997923613
