"MA0Date","MA0Close","MA0_hpft","MA0_hpfc"
2011-10-31,3134,2884.03087509062,249.96912490938
2011-11-01,3131,2884.10110195548,246.898898044523
2011-11-02,3123,2884.17143214752,238.828567852481
2011-11-03,3114,2884.24207105201,229.757928947994
2011-11-04,3139,2884.31332277631,254.686677223686
2011-11-07,3126,2884.38558640053,241.614413599466
2011-11-08,3118,2884.45936628197,233.540633718029
2011-11-09,3019,2884.53526665161,134.464733348386
2011-11-10,2920,2884.61398827676,35.3860117232412
2011-11-11,2976,2884.69628750706,91.3037124929434
2011-11-14,2932,2884.78293531924,47.2170646807631
2011-11-15,2931,2884.87474043133,46.1252595686702
2011-11-16,2903,2884.97253107905,18.0274689209531
2011-11-17,2871,2885.07715456438,-14.0771545643772
2011-11-18,2869,2885.18946564117,-16.1894656411692
2011-11-21,2860,2885.31031324435,-25.3103132443548
2011-11-22,2839,2885.44053961674,-46.4405396167386
2011-11-23,2809,2885.58097653891,-76.5809765389062
2011-11-24,2784,2885.73243659478,-101.732436594784
2011-11-25,2755,2885.89570071279,-130.895700712791
2011-11-28,2743,2886.07150776925,-143.071507769254
2011-11-29,2754,2886.26054253348,-132.260542533477
2011-11-30,2758,2886.46343063476,-128.463430634761
2011-12-01,2793,2886.68074303123,-93.6807430312303
2011-12-02,2784,2886.91299757935,-102.912997579348
2011-12-05,2798,2887.16067341178,-89.1606734117837
2011-12-06,2794,2887.42420712106,-93.424207121056
2011-12-07,2801,2887.70399844429,-86.7039984442885
2011-12-08,2789,2888.00040850081,-99.0004085008095
2011-12-09,2776,2888.31376256993,-112.313762569926
2011-12-12,2739,2888.64434500823,-149.644345008234
2011-12-13,2714,2888.99239374627,-174.992393746271
2011-12-14,2713,2889.35808485767,-176.358084857672
2011-12-15,2665,2889.7415220812,-224.7415220812
2011-12-16,2692,2890.14273625636,-198.142736256357
2011-12-19,2681,2890.56166532347,-209.561665323465
2011-12-20,2677,2890.99816531867,-213.998165318667
2011-12-21,2686,2891.45200565366,-205.452005653657
2011-12-22,2690,2891.92286728196,-201.922867281964
2011-12-23,2699,2892.41034623152,-193.410346231519
2011-12-26,2668,2892.91395506342,-224.913955063416
2011-12-27,2674,2893.43312639071,-219.433126390706
2011-12-28,2720,2893.96719985606,-173.967199856063
2011-12-29,2710,2894.51542439736,-184.515424397361
2011-12-30,2731,2895.07697704137,-164.076977041366
2012-01-04,2738,2895.65095854362,-157.650958543616
2012-01-05,2770,2896.23640183682,-126.236401836822
2012-01-06,2831,2896.83227468715,-65.8322746871465
2012-01-09,2838,2897.4374926797,-59.4374926796969
2012-01-10,2835,2898.05094418712,-63.0509441871249
2012-01-11,2847,2898.67149301304,-51.6714930130367
2012-01-12,2841,2899.29797689833,-58.2979768983272
2012-01-13,2825,2899.92921222497,-74.929212224968
2012-01-16,2836,2900.56399127688,-64.5639912768833
2012-01-17,2867,2901.20107536528,-34.2010753652791
2012-01-18,2877,2901.83919911321,-24.8391991132054
2012-01-19,2945,2902.47708300636,42.5229169936397
2012-01-20,2964,2903.11343726292,60.8865627370824
2012-01-30,2982,2903.74698967831,78.2530103216904
2012-01-31,3008,2904.37649321603,103.623506783969
2012-02-01,2996,2905.00073318623,90.9992668137684
2012-02-02,2981,2905.61853773283,75.3814622671706
2012-02-03,2970,2906.2287726152,63.7712273847999
2012-02-06,3021,2906.8303347524,114.169665247602
2012-02-07,3006,2907.42214742388,98.5778525761168
2012-02-08,3022,2908.00318110233,113.996818897671
2012-02-09,2939,2908.5724470085,30.4275529914999
2012-02-10,2932,2909.12900348484,22.8709965151561
2012-02-13,2934,2909.67192145135,24.3280785486485
2012-02-14,2887,2910.20028128198,-23.2002812819762
2012-02-15,2898,2910.71317340689,-12.7131734068902
2012-02-16,2927,2911.20967866625,15.7903213337499
2012-02-17,2929,2911.68887264508,17.3111273549177
2012-02-20,2918,2912.14983745544,5.85016254455537
2012-02-21,2933,2912.59166236519,20.4083376348139
2012-02-22,2948,2913.01343906035,34.9865609396521
2012-02-23,2941,2913.41426766298,27.5857323370231
2012-02-24,2919,2913.7932627571,5.20673724290326
2012-02-27,2905,2914.14955032961,-9.14955032961386
2012-02-28,2922,2914.48225851967,7.51774148033362
2012-02-29,2976,2914.79051168438,61.2094883156213
2012-03-01,2972,2915.07343728839,56.9265627116137
2012-03-02,3022,2915.3301880978,106.669811902205
2012-03-05,3016,2915.55994041003,100.440059589975
2012-03-06,2982,2915.76191461534,66.2380853846604
2012-03-07,2945,2915.93537262198,29.0646273780205
2012-03-08,2949,2916.07960371833,32.9203962816657
2012-03-09,3004,2916.19390920696,87.8060907930384
2012-03-12,2996,2916.27760399831,79.7223960016869
2012-03-13,3023,2916.33003929846,106.669960701544
2012-03-14,2996,2916.35059926732,79.6494007326785
2012-03-15,2979,2916.33871215811,62.6612878418936
2012-03-16,2958,2916.2938391477,41.7061608522961
2012-03-19,2961,2916.21546731478,44.7845326852176
2012-03-20,2998,2916.10310097763,81.8968990223711
2012-03-21,2997,2915.95626296659,81.0437370334108
2012-03-22,2953,2915.77450996499,37.2254900350098
2012-03-23,2963,2915.55743215633,47.4425678436743
2012-03-26,2987,2915.30463511159,71.6953648884147
2012-03-27,2985,2915.01574401274,69.9842559872614
2012-03-28,2966,2914.69041367754,51.3095863224602
2012-03-29,2964,2914.32832785257,49.6716721474254
2012-03-30,2949,2913.92919149366,35.0708085063398
2012-04-05,2940,2913.49273008892,26.5072699110773
2012-04-06,2953,2913.01868362337,39.9813163766346
2012-04-09,2939,2912.506803039,26.4931969609992
2012-04-10,2933,2911.95685580459,21.0431441954052
2012-04-11,3028,2911.36862034002,116.631379659979
2012-04-12,3084,2910.74188376352,173.258116236478
2012-04-13,3080,2910.07648140417,169.923518595834
2012-04-16,3094,2909.37232020896,184.627679791044
2012-04-17,3085,2908.62937736433,176.370622635667
2012-04-18,3101,2907.8477063745,193.152293625503
2012-04-19,3099,2907.02743364819,191.972566351806
2012-04-20,3101,2906.16876543548,194.831234564522
2012-04-23,3084,2905.2719873402,178.728012659798
2012-04-24,3098,2904.3374655016,193.662534498399
2012-04-25,3094,2903.36563993783,190.634360062168
2012-04-26,3098,2902.35703071945,195.642969280554
2012-04-27,3098,2901.31223671747,196.687763282533
2012-05-02,3154,2900.23193767404,253.768062325965
2012-05-03,3139,2899.11689463389,239.883105366109
2012-05-04,3120,2897.96797353936,222.032026460637
2012-05-07,3074,2896.78613949084,177.213860509165
2012-05-08,3079,2895.5724493678,183.427550632203
2012-05-09,3052,2894.32803330281,157.671966697194
2012-05-10,3055,2893.05409725004,161.945902749958
2012-05-11,3025,2891.75191233891,133.248087661092
2012-05-14,2927,2890.42281664073,36.5771833592656
2012-05-15,2898,2889.06820330617,8.93179669382946
2012-05-16,2864,2887.68948060547,-23.6894806054707
2012-05-17,2871,2886.288060501,-15.288060500996
2012-05-18,2861,2884.86534516275,-23.865345162752
2012-05-21,2892,2883.42273044127,8.57726955872598
2012-05-22,2885,2881.96160232212,3.03839767787535
2012-05-23,2855,2880.4833503364,-25.4833503364028
2012-05-24,2871,2878.98936527116,-7.9893652711611
2012-05-25,2871,2877.48102737961,-6.48102737960707
2012-05-28,2899,2875.95971361252,23.0402863874828
2012-05-29,2903,2874.42679824166,28.5732017583442
2012-05-30,2861,2872.88366506268,-11.8836650626763
2012-05-31,2852,2871.3317096823,-19.3317096822963
2012-06-01,2820,2869.77232279498,-49.7723227949781
2012-06-04,2718,2868.20688710424,-150.206887104241
2012-06-05,2786,2866.63676473973,-80.6367647397297
2012-06-06,2787,2865.0632557416,-78.0632557416024
2012-06-07,2773,2863.48762681801,-90.4876268180137
2012-06-08,2745,2861.91111240891,-116.911112408914
2012-06-11,2762,2860.3349095503,-98.3349095503007
2012-06-12,2739,2858.76016695183,-119.760166951827
2012-06-13,2702,2857.18799267544,-155.187992675441
2012-06-14,2676,2855.61944527906,-179.619445279057
2012-06-15,2708,2854.05551917211,-146.055519172107
2012-06-18,2726,2852.49713451659,-126.49713451659
2012-06-19,2731,2850.94515110099,-119.94515110099
2012-06-20,2776,2849.40037642499,-73.4003764249922
2012-06-21,2754,2847.86356840776,-93.8635684077627
2012-06-25,2757,2846.33545462771,-89.3354546277068
2012-06-26,2714,2844.81672386383,-130.816723863833
2012-06-27,2704,2843.3080279674,-139.308027967398
2012-06-28,2718,2841.80996471536,-123.809964715363
2012-06-29,2741,2840.32307430033,-99.3230743003271
2012-07-02,2799,2838.84784573679,-39.8478457367903
2012-07-03,2828,2837.38472698314,-9.38472698313542
2012-07-04,2842,2835.93414952623,6.06585047377317
2012-07-05,2855,2834.49654097365,20.5034590263474
2012-07-06,2841,2833.07233144037,7.92766855962523
2012-07-09,2826,2831.6619595167,-5.66195951670281
2012-07-10,2808,2830.26586706989,-22.2658670698855
2012-07-11,2785,2828.88449362676,-43.8844936267582
2012-07-12,2787,2827.51826951035,-40.5182695103549
2012-07-13,2823,2826.16760690359,-3.16760690358895
2012-07-16,2814,2824.83290124078,-10.8329012407798
2012-07-17,2823,2823.5145466469,-0.51454664689512
2012-07-18,2805,2822.21293276897,-17.2129327689681
2012-07-19,2823,2820.92844904138,2.0715509586215
2012-07-20,2757,2819.66147778337,-62.6614777833673
2012-07-23,2754,2818.41240217046,-64.4124021704612
2012-07-24,2756,2817.18157947649,-61.1815794764859
2012-07-25,2743,2815.96934034973,-72.969340349728
2012-07-26,2773,2814.77599014842,-41.7759901484192
2012-07-27,2824,2813.60180406835,10.3981959316467
2012-07-30,2837,2812.44704003672,24.5529599632786
2012-07-31,2837,2811.31196027889,25.688039721114
2012-08-01,2827,2810.19683716943,16.803162830566
2012-08-02,2848,2809.10195370139,38.8980462986052
2012-08-03,2843,2808.02759981349,34.9724001865104
2012-08-06,2872,2806.97408152335,65.0259184766495
2012-08-07,2895,2805.9417193048,89.0582806952002
2012-08-08,2828,2804.93086051078,23.0691394892202
2012-08-09,2828,2803.94188930731,24.0581106926884
2012-08-10,2785,2802.97519939628,-17.9751993962781
2012-08-13,2771,2802.0311944242,-31.0311944241954
2012-08-14,2775,2801.1102706074,-26.1102706074021
2012-08-15,2742,2800.2128113352,-58.2128113351967
2012-08-16,2728,2799.3391892039,-71.3391892038979
2012-08-17,2749,2798.48975274701,-49.4897527470088
2012-08-20,2729,2797.6648210093,-68.6648210092971
2012-08-21,2710,2796.86469257837,-86.8646925783662
2012-08-22,2713,2796.08963765866,-83.0896376586582
2012-08-23,2737,2795.33989054817,-58.3398905481669
2012-08-24,2689,2794.61565119905,-105.615651199048
2012-08-27,2724,2793.91709544802,-69.9170954480235
2012-08-28,2738,2793.24435547458,-55.2443554745844
2012-08-29,2691,2792.59753455732,-101.597534557315
