"USSPMIDate","USSPMI","USSPMI_hpft","USSPMI_hpfc"
2023-05-01,50.3,51.4007691404795,-1.10076914047954
2023-04-01,51.9,52.0035205113659,-0.103520511365865
2023-03-01,51.2,52.6053545746351,-1.40535457463512
2023-02-01,55.2,53.2052677555775,1.99473224442255
2023-01-01,55.2,53.8010853506708,1.39891464932925
2022-12-01,49.6,54.3922949332633,-4.79229493326334
2022-11-01,56.5,54.9795498389113,1.52045016108874
2022-10-01,54.4,55.5595098240595,-1.15950982405953
2022-09-01,56.7,56.1301016869541,0.569898313045941
2022-08-01,56.9,56.6882859676541,0.211714032345908
2022-07-01,56.7,57.2314981214796,-0.531498121479641
2022-06-01,55.3,57.7573500321111,-2.45735003211107
2022-05-01,55.9,58.2630106681275,-2.36301066812751
2022-04-01,57.1,58.7436012064147,-1.64360120641467
2022-03-01,58.3,59.1922736483015,-0.892273648301459
2022-02-01,56.5,59.6008103274448,-3.10081032744481
2022-01-01,59.9,59.960250016128,-0.0602500161280273
2021-12-01,61.1,60.2590474780282,0.840952521971755
2021-11-01,69.1,60.4856072684758,8.61439273152414
2021-10-01,66.7,60.6290347365695,6.0709652634305
2021-09-01,61.9,60.6856138920174,1.21438610798256
2021-08-01,61.7,60.6566878822474,1.04331211775262
2021-07-01,64.1,60.5446118431105,3.55538815688949
2021-06-01,60.1,60.3526103372227,-0.252610337222647
2021-05-01,64,60.0868707506638,3.91312924933618
2021-04-01,62.7,59.7533699608998,2.94663003910021
2021-03-01,63.7,59.3613457864372,4.33865421356281
2021-02-01,55.3,58.9224915708153,-3.62249157081534
2021-01-01,58.7,58.4521162027515,0.247883797248468
2020-12-01,57.2,57.9625098279874,-0.762509827987381
2020-11-01,55.9,57.4661691620955,-1.56616916209554
2020-10-01,56.6,56.974955495792,-0.374955495791982
2020-09-01,57.8,56.4994249788243,1.30057502117567
2020-08-01,56.9,56.049821298027,0.850178701973034
2020-07-01,54.2,55.637471952752,-1.43747195275195
2020-06-01,57.1,55.274412924603,1.82558707539703
2020-05-01,45.4,54.9714823018899,-9.57148230188988
2020-04-01,41.8,54.7410394954852,-12.9410394954852
2020-03-01,52.5,54.58746768101,-2.08746768100997
2020-02-01,57.3,54.5043658345056,2.79563416549437
2020-01-01,55.5,54.4835933756127,1.01640662438729
2019-12-01,54.9,54.5193394191097,0.380660580890263
2019-11-01,53.9,54.6066400852956,-0.706640085295629
2019-10-01,54.7,54.7408487116199,-0.0408487116198702
2019-09-01,52.6,54.9167297687943,-2.31672976879434
2019-08-01,56.4,55.1290136869378,1.27098631306219
2019-07-01,53.7,55.3705002880284,-1.67050028802844
2019-06-01,55.1,55.6350485493053,-0.535048549305299
2019-05-01,56.9,55.915125364434,0.984874635565977
2019-04-01,55.5,56.2027517532892,-0.702751753289219
2019-03-01,56.1,56.4907694646084,-0.390769464608443
2019-02-01,59.7,56.7714346206682,2.92856537933182
2019-01-01,56.7,57.0366777025244,-0.336677702524414
2018-12-01,57.6,57.2808696623826,0.319130337617432
