"JM0Date","JM0Close","JM0_hpft","JM0_hpfc"
2013-03-25,1258,1171.58538790916,86.4146120908417
2013-03-26,1272,1170.61658228102,101.383417718982
2013-03-27,1261,1169.6478123732,91.3521876267963
2013-03-28,1259,1168.67915581387,90.3208441861311
2013-03-29,1240,1167.71072799249,72.2892720075117
2013-04-01,1202,1166.74268163354,35.2573183664574
2013-04-02,1228,1165.77519934299,62.2248006570098
2013-04-03,1216,1164.80847830074,51.1915216992559
2013-04-08,1220,1163.84274140795,56.1572585920493
2013-04-09,1223,1162.87823272627,60.1217672737324
2013-04-10,1215,1161.91521953052,53.0847804694822
2013-04-11,1206,1160.95399394743,45.0460060525654
2013-04-12,1209,1159.99487004687,49.0051299531313
2013-04-15,1174,1159.03818051888,14.9618194811246
2013-04-16,1179,1158.08427831026,20.9157216897359
2013-04-17,1165,1157.13352255246,7.86647744753678
2013-04-18,1157,1156.18628102261,0.813718977389755
2013-04-19,1163,1155.24292474952,7.75707525047851
2013-04-22,1146,1154.30382509838,-8.30382509838346
2013-04-23,1134,1153.36935664085,-19.3693566408482
2013-04-24,1145,1152.4398905161,-7.43989051610353
2013-04-25,1142,1151.5157898568,-9.51578985680425
2013-04-26,1138,1150.59741472026,-12.5974147202649
2013-05-02,1119,1149.68512123036,-30.6851212303603
2013-05-03,1129,1148.7792603037,-19.7792603036964
2013-05-06,1140,1147.88017017288,-7.88017017288015
2013-05-07,1134,1146.98818089458,-12.9881808945755
2013-05-08,1148,1146.1036192681,1.89638073190124
2013-05-09,1142,1145.22680672397,-3.22680672397038
2013-05-10,1150,1144.3580654766,5.64193452339545
2013-05-13,1178,1143.49771640657,34.5022835934258
2013-05-14,1180,1142.6460827266,37.3539172733979
2013-05-15,1145,1141.80350191128,3.19649808872462
2013-05-16,1146,1140.97032687579,5.02967312421094
2013-05-17,1163,1140.14691185662,22.853088143377
2013-05-20,1162,1139.33361316935,22.6663868306469
2013-05-21,1163,1138.53079657608,24.4692034239193
2013-05-22,1170,1137.73883720827,32.261162791726
2013-05-23,1145,1136.95812031201,8.04187968798997
2013-05-24,1144,1136.18904446881,7.81095553118598
2013-05-27,1127,1135.43201158443,-8.4320115844255
2013-05-28,1125,1134.68742679329,-9.68742679329062
2013-05-29,1111,1133.95569174441,-22.9556917444079
2013-05-30,1108,1133.23720408239,-25.2372040823909
2013-05-31,1094,1132.53235196289,-38.5323519628907
2013-06-03,1098,1131.84151310951,-33.8415131095106
2013-06-04,1102,1131.16504931812,-29.1650493181214
2013-06-05,1100,1130.50330839588,-30.5033083958794
2013-06-06,1056,1129.85662609431,-73.8566260943114
2013-06-07,1042,1129.22532555604,-87.2253255560408
2013-06-13,1035,1128.60969939438,-93.6096993943786
2013-06-14,1030,1128.01000416718,-98.0100041671796
2013-06-17,1041,1127.4264577378,-86.4264577378043
2013-06-18,1041,1126.85923745623,-85.8592374562344
2013-06-19,1033,1126.30848494724,-93.3084849472437
2013-06-20,1005,1125.77430634483,-120.774306344831
2013-06-21,1006,1125.256769213,-119.256769213
2013-06-24,998,1124.75589119255,-126.755891192553
2013-06-25,1011,1124.2716406283,-113.271640628305
2013-06-26,1004,1123.80393346931,-119.803933469307
2013-06-27,1006,1123.35263884263,-117.352638842626
2013-06-28,1001,1122.91757635328,-121.917576353279
2013-07-01,1040,1122.49851709735,-82.4985170973452
2013-07-02,1034,1122.09518177509,-88.0951817750898
2013-07-03,1031,1121.70725698527,-90.707256985272
2013-07-04,1045,1121.33439291155,-76.3343929115464
2013-07-05,1046,1120.97620224292,-74.976202242924
2013-07-08,1037,1120.63226611482,-83.6322661148163
2013-07-09,1029,1120.3021346705,-91.3021346705014
2013-07-10,1061,1119.98532348301,-58.9853234830085
2013-07-11,1064,1119.68131038475,-55.6813103847478
