"LZNTDate","LZNTClose","LZNT_hpft","LZNT_hpfc"
2013-08-23,1978.8,1878.36387340336,100.436126596638
2013-08-27,1976,1879.399671286,96.6003287140016
2013-08-28,1956,1880.43551068489,75.5644893151087
2013-08-29,1935,1881.47147304699,53.5285269530125
2013-08-30,1901.2,1882.50767105456,18.6923289454437
2013-09-02,1915,1883.54423951641,31.4557604835931
2013-09-04,1873,1884.58132096801,-11.5813209680065
2013-09-05,1877,1885.61907094737,-8.619070947367
2013-09-06,1899,1886.65764020525,12.3423597947523
2013-09-09,1886.2,1887.69717592964,-1.49717592963505
2013-09-10,1881,1888.73783041034,-7.73783041034489
2013-09-11,1875,1889.77975531832,-14.7797553183239
2013-09-12,1880,1890.82309912601,-10.8230991260108
2013-09-13,1874,1891.86800419649,-17.8680041964866
2013-09-16,1867.8,1892.914608419,-25.1146084189988
2013-09-17,1862.2,1893.96304229688,-31.7630422968805
2013-09-18,1880,1895.0134259521,-15.0134259520993
2013-09-23,1891,1896.06586637705,-5.06586637705106
2013-09-24,1877.8,1897.12046435819,-19.3204643581893
2013-09-25,1886.2,1898.17731858794,-11.9773185879427
2013-09-26,1895,1899.23651977244,-4.23651977243646
2013-09-27,1910,1900.29815366685,9.70184633314572
2013-09-30,1917,1901.36230427517,15.6376957248316
2013-10-01,1873.5,1902.42905961171,-28.9290596117072
2013-10-02,1890,1903.4985141548,-13.4985141547991
2013-10-03,1871,1904.57075042466,-33.5707504246557
2013-10-04,1872,1905.64584536175,-33.6458453617481
2013-10-07,1878,1906.72386202975,-28.723862029751
2013-10-08,1887.5,1907.8048495845,-20.3048495844957
2013-10-09,1886,1908.88884530852,-22.8888453085234
2013-10-10,1901,1909.97587809117,-8.97587809117042
2013-10-11,1916,1911.06596736044,4.93403263956335
2013-10-14,1933.5,1912.15912883407,21.3408711659303
2013-10-15,1930,1913.25538026933,16.7446197306658
2013-10-16,1930,1914.35474824496,15.6452517550404
2013-10-17,1928.5,1915.45726626123,13.0427337387683
2013-10-18,1930,1916.56297428555,13.4370257144526
2013-10-21,1943.2,1917.67191767664,25.5280823233575
2013-10-22,1952.2,1918.78414734759,33.4158526524127
2013-10-23,1927,1919.89972476373,7.10027523626863
2013-10-24,1939.5,1921.01872520319,18.4812747968091
2013-10-25,1949.5,1922.14122687906,27.3587731209427
2013-10-28,1963,1923.26731564383,39.7326843561709
2013-10-29,1961.2,1924.39708865903,36.8029113409709
2013-10-30,1971.8,1925.53065951007,46.2693404899314
2013-10-31,1953.5,1926.66815699521,26.8318430047941
2013-11-01,1936,1927.80972903858,8.1902709614163
2013-11-04,1929,1928.95553465555,0.0444653444518606
2013-11-05,1925.2,1930.10573624697,-4.90573624697285
2013-11-06,1919.5,1931.26049623212,-11.7604962321199
2013-11-07,1904.5,1932.41997500241,-27.9199750024096
2013-11-08,1907.5,1933.58432808794,-26.0843280879438
2013-11-11,1896.8,1934.75369947784,-37.9536994778353
2013-11-12,1886,1935.92822237899,-49.9282223789861
2013-11-13,1889.5,1937.10801430976,-47.6080143097564
2013-11-14,1891,1938.29317215019,-47.2931721501928
2013-11-15,1896,1939.4837731011,-43.4837731011015
2013-11-18,1886,1940.67987481419,-54.6798748141914
