"EG0Date","EG0Close","EG0_hpft","EG0_hpfc"
2018-12-11,5541,5404.94989771327,136.050102286735
2018-12-12,5544,5396.79624122056,147.203758779443
2018-12-13,5591,5388.64264096549,202.357359034509
2018-12-14,5606,5380.48921403382,225.510785966178
2018-12-17,5618,5372.3361611577,245.663838842297
2018-12-18,5627,5364.18377628638,262.816223713625
2018-12-19,5620,5356.03245491663,263.967545083368
2018-12-20,5576,5347.88270118293,228.117298817073
2018-12-21,5418,5339.73512833328,78.2648716667224
2018-12-24,5332,5331.59044391021,0.409556089788199
2018-12-25,5174,5323.44938780783,-149.449387807829
2018-12-26,5152,5315.31270008953,-163.312700089527
2018-12-27,5135,5307.18105904231,-172.181059042313
2018-12-28,5134,5299.05507544631,-165.055075446308
2019-01-04,5152,5290.93528890889,-138.935288908894
2019-01-07,5133,5282.82217081034,-149.822170810343
2019-01-08,5080,5274.71613510064,-194.716135100635
2019-01-09,5122,5266.61753379931,-144.617533799311
2019-01-10,5092,5258.52663843808,-166.526638438075
2019-01-11,5117,5250.44366076958,-133.443660769579
2019-01-14,5143,5242.36874371105,-99.3687437110512
2019-01-15,5221,5234.30197501946,-13.3019750194556
2019-01-16,5226,5226.24340137675,-0.243401376745234
2019-01-17,5159,5218.19306396636,-59.1930639663571
2019-01-18,5156,5210.15100387111,-54.1510038711057
2019-01-21,5273,5202.11723770578,70.8827622942199
2019-01-23,5254,5194.09175970133,59.9082402986653
2019-01-25,5234,5186.07459338881,47.9254066111911
2019-01-29,5157,5178.06578706287,-21.0657870628746
2019-01-30,5207,5170.06540882868,36.9345911713239
2019-01-31,5279,5162.07351808355,116.926481916449
2019-02-01,5322,5154.09018949218,167.909810507821
2019-02-11,5223,5146.11554605188,76.8844539481168
2019-02-12,5234,5138.14978016719,95.8502198328074
2019-02-13,5162,5130.19311602357,31.8068839764266
2019-02-14,5170,5122.2458174271,47.7541825729011
2019-02-15,5131,5114.30816133156,16.6918386684383
2019-02-18,5039,5106.38044443037,-67.3804444303739
2019-02-19,5064,5098.4629703167,-34.4629703166975
2019-02-20,5054,5090.55601473134,-36.5560147313414
2019-02-21,5123,5082.65983916952,40.3401608304838
2019-02-25,5135,5074.77469001562,60.2253099843776
2019-02-26,5158,5066.90083032904,91.0991696709562
2019-02-27,5153,5059.03854806394,93.9614519360588
2019-02-28,5175,5051.18816883116,123.811831168843
2019-03-01,5290,5043.35005708143,246.649942918572
2019-03-04,5351,5035.52462844435,315.475371555654
2019-03-05,5333,5027.71240050469,305.287599495312
2019-03-06,5432,5019.91402125199,412.085978748009
2019-03-07,5336,5012.13026486948,323.869735130516
2019-03-08,5298,5004.36207588011,293.63792411989
2019-03-11,5267,4996.61053268156,270.389467318436
2019-03-12,5270,4988.87683504967,281.123164950327
2019-03-13,5241,4981.16229452837,259.83770547163
2019-03-14,5221,4973.4683388666,247.531661133403
2019-03-15,5137,4965.79650321979,171.203496780208
2019-03-18,5127,4958.148425063,168.851574936995
2019-03-19,5107,4950.52581263989,156.474187360113
2019-03-20,5147,4942.93044399063,204.069556009373
2019-03-21,5157,4935.36416183544,221.635838164556
2019-03-22,5126,4927.82889324875,198.171106751246
2019-03-25,5113,4920.32665692037,192.67334307963
2019-03-26,5063,4912.85955345606,150.140446543937
2019-03-27,4983,4905.42976310457,77.5702368954271
2019-03-28,4814,4898.03952817743,-84.0395281774348
2019-03-29,4842,4890.69112305013,-48.6911230501337
2019-04-01,4875,4883.38678735975,-8.38678735975078
2019-04-02,4843,4876.12874061637,-33.128740616367
2019-04-03,4853,4868.91919886336,-15.9191988633617
2019-04-04,4898,4861.76036444993,36.239635550073
2019-04-08,4857,4854.6544331449,2.34556685510183
2019-04-09,4873,4847.60361569715,25.3963843028504
2019-04-10,4871,4840.61012382515,30.3898761748483
2019-04-11,4827,4833.67617974512,-6.67617974512336
2019-04-12,4828,4826.80401823529,1.19598176470657
2019-04-15,4772,4819.99587131434,-47.9958713143422
2019-04-16,4707,4813.25397149505,-106.253971495046
2019-04-17,4704,4806.58053145092,-102.580531450917
2019-04-18,4707,4799.97771993415,-92.9777199341519
2019-04-19,4730,4793.44766329448,-63.4476632944789
2019-04-22,4736,4786.99244944824,-50.992449448237
2019-04-23,4733,4780.61414008494,-47.6141400849446
2019-04-24,4679,4774.314775816,-95.3147758160052
2019-04-25,4627,4768.09637757114,-141.096377571143
2019-04-26,4549,4761.96092688066,-212.960926880656
2019-04-29,4644,4755.91034695134,-111.910346951345
2019-04-30,4617,4749.94647296051,-132.946472960505
2019-05-06,4696,4744.07109382594,-48.0710938259426
2019-05-07,4712,4738.2859435111,-26.2859435111052
2019-05-08,4734,4732.59273610849,1.40726389151187
2019-05-09,4702,4726.99317484541,-24.9931748454072
2019-05-10,4718,4721.48896353066,-3.48896353065893
2019-05-13,4582,4716.08179564183,-134.081795641828
2019-05-14,4437,4710.77336321447,-273.773363214468
2019-05-15,4455,4705.56530285986,-250.565302859864
2019-05-16,4483,4700.45913802253,-217.459138022533
2019-05-17,4404,4695.45628857348,-291.456288573482
2019-05-20,4420,4690.5580844947,-270.558084494698
2019-05-21,4447,4685.76573529195,-238.765735291952
2019-05-22,4407,4681.08033863298,-274.080338632979
2019-05-23,4403,4676.50289348978,-273.502893489777
2019-05-24,4524,4672.03428554025,-148.034285540248
2019-05-27,4503,4667.67528740708,-164.675287407077
2019-05-28,4458,4663.4266105218,-205.426610521797
2019-05-29,4489,4659.28889824567,-170.288898245674
2019-05-30,4485,4655.26270902496,-170.262709024961
2019-05-31,4492,4651.3485309151,-159.348530915097
2019-06-03,4415,4647.54678159188,-232.546781591878
2019-06-04,4445,4643.85781286317,-198.857812863165
2019-06-05,4343,4640.28188041102,-297.281880411019
2019-06-06,4369,4636.81915771754,-267.819157717536
2019-06-10,4387,4633.46969538074,-246.469695380743
2019-06-11,4408,4630.23343329291,-222.233433292913
2019-06-12,4384,4627.1102094655,-243.110209465497
2019-06-13,4403,4624.09977004744,-221.099770047439
2019-06-14,4370,4621.20176069618,-251.201760696185
2019-06-17,4370,4618.41573567523,-248.415735675227
2019-06-18,4417,4615.74114541127,-198.741145411272
2019-06-19,4459,4613.17733764577,-154.177337645773
2019-06-20,4487,4610.72357796905,-123.723577969049
2019-06-21,4437,4608.3790682404,-171.379068240398
2019-06-24,4567,4606.14295917688,-39.142959176885
2019-06-25,4531,4604.01433065426,-73.0143306542587
2019-06-26,4542,4601.99224636818,-59.9922463681784
2019-06-27,4491,4600.07573983335,-109.07573983335
2019-06-28,4408,4598.26381976552,-190.263819765524
2019-07-01,4442,4596.55544979349,-154.55544979349
2019-07-02,4502,4594.94951489816,-92.9495148981587
2019-07-03,4437,4593.44483617384,-156.444836173837
2019-07-04,4477,4592.04019629305,-115.040196293053
2019-07-05,4488,4590.73431326055,-102.734313260548
2019-07-08,4435,4589.52585752763,-154.525857527631
2019-07-09,4242,4588.41345707983,-346.413457079829
2019-07-10,4265,4587.39567602774,-322.39567602774
2019-07-11,4281,4586.47093528844,-305.470935288436
2019-07-12,4274,4585.63752251356,-311.637522513558
2019-07-15,4296,4584.89359908558,-288.893599085579
2019-07-16,4278,4584.23719756838,-306.237197568383
2019-07-17,4360,4583.66623110886,-223.666231108863
