"LCPTDate","LCPTClose","LCPT_hpft","LCPT_hpfc"
2013-11-19,6965.8,7152.1049904495,-186.304990449502
2013-11-20,6977.8,7151.12373391304,-173.323733913042
2013-11-21,7043.8,7150.09379325736,-106.29379325736
2013-11-22,7092,7149.01522263985,-57.0152226398488
2013-11-25,7100,7147.88803228037,-47.8880322803692
2013-11-26,7070.2,7146.71220883089,-76.5122088308926
2013-11-27,7012.5,7145.48771914837,-132.987719148371
2013-11-28,7029,7144.2144984628,-115.214498462803
2013-11-29,7030,7142.89242703238,-112.892427032377
2013-12-02,6976.2,7141.52133749027,-165.321337490268
2013-12-03,6955,7140.10101580435,-185.101015804352
2013-12-04,7094,7138.63117960536,-44.6311796053612
2013-12-05,7080,7137.11147001081,-57.1114700108099
2013-12-06,7111,7135.54150968938,-24.541509689384
2013-12-09,7144,7133.92089770215,10.0791022978503
2013-12-10,7163.8,7132.24922296572,31.5507770342782
2013-12-11,7217,7130.52607856308,86.4739214369173
2013-12-12,7220.5,7128.75107061897,91.7489293810281
2013-12-13,7245.2,7126.92384100295,118.276158997049
2013-12-16,7286,7125.04406950992,160.95593049008
2013-12-17,7272.5,7123.11148482542,149.38851517458
2013-12-18,7277,7121.12588216776,155.874117832237
2013-12-19,7225.5,7119.0871185064,106.412881493602
2013-12-20,7235.8,7116.99511524278,118.804884757223
2013-12-23,7241,7114.84983776525,126.150162234746
2013-12-24,7286.5,7112.65130057133,173.848699428667
2013-12-27,7382.5,7110.39957030388,272.100429696123
2013-12-30,7374.2,7108.0947854678,266.105214532196
2013-12-31,7374.5,7105.73719704363,268.762802956374
2014-01-02,7385,7103.3271660087,281.6728339913
2014-01-03,7313.8,7100.86516443635,212.934835563646
2014-01-06,7331,7098.35178083217,232.648219167825
2014-01-07,7350,7095.78769172026,254.212308279744
2014-01-08,7316.2,7093.17366979238,223.026330207623
2014-01-09,7227.8,7090.51059282111,137.289407178894
2014-01-10,7313.8,7087.79943076941,226.000569230588
2014-01-13,7323,7085.04121035006,237.958789649936
2014-01-14,7297.2,7082.23705169528,214.962948304717
2014-01-15,7352,7079.38817330013,272.611826699875
2014-01-16,7317.2,7076.49588251656,240.704117483438
2014-01-17,7324,7073.56159938334,250.438400616662
2014-01-20,7314.5,7070.58684343658,243.913156563423
2014-01-21,7345,7067.57323773359,277.426762266406
2014-01-22,7298,7064.5225061556,233.477493844397
2014-01-23,7216,7061.43648726088,154.563512739121
2014-01-24,7180.5,7058.31711611792,122.182883882076
2014-01-27,7157,7055.16639168552,101.833608314481
2014-01-28,7148,7051.98636342794,96.0136365720594
2014-01-29,7128.8,7048.77912290339,80.0208770966112
2014-01-30,7097.5,7045.54680135835,51.9531986416506
2014-01-31,7043,7042.29156311662,0.708436883375319
2014-02-03,7020,7039.01559397738,-19.0155939773776
2014-02-04,7036.5,7035.72108003266,0.778919967336011
2014-02-05,7032,7032.41019951419,-0.410199514190057
2014-02-06,7106,7029.08513097567,76.9148690243348
