"CN_2yryDate","CN_2yryClose","CN_2yry_hpft","CN_2yry_hpfc"
2023-06-10,NA,2.24164553387363,-0.103745533873628
2023-06-09,2.1379,2.24420249543668,-0.112602495436678
2023-06-08,2.1316,2.2467594141155,-0.121259414115497
2023-06-07,2.1255,2.24931620048051,-0.0858162004805083
2023-06-06,2.1635,2.25187271497837,-0.0681727149783714
2023-06-05,2.1837,2.25442878258278,-0.0688621159161114
2023-06-04,2.18556666666667,2.25698420008756,-0.0695508667542254
2023-06-03,2.18743333333333,2.25953873582172,-0.0702387358217212
2023-06-02,2.1893,2.26209212936474,-0.0722921293647365
2023-06-01,2.1898,2.26464409126237,-0.0588440912623695
2023-05-31,2.2058,2.2671943021774,-0.0485943021774018
2023-05-30,2.2186,2.26974241844899,-0.0263424184489927
2023-05-29,2.2434,2.27228807632938,-0.0303880763293774
2023-05-28,2.2419,2.27483090118189,-0.0344309011818934
2023-05-26,2.2404,2.27737050580866,-0.0567705058086619
2023-05-25,2.2206,2.27990648877946,-0.0776064887794564
2023-05-24,2.2023,2.28243842519742,-0.102338425197419
2023-05-23,2.1801,2.28496585808628,-0.0552658580862755
2023-05-22,2.2297,2.28748828816718,-0.0446549548338431
2023-05-21,2.24283333333333,2.29000519331657,-0.0340385266499057
2023-05-20,2.25596666666667,2.29251603295235,-0.0234160329523539
2023-05-19,2.2691,2.29502025242227,-0.0168202524222665
2023-05-18,2.2782,2.29751728739479,-0.0295172873947925
2023-05-17,2.268,2.30000656658561,-0.0278065665856089
2023-05-16,2.2722,2.30248750650912,-0.0401875065091196
2023-05-15,2.2623,2.30495951218564,-0.0451595121856407
2023-05-14,2.2598,2.30742197202356,-0.0501219720235569
2023-05-13,2.2573,2.30987425576415,-0.0550742557641528
2023-05-12,2.2548,2.31231571243028,-0.0601157124302842
2023-05-11,2.2522,2.31474566827932,-0.0428456682793206
2023-05-10,2.2719,2.31716342471925,-0.0228634247192512
2023-05-09,2.2943,2.31956826544736,-0.0225682654473559
2023-05-08,2.297,2.32195946471012,-0.0250094647101198
2023-05-06,2.29695,2.32433628742518,-0.0274362874251792
2023-05-05,2.2969,2.32669798817227,-0.000497988172272696
2023-05-04,2.3262,2.32904381019011,-0.00101047685677775
2023-05-03,2.32803333333333,2.33137299651152,-0.00150632984485264
2023-05-02,2.32986666666667,2.33368478975165,-0.00198478975164916
2023-05-01,2.3317,2.33597843190301,-0.002445098569675
2023-04-30,2.33353333333333,2.33825316413763,-0.00288649747096133
2023-04-29,2.33536666666667,2.34050822661686,-0.00330822661686147
2023-04-28,2.3372,2.34274285830891,0.00455714169109232
2023-04-27,2.3473,2.3449562968145,0.0500437031855046
2023-04-26,2.395,2.34714778161805,0.0594522183819537
2023-04-25,2.4066,2.34931657289007,0.0552834271099278
2023-04-24,2.4046,2.35146195537624,0.0481713779570973
2023-04-23,2.39963333333333,2.35358323667415,0.0410834299925197
2023-04-22,2.39466666666667,2.35567974429348,0.0340202557065202
2023-04-21,2.3897,2.3577508227262,0.0513491772738026
2023-04-20,2.4091,2.35979583052689,0.0445041694731148
2023-04-19,2.4043,2.36181414747578,0.0277858525242181
2023-04-18,2.3896,2.36380517174935,0.0334948282506522
2023-04-17,2.3973,2.36576831300966,0.0323983536570068
2023-04-16,2.39816666666667,2.36770299476411,0.031330338569222
2023-04-15,2.39903333333333,2.36960865391231,0.0302913460876878
2023-04-14,2.3999,2.37148474030461,0.0207152596953889
2023-04-13,2.3922,2.37333071631255,0.0339692836874459
2023-04-12,2.4073,2.37514605287055,0.0196539471294534
2023-04-11,2.3948,2.3769302349545,0.0251697650455
2023-04-10,2.4021,2.3786827556645,0.0306672443354953
2023-04-09,2.40935,2.3804031185049,0.0361968814951047
2023-04-07,2.4166,2.38209083965646,0.0228091603435388
2023-04-06,2.4049,2.38374545026243,0.0173545497375695
2023-04-05,2.4011,2.38536649089449,0.0119335091055142
2023-04-04,2.3973,2.38695350929779,0.0103464907022064
2023-04-03,2.3973,2.38850605815044,0.00686060851622632
2023-04-02,2.39536666666667,2.39002369440743,0.00340963892590364
2023-04-01,2.39343333333333,2.3915059778595,-5.97785949725191e-06
2023-03-31,2.3915,2.39295246970683,0.013747530293166
2023-03-30,2.4067,2.39436273114724,0.0184372688527578
2023-03-29,2.4128,2.39573632906116,0.00496367093883827
2023-03-28,2.4007,2.39707283795024,0.00692716204976291
2023-03-27,2.404,2.39837183436789,0.00776149896543846
2023-03-26,2.40613333333333,2.39963289773101,0.00863376893566149
2023-03-25,2.40826666666667,2.4008556106647,0.00954438933530258
2023-03-24,2.4104,2.40203955936302,0.00486044063697693
2023-03-23,2.4069,2.40318433396511,0.0011156660348878
2023-03-22,2.4043,2.40428952661945,-0.0125895266194451
2023-03-21,2.3917,2.40535472993556,-0.0215547299355605
2023-03-20,2.3838,2.40637953131886,-0.00282953131885725
2023-03-19,2.40355,2.40736350926514,0.0159364907348573
2023-03-17,2.4233,2.40830624110045,0.0268937588995451
2023-03-16,2.4352,2.40920731073831,0.039992689261685
2023-03-15,2.4492,2.4100663132091,0.0356336867908999
2023-03-14,2.4457,2.41088286007454,0.0169171399254582
2023-03-13,2.4278,2.41165657762595,0.0178934223740513
2023-03-12,2.42955,2.41238709914739,0.0189129008526137
2023-03-10,2.4313,2.41307406531959,0.0240259346804098
2023-03-09,2.4371,2.41371712464086,0.0189828753591434
2023-03-08,2.4327,2.41431593554097,0.0350840644590265
2023-03-07,2.4494,2.41487016429637,0.0411298357036283
2023-03-06,2.456,2.4153794916859,0.0500205083141005
