"FU0Date","FU0Close","FU0_hpft","FU0_hpfc"
2010-01-04,4549,4591.88090953251,-42.8809095325138
2010-01-05,4696,4590.95493170294,105.045068297064
2010-01-06,4704,4590.02893614811,113.971063851886
2010-01-07,4603,4589.10294856421,13.8970514357885
2010-01-08,4604,4588.17704175845,15.8229582415542
2010-01-11,4719,4587.25129428252,131.748705717481
2010-01-12,4658,4586.32579122871,71.6742087712925
2010-01-13,4584,4585.4006721489,-1.40067214890213
2010-01-14,4615,4584.47610622223,30.5238937777696
2010-01-15,4577,4583.55226204887,-6.55226204886729
2010-01-18,4580,4582.62932084628,-2.62932084628268
2010-01-19,4600,4581.70746112353,18.2925388764681
2010-01-20,4588,4580.78686030281,7.21313969718778
2010-01-21,4630,4579.86770336773,50.1322966322738
2010-01-22,4586,4578.95017828349,7.04982171650656
2010-01-25,4563,4578.03449373802,-15.0344937380182
2010-01-26,4519,4577.1208613333,-58.1208613333027
2010-01-27,4526,4576.2094864567,-50.2094864567006
2010-01-28,4544,4575.30055047074,-31.3005504707412
2010-01-29,4496,4574.39421398337,-78.3942139833694
2010-02-01,4407,4573.49062466414,-166.49062466414
2010-02-02,4439,4572.5898977776,-133.589897777599
2010-02-03,4498,4571.69207976776,-73.6920797677557
2010-02-04,4457,4570.79716185793,-113.797161857928
2010-02-05,4331,4569.90510481009,-238.905104810093
2010-02-08,4332,4569.01582234705,-237.015822347055
2010-02-09,4341,4568.12912943786,-227.129129437859
2010-02-10,4352,4567.24474307874,-215.244743078735
2010-02-11,4380,4566.36228637987,-186.362286379869
2010-02-12,4426,4565.48129347792,-139.481293477923
2010-02-22,4530,4564.60122147488,-34.6012214748834
2010-02-23,4515,4563.72146981678,-48.7214698167781
2010-02-24,4506,4562.84142364688,-56.8414236468831
2010-02-25,4509,4561.96044796898,-52.9604479689769
2010-02-26,4507,4561.07788429088,-54.0778842908799
2010-03-01,4534,4560.19305222869,-26.1930522286902
2010-03-02,4503,4559.30524904489,-56.3052490448922
2010-03-03,4520,4558.4137611748,-38.4137611748032
2010-03-04,4528,4557.51785177942,-29.5178517794242
2010-03-05,4545,4556.61676814104,-11.6167681410365
2010-03-08,4567,4555.70974534045,11.2902546595477
2010-03-09,4563,4554.79601365656,8.20398634343871
2010-03-10,4560,4553.87480803521,6.12519196479522
2010-03-11,4547,4552.9453668134,-5.94536681340143
2010-03-12,4563,4552.00693086009,10.9930691399141
2010-03-15,4544,4551.05873858665,-7.05873858664572
2010-03-16,4535,4550.10003294851,-15.1000329485117
2010-03-17,4596,4549.13005398335,46.8699460166473
2010-03-18,4637,4548.14803548706,88.8519645129353
2010-03-19,4636,4547.15323062973,88.8467693702674
2010-03-22,4605,4546.14492930926,58.8550706907415
2010-03-23,4613,4545.12245814917,67.877541850833
2010-03-24,4615,4544.08516810139,70.9148318986113
2010-03-25,4611,4543.03243817567,67.9675618243263
2010-03-26,4637,4541.96367669507,95.0363233049311
2010-03-29,4652,4540.87832007772,111.121679922276
2010-03-30,4660,4539.77584402597,120.224155974031
2010-03-31,4650,4538.65577017537,111.344229824635
2010-04-01,4682,4537.5176698573,144.482330142699
2010-04-02,4705,4536.36116042842,168.638839571578
2010-04-06,4739,4535.18591896851,203.814081031491
2010-04-07,4732,4533.9916922659,198.0083077341
2010-04-08,4712,4532.77831135744,179.221688642564
2010-04-09,4745,4531.54568912872,213.454310871283
2010-04-12,4751,4530.29381254827,220.706187451726
2010-04-13,4749,4529.02275681815,219.977243181851
2010-04-14,4759,4527.73268837145,231.267311628554
2010-04-15,4772,4526.4238645709,245.576135429104
2010-04-16,4774,4525.09663837597,248.903361624026
2010-04-19,4722,4523.75146425739,198.248535742606
2010-04-20,4755,4522.38889957249,232.611100427508
2010-04-21,4766,4521.00958362663,244.990416373368
2010-04-22,4748,4519.61425187725,228.385748122753
2010-04-23,4749,4518.20374105093,230.796258949065
2010-04-26,4766,4516.77898227978,249.22101772022
2010-04-27,4748,4515.34100209774,232.658997902258
2010-04-28,4718,4513.89093005676,204.109069943237
2010-04-29,4733,4512.42999188061,220.570008119385
2010-04-30,4785,4510.9594976636,274.040502336404
2010-05-04,4787,4509.48084867475,277.519151325251
2010-05-05,4758,4507.99555946045,250.004440539547
2010-05-06,4710,4506.50525928234,203.494740717658
2010-05-07,4638,4505.01168074384,132.988319256164
