"EUSPMIDate","EUSPMI","EUSPMI_hpft","EUSPMI_hpfc"
2023-05-01,55.1,52.8277122668063,2.27228773319369
2023-04-01,56.2,52.8072424655475,3.39275753445247
2023-03-01,55,52.7886662373997,2.21133376260026
2023-02-01,52.7,52.7767044534193,-0.0767044534193087
2023-01-01,50.8,52.7779207627982,-1.97792076279818
2022-12-01,49.8,52.7988148943503,-2.99881489435029
2022-11-01,48.6,52.8442383095874,-4.24423830958736
2022-10-01,48.6,52.9165434576091,-4.31654345760912
2022-09-01,48.8,53.0145459222573,-4.21454592225731
2022-08-01,49.8,53.1334641678256,-3.33346416782558
2022-07-01,51.2,53.2650045370059,-2.06500453700587
2022-06-01,53,53.3980954856835,-0.398095485683511
2022-05-01,56.1,53.5199446326297,2.58005536737032
2022-04-01,57.7,53.6174278503774,4.08257214962258
2022-03-01,55.6,53.6795710575994,1.92042894240064
2022-02-01,55.5,53.6988023164261,1.80119768357394
2022-01-01,51.1,53.6691500464401,-2.56915004644012
2021-12-01,53.1,53.5861436652938,-0.486143665293765
2021-11-01,55.9,53.4431716322672,2.45682836773281
2021-10-01,54.6,53.2332172869195,1.36678271308052
2021-09-01,56.4,52.9513113257829,3.44868867421709
2021-08-01,59,52.5936234309839,6.40637656901605
2021-07-01,59.8,52.1591971918775,7.64080280812248
2021-06-01,58.3,51.6524148449594,6.64758515504057
2021-05-01,55.2,51.084025962399,4.11597403760103
2021-04-01,50.5,50.4703197706614,0.0296802293386383
2021-03-01,49.6,49.8310154745763,-0.231015474576329
2021-02-01,45.7,49.1858570124981,-3.48585701249811
2021-01-01,45.4,48.5543958098855,-3.15439580988548
2020-12-01,46.4,47.9532784113534,-1.55327841135344
2020-11-01,41.7,47.3965226983421,-5.6965226983421
2020-10-01,46.9,46.8968521536154,0.00314784638460464
2020-09-01,48,46.4622431576887,1.53775684231128
2020-08-01,50.5,46.1006747142828,4.3993252857172
2020-07-01,54.7,45.8214072911536,8.87859270884641
2020-06-01,48.3,45.6373674604617,2.6626325395383
2020-05-01,30.5,45.5688806216252,-15.0688806216252
2020-04-01,12,45.638491034512,-33.638491034512
