"FV00YDate","FV00YClose","FV00Y_hpft","FV00Y_hpfc"
2013-06-25,120.531,121.048400737245,-0.517400737244535
2013-06-26,120.594,121.047773109903,-0.453773109902776
2013-06-27,120.938,121.047145268688,-0.109145268688338
2013-06-28,121.031,121.046516812157,-0.0155168121570293
2013-07-01,121.031,121.045887293748,-0.0148872937483708
2013-07-02,121.109,121.045256260488,0.0637437395121415
2013-07-03,121.188,121.044623253247,0.143376746752853
2013-07-04,121.141,121.043987839247,0.0970121607529547
2013-07-05,120.039,121.043349644975,-1.00434964497452
2013-07-08,120.141,121.042708337017,-0.901708337017398
2013-07-09,120.555,121.042063166806,-0.487063166805871
2013-07-10,120.594,121.04141301304,-0.447413013040116
2013-07-11,121.0781,121.040756553088,0.0373434469120643
2013-07-12,121.2813,121.040092279375,0.241207720625334
2013-07-15,121.0703,121.039418699762,0.0308813002381606
2013-07-16,121.1563,121.038734421817,0.117565578183396
2013-07-17,121.4219,121.038038065871,0.383861934128786
2013-07-18,121.4297,121.037328300855,0.392371699145216
2013-07-19,121.4063,121.036603954369,0.369696045630524
2013-07-22,121.5781,121.035864016208,0.54223598379182
2013-07-23,121.5313,121.035107628981,0.49619237101867
2013-07-24,121.1719,121.034334159438,0.137565840562207
2013-07-25,121.1875,121.033543179432,0.153956820567607
2013-07-26,121.3828,121.032734317684,0.350065682315728
2013-07-29,121.4297,121.031907266552,0.397792733447906
2013-07-30,121.375,121.031061863098,0.343938136902478
2013-07-31,121.375,121.030198108814,0.344801891186213
2013-08-01,121.9688,121.029316147364,0.939483852635691
2013-08-02,121.5156,121.02841626494,0.487183735060236
2013-08-05,121.375,121.027499136076,0.347500863924346
2013-08-06,121.3828,121.02656563669,0.356234363310388
2013-08-07,121.4844,121.025616786342,0.458783213657769
2013-08-08,121.5469,121.024653751847,0.522246248152953
2013-08-09,121.5469,121.02367788966,0.523222110339901
2013-08-12,121.4609,121.022690772113,0.438209227886969
2013-08-13,121.1094,121.021694187816,0.087705812183528
2013-08-14,121,121.020690106519,-0.020690106519118
2013-08-15,120.7734,121.019680534224,-0.246280534223755
2013-08-16,120.6953,121.018667468381,-0.32336746838065
2013-08-19,120.4219,121.017652804638,-0.595752804637665
2013-08-20,120.6953,121.016638304975,-0.321338304975489
2013-08-21,120.6875,121.015625485115,-0.328125485114624
2013-08-22,120.1406,121.014615727947,-0.874015727947177
2013-08-23,119.9141,121.013610280731,-1.09951028073143
2013-08-26,120.4453,121.012610029443,-0.567310029442681
2013-08-27,120.6016,121.011615405563,-0.410015405562875
2013-08-28,120.5938,121.010626606071,-0.416826606070821
2013-08-29,120.5625,121.009643658461,-0.447143658461462
2013-08-30,120.6328,121.00866641793,-0.375866417930354
2013-09-02,120.6328,121.007694554842,-0.374894554841869
2013-09-03,120.2031,121.006727584192,-0.803627584192286
2013-09-04,120.1328,121.005764866012,-0.872964866011586
2013-09-05,119.5625,121.004805428142,-1.4423054281424
2013-09-06,119.5156,121.003847937579,-1.48824793757878
2013-09-09,120.0391,121.002890465124,-0.963790465123753
2013-09-10,119.7813,121.001930466398,-1.22063046639844
2013-09-11,119.8906,121.000964998632,-1.11036499863178
2013-09-12,120.2188,120.999990614493,-0.781190614493138
2013-09-13,120.2188,120.999003407672,-0.780203407671633
2013-09-16,120.2188,120.997999148944,-0.7791991489436
2013-09-17,120.2188,120.996973286581,-0.778173286580745
2013-09-18,121.4063,120.995920946765,0.41037905323497
2013-09-19,121.2656,120.994836934013,0.270763065987045
2013-09-20,121.1719,120.993716222476,0.178183777524449
2013-09-23,120.4844,120.992553898226,-0.508153898225688
2013-09-24,120.6875,120.991345120991,-0.303845120990746
2013-09-26,120.75,120.990084840448,-0.240084840447591
2013-09-27,120.9844,120.988767880676,-0.00436788067564239
2013-09-30,120.9219,120.987388966513,-0.0654889665129258
2013-10-01,120.9063,120.985942820992,-0.0796428209922118
2013-10-02,121.0156,120.984424140075,0.0311758599245307
2013-10-03,121.1641,120.982827586804,0.181272413196331
2013-10-04,120.9609,120.981147837105,-0.0202478371047012
2013-10-07,121.0781,120.979379641837,0.0987203581630578
2013-10-08,120.875,120.977517743489,-0.102517743489376
2013-10-09,120.9141,120.975556925358,-0.0614569253579141
2013-10-10,120.875,120.973491928362,-0.0984919283615444
2013-10-11,121.0156,120.971317468016,0.0442825319840218
2013-10-14,121.0078,120.969028219124,0.0387717808762691
2013-10-15,120.9219,120.966618874792,-0.0447188747921011
2013-10-16,121.0625,120.964084144155,0.098415855844693
2013-10-17,121.375,120.961418717862,0.413581282137582
2013-10-18,121.3672,120.958617327244,0.408582672756322
2013-10-21,121.2969,120.955674874587,0.341225125412966
2013-10-22,121.3047,120.952586431072,0.352113568927676
2013-10-23,121.7031,120.949347208928,0.753752791071978
2013-10-24,121.6563,120.945952565932,0.710347434067721
2013-10-25,121.6875,120.942398171435,0.745101828565333
2013-10-28,121.6875,120.938679988413,0.748820011586753
2013-10-29,121.7734,120.934794287842,0.838605712158331
2013-10-30,121.8594,120.930737650225,0.928662349775174
2013-10-31,121.6563,120.926507002715,0.729792997285457
2013-11-01,121.5234,120.922099656334,0.601300343666368
2013-11-04,121.5313,120.917513223772,0.613786776227575
2013-11-05,121.375,120.912745566274,0.462254433726089
2013-11-06,121.75,120.907794798797,0.842205201203081
2013-11-07,121.7422,120.902659227377,0.839540772623035
2013-11-08,121.7813,120.897337506183,0.883962493816584
2013-11-11,121.7813,120.891828636418,0.889471363581723
2013-11-12,121.125,120.886131984677,0.238868015322536
