"RU0Date","RU0Close","RU0_hpft","RU0_hpfc"
2010-05-21,21640,23131.1599009558,-1491.15990095578
2010-05-24,22165,23143.0612119598,-978.061211959769
2010-05-25,21955,23156.0981192941,-1201.09811929412
2010-05-26,22440,23170.2914052163,-730.291405216289
2010-05-27,22855,23185.6613555038,-330.661355503847
2010-05-28,22950,23202.2279540537,-252.22795405374
2010-05-31,22845,23220.0110480864,-375.011048086392
2010-06-01,22570,23239.0303805615,-669.030380561534
2010-06-02,22005,23259.3055394217,-1254.30553942172
2010-06-03,21835,23280.8558360607,-1445.85583606068
2010-06-04,21830,23303.7000633917,-1473.70006339175
2010-06-07,20560,23327.8564166696,-2767.85641666958
2010-06-08,20910,23353.3424819826,-2443.34248198263
2010-06-09,21375,23380.1747012939,-2005.1747012939
2010-06-10,21515,23408.3685065932,-1893.36850659319
2010-06-11,22085,23437.938501006,-1352.93850100599
2010-06-17,22075,23468.8985050217,-1393.89850502168
2010-06-18,22080,23501.2617798717,-1421.26177987171
2010-06-21,22465,23535.0410106121,-1070.04101061205
2010-06-22,21475,23570.2482948066,-2095.24829480659
2010-06-23,21535,23606.895287702,-2071.89528770202
2010-06-24,21820,23644.9927784556,-1824.99277845565
2010-06-25,21905,23684.5506997877,-1779.55069978774
2010-06-28,22200,23725.5782300368,-1525.57823003682
2010-06-29,21580,23768.0838119529,-2188.08381195293
2010-06-30,21585,23812.0752576682,-2227.07525766819
2010-07-01,21175,23857.5594748489,-2682.55947484888
2010-07-02,21560,23904.542450584,-2344.54245058402
2010-07-05,21655,23953.0290630926,-2298.02906309262
2010-07-06,21605,24003.0232214602,-2398.02322146022
2010-07-07,21790,24054.5278848551,-2264.52788485506
2010-07-08,21955,24107.5450212017,-2152.54502120168
2010-07-09,22115,24162.0756623577,-2047.07566235773
2010-07-12,21410,24218.1199504068,-2808.11995040676
2010-07-13,20985,24275.6771812549,-3290.67718125493
2010-07-14,21245,24334.7454900376,-3089.74549003761
2010-07-15,21380,24395.3216516665,-3015.3216516665
2010-07-16,21580,24457.4011638713,-2877.40116387129
2010-07-19,21390,24520.9782779696,-3130.97827796959
2010-07-20,21745,24586.0460558774,-2841.0460558774
2010-07-21,21720,24652.596265291,-2932.59626529103
2010-07-22,21725,24720.6194995307,-2995.61949953067
2010-07-23,22515,24790.1051397011,-2275.1051397011
2010-07-26,22280,24861.0413286347,-2581.04132863475
