"cncpiDate","cncpi","cncpi_hpft","cncpi_hpfc"
2023-05-01,0.2,1.14474801844012,-0.944748018440118
2023-04-01,0.1,1.22330105182873,-1.12330105182873
2023-03-01,0.7,1.30106679520198,-0.601066795201983
2023-02-01,1,1.37632187433464,-0.37632187433464
2023-01-01,2.1,1.44684202600546,0.653157973994538
2022-12-01,1.8,1.51008938543129,0.289910614568709
2022-11-01,1.6,1.56407038614062,0.0359296138593763
2022-10-01,2.1,1.60703305384076,0.492966946159237
2022-09-01,2.8,1.63725535558388,1.16274464441612
2022-08-01,2.5,1.65342606421062,0.846573935789385
2022-07-01,2.7,1.65520290643198,1.04479709356802
2022-06-01,2.5,1.64294908723877,0.857050912761234
2022-05-01,2.1,1.61789847586646,0.482101524133537
2022-04-01,2.1,1.58199915064449,0.518000849355512
2022-03-01,1.5,1.53760094117237,-0.0376009411723744
2022-02-01,0.9,1.48748534442412,-0.587485344424119
2022-01-01,0.9,1.43440252325609,-0.534402523256087
2021-12-01,1.5,1.38061306940428,0.119386930595724
2021-11-01,2.3,1.32793223916864,0.972067760831355
2021-10-01,1.5,1.27827477795797,0.221725222042027
2021-09-01,0.7,1.23436548764842,-0.534365487648416
2021-08-01,0.8,1.19911394113448,-0.399113941134479
2021-07-01,1,1.17498440673765,-0.174984406737651
2021-06-01,1.1,1.16410855782845,-0.0641085578284503
2021-05-01,1.3,1.16847224743846,0.131527752561536
2021-04-01,0.9,1.19000790480105,-0.290007904801048
2021-03-01,0.4,1.23075756561009,-0.830757565610089
2021-02-01,-0.2,1.29252159230542,-1.49252159230542
2021-01-01,-0.3,1.3764080493556,-1.6764080493556
2020-12-01,0.2,1.48228123323551,-1.28228123323551
2020-11-01,-0.5,1.6086084337123,-2.1086084337123
2020-10-01,0.5,1.75278837285873,-1.25278837285873
2020-09-01,1.7,1.91046259905282,-0.210462599052819
2020-08-01,2.4,2.07622867036186,0.323771329638139
2020-07-01,2.7,2.24450875935394,0.455491240646061
2020-06-01,2.5,2.4099948480385,0.0900051519615037
2020-05-01,2.4,2.56775849445884,-0.167758494458844
2020-04-01,3.3,2.71294626095161,0.587053739048389
2020-03-01,4.3,2.84056491110804,1.45943508889196
2020-02-01,5.2,2.94611041996856,2.25388958003144
2020-01-01,5.4,3.02629495848104,2.37370504151896
2019-12-01,4.5,3.07970893891002,1.42029106108998
2019-11-01,4.5,3.10692086105465,1.39307913894535
2019-10-01,3.8,3.10968280059831,0.690317199401694
2019-09-01,3,3.09090773250685,-0.0909077325068508
2019-08-01,2.8,3.05408389607895,-0.254083896078949
2019-07-01,2.8,3.00262377416951,-0.202623774169514
2019-06-01,2.7,2.9397281130534,-0.239728113053404
2019-05-01,2.7,2.86842880586035,-0.168428805860348
2019-04-01,2.5,2.7915579722925,-0.291557972292499
2019-03-01,2.3,2.71180737471382,-0.411807374713817
2019-02-01,1.5,2.63162581051134,-1.13162581051134
2019-01-01,1.7,2.55311890425986,-0.853118904259859
2018-12-01,1.9,2.47744925902539,-0.577449259025388
2018-11-01,2.2,2.40506854545373,-0.205068545453732
2018-10-01,2.5,2.33594722647484,0.164052773525155
2018-09-01,2.5,2.26988487456413,0.230115125435872
2018-08-01,2.3,2.20681777284159,0.093182227158407
2018-07-01,2.1,2.14687396703178,-0.0468739670317771
2018-06-01,1.9,2.09025915471519,-0.190259154715187
2018-05-01,1.8,2.03713997183314,-0.237139971833138
2018-04-01,1.8,1.98752450503134,-0.187524505031345
2018-03-01,2.1,1.94122322431232,0.158776775687676
2018-02-01,2.9,1.89789032925774,1.00210967074226
2018-01-01,1.5,1.857312333429,-0.357312333429003
2017-12-01,1.8,1.82011084177979,-0.0201108417797888
2017-11-01,1.7,1.78660969898593,-0.086609698985932
2017-10-01,1.9,1.75711599068845,0.142884009311554
2017-09-01,1.6,1.73186462777918,-0.131864627779183
2017-08-01,1.8,1.71120959115777,0.0887904088422292
2017-07-01,1.4,1.69539497453401,-0.295394974534006
2017-06-01,1.5,1.68473886362506,-0.184738863625058
2017-05-01,1.5,1.67931318166932,-0.179313181669323
2017-04-01,1.2,1.67903590285217,-0.479035902852169
2017-03-01,0.9,1.68367557370758,-0.783675573707578
2017-02-01,0.8,1.69260154418382,-0.892601544183816
2017-01-01,2.5,1.70453010125107,0.795469898748932
2016-12-01,2.1,1.71743369725936,0.382566302740642
2016-11-01,2.3,1.72994767614101,0.570052323858995
2016-10-01,2.1,1.74102618708061,0.35897381291939
2016-09-01,1.9,1.75009842286599,0.149901577134006
2016-08-01,1.3,1.75689272112907,-0.45689272112907
2016-07-01,1.8,1.7612623374827,0.0387376625173014
2016-06-01,1.9,1.76267978360547,0.137320216394528
2016-05-01,2,1.7606498525614,0.239350147438596
2016-04-01,2.3,1.75479177092818,0.545208229071818
2016-03-01,2.3,1.74492422373968,0.555075776260318
2016-02-01,2.3,1.73132023622068,0.568679763779321
2016-01-01,1.8,1.71471539674283,0.0852846032571725
2015-12-01,1.6,1.69631919348094,-0.0963191934809355
2015-11-01,1.5,1.67741218511252,-0.177412185112523
2015-10-01,1.3,1.65919466432054,-0.359194664320543
2015-09-01,1.6,1.64271908030035,-0.0427190803003531
2015-08-01,2,1.62873855336038,0.371261446639622
2015-07-01,1.6,1.61797060457546,-0.01797060457546
2015-06-01,1.4,1.6114421395593,-0.211442139559302
2015-05-01,1.2,1.61016508842181,-0.410165088421809
2015-04-01,1.5,1.6149751794899,-0.114975179489903
2015-03-01,1.4,1.62636633685016,-0.226366336850162
2015-02-01,1.4,1.64473667193959,-0.244736671939591
2015-01-01,0.8,1.67029565758115,-0.87029565758115
2014-12-01,1.5,1.70304881937119,-0.203048819371188
2014-11-01,1.4,1.74227643652473,-0.342276436524732
2014-10-01,1.6,1.78708958090733,-0.187089580907328
2014-09-01,1.6,1.83631409402076,-0.236314094020761
2014-08-01,2,1.88861990938272,0.11138009061728
2014-07-01,2.3,1.94248003209921,0.357519967900789
2014-06-01,2.3,1.99646028401842,0.303539715981576
2014-05-01,2.5,2.04942442029513,0.45057557970487
2014-04-01,1.8,2.10048914584742,-0.30048914584742
2014-03-01,2.4,2.14914664524313,0.250853354756865
2014-02-01,2,2.19463869542858,-0.19463869542858
2014-01-01,2.5,2.23641611781236,0.263583882187638
2013-12-01,2.5,2.27376753489022,0.226232465109776
2013-11-01,3,2.30620122239307,0.693798777606934
2013-10-01,3.2,2.33341398310605,0.866586016893953
2013-09-01,3.1,2.35568078546233,0.744319214537666
2013-08-01,2.6,2.37399875290917,0.226001247090833
2013-07-01,2.7,2.38998527490591,0.310014725094095
2013-06-01,2.7,2.40544607528448,0.294553924715518
2013-05-01,2.1,2.42244522348108,-0.322445223481077
2013-04-01,2.4,2.4432922505358,-0.0432922505357994
2013-03-01,2.1,2.47002798313586,-0.370027983135857
2013-02-01,3.2,2.504657171093,0.695342828906997
2013-01-01,2,2.54887620756639,-0.548876207566391
2012-12-01,2.5,2.60496093807259,-0.104960938072587
2012-11-01,2,2.67472981128853,-0.67472981128853
2012-10-01,1.7,2.75991380844274,-1.05991380844274
2012-09-01,1.9,2.86168163592104,-0.961681635921041
2012-08-01,2,2.9803187386022,-0.980318738602196
2012-07-01,1.8,3.11530916000167,-1.31530916000167
2012-06-01,2.15,3.26532001135279,-1.11532001135279
2012-05-01,3,3.42792231292224,-0.427922312922238
2012-04-01,3.37,3.59975765163387,-0.229757651633869
2012-03-01,3.59,3.77711101248412,-0.187111012484116
2012-02-01,3.16,3.9560759157597,-0.796075915759705
2012-01-01,4.55,4.13258995590363,0.417410044096365
2011-12-01,4.07,4.30192733076244,-0.231927330762444
2011-11-01,4.22,4.45971007988606,-0.239710079886062
2011-10-01,5.5,4.60136697004881,0.898633029951192
2011-09-01,6.07,4.72212700962508,1.34787299037493
2011-08-01,6.15,4.81796806784757,1.33203193215243
2011-07-01,6.45,4.88599124144098,1.56400875855902
2011-06-01,6.36,4.92440765374009,1.43559234625991
2011-05-01,5.51,4.93273176871181,0.577268231288185
2011-04-01,5.34,4.91167437727834,0.428325622721663
2011-03-01,5.38,4.86242732722119,0.517572672778809
2011-02-01,4.94,4.78653940434088,0.153460595659116
2011-01-01,4.91,4.68599070499856,0.224009295001441
2010-12-01,4.59,4.56288920938505,0.0271107906149468
2010-11-01,5.12,4.41952957210376,0.700470427896242
2010-10-01,4.37,4.25822904008354,0.111770959916456
2010-09-01,3.61,4.08188858560985,-0.471888585609852
2010-08-01,3.48,3.89350232343474,-0.413502323434737
2010-07-01,3.3,3.69567112782223,-0.395671127822233
2010-06-01,2.95,3.49065128776686,-0.540651287766862
2010-05-01,3.06,3.28036936632327,-0.220369366323274
2010-04-01,2.81,3.06630138380633,-0.256301383806327
2010-03-01,2.37,2.84973971939227,-0.479739719392268
2010-02-01,2.7,2.63176316777085,0.0682368322291535
2010-01-01,1.53,2.41305074053231,-0.883050740532314
