"AUDCADDate","AUDCADClose","AUDCAD_hpft","AUDCAD_hpfc"
2020-07-16,0.9465,0.93524607841702,0.0112539215829798
2020-07-17,0.9497,0.935728585531773,0.0139714144682274
2020-07-20,0.9496,0.936206240316739,0.0133937596832614
2020-07-21,0.9596,0.936678975146056,0.0229210248539438
2020-07-22,0.9583,0.937146727930319,0.021153272069681
2020-07-23,0.9517,0.937609446054743,0.0140905539452569
2020-07-24,0.9538,0.938067085648451,0.0157329143515494
2020-07-27,0.9549,0.938519608665036,0.016380391334964
2020-07-28,0.9578,0.938966983561447,0.0188330164385526
2020-07-29,0.9584,0.93940918556564,0.0189908144343601
2020-07-30,0.9656,0.939846197690363,0.0257538023096373
2020-07-31,0.9579,0.940278010798418,0.0176219892015815
2020-08-03,0.954,0.940704626398195,0.0132953736018049
2020-08-04,0.9538,0.941126053282289,0.0126739467177111
2020-08-05,0.9539,0.941542305739075,0.012357694260925
2020-08-06,0.9632,0.941953403295838,0.0212465967041615
2020-08-07,0.9582,0.94235937058802,0.0158406294119796
2020-08-10,0.9544,0.942760241033561,0.0116397589664394
2020-08-11,0.9501,0.943156054598284,0.00694394540171555
2020-08-12,0.9489,0.943546856059413,0.00535314394058652
2020-08-13,0.9452,0.94393269306452,0.00126730693547976
2020-08-14,0.9514,0.944313615473949,0.00708638452605131
2020-08-17,0.9534,0.944689673671914,0.00871032632808554
2020-08-18,0.9537,0.945060920971853,0.00863907902814713
2020-08-19,0.9495,0.945427414287683,0.00407258571231704
2020-08-20,0.9485,0.945789214104381,0.002710785895619
2020-08-21,0.9434,0.946146382590363,-0.0027463825903625
2020-08-24,0.9465,0.946498983034582,1.01696541822448e-06
2020-08-25,0.9476,0.946847077590741,0.000752922409259251
2020-08-26,0.9511,0.947190728412961,0.00390927158703919
2020-08-27,0.953,0.947529997966599,0.00547000203340139
2020-08-28,0.9648,0.947864950332944,0.0169350496670564
2020-08-31,0.9624,0.948195651854367,0.0142043481456333
2020-09-01,0.9633,0.9485221758735,0.0147778241264998
2020-09-02,0.9574,0.948844601604492,0.00855539839550822
2020-09-03,0.9547,0.949163014370039,0.00553698562996125
2020-09-04,0.9513,0.949477503029296,0.00182249697070376
2020-09-07,0.9532,0.949788158730188,0.00341184126981186
2020-09-08,0.9549,0.95009507337399,0.00480492662600997
2020-09-09,0.9575,0.950398340272296,0.00710165972770355
2020-09-10,0.9576,0.950698054722864,0.00690194527713616
2020-09-11,0.9599,0.95099431495898,0.00890568504101976
2020-09-14,0.9604,0.951287222066924,0.00911277793307566
2020-09-15,0.9628,0.951576880814234,0.011223119185766
2020-09-16,0.9628,0.9518633997353,0.0109366002647004
2020-09-17,0.9627,0.952146892003695,0.0105531079963046
2020-09-18,0.9629,0.952427475313746,0.0104725246862542
2020-09-21,0.9612,0.952705271722006,0.00849472827799382
2020-09-22,0.9537,0.952980407613959,0.000719592386040684
2020-09-23,0.9467,0.953253012886462,-0.00655301288646154
2020-09-24,0.9414,0.953523217733819,-0.0121232177338188
2020-09-25,0.9409,0.953791149641584,-0.0128911496415839
2020-09-28,0.9456,0.954056931084059,-0.00845693108405872
2020-09-29,0.955,0.95432067920687,0.000679320793129992
2020-09-30,0.9544,0.954582507659883,-0.000182507659882874
2020-10-01,0.9544,0.954842530373765,-0.000442530373764911
2020-10-02,0.9532,0.955100861203747,-0.00190086120374722
2020-10-05,0.952,0.955357613822131,-0.00335761382213145
2020-10-06,0.9455,0.955612901115483,-0.0101129011154827
2020-10-07,0.9465,0.955866834582463,-0.00936683458246329
2020-10-08,0.9459,0.95611952154147,-0.0102195215414695
2020-10-09,0.95,0.956371065439026,-0.00637106543902576
2020-10-12,0.9453,0.956621565497315,-0.0113215654973149
2020-10-13,0.9407,0.956871118304978,-0.0161711183049778
2020-10-14,0.942,0.957119815770776,-0.0151198157707756
2020-10-15,0.9382,0.957367743118979,-0.0191677431189794
2020-10-16,0.9335,0.957614979323937,-0.0241149793239369
2020-10-19,0.9323,0.957861595436822,-0.0255615954368219
2020-10-20,0.9253,0.958107652540644,-0.0328076525406435
2020-10-21,0.9357,0.958353201152277,-0.0226532011522773
2020-10-22,0.9351,0.958598278227235,-0.0234982782272345
2020-10-23,0.9368,0.958842911357103,-0.0220429113571032
2020-10-26,0.941,0.959087118420228,-0.0180871184202282
2020-10-27,0.94,0.959330908183301,-0.0193309081833012
2020-10-28,0.9384,0.959574281936525,-0.0211742819365254
2020-10-29,0.9365,0.959817232979486,-0.023317232979486
2020-10-30,0.9362,0.960059745859169,-0.0238597458591693
2020-11-02,0.9329,0.960301795484157,-0.0274017954841573
2020-11-03,0.9414,0.96054334690037,-0.0191433469003702
2020-11-04,0.9427,0.960784353826928,-0.0180843538269285
2020-11-05,0.9502,0.961024762069862,-0.0108247620698622
2020-11-06,0.9485,0.96126450995986,-0.0127645099598604
2020-11-09,0.9469,0.961503531353088,-0.0146035313530878
