"IT_10yryDate","IT_10yryClose","IT_10yry_hpft","IT_10yry_hpfc"
2023-06-10,NA,4.20328739378759,-0.0842873937875929
2023-06-09,4.119,4.20372361405243,0.012276385947572
2023-06-08,4.216,4.20415979947624,0.0478402005237551
2023-06-07,4.252,4.20459592029259,-0.029595920292587
2023-06-06,4.175,4.20503196651022,-0.156031966510217
2023-06-05,4.049,4.20546791590413,-0.19646791590413
2023-06-04,4.009,4.20590368175198,-0.236903681751983
2023-06-03,3.969,4.20633909611949,-0.231339096119493
2023-06-02,3.975,4.20677389314593,-0.113773893145927
2023-06-01,4.093,4.20720771134426,-0.0322077113442648
2023-05-31,4.175,4.20764014219794,0.0703598578020557
2023-05-30,4.278,4.20807076387702,0.0699292361229805
2023-05-29,4.278,4.20849918363549,0.129000816364506
2023-05-28,4.3375,4.20892503763329,0.188074962366707
2023-05-26,4.397,4.2093480153541,0.136651984645901
2023-05-25,4.346,4.20976788402421,0.112232115975789
2023-05-24,4.322,4.21018446735638,0.108815532643623
2023-05-23,4.319,4.21059763545558,0.0914023645444182
2023-05-22,4.302,4.21100730340677,0.0759926965932272
2023-05-21,4.287,4.21141342407696,0.060586575923034
2023-05-20,4.272,4.2118159817455,0.0451840182545004
2023-05-19,4.257,4.21221498573577,0.0957850142642319
2023-05-18,4.308,4.21261046404842,-0.0246104640484193
2023-05-17,4.188,4.21300248427777,0.00399751572223101
2023-05-16,4.217,4.21339110384517,-0.0243911038451666
2023-05-15,4.189,4.21377638182437,-0.0487763818243748
2023-05-14,4.165,4.21415836720684,-0.0731583672068409
2023-05-13,4.141,4.21453708882183,-0.0975370888218322
2023-05-12,4.117,4.21491254525788,-0.0979125452578838
2023-05-11,4.117,4.21528469478562,0.0527153052143835
2023-05-10,4.268,4.21565345520254,0.0203465447974599
2023-05-09,4.236,4.21601876609656,0.019981233903441
2023-05-08,4.236,4.21638057546603,0.00161942453397038
2023-05-06,4.218,4.21673883956873,-0.0167388395687313
2023-05-05,4.2,4.21709351533185,-0.0930935153318482
2023-05-04,4.124,4.21744455276341,-0.0564445527634074
2023-05-03,4.161,4.21779186339032,-0.0567918633903219
2023-05-02,4.161,4.21813533540759,-0.0311353354075933
2023-05-01,4.187,4.21847483353475,0.0228584997985811
2023-04-30,4.24133333333333,4.21881020962123,0.0768564570454363
2023-04-29,4.29566666666667,4.21914132496525,0.130858675034754
2023-04-28,4.35,4.21946807263438,0.0415319273656202
2023-04-27,4.261,4.21979039978794,0.041209600212057
2023-04-26,4.261,4.22010827075286,0.0478917292471394
2023-04-25,4.268,4.22042166689045,0.142578333109546
2023-04-24,4.363,4.22073058935856,0.140936077308103
2023-04-23,4.36166666666667,4.22103509825118,0.139298235082156
2023-04-22,4.36033333333333,4.22133531191957,0.137664688080427
2023-04-21,4.359,4.22163140629535,0.0933685937046532
2023-04-20,4.315,4.22192361421512,0.132076385784878
2023-04-19,4.354,4.22221220711036,0.0657877928896443
2023-04-18,4.288,4.22249751100756,0.100502488992438
2023-04-17,4.323,4.22277987912729,0.0878867875393765
2023-04-16,4.31066666666667,4.22305970623378,0.0752736270995572
2023-04-15,4.29833333333333,4.22333742342011,0.0626625765798899
2023-04-14,4.286,4.22361349289448,0.00138650710551755
2023-04-13,4.225,4.22388840276727,-0.0128884027672685
2023-04-12,4.211,4.22416264172197,-0.0621626417219734
2023-04-11,4.162,4.22443669311455,-0.195436693114552
2023-04-10,4.029,4.22471101460542,-0.200711014605424
2023-04-09,4.024,4.22498598306934,-0.205985983069338
2023-04-07,4.019,4.22526189241518,-0.201261892415183
2023-04-06,4.024,4.22553895140552,-0.204538951405523
2023-04-05,4.021,4.22581728560924,-0.0988172856092447
2023-04-04,4.127,4.22609693604727,-0.134096936047267
2023-04-03,4.092,4.22637790289331,-0.124044569559978
2023-04-02,4.10233333333333,4.22666013089082,-0.113993464224149
2023-04-01,4.11266666666667,4.22694351350818,-0.103943513508184
2023-03-31,4.123,4.22722789709351,-0.00522789709351082
2023-03-30,4.222,4.22751308502881,-0.0895130850288114
2023-03-29,4.138,4.22779887853511,-0.0937988785351047
2023-03-28,4.134,4.2280850418323,-0.164085041832299
2023-03-27,4.064,4.22837130036762,-0.181371300367619
2023-03-26,4.047,4.22865731176213,-0.198657311762128
2023-03-25,4.03,4.22894265866529,-0.21594265866529
2023-03-24,4.013,4.22922684160963,-0.180226841609626
2023-03-23,4.049,4.22950927186564,-0.123509271865641
2023-03-22,4.106,4.22978928620531,-0.123789286205313
2023-03-21,4.106,4.23006617034685,-0.243066170346851
2023-03-20,3.987,4.23033915883895,-0.209339158838949
2023-03-19,4.021,4.23060738575653,-0.175607385756529
2023-03-17,4.055,4.23086989864213,-0.0748698986421296
2023-03-16,4.156,4.23112567244922,-0.138125672449219
2023-03-15,4.093,4.23137365118312,0.074626348816882
2023-03-14,4.306,4.23161272175349,-0.027612721753487
2023-03-13,4.204,4.23184180191757,0.0301581980824316
2023-03-12,4.262,4.23205979801859,0.0879402019814107
2023-03-10,4.32,4.23226562886598,0.157734371134019
2023-03-09,4.39,4.2324582496201,0.187541750379899
2023-03-08,4.42,4.23263668064238,0.304363319357619
2023-03-07,4.537,4.23280001981645,0.317199980183552
2023-03-06,4.55,4.23294749083741,0.344052509162586
2023-03-05,4.577,4.23307844851826,0.370921551481742
2023-03-04,4.604,4.23319238988933,0.397807610110671
2023-03-03,4.631,4.23328896530503,0.397711034694966
2023-03-02,4.631,4.23336798955754,0.330632010442457
2023-03-01,4.564,4.23342944183664,0.235570558163362
